,PDR3,YPR196W,EDS1,LYS14,RDS2,UGA3,UME6,SIP4,LEU3,STB5,TBS1,YLL054C,HAL9,GAL4,ARO80,ASG1,PUT3,SUT2,URC2,YNR063W,PDR8,YRR1,RDR1,RGT1,ERT1,YKL222C,YRM1,PDR1,TEA1,OAF1,HAP1,YLR278C,SUT1,CHA4,CAT8,STB4,UPC2,ECM22,GSM1,TOG1,RDS1,RSC30,RSC3,CEP3,MOT3,STP4,CRZ1,MET32,RPN4,NRG2,USV1,RGM1,REI1,NRG1,MSN4,GIS1,MSN2,COM2,RPH1,MIG3,TDA9,RSF2,MIG1,MIG2,YGR067C,YPR022C,ADR1,MET31,ZAP1,YPR015C,STP3,STP2,RIM101,STP1,FZF1,CMR3,SFP1,SWI5,ACE2,YAP6,HAC1,CST6,SKO1,GCN4,YAP3,CAD1,YAP1,CIN5,GZF3,GLN3,GAT1,GAT3,ECM23,SRD1,GAT4,HMRA2,PHO2,MATALPHA2,YHP1,YOX1,TOS8,CUP9,MBP1,SWI4,XBP1,SOK2,PHD1,DOT6,TOD6,TBF1,REB1,BAS1,FKH2,FKH1,HCM1,FHL1,SKN7,HSF1,MGA1,SFL1,NHP10,ABF2,NHP6A,ROX1,CBF1,RTG3,PHO4,TYE7,AFT1,AFT2,ORC2,SUM1,MSN1,GCR1,SMP1,MCM1,ABF1,ECM5,NDT80,RFX1,RAP1,STE12,SPT15,TEC1,VHR2
PDR3,0,-3.984960528,-6.157000243,-5.988297012,-4.510409498,-4.602881803,-3.994903019,-3.098275939,-4.129421662,-4.289840503,-4.273267929,-4.237119925,-4.304475918,-4.356919785,-4.046506471,-3.920527102,-3.664034045,-1.848972,-1.930858563,-1.836990742,-1.478909431,-1.90272404,-1.694809829,-1.919176619,-2.090605676,-2.468764437,-2.574295216,-2.680594415,-8.712409818,-2.654914996,-2.789782577,-3.121482969,-3.366416039,-10.16185261,-5.371796215,-3.679083161,-4.426601326,-5.288545422,-2.238088072,-6.501590235,-7.776425514,-7.254390063,-7.570288787,-3.768851477,-7.244403009,-8.529323771,-9.504987171,-4.865410834,-5.700380494,-6.329351738,-3.666225948,-3.588929938,-3.707994614,-4.379559951,-3.896548051,-4.423007429,-4.340742869,-5.178595247,-5.379015081,-3.82621846,-4.211191872,-4.059888737,-3.446967593,-3.092786732,-3.828221895,-3.778116985,-4.409346867,-4.395214146,-3.651518291,-4.255539094,-4.544739376,-5.322153872,-8.066435938,-3.944969622,-9.48498313,-7.410577788,-7.707864981,-7.336433473,-6.819637511,-7.725385643,-3.478847801,-7.06398783,-8.341329275,-4.566671581,-6.420740135,-7.548773217,-4.791654143,-5.815908684,-7.292279221,-7.239710458,-3.925076315,-5.041874115,-6.17947165,-6.327133912,-7.999314976,-5.388935513,-9.248651935,-7.472257873,-5.61457898,-7.59305811,-6.246946171,-7.105204272,-3.226676281,-3.030289166,-4.250040771,-8.931088202,-10.32471238,-4.458460843,-4.385504544,-6.4822762,-7.61362106,-9.842127746,-9.754785393,-5.985120028,-5.941646908,-5.386062248,-5.733630602,-4.271980725,-4.529762569,-6.130554577,-3.693928216,-7.579998391,-4.637306533,-8.560379467,-6.091410022,-4.527581231,-4.773281347,-9.102566846,-8.002082885,-5.990505486,-6.43338879,-4.691885727,-5.832301197,-4.935445573,-10.11628065,-5.420014982,-8.09698443,-4.589598343,-7.535560347,-8.658272252,-6.171891269,-7.831989798,-4.791939226,-8.286038769,-7.596076002
YPR196W,-3.984960528,0,-2.308104615,-3.524817838,-3.305739059,-3.920109685,-3.80978805,-3.611979186,-3.177428906,-3.154606899,-3.130528328,-3.12519578,-3.124764975,-3.124438338,-3.136010185,-3.156732413,-3.203373229,-2.822753271,-2.475926222,-2.170353936,-2.583878131,-2.643722423,-2.637932692,-1.539997652,-2.422329171,-2.190071592,-2.812324798,-2.359575194,-3.289783632,-3.185683681,-2.54787585,-3.630714673,-5.047583787,-2.814447355,-2.792630994,-3.970934102,-4.71895551,-5.94778225,-3.412202858,-7.042641121,-6.041925246,-6.065066013,-6.12476889,-2.990510648,-11.00412393,-6.247941169,-9.001113603,-7.213681298,-8.952852888,-8.611717599,-6.308903967,-6.288648589,-6.412131788,-7.516220612,-8.125634535,-8.836976385,-8.367178602,-7.895726028,-7.728493357,-7.741235613,-7.91190815,-8.059309729,-8.707142116,-7.946665761,-8.033224613,-8.013487326,-8.629262814,-8.954312744,-8.343513439,-6.296422697,-8.172989039,-4.559937947,-6.966780037,-5.573383678,-8.802047319,-6.856203579,-12.73732757,-7.95090497,-8.112040078,-4.082959313,-5.578089643,-6.997698892,-10.21828598,-6.699452696,-8.814641797,-9.079911713,-7.029048275,-5.476360571,-7.204940943,-4.71715248,-4.232376991,-6.808688629,-7.52327603,-10.50148429,-8.350006408,-6.51169974,-6.324930426,-4.843592416,-6.484731129,-7.839007412,-8.70669353,-5.704218919,-7.231010828,-6.662519855,-5.76170626,-8.276394954,-8.999720917,-6.128427849,-7.167077716,-10.71038824,-12.1797931,-7.441002019,-5.204157735,-4.501998723,-4.548533975,-5.742698408,-9.554145026,-7.210985213,-7.863857326,-12.04145733,-10.83376557,-7.962651455,-5.85607086,-5.42056782,-8.721911889,-6.531137392,-8.0698432,-11.33217451,-7.168052067,-5.672494521,-4.856206113,-4.110146009,-11.90555478,-7.699650755,-7.06302651,-4.751101848,-13.19047749,-6.283089677,-9.018373963,-11.18374094,-6.394704657,-9.336488163,-4.517531792,-6.696756811,-11.90025242
EDS1,-3.23289626,-2.308104615,0,-0.722076365,-2.200576751,-2.674972939,-2.403023443,-1.875434303,-1.796667218,-1.874910436,-2.024736565,-2.074988521,-2.087620608,-2.170994587,-2.0594998,-1.93529024,-1.997454052,-2.208175823,-1.727726153,-1.440494831,-1.656433039,-1.35261358,-1.248796346,-0.852519221,-1.80128358,-2.103152,-2.662133895,-1.817422149,-2.629927086,-2.624942087,-2.730290914,-3.505151923,-4.050974895,-3.562320648,-1.965411651,-2.925611844,-3.558580424,-2.510728546,-2.541803049,-4.732836698,-4.601066087,-4.529786323,-4.624536808,-3.349654816,-5.876507699,-4.337429075,-5.983638389,-6.214572825,-7.260451343,-4.858362418,-4.30662621,-4.269764319,-4.266199314,-4.703591588,-4.015772559,-4.871807761,-5.587912456,-5.270720294,-5.487734933,-5.986290387,-5.93956265,-5.737719476,-5.54470824,-4.640178702,-4.922262383,-5.294441674,-6.51820796,-5.487178432,-3.990371835,-3.653355139,-4.47298463,-2.012904278,-4.10370573,-4.739385338,-4.199106368,-4.113262459,-6.328717192,-4.55108571,-4.683150211,-1.708978827,-3.899079466,-4.725938309,-5.185098424,-2.349688954,-5.613855134,-5.45763437,-2.95255549,-5.18543526,-3.106288748,-2.555597967,-1.525524675,-2.660254635,-3.453468929,-5.770205615,-4.269758085,-4.167506502,-3.096459249,-2.404222786,-2.418919402,-3.605424672,-3.601475551,-3.912689422,-5.120061849,-3.932898581,-3.391434174,-4.698181663,-4.941858941,-6.146792687,-2.812593042,-6.167939455,-8.124390915,-6.533997119,-3.966788281,-2.170439876,-2.411489746,-4.347001439,-4.656463094,-3.025455284,-3.599661534,-6.243674174,-7.398431401,-3.90072577,-1.964526489,-2.657949399,-7.304518597,-4.366178281,-5.706556974,-8.179989539,-4.565514615,-3.161971144,-2.094570442,-1.394580415,-7.617385239,-4.303007578,-4.368393772,-2.059320418,-7.500358123,-2.188075682,-4.122617343,-6.10684041,-3.526180062,-5.721903392,-1.51127834,-3.239172383,-6.807918582
LYS14,-2.790245199,-3.524817838,-0.722076365,0,-1.596838374,-2.057840094,-1.815065847,-1.432475685,-1.189195202,-1.247247274,-1.397019623,-1.456091134,-1.460342746,-1.53889535,-1.455009713,-1.344770561,-1.435124992,-1.944062449,-1.412503028,-1.196158194,-1.204634532,-0.911211931,-0.65583226,-1.10895407,-1.105124949,-1.541936778,-2.248128909,-1.591792839,-2.39997591,-2.528868484,-2.91941716,-3.382229017,-3.692354056,-3.15367706,-1.576059001,-2.966605191,-3.498205894,-2.406635947,-1.868338122,-3.567812038,-3.947430519,-3.952105717,-4.068609584,-2.706752776,-5.575611513,-3.932167744,-4.872095687,-5.757985117,-6.522318036,-4.23041317,-4.163181215,-4.111745498,-4.210973851,-4.386063393,-4.459343242,-5.3391185,-5.655136113,-5.147008647,-5.700201964,-4.567607919,-4.618867408,-4.661642113,-5.314266713,-4.402257848,-4.754041199,-5.193853955,-5.85645227,-5.498912432,-3.817683128,-3.397162156,-3.546881046,-1.460308273,-3.52643096,-4.027998472,-5.841093802,-3.826773214,-6.53875644,-3.852794862,-4.132061635,-1.104816442,-2.840300328,-4.9991397,-5.204639233,-2.619858988,-4.123756491,-4.15938691,-2.122002449,-3.220512738,-4.342338309,-3.880229379,-2.183011814,-2.993129505,-3.850442226,-3.722134428,-4.823302337,-2.919893753,-3.390699518,-2.972231828,-1.922068391,-3.55169187,-3.740374208,-4.214327185,-4.295887267,-3.885485377,-3.194591475,-4.263744516,-4.44747447,-6.036165207,-3.084106182,-5.450999351,-7.92440535,-5.334453059,-3.799751251,-2.199092208,-2.43513714,-4.499934129,-4.143539781,-2.935704345,-3.516204046,-6.000502848,-6.870952022,-4.028619637,-1.854384436,-3.624483919,-5.753396631,-3.140735217,-5.456138845,-6.545193103,-3.866708174,-2.538765738,-2.473570273,-1.427743276,-6.68254941,-4.418406321,-5.622174486,-1.771096317,-6.814932322,-1.541177626,-4.04194962,-6.04394177,-3.380560974,-5.614678717,-1.647862765,-2.164814864,-5.181356915
RDS2,-2.18329118,-3.305739059,-4.389333096,-4.219181651,0,-1.117749999,-0.899746469,-0.523970238,-0.20389798,-0.193885636,-0.188003557,-0.178429222,-0.183024194,-0.185742404,-0.174603843,-0.190799407,-0.213294881,-1.012847345,-0.686498408,-0.577808525,-0.4115452,-0.628544437,-0.694899473,-0.831069202,-1.422107368,-1.822392691,-2.074586817,-2.025102774,-1.853693863,-1.589867937,-1.910830431,-2.466650986,-2.711564885,-2.471126843,-0.859458238,-1.625435079,-2.198212674,-3.250392925,-1.488531112,-1.932999355,-1.922741379,-3.252278204,-3.324907984,-2.434407701,-6.37734374,-2.26757508,-4.158582422,-4.555905077,-4.878643058,-5.793680122,-5.362189754,-5.299123421,-5.349838437,-3.77234448,-4.176330508,-4.586306816,-5.09976883,-5.20804477,-6.241209632,-4.832055401,-4.821973611,-4.819183295,-5.41335263,-4.798492106,-4.63043063,-4.584758421,-5.932695145,-4.045240054,-4.657652258,-1.938344119,-2.888502629,-1.311286872,-2.874440067,-2.486651839,-4.932625703,-4.545310327,-4.96012218,-4.270040388,-4.183931938,-3.89873138,-2.587793958,-4.556439917,-4.476441636,-4.884955809,-4.503842282,-5.739599181,-3.612958084,-4.377830358,-5.88317789,-5.900142844,-3.896650356,-3.250916526,-4.146688086,-4.89017993,-5.365260238,-5.005000088,-6.298693554,-5.403788273,-3.468852483,-6.209524419,-3.272650738,-6.392965546,-3.417365734,-3.321952072,-2.734879119,-4.778908916,-5.132334758,-2.327099372,-2.362649005,-7.336889497,-8.462659059,-3.658502627,-6.875928071,-3.711636948,-3.773321205,-4.218617608,-3.812438293,-1.743085962,-1.810847382,-3.914895158,-3.937594523,-5.387441825,-2.841116536,-6.081658971,-5.292554996,-3.474338885,-4.660549863,-4.999735794,-3.768536505,-2.723144078,-5.134462859,-2.832272429,-4.533816679,-2.960359801,-8.388591064,-2.786686354,-6.446354526,-3.443171376,-4.850588924,-6.216447273,-3.531579448,-5.118912419,-3.75547801,-6.39252517,-5.214984376
UGA3,-1.472516413,-3.920109685,-2.674972939,-2.057840094,-1.117749999,0,-0.061547948,-1.068605895,-0.735358849,-0.736137087,-0.815374171,-0.798745805,-0.801194881,-0.79899238,-0.792463135,-0.836462108,-0.849328148,-1.616761515,-1.288268247,-1.152001641,-1.015525504,-1.160101338,-1.306457572,-1.390488765,-2.025925877,-2.338938208,-2.384589904,-2.645286047,-1.211517807,-2.210076282,-2.531170496,-3.086995844,-3.331905047,-1.474173557,-1.71159581,-3.478475142,-3.184463786,-1.915866719,-2.295655723,-2.412264443,-1.604237295,-2.016790734,-2.189846364,-4.217523896,-5.131156346,-2.010454591,-2.93631923,-5.752163399,-6.608145038,-6.034357075,-5.885184018,-5.830318549,-6.168068519,-3.822963779,-4.202305556,-5.260231771,-5.319554258,-7.217220198,-8.585717685,-5.807862732,-5.814890105,-5.682705244,-5.633894648,-5.058116271,-4.564918517,-5.143908399,-6.022371806,-5.134540384,-4.642883221,-4.867949058,-1.55937853,-1.620529659,-3.408032887,-2.996428196,-6.276916019,-5.994018739,-6.42120508,-3.395655408,-3.308887837,-2.976208836,-3.137495894,-5.052547936,-4.961348187,-4.270100734,-5.02758198,-6.173699411,-14.04296238,-4.84100455,-5.109691595,-5.061339754,-5.23193361,-4.682869278,-5.625051809,-7.857262338,-6.689405218,-5.281742081,-14.04296238,-5.793322734,-14.04296238,-14.04296238,-3.774238025,-5.199808296,-2.106248216,-1.938323337,-3.935720056,-3.715820766,-4.053662411,-3.698175096,-3.862637898,-5.003192437,-8.842149659,-5.41774774,-7.259668914,-4.234169881,-4.303025269,-4.282219817,-3.732422094,-2.815765669,-3.169444238,-5.912709652,-4.730649316,-7.545065813,-3.060062225,-6.473548882,-5.777065915,-3.806188832,-7.761691893,-5.483698019,-4.376153537,-3.313870833,-14.04296238,-14.04296238,-7.496928239,-3.185333564,-14.04296238,-2.689687488,-9.41478268,-14.04296238,-5.887827262,-4.971076816,-4.183597425,-6.552250777,-14.04296238,-4.836361671,-8.661470924
UME6,-1.602141567,-3.80978805,-2.403023443,-1.815065847,-0.899746469,-0.061547948,0,-0.780064966,-0.576404158,-0.590839523,-0.708934976,-0.683848674,-0.692065176,-0.692860512,-0.663716825,-0.709678375,-0.696028871,-1.494513219,-1.166241171,-0.994394137,-0.900532837,-0.984413758,-1.192319843,-1.250097621,-1.914219516,-2.260937119,-2.348717146,-2.541466705,-1.247377358,-2.106284986,-2.427526547,-2.983357257,-3.228261207,-1.657628554,-1.512735224,-3.155048226,-2.570111893,-1.617973013,-2.042123693,-2.263439873,-1.664325539,-2.052819431,-2.252665828,-3.94400514,-4.739396289,-2.035985067,-2.649951827,-5.304666385,-6.076065129,-5.717508526,-5.477275693,-5.428351392,-5.705877137,-3.168660472,-3.479890643,-4.514952574,-4.704473111,-6.586744803,-8.070106367,-5.411277532,-5.39838097,-5.169644514,-4.875717031,-4.312964472,-3.84688116,-4.423019209,-5.349896817,-4.459499312,-4.095847037,-4.274758684,-1.3717801,-1.454818362,-3.226429324,-2.936701334,-5.820346014,-5.370896205,-5.800505038,-3.430841342,-3.34434327,-2.849021843,-2.642234038,-4.521331064,-4.437983054,-3.802333492,-4.500818844,-5.692232997,-14.04296238,-4.303817573,-4.804994003,-4.751388828,-4.637753588,-4.066176804,-4.962512949,-7.355643787,-6.027885025,-4.724365931,-14.04296238,-5.383590741,-14.04296238,-14.04296238,-3.27523662,-4.665868833,-1.915841368,-1.846309315,-3.458166806,-3.647161274,-4.011692093,-3.145783765,-3.302608313,-4.463041065,-8.190643112,-4.941871477,-6.773428042,-3.778798414,-3.846417178,-3.778144614,-3.580959687,-2.253570054,-2.56062397,-5.164796828,-4.515161306,-7.092595966,-2.630595429,-6.057066842,-5.253658422,-3.286737179,-7.411577887,-4.96073405,-4.231044356,-3.098579578,-14.04296238,-14.04296238,-6.988254061,-2.89780022,-14.04296238,-2.274127646,-8.627682623,-14.04296238,-5.158182143,-4.76161097,-3.957262939,-5.943398457,-14.04296238,-4.693802132,-7.920388031
SIP4,-2.298313916,-3.611979186,-1.875434303,-1.432475685,-0.523970238,-1.068605895,-0.780064966,0,-0.361417192,-0.434673715,-0.480528537,-0.450938382,-0.486238297,-0.511201272,-0.358640009,-0.323175538,-0.206621922,-1.242794278,-0.931666778,-0.690827206,-0.70954377,-0.730775785,-0.960290878,-1.061465885,-1.724527548,-1.9223662,-2.219762864,-2.356063096,-2.019513447,-1.920934884,-2.24245756,-2.798298499,-3.043192427,-2.59205635,-0.940789143,-2.221509424,-2.329714423,-1.362461931,-1.401674999,-1.806185899,-2.109715367,-3.01268806,-3.101804005,-3.468356033,-5.780334998,-2.260193416,-3.481725679,-4.204405941,-4.577677038,-5.545807104,-3.469873012,-3.394210237,-3.399658132,-1.995014279,-2.524938457,-2.813210125,-3.061310528,-3.279788634,-4.196395313,-3.304599939,-3.280510214,-3.109668754,-3.352652717,-2.790622803,-2.607152435,-2.968715903,-3.853197555,-3.523857483,-3.427213091,-2.098529807,-2.380024392,-1.368428947,-3.639933003,-2.619753518,-5.169171826,-4.379642586,-4.743046726,-3.61217473,-3.526247268,-2.588617464,-1.883660823,-3.973217352,-3.978253513,-2.597009646,-3.734758945,-4.628378603,-14.04296238,-3.760537544,-4.796363363,-4.677833029,-3.505914106,-2.994584815,-3.835659163,-4.45911226,-5.146514586,-4.198377139,-14.04296238,-4.211801476,-14.04296238,-14.04296238,-2.636709169,-3.734570599,-3.005515392,-2.920231116,-3.271058859,-3.838471586,-4.225001263,-2.712753896,-2.458111244,-5.367921062,-7.255906897,-3.918480371,-5.641829761,-2.671944954,-2.683592984,-3.755061916,-3.042342143,-1.288812323,-1.52916845,-4.256496579,-3.926773113,-4.550854117,-1.706861359,-4.895464974,-4.794111884,-2.800581953,-4.162464439,-4.498911005,-3.917843413,-2.524909672,-14.04296238,-14.04296238,-6.1168029,-2.62583004,-14.04296238,-1.560691338,-6.061375448,-14.04296238,-3.874687496,-4.742125609,-3.252662407,-4.922135002,-14.04296238,-4.072469645,-5.262649033
LEU3,-1.844727298,-3.177428906,-1.796667218,-1.189195202,-0.20389798,-0.735358849,-0.576404158,-0.361417192,0,-0.011386613,-0.044371842,-0.047698303,-0.046551412,-0.061158037,-0.044067929,-0.051443436,-0.08334723,-0.881198715,-0.506519832,-0.400349606,-0.268585935,-0.401984304,-0.50266769,-0.64352547,-1.286075088,-1.457057476,-1.765901069,-1.903053902,-1.629589119,-1.467846072,-1.788950453,-2.344776171,-2.589685012,-2.138836099,-0.601800651,-2.229357311,-2.429060494,-1.263086049,-1.125919622,-1.531976199,-1.717442122,-2.826399541,-2.927744781,-3.018459321,-5.991898616,-1.913594393,-3.446168849,-4.068463019,-4.476047583,-5.249060735,-4.921287568,-4.863228168,-4.854717705,-3.468901214,-3.773571823,-4.249131266,-4.531406124,-4.797410773,-5.799871103,-4.441175995,-4.44428191,-4.409519051,-4.817610758,-4.218808602,-3.718684854,-4.412496565,-5.322091297,-4.407341299,-4.100523452,-2.745323106,-2.403535803,-0.965998291,-3.203333836,-2.166315164,-5.8116594,-5.029631807,-5.373294216,-3.959035179,-3.873006764,-2.629737406,-2.186483504,-4.164635368,-4.092090696,-3.197596831,-4.130650893,-5.240320236,-14.04296238,-4.027684738,-4.543052231,-4.412284857,-3.924535568,-3.596623812,-4.631338338,-5.194707807,-5.781976371,-4.772203595,-14.04296238,-4.860387415,-14.04296238,-14.04296238,-2.864353145,-4.420429366,-2.983509165,-2.873700489,-3.11320311,-4.444242735,-4.783544497,-2.789110468,-3.31586615,-6.598381149,-8.010189855,-4.242048277,-6.374082296,-3.262094367,-3.32355047,-3.661933371,-3.354807587,-1.890542977,-2.149681625,-5.170529015,-3.510741845,-5.234821194,-2.319089412,-5.559515945,-4.909138648,-3.100984002,-4.276213868,-4.615001174,-3.419763649,-2.357961063,-14.04296238,-14.04296238,-6.763787044,-2.579603394,-14.04296238,-2.049205351,-6.788172665,-14.04296238,-4.74053311,-5.718674602,-3.093799799,-5.602625808,-14.04296238,-3.815291898,-5.963178318
STB5,-1.818230953,-3.154606899,-1.874910436,-1.247247274,-0.193885636,-0.736137087,-0.590839523,-0.434673715,-0.011386613,0,-0.023165676,-0.027980703,-0.026183048,-0.035973409,-0.036964309,-0.048327357,-0.100252698,-0.868754682,-0.493564437,-0.406978828,-0.247009159,-0.404832281,-0.492557385,-0.633949686,-1.264625533,-1.435245263,-1.738600064,-1.87666901,-1.615943024,-1.441445813,-1.762469455,-2.318292235,-2.563203954,-2.11241047,-0.588536429,-2.257763365,-2.435365517,-1.32795205,-1.135239362,-1.52685287,-1.700854684,-2.847465417,-2.94504339,-2.992675191,-6.140403069,-1.906085972,-3.54117423,-4.160369083,-4.516562193,-5.34525211,-5.167483123,-5.102571575,-5.099569981,-3.704055735,-4.000257945,-4.48521223,-4.76862861,-4.97437427,-5.97959172,-4.610468172,-4.606209067,-4.586147953,-5.05616685,-4.445311296,-3.920911135,-4.649382999,-5.559658579,-4.579858855,-4.301850203,-2.891820156,-2.453598022,-0.994665377,-3.147189709,-2.139847437,-6.013367979,-5.15823331,-5.49335474,-4.054995967,-3.96893025,-2.720781335,-2.25383961,-4.17188616,-4.092019308,-3.338909258,-4.216610972,-5.408085115,-14.04296238,-4.046471218,-4.643924568,-4.538440491,-4.139864334,-3.730892061,-4.786146711,-5.385375927,-5.962216896,-4.827521693,-14.04296238,-5.038137755,-14.04296238,-14.04296238,-2.888821418,-4.549235567,-3.042137373,-2.931362468,-3.19249679,-4.530268024,-4.875534365,-2.846057101,-3.416330993,-6.933088686,-8.198643765,-4.30568822,-6.527513903,-3.390546791,-3.455980348,-3.713717434,-3.430337132,-2.034355151,-2.28676856,-5.292892925,-3.491494323,-5.401188607,-2.445172607,-5.737230871,-4.909102749,-3.145541309,-4.276107953,-4.615816212,-3.437614983,-2.415227936,-14.04296238,-14.04296238,-6.956169186,-2.663905225,-14.04296238,-2.181958138,-6.941957058,-14.04296238,-4.856633978,-5.943503842,-3.107020169,-5.730459776,-14.04296238,-3.861950133,-6.139951142
