Seq_name,GFP_1_1,GFP_1_2,GFP_2_1,GFP_2_2,GFP_3_1,GFP_3_2,GFP_4_1,GFP_4_2,GFP_5_1,GFP_5_2,GFP_6_1,GFP_6_2,GFP_7_1,GFP_7_2,GFP_8_1,GFP_8_2
pep3,2141.0,248.0,191.0,990.0,73.0,1082.0,588.0,414.0,1078.0,151.0,578.0,381.0,1080.0,175.0,1.0,0.0
pep3,169.0,128.0,176.0,144.0,182.0,788.0,187.0,156.0,3.0,0.0,249.0,207.0,0.0,0.0,0.0,0.0
pep3,329.0,26.0,307.0,67.0,177.0,418.0,289.0,166.0,3.0,329.0,330.0,1.0,3482.0,446.0,0.0,0.0
pep3,1200.0,336.0,341.0,605.0,557.0,950.0,745.0,344.0,99.0,2.0,849.0,760.0,0.0,370.0,3.0,20.0
pep3,1509.0,236.0,706.0,788.0,303.0,1964.0,1327.0,1656.0,1030.0,1297.0,627.0,131.0,872.0,107.0,2.0,3.0
pep3Msn2_controlA,4255.0,1132.0,2204.0,1011.0,328.0,1182.0,6.0,456.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0
pep3Msn2_controlB,1879.0,324.0,4287.0,2113.0,1088.0,1906.0,497.0,404.0,1519.0,1314.0,261.0,1.0,785.0,0.0,1.0,1.0
pep3_1cluster_ED_1,1332.0,270.0,195.0,556.0,363.0,265.0,14.0,381.0,140.0,88.0,470.0,1.0,1322.0,0.0,0.0,1.0
pep3_1cluster_ED_2,0.0,375.0,647.0,361.0,753.0,1252.0,355.0,1839.0,758.0,1887.0,2122.0,733.0,311.0,777.0,3.0,6489.0
pep3_1cluster_ED_3,1107.0,367.0,2746.0,1020.0,1191.0,3703.0,689.0,825.0,1173.0,1055.0,2.0,303.0,955.0,250.0,0.0,2143.0
pep3_1cluster_ED_4,1179.0,643.0,3172.0,517.0,859.0,2359.0,628.0,1218.0,1125.0,1611.0,1146.0,1064.0,1740.0,0.0,1.0,2.0
pep3_1cluster_ED_5,581.0,446.0,1997.0,221.0,235.0,572.0,1097.0,742.0,322.0,711.0,203.0,0.0,0.0,0.0,0.0,0.0
pep3_1cluster_FYW_1,1630.0,464.0,4579.0,1792.0,649.0,1128.0,947.0,823.0,993.0,928.0,775.0,87.0,86.0,1.0,3.0,6.0
pep3_1cluster_FYW_2,2598.0,1007.0,3347.0,605.0,445.0,2615.0,1467.0,1398.0,751.0,2317.0,1.0,7.0,2891.0,993.0,0.0,4.0
pep3_1cluster_FYW_3,2049.0,639.0,2000.0,334.0,613.0,1243.0,1208.0,860.0,1968.0,2271.0,374.0,805.0,159.0,0.0,3.0,2.0
pep3_1cluster_FYW_4,1994.0,1302.0,1805.0,1337.0,1119.0,2057.0,611.0,348.0,684.0,942.0,350.0,9.0,9.0,2.0,0.0,1.0
pep3_1cluster_FYW_5,188.0,190.0,782.0,901.0,1131.0,964.0,2035.0,3573.0,4015.0,4174.0,1631.0,219.0,437.0,2.0,2.0,2.0
pep3_1cluster_LIVM_1,315.0,46.0,439.0,77.0,310.0,42.0,0.0,71.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
pep3_1cluster_LIVM_2,897.0,266.0,862.0,428.0,126.0,583.0,176.0,29.0,83.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0
pep3_1cluster_LIVM_3,819.0,398.0,657.0,909.0,135.0,386.0,110.0,897.0,152.0,177.0,1.0,1.0,3291.0,2.0,2.0,13714.0
pep3_1cluster_LIVM_4,1212.0,691.0,189.0,351.0,1.0,265.0,198.0,680.0,0.0,0.0,35.0,65.0,1.0,0.0,0.0,3.0
pep3_1cluster_LIVM_5,0.0,0.0,141.0,0.0,104.0,1234.0,932.0,372.0,400.0,1045.0,594.0,0.0,1814.0,0.0,22.0,2.0
pep3_1cluster_NQ_1,1355.0,446.0,6043.0,1109.0,484.0,3998.0,804.0,2224.0,957.0,1390.0,2137.0,417.0,2204.0,2233.0,796.0,0.0
pep3_1cluster_NQ_2,2820.0,718.0,3203.0,2101.0,2349.0,1104.0,1142.0,2029.0,1499.0,1522.0,2744.0,513.0,2316.0,3.0,1.0,1.0
pep3_1cluster_NQ_3,740.0,4.0,1157.0,1528.0,2108.0,2820.0,2345.0,5082.0,4463.0,2501.0,3072.0,2083.0,3694.0,1817.0,279.0,0.0
pep3_1cluster_NQ_4,1935.0,1400.0,6170.0,2178.0,2489.0,7336.0,2478.0,5243.0,4180.0,3524.0,941.0,1242.0,464.0,1110.0,0.0,5.0
pep3_1cluster_NQ_5,1150.0,422.0,1967.0,766.0,1490.0,2756.0,2476.0,2528.0,3823.0,4111.0,6683.0,1511.0,3270.0,1586.0,2.0,6582.0
pep3_1cluster_ST_1,1203.0,1849.0,2597.0,1827.0,1648.0,3591.0,803.0,1879.0,545.0,1076.0,726.0,45.0,0.0,0.0,15.0,1.0
pep3_1cluster_ST_2,892.0,431.0,252.0,333.0,58.0,1383.0,923.0,2771.0,1953.0,2199.0,170.0,394.0,379.0,2739.0,664.0,269.0
pep3_1cluster_ST_3,1551.0,1367.0,3230.0,2341.0,553.0,3170.0,1079.0,2423.0,1381.0,1471.0,243.0,10.0,1167.0,2.0,0.0,760.0
pep3_1cluster_ST_4,7849.0,1482.0,4759.0,434.0,528.0,940.0,613.0,1619.0,549.0,351.0,262.0,0.0,0.0,30.0,0.0,2.0
pep3_1cluster_ST_5,545.0,269.0,897.0,1113.0,114.0,1338.0,695.0,908.0,330.0,351.0,458.0,0.0,176.0,2502.0,192.0,0.0
pep3_1cluster_S_1,3212.0,625.0,3328.0,3648.0,1092.0,2813.0,1931.0,1269.0,3049.0,2565.0,981.0,204.0,3267.0,2.0,1.0,1297.0
pep3_1cluster_S_2,2473.0,1797.0,3801.0,1433.0,200.0,1179.0,301.0,670.0,2.0,526.0,1.0,0.0,1050.0,200.0,0.0,0.0
pep3_1cluster_S_3,3357.0,648.0,6192.0,1628.0,1432.0,1541.0,2142.0,1211.0,3246.0,2474.0,766.0,540.0,279.0,0.0,0.0,2.0
pep3_1cluster_S_4,4395.0,811.0,5677.0,1744.0,742.0,1570.0,659.0,1544.0,965.0,1327.0,1202.0,461.0,0.0,2.0,0.0,1.0
pep3_1cluster_S_5,1831.0,773.0,4783.0,1595.0,600.0,1090.0,54.0,1940.0,3.0,482.0,0.0,385.0,0.0,3.0,2.0,3.0
pep3_2cluster_ED_1,2684.0,418.0,1029.0,148.0,101.0,1578.0,864.0,712.0,113.0,229.0,0.0,0.0,1.0,1.0,1.0,1.0
pep3_2cluster_ED_2,2127.0,904.0,4492.0,2083.0,1529.0,1694.0,889.0,908.0,2531.0,2470.0,1600.0,768.0,1.0,0.0,0.0,6.0
pep3_2cluster_ED_3,802.0,7.0,3366.0,874.0,1083.0,1152.0,971.0,850.0,1570.0,1460.0,278.0,4.0,2.0,0.0,0.0,2.0
