,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Gln3_1_64,22058,22801,17581,15621,14501,12084,27209,24541,16262,18093,5120,9819
Gln3_6_69,980,759,784,1055,1388,1679,1147,1015,1157,887,440,768
Gln3_11_74,1802,3214,2018,2627,3584,2462,2415,2737,2207,2329,1307,2324
Gln3_16_79,10066,8587,11704,12275,15646,14079,14109,12249,9773,12641,6096,11864
Gln3_21_84,15022,14771,14653,17128,21392,18215,19763,16884,15313,17524,7136,17433
Gln3_26_89,22367,21938,20318,19405,24000,24270,26542,26531,20627,23377,7087,13597
Gln3_31_94,14261,13195,16338,15578,18952,20345,19655,17072,14275,16039,7345,14597
Gln3_36_99,24728,22017,24166,24565,27901,29288,33088,29098,26443,31336,10169,21085
Gln3_41_104,29523,28423,23543,22962,18058,18175,31835,29005,19803,24965,7937,14606
Gln3_46_109,31320,31148,25590,26054,25024,23155,37583,33507,23466,26084,8595,17920
Gln3_51_114,18056,20460,21329,23740,33780,35040,24597,23092,20566,22044,12542,25084
Gln3_56_119,12674,10465,14174,14842,19893,22156,19251,16915,14459,16329,9182,18534
Gln3_61_124,14717,11869,16119,14899,22416,21550,17740,16852,15884,18598,9681,19193
Gln3_66_129,14704,12416,15964,15919,24894,22445,18734,18654,16078,19009,9047,20745
Gln3_71_134,12837,13879,10776,9846,10930,10547,17067,16807,11123,11739,4179,8201
Gln3_76_139,23059,20521,19719,22255,22511,23624,27384,22562,18934,22703,8638,18578
Gln3_81_144,13006,18539,16574,16784,24591,23932,16322,17646,14542,17388,8727,18307
Gln3_86_149,15999,11712,15396,17125,25533,28359,20296,18979,17391,18185,10643,22144
Gln3_91_154,25265,21214,23559,24804,23380,21485,28903,25811,22397,23823,8662,18207
Gln3_96_159,18461,23774,21226,20798,30138,32517,20428,20965,21259,24290,11266,25737
Gln3_101_164,19945,16060,24160,24487,31197,27610,22953,24122,21750,23659,9781,22829
Gln3_106_169,17213,17223,15057,16742,18537,16270,19833,18491,14816,17386,6676,14654
Gln3_111_174,18571,18187,18402,19408,33406,30166,21925,21818,17118,19108,11719,27766
Gln3_116_179,21210,19282,24021,23084,29073,26859,24981,25308,22104,24096,10018,21773
Gln3_121_184,18880,20158,25323,22674,32883,35959,27625,25110,24101,24844,14345,29047
Gln3_126_189,26132,23161,27996,28174,41085,41132,31171,28185,29043,30614,16295,33431
Gln3_131_194,20791,16316,23955,23932,28730,26040,25480,23005,20092,23892,9873,20983
Gln3_136_199,26362,24721,20633,20062,17503,17029,30818,27298,18730,19747,7347,15104
Gln3_141_204,9009,7570,5224,5697,6004,5808,9848,9270,5441,6911,2835,5480
Gln3_146_209,18678,16421,17668,16723,24876,24694,20546,20602,18266,19540,9533,17364
Gln3_151_214,26231,24711,27429,29409,43676,44206,32080,29993,26913,30794,14852,34366
Gln3_156_219,19821,20441,20444,22993,21605,22553,25707,22673,19749,19745,7672,16326
Gln3_161_224,21819,23302,28858,31612,42040,42983,28778,25821,25510,28461,13882,29277
Gln3_166_229,17051,15742,18028,19725,19661,17536,19149,18382,19766,18030,7767,17867
Gln3_171_234,5949,5717,6457,7488,8696,8436,8452,8882,7409,8135,3099,7933
Gln3_176_239,11691,9566,12344,12532,12323,12188,15595,12399,11545,11808,4380,9652
Gln3_181_244,16316,15766,15533,15423,14522,13336,17803,18471,14899,17205,5524,12280
Gln3_186_249,6298,6825,6567,5895,6061,5040,8124,6905,6502,7478,2318,4420
Gln3_191_254,10916,11561,9702,8866,7986,9705,12093,10676,8764,10587,3541,6481
Gln3_196_259,17875,15974,14143,14184,13229,12090,21599,19043,15539,17466,5803,10782
Gln3_201_264,12535,11061,7323,7429,7157,5722,14196,12766,8245,8684,2777,5280
Gln3_206_269,10832,8975,5718,5870,5494,4299,11823,11894,8382,8568,3006,6555
Gln3_211_274,4206,5008,2615,2878,2599,2648,5206,5074,3228,3449,1243,2408
Gln3_216_279,4880,4233,2680,2690,2179,2366,4966,5048,2519,4014,1556,2857
Gln3_221_284,5233,7013,3937,3495,4691,3915,7016,5828,4681,4826,2095,5325
Gln3_226_289,9761,8400,4652,4562,5599,5744,8434,7891,5004,5249,2627,4181
Gln3_231_294,15820,13562,9554,9069,7423,6466,18314,17011,9491,11001,3131,6359
Gln3_236_299,8202,5980,3968,3990,3307,3751,9315,8519,4988,5238,1290,2814
Gln3_241_304,17482,16670,11859,11800,8413,7762,19003,18982,12538,14103,4101,8171
Gln3_246_309,15307,15614,7905,7404,7007,7375,15990,15760,8440,10154,3038,5648
Gln3_251_314,18718,19079,16622,16007,16497,15558,19567,21543,15788,17012,6459,12520
Gln3_256_319,11443,15543,7619,7697,5835,6317,12657,12717,8669,9758,3071,6744
Gln3_261_324,8187,8840,6604,7174,6711,5833,10652,8611,6200,7311,2971,5503
Gln3_266_329,17856,16927,16870,15743,18733,17451,22093,21354,16556,17430,7390,15199
Gln3_271_334,25848,24208,24754,24137,27771,25314,26946,24942,23077,26058,9428,19532
Gln3_276_339,23141,23801,17399,16806,13508,16806,27238,23269,17200,17554,6414,12828
Gln3_281_344,11133,11450,3945,2981,3354,4225,12873,12337,5187,4398,1860,3924
Gln3_286_349,19905,18684,6665,6414,6962,6936,24672,23424,7726,7710,2696,6388
Gln3_291_354,16963,11583,5809,5403,4570,4915,16876,15262,6079,6755,2335,5546
Gln3_296_359,8442,9971,5952,6616,7546,6305,12549,11841,7264,7817,3347,6584
Gln3_301_364,9967,11066,9189,9458,10999,11924,12456,12913,9500,10995,4665,10426
Gln3_306_369,9359,11992,8575,9049,8489,7317,11975,9653,7795,9029,3509,7320
Gln3_311_374,18948,15538,18756,19657,23143,23038,23377,21770,17723,19742,9008,17947
Gln3_316_379,15810,12196,14702,14731,21628,25315,18000,17635,15267,16317,9991,18684
Gln3_321_384,10725,11089,10899,10945,14831,17437,12622,12549,12323,13171,6248,13496
Gln3_326_389,10380,10567,8331,8487,9693,10813,10858,9848,8963,10406,5219,11334
Gln3_331_394,10594,10899,4040,4337,3243,4689,13909,13393,5230,5264,2160,3443
Gln3_336_399,14481,13555,5110,5443,3108,3729,16151,15390,5059,6772,1452,3281
Gln3_341_404,14868,13827,10469,10249,9831,10481,17993,14566,10707,11152,4744,9466
Gln3_346_409,9704,10016,7630,6719,6935,6058,11535,11469,7448,9455,3022,6102
Gln3_351_414,12861,11107,6978,7697,6108,6361,17928,15657,9059,8517,2854,6189
Gln3_356_419,10616,9859,7301,6623,5410,5518,14905,14184,7300,7602,2200,4416
Gln3_361_424,8203,6575,7609,6612,7718,7856,9933,9369,9273,9537,4496,7983
Gln3_366_429,6877,6141,7493,7195,9602,6590,9112,8881,7745,9640,3997,7912
Gln3_371_434,7928,7346,7299,6801,9596,11515,9297,8823,8167,10059,4002,9127
Gln3_376_439,4719,4933,5003,4941,6524,6619,6612,6187,5017,5520,2710,5188
Gln3_381_444,5094,7192,5587,5388,6955,8295,7645,7198,6285,6485,3675,7222
Gln3_386_449,9816,11092,10204,9533,10660,12318,11693,11550,9098,11336,4680,9898
Gln3_391_454,11316,9071,9023,7562,7966,8722,12469,11818,9948,10762,3286,5946
Gln3_396_459,10071,7185,11996,10753,12723,14698,13535,10746,10840,11835,5205,9684
Gln3_401_464,9365,12478,11881,10916,14116,14808,12607,10109,11069,11346,4995,10197
Gln3_406_469,9134,9204,9523,9339,12611,14635,10453,9982,9580,10470,5027,10422
Gln3_411_474,15914,17814,15942,15001,15335,12691,17078,18889,14102,16109,5400,11169
Gln3_416_479,5419,5684,3482,4082,5835,4225,6287,5754,4089,4584,1476,4015
Gln3_421_484,8914,10622,9932,10627,11305,11773,12505,11530,10125,11705,5016,10189
Gln3_426_489,10033,12933,8791,7273,7535,8816,11725,10637,7424,7698,2528,4914
Gln3_431_494,10573,11869,4338,3674,3496,2892,10352,9874,3931,5123,1713,3405
Gln3_436_499,21384,19468,13440,12656,8366,12968,23644,22052,12668,13666,3839,8024
Gln3_441_504,18699,15909,10307,11439,8356,6472,22037,19829,11505,11354,3247,7208
Gln3_446_509,32254,27778,17947,18358,15221,13975,36555,34152,19206,19681,5872,12180
Gln3_451_514,21144,18421,11298,10735,8183,8836,26877,24293,10826,11773,3963,7484
Gln3_456_519,9864,11307,5071,4956,5092,5512,10993,9054,5460,5681,2268,5158
Gln3_461_524,10860,10704,7778,7491,8424,9306,12304,11913,7915,9414,3914,7779
Gln3_466_529,7797,8722,4623,4367,3416,3236,10178,9805,4649,5355,1149,2928
Gln3_471_534,10441,11161,5829,5031,5260,5282,12168,11399,5962,6214,2236,4433
Gln3_476_539,12082,14006,6774,6014,4867,5871,13070,12021,5897,7079,1994,3662
Gln3_481_544,20314,21001,12790,11724,8206,9294,21435,19825,11987,13631,3506,8212
Gln3_486_549,10674,7624,6852,5849,5257,5847,11360,11222,7019,8304,2575,5478
Gln3_491_554,10157,10608,6364,6129,5053,4964,10822,10319,7640,8495,3333,6349
Gln3_496_559,7099,7142,5424,4647,4634,5021,9539,8404,6176,6514,2740,5153
Gln3_501_564,16367,12565,10989,11872,10302,11684,16451,16339,11227,12575,4621,10207
Gln3_506_569,4777,4633,3482,3882,3633,3444,6245,5279,4031,4799,1483,3803
Gln3_511_574,7031,4348,4046,3789,3793,3444,6333,6723,4401,5606,1802,3781
Gln3_516_579,7394,6262,5460,5269,4930,4861,10108,8426,6809,6802,2653,5364
Gln3_521_584,15922,14786,11625,10277,11385,8297,17520,15682,10652,12187,4058,8347
Gln3_526_589,20181,19572,20012,19675,22242,21961,21773,22479,18570,21862,8875,18229
Gln3_531_594,13806,14496,10925,9500,8024,9268,19227,16918,10731,11974,3602,7324
Gln3_536_599,19045,16826,12636,13189,10941,9447,20532,17877,12306,14615,3908,9858
Gln3_541_604,4357,3992,2464,2177,3400,2737,4294,4434,3063,3249,1162,2392
Gln3_546_609,6066,7754,4913,4557,5690,4784,8237,8424,6133,6485,2681,5229
Gln3_551_614,5059,6652,4122,4296,4390,4991,7870,7171,4753,5251,2127,4573
Gln3_556_619,4549,7376,3072,3813,2943,4779,5541,5020,3934,3943,1681,3585
Gln3_561_624,3421,1972,1963,1777,2611,2113,3966,3964,2069,2650,847,1808
Gln3_566_629,4770,5988,2645,2572,4109,3729,5719,4461,3088,3869,1687,3927
Gln3_571_634,12681,11708,7247,7185,5751,5845,13850,15065,7819,7305,2252,4987
Gln3_576_639,11397,10507,11962,12912,18936,18396,14922,14600,13148,14392,7500,17199
Gln3_581_644,10318,9350,8151,6768,7733,7621,12277,9996,8155,8332,3431,7820
Gln3_586_649,8550,7936,7080,6338,6135,5263,9765,9817,6544,7987,1992,4853
Gln3_591_654,4621,5801,4510,5213,5555,5012,7314,6330,4859,6513,2253,4907
Gln3_596_659,12318,12638,12491,11601,12906,13109,17363,15472,13581,14554,5063,10219
Gln3_601_664,15718,16134,14276,14351,13136,14749,16980,17419,15159,17644,6053,11983
