,1_0_1,1_180_1,1_60_2,2_0_2,2_180_2,2_60_1
ABF1_1_64,6,239,40,373,609,294
ABF1_12_75,13,517,51,234,1071,783
ABF1_23_86,9,59,111,418,274,127
ABF1_34_97,3,380,38,355,543,514
ABF1_45_108,4,654,97,1123,1300,982
ABF1_56_119,34,271,208,775,997,787
ABF1_67_130,12,98,37,319,281,178
ABF1_78_141,9,316,177,649,858,423
ABF1_89_152,11,231,148,437,408,478
ABF1_100_163,0,57,22,7,257,100
ABF1_111_174,4,71,8,4,47,89
ABF1_122_185,6,211,161,144,430,329
ABF1_133_196,15,80,95,57,239,64
ABF1_144_207,8,109,83,479,52,109
ABF1_155_218,13,39,437,218,234,96
ABF1_166_229,5,54,277,335,184,227
ABF1_177_240,20,120,24,97,116,132
ABF1_188_251,6,95,157,474,269,141
ABF1_199_262,0,37,94,5,48,32
ABF1_210_273,25,137,257,200,238,310
ABF1_221_284,1,26,16,3,13,5
ABF1_232_295,3,89,44,1,184,158
ABF1_243_306,6,162,52,84,511,187
ABF1_254_317,26,127,57,306,355,210
ABF1_265_328,12,296,30,277,672,637
ABF1_276_339,3,301,59,887,475,392
ABF1_287_350,9,215,204,230,466,305
ABF1_298_361,33,501,238,1471,1116,533
ABF1_309_372,12,192,63,300,441,436
ABF1_320_383,3,162,53,690,511,307
ABF1_331_394,3,258,125,557,759,327
ABF1_342_405,6,195,25,655,623,420
ABF1_353_416,3,408,14,475,882,526
ABF1_364_427,2,135,22,240,291,55
ABF1_375_438,7,40,12,59,5,88
ABF1_386_449,4,125,10,105,134,147
ABF1_397_460,2,66,12,307,17,144
ABF1_408_471,5,18,32,15,25,50
ABF1_419_482,12,134,18,115,68,156
ABF1_430_493,0,0,3,129,49,41
ABF1_441_504,26,299,226,802,612,669
ABF1_452_515,3,21,53,4,124,70
ABF1_463_526,2,143,407,36,171,213
ABF1_474_537,5,112,13,3,15,31
ABF1_485_548,2,158,18,166,327,100
ABF1_496_559,9,202,82,258,262,320
ABF1_507_570,14,258,92,477,221,238
ABF1_518_581,12,69,145,130,126,117
ABF1_529_592,9,116,105,545,239,252
ABF1_540_603,12,252,356,567,658,567
ABF1_551_614,30,122,103,67,335,182
ABF1_562_625,3,85,6,347,33,130
ABF1_573_636,13,142,433,444,224,307
ABF1_584_647,1,86,25,66,189,108
ABF1_595_658,50,94,63,2,229,68
ABF1_606_669,4,17,5,12,2,22
ABF1_617_680,9,419,289,383,398,390
ABF1_628_691,4,30,22,191,22,171
ABF1_639_702,1,496,296,258,625,475
ABF1_650_713,3,214,140,348,417,321
ABF1_661_724,1,65,111,153,246,80
ABF1_668_731,2,46,28,3,79,37
ABF2_1_64,18,257,155,988,429,313
ABF2_12_75,33,581,371,743,942,763
ABF2_23_86,4,84,36,65,441,140
ABF2_34_97,15,285,32,289,712,321
ABF2_45_108,633,346,68,490,612,324
ABF2_56_119,16,329,177,576,430,321
ABF2_67_130,7,43,7,179,144,48
ABF2_78_141,2,207,17,409,611,307
ABF2_89_152,2,59,3,1,24,57
ABF2_100_163,0,1,2,17,0,49
ABF2_111_174,9,144,20,211,141,129
ABF2_120_183,28,421,1083,437,1061,871
ACA1_1_64,8,245,53,210,534,264
ACA1_12_75,5,186,275,411,561,150
ACA1_23_86,12,702,66,1136,1358,634
ACA1_34_97,35,301,311,849,1116,585
ACA1_45_108,44,560,633,1975,1151,786
ACA1_56_119,25,463,622,1247,840,504
ACA1_67_130,21,596,278,773,928,578
ACA1_78_141,21,470,437,817,1480,583
ACA1_89_152,60,450,511,1328,411,580
ACA1_100_163,31,132,70,102,188,118
ACA1_111_174,58,595,450,1384,1017,663
ACA1_122_185,39,228,898,622,549,642
ACA1_133_196,108,659,2538,1177,1731,1205
ACA1_144_207,16,203,684,583,534,468
ACA1_155_218,40,863,1442,873,1668,1445
ACA1_166_229,32,492,1614,1057,1053,711
ACA1_177_240,16,306,385,361,864,476
ACA1_188_251,32,430,403,572,1158,672
ACA1_199_262,28,343,789,699,733,606
ACA1_210_273,10,175,261,52,217,273
ACA1_221_284,12,228,223,590,355,221
ACA1_232_295,21,453,300,1126,774,823
ACA1_243_306,17,468,523,965,592,536
ACA1_254_317,26,500,449,565,939,384
ACA1_265_328,10,444,186,577,1013,613
ACA1_276_339,39,459,708,669,1258,882
ACA1_287_350,7,149,74,539,500,235
ACA1_298_361,242,226,35,228,260,168
ACA1_309_372,18,393,475,362,474,278
ACA1_320_383,1,46,8,2,60,114
ACA1_331_394,2,181,14,224,288,154
ACA1_342_405,8,310,418,884,636,344
ACA1_353_416,7,270,97,491,312,162
ACA1_364_427,1,1,1,0,0,2
ACA1_375_438,0,0,2,160,0,1
ACA1_386_449,0,0,0,7,0,4
ACA1_397_460,0,1,2,3,23,37
ACA1_408_471,3,27,1,0,17,0
ACA1_419_482,15,0,0,0,1,0
ACA1_426_489,0,1,0,3,46,20
ACE2_1_64,26,235,384,624,546,459
ACE2_12_75,22,139,375,254,322,253
ACE2_23_86,7,164,32,0,238,157
ACE2_34_97,0,39,4,6,179,165
ACE2_45_108,4,246,51,4,281,207
ACE2_56_119,3,26,15,41,62,60
ACE2_67_130,4,191,62,628,252,225
ACE2_78_141,8,290,94,351,325,423
ACE2_89_152,9,171,23,116,165,209
ACE2_100_163,13,268,142,918,544,282
ACE2_111_174,0,57,81,126,240,183
ACE2_122_185,5,8,29,97,166,142
ACE2_133_196,3,69,3,44,69,108
ACE2_144_207,3,74,11,27,70,98
ACE2_155_218,0,3,4,2,64,20
ACE2_166_229,0,0,7,3,5,1
ACE2_177_240,1,1,6,0,1,0
ACE2_188_251,3,1,8,3,2,2
ACE2_199_262,4,91,194,5,265,10
ACE2_210_273,0,13,0,35,4,28
ACE2_221_284,1,57,151,70,10,90
ACE2_232_295,22,147,55,219,496,157
ACE2_243_306,3,12,48,112,146,187
ACE2_254_317,34,54,82,483,202,258
ACE2_265_328,12,157,85,564,213,209
ACE2_276_339,21,466,227,1327,837,638
ACE2_287_350,6,335,54,371,865,550
ACE2_298_361,21,500,44,623,955,621
ACE2_309_372,7,187,17,505,151,148
ACE2_320_383,2,116,9,13,204,127
ACE2_331_394,4,154,1,98,249,135
ACE2_342_405,6,182,10,97,299,131
ACE2_353_416,6,268,27,615,404,361
