,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Cyc8_1_64,17677,15383,14024,19980,12440,7898,31979,19891,14820,13531,7435,9210
Cyc8_6_69,4003,4010,921,4779,3651,2756,3522,4292,2500,446,1675,2803
Cyc8_11_74,22764,19957,10581,27386,12712,14858,36006,22028,19213,18509,15755,15997
Cyc8_16_79,6266,7978,6479,15291,12859,11625,12351,8862,7407,8495,10603,11062
Cyc8_21_84,13511,14124,4911,10337,4954,6846,26726,13444,6268,4697,3633,2780
Cyc8_26_89,20585,20530,15297,33254,21850,19454,27548,20084,21889,18932,22128,22511
Cyc8_31_94,6919,7975,6158,13682,11232,10373,14065,7752,7548,9302,16893,9592
Cyc8_36_99,6759,5850,5996,10290,6532,5655,13876,10005,5896,7433,5314,4321
Cyc8_41_104,15414,16578,15127,30829,28766,28686,21423,20353,24349,20318,33857,27728
Cyc8_46_109,8280,8089,7109,15345,18562,20459,13151,7909,18836,13182,26397,16764
Cyc8_51_114,9241,8807,5988,15986,19351,16800,12765,10532,13830,12675,18850,16022
Cyc8_56_119,6072,5215,5344,9985,11963,12573,13539,7971,6545,8330,10175,8789
Cyc8_61_124,4316,2521,1876,5426,4248,4941,5158,3122,3569,2843,3013,4655
Cyc8_66_129,10767,12229,9029,19834,20521,22005,14455,12765,14072,11755,22452,18712
Cyc8_71_134,21500,21252,12181,33486,36752,39776,37172,25550,29329,22769,47281,29091
Cyc8_76_139,7396,10212,6144,17994,15134,14220,11457,9088,17076,13002,18326,14652
Cyc8_81_144,15672,18259,11671,31781,36905,33760,29665,25305,27167,23867,44552,39866
Cyc8_86_149,22177,17741,9688,32151,30353,33154,29714,20892,26005,22594,44648,29762
Cyc8_91_154,13818,19915,11337,29431,34179,31868,30511,19636,23118,19459,45490,32859
Cyc8_96_159,11853,10746,7773,19332,19043,19171,10796,12855,10279,8465,12820,12019
Cyc8_101_164,8662,9381,5857,13141,11995,13577,14739,12951,9650,11154,13752,10157
Cyc8_106_169,5812,6390,4422,10446,9843,10943,11392,11713,8881,6752,9741,8508
Cyc8_111_174,7860,6482,4239,13239,14964,11772,14996,8899,6730,7313,15062,9718
Cyc8_116_179,12481,13180,7159,20185,19199,21652,21276,17860,14146,12274,21430,14623
Cyc8_121_184,24556,26464,12212,36191,39616,45209,37720,28416,33274,24084,47861,32885
Cyc8_126_189,12144,13540,9145,21719,23536,25729,17084,18427,13609,14312,29824,17670
Cyc8_131_194,11541,14842,9489,21433,27461,21979,16500,10418,15141,14356,22765,22224
Cyc8_136_199,9891,8167,6494,14153,13802,12670,8173,6523,8315,9002,11032,8300
Cyc8_141_204,14418,12888,8057,20300,21665,20136,23642,16889,17859,13482,25596,16127
Cyc8_146_209,8186,15464,10818,20327,26058,21157,21643,14867,15814,15362,27551,18327
Cyc8_151_214,6110,8660,4951,10504,10682,10833,6150,6384,10941,8039,11888,10485
Cyc8_156_219,7114,8425,6352,16259,16400,16546,15371,14642,13212,9985,20539,13014
Cyc8_161_224,9167,11864,7393,18091,23509,15282,13716,12060,15230,14931,17448,9899
Cyc8_166_229,7507,7839,6774,14276,13309,13520,11565,6975,8172,8080,13633,10488
Cyc8_171_234,13149,12855,8800,18842,21314,18200,16752,16803,16157,12948,22297,19903
Cyc8_176_239,12141,10862,9589,16392,19704,17276,16623,13488,13087,12988,19760,14190
Cyc8_181_244,7357,9070,6651,13103,13677,12873,13673,9555,9571,7612,17118,12890
Cyc8_186_249,11170,11945,6653,19208,18415,20464,18339,15148,16656,16781,33834,22522
Cyc8_191_254,9734,12065,9003,17526,20242,19475,19561,17445,23066,13839,37261,21367
Cyc8_196_259,7899,10394,6725,14836,18076,18564,14596,11361,11890,7573,17482,15938
Cyc8_201_264,10009,10014,9795,16044,15670,16268,12207,12205,14630,9167,16850,14843
Cyc8_206_269,6292,10349,8702,12624,11055,14783,16782,9209,8304,7771,17465,13140
Cyc8_211_274,7766,9964,7326,15628,13888,14433,14502,11266,8865,11180,21404,20866
Cyc8_216_279,7698,7350,5763,13824,9189,11277,9093,5788,7927,9885,7908,12983
Cyc8_221_284,7597,7253,3641,14316,16401,11910,10877,9013,10710,10203,15343,12391
Cyc8_226_289,4607,2586,2459,8379,10180,7559,6329,7726,8105,6366,9480,9397
Cyc8_231_294,8459,14355,8601,21303,17166,14079,23194,17104,24502,19965,23134,19221
Cyc8_236_299,9439,14008,13830,25361,19098,16667,21516,15295,18500,22888,26148,24164
Cyc8_241_304,11455,8764,6560,18789,21059,20652,18141,11095,14793,16515,25656,17704
Cyc8_246_309,8591,8382,7189,15599,18722,12781,13520,11886,15191,12319,15355,15894
Cyc8_251_314,4893,4958,2996,9106,9577,9667,5928,3208,5876,4197,9117,8560
Cyc8_256_319,7956,8553,3931,13930,17141,16063,12906,9533,10198,9918,18108,10896
Cyc8_261_324,15624,17051,18613,35247,27541,21603,31658,25618,33737,33003,29729,25202
Cyc8_266_329,8587,10425,10791,19175,15537,12845,18374,16063,15929,12311,20281,15652
Cyc8_271_334,10409,11770,8375,24043,21012,13921,15224,12457,19598,18613,23365,20724
Cyc8_276_339,13792,12702,6781,21339,18148,18351,19691,11055,16386,15692,24591,19835
Cyc8_281_344,11815,13405,7016,16863,17921,17463,16054,10376,12175,12150,18906,16755
Cyc8_286_349,2716,2461,1395,4699,6420,4618,6215,4436,3584,2976,5039,5004
Cyc8_291_354,7745,7637,9235,14170,12992,12714,11407,7418,10733,7669,10901,11026
Cyc8_296_359,4171,7763,3569,9924,8399,10081,9063,7359,10192,5284,7375,7872
Cyc8_301_364,5221,6240,4766,11195,12745,9888,12452,7733,9364,9576,13135,11304
Cyc8_306_369,14339,14099,9291,23233,24498,23286,24362,15614,17497,16582,26769,23592
Cyc8_311_374,14213,14201,10387,23262,24480,24651,23523,18077,16653,15612,25599,19085
Cyc8_316_379,8636,9624,7941,16467,15233,12550,15197,12286,7827,12710,15374,12301
Cyc8_321_384,2787,2987,4997,5406,8664,4758,7666,4392,4318,4192,8165,4751
Cyc8_326_389,9592,9707,6417,16298,16444,18749,14184,15021,14656,10040,21007,15569
Cyc8_331_394,5858,5663,5620,10006,9895,9132,8793,5443,7695,6611,7413,6865
Cyc8_336_399,10959,12058,7584,18888,18828,18243,12694,13030,17307,10989,18983,14359
Cyc8_341_404,12846,10468,10195,21294,18620,13641,17440,15810,20633,16627,19482,13408
Cyc8_346_409,4550,5706,5766,9518,6505,6436,7316,4215,6758,4964,6036,5349
Cyc8_351_414,5265,5632,3176,11271,10331,9319,11442,7422,9546,5394,10296,7632
Cyc8_356_419,3744,4861,3797,10281,10543,8347,7143,6956,7757,6240,7074,5196
Cyc8_361_424,5343,6387,3946,10723,9691,9861,9642,4325,6707,5358,7017,5875
Cyc8_366_429,5128,4943,5242,9627,7472,6186,7665,7894,9098,4846,12566,5367
Cyc8_371_434,12172,12334,8411,21047,22711,26091,15842,14661,15684,14812,24242,17269
Cyc8_376_439,15797,15969,10901,20035,12494,8536,18939,18301,16189,13025,13102,11442
Cyc8_381_444,9129,10191,7441,17367,14742,14729,11335,10410,11790,10779,16421,13726
Cyc8_386_449,5327,9460,8253,15700,16223,12958,12487,10553,13239,11904,16515,6994
Cyc8_391_454,5316,6222,5640,10337,11639,8499,8851,5401,8979,5355,10056,6705
Cyc8_396_459,2581,1965,925,3574,3958,2680,3122,2834,1996,1883,3565,3291
Cyc8_401_464,6519,6546,5050,8075,3248,4805,11081,10409,7524,4697,3558,4225
Cyc8_406_469,14267,17082,15723,27603,13153,15594,23682,16680,17166,21294,18412,18199
Cyc8_411_474,16171,17779,11029,24336,12735,8283,25885,17904,17018,16032,7132,10508
Cyc8_416_479,12795,14844,12828,26619,20970,15480,21766,15898,16506,17464,15804,14390
Cyc8_421_484,5808,7912,5856,12971,9966,10608,11053,5683,7597,8770,10331,8942
Cyc8_426_489,9943,8675,6676,17665,14107,13888,16529,6949,12679,9083,14802,12472
Cyc8_431_494,8594,12466,8908,19657,17367,11089,11492,9942,14427,14359,13770,10818
Cyc8_436_499,4489,9351,6119,10203,5236,5277,11067,8151,7614,7793,4521,5248
Cyc8_441_504,4340,7802,6354,10610,6783,5268,6910,5909,9009,6252,5542,5777
Cyc8_446_509,7592,10551,7786,13459,7943,7226,19461,8620,9434,11599,7196,5697
Cyc8_451_514,8279,9256,5647,10295,6443,3023,16570,11579,4716,5886,5874,7184
Cyc8_456_519,7035,10104,7393,18332,16338,15888,11738,8546,11028,9668,11426,11036
Cyc8_461_524,6199,6816,5592,9970,4371,6069,13336,11345,5377,8488,5575,5247
Cyc8_466_529,6455,5488,4423,7449,5315,3432,6212,4897,3480,5704,5118,7384
Cyc8_471_534,8464,9910,6877,12167,7446,5248,14599,11745,8061,9472,7889,5663
Cyc8_476_539,5726,6199,4169,7923,3382,6482,9304,7520,5690,6613,7909,5065
Cyc8_481_544,5153,4878,4306,8999,7254,7215,5791,7594,6400,3429,8603,4581
Cyc8_486_549,5024,5727,4256,9752,7949,6564,7351,5031,8321,8976,8634,8402
Cyc8_491_554,8301,9219,5880,15219,13004,9261,12576,11823,13225,11485,12582,8918
Cyc8_496_559,7338,7723,9167,17599,14995,12815,10770,13712,10405,11061,14353,13927
Cyc8_501_564,7955,8257,6850,14594,10871,10082,11313,10309,13262,10368,14387,11675
Cyc8_506_569,5744,6598,4933,11755,6953,4715,7816,8448,5917,5271,6100,4210
Cyc8_511_574,3517,3321,3044,8925,5704,7209,7882,3576,6890,3952,5969,5111
Cyc8_516_579,3698,3093,1425,6739,6680,3295,4719,4125,3142,3136,4159,3996
Cyc8_521_584,2338,2144,2258,4746,5511,3459,4397,2691,3203,1824,5597,1576
Cyc8_526_589,3903,3529,2996,8945,7193,6028,3302,2257,6975,6988,7222,4280
Cyc8_531_594,2415,4543,3322,7950,9201,6503,5689,2895,2611,3777,5279,2878
Cyc8_536_599,3400,2827,2926,5314,4294,4381,2040,1750,2716,2794,2753,2403
Cyc8_541_604,3322,4290,4054,8076,6328,4591,8308,5647,7611,7142,7285,6097
Cyc8_546_609,7267,8335,7487,15636,8288,7363,12774,7528,11006,7693,10046,5851
Cyc8_551_614,5811,6773,6525,11859,9203,6801,14769,7685,8075,8188,8792,7621
Cyc8_556_619,3721,3006,2690,6527,3435,4301,6031,2609,3584,2626,1665,1323
Cyc8_561_624,6179,8832,4888,9814,7756,5657,12193,8282,6821,7139,4689,3767
Cyc8_566_629,7294,5406,6271,10680,5806,5726,8354,8430,8172,7752,5373,4712
Cyc8_571_634,8951,8108,5454,11466,6837,5510,6355,6176,9304,10339,6977,4385
Cyc8_576_639,5515,6146,6240,10330,3793,4368,9022,4952,4881,7133,4834,2950
Cyc8_581_644,9048,7941,5001,10902,8104,5258,15601,9105,5718,7047,3765,4511
Cyc8_586_649,6842,8700,4570,9264,5602,4945,10085,8474,6851,6496,6950,5795
Cyc8_591_654,11308,12117,7671,15936,6171,7648,21719,14099,10638,12132,7388,6484
Cyc8_596_659,5308,8399,3159,7349,4160,4076,5704,4644,4916,4858,2614,4289
Cyc8_601_664,8112,11077,5907,11085,7694,4800,12662,10603,6681,8122,6527,6438
Cyc8_606_669,5911,8607,4845,9430,7315,6246,8291,10076,6955,6325,7766,4382
