,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Ste12_1_64,24612,20120,26139,22132,10863,24841,24823,26799,26324,30174,30896,23838
Ste12_6_69,6828,5971,6436,7159,8526,9093,7680,6399,5568,5633,12163,7762
Ste12_11_74,19034,19938,23160,19281,18296,25049,20758,20783,20544,26121,25478,28059
Ste12_16_79,11845,10334,13953,10428,13925,16891,10876,12326,9154,9673,20081,22553
Ste12_21_84,7456,7018,7324,4469,9876,9930,8017,7090,5691,9756,8784,8266
Ste12_26_89,25064,26897,33863,28137,29158,46677,30246,33701,27868,36425,57257,43740
Ste12_31_94,17247,14612,13537,11090,10732,20778,12790,15279,11427,13080,18229,16211
Ste12_36_99,8888,7620,7477,6806,14069,15003,6456,8551,7606,6573,16122,9894
Ste12_41_104,22008,20361,27053,18532,17292,39723,25201,29128,29416,30774,46111,36421
Ste12_46_109,15873,14684,15984,15504,6218,14589,16910,21581,17700,20458,18827,18218
Ste12_51_114,7963,8949,7440,6098,1282,7140,8581,7224,6917,6779,8416,5353
Ste12_56_119,13428,12051,11911,11253,11727,11234,15019,12799,14577,10983,13707,11004
Ste12_61_124,23204,22452,26746,26524,23103,29747,22162,23593,28358,29940,29798,27835
Ste12_66_129,11402,12836,14694,9773,4915,13839,15178,17372,13828,13659,10573,13707
Ste12_71_134,15720,15121,21195,17826,12779,18023,17007,20643,16545,21360,15655,14078
Ste12_76_139,36231,24873,32756,22992,26953,30867,25331,31905,29161,35428,35012,36541
Ste12_81_144,28006,26163,31750,26454,33530,51811,29910,33446,33182,37431,71161,47958
Ste12_86_149,12823,13557,14535,16771,18998,21283,15808,15751,15002,20642,29220,18968
Ste12_91_154,21537,16627,14027,12839,10606,12498,17588,19134,16430,16065,11542,13848
Ste12_96_159,33877,33176,41509,33908,29499,43326,39081,37989,36270,41071,60157,39270
Ste12_101_164,27501,25709,33575,33582,50665,53898,30040,34334,27085,33905,40715,43250
Ste12_106_169,31615,29166,32619,26723,31160,53053,28774,37245,33177,42313,68376,50751
Ste12_111_174,18620,25564,25166,21477,26576,41591,22674,23624,20397,26369,31214,33383
Ste12_116_179,23664,22774,26939,17887,15699,38931,24351,35005,25336,24796,49873,33108
Ste12_121_184,18936,17272,19198,16730,20019,26802,15296,21747,18355,15535,27287,19460
Ste12_126_189,24891,26737,22092,20623,10609,15006,25615,22737,17118,18819,15953,18410
Ste12_131_194,29648,30578,35252,28757,11542,36732,37862,32579,36245,31441,32228,33911
Ste12_136_199,39566,33487,44850,33287,26588,45580,39488,43225,36467,39733,55950,49977
Ste12_141_204,42979,41152,42139,33441,18903,34483,37154,47919,35853,41742,39690,36684
Ste12_146_209,18117,17571,15971,11597,8208,18269,14896,15759,13506,15181,22808,21922
Ste12_151_214,42228,33534,46161,37452,21790,70669,43694,51113,47890,46578,58264,63314
Ste12_156_219,18820,20076,20055,15007,7402,34237,16802,22616,19198,19635,28556,24641
