,1_0_1,1_0_2
ABF2_46_109,7562,7562
ABF2_118_181,11853,11853
ABF2_48_111,8453,8453
ABF2_117_180,11830,11830
ACA1_381_444,4617,4617
ACA1_383_446,4396,4396
ACA1_382_445,3506,3506
ACE2_601_664,15333,15333
ADR1_100_163,11812,11812
AFT2_42_105,12222,12222
AFT2_85_148,18295,18295
ARG80_79_142,26504,26504
ARG80_76_139,29662,29662
ARG80_88_151,21857,21857
ARR1_223_286,16430,16430
ARR1_15_78,7480,7480
ASG1_7_70,11091,11091
ASH1_488_551,15391,15391
AZF1_572_635,21164,21164
AZF1_600_663,14626,14626
AZF1_628_691,12618,12618
AZF1_658_721,10863,10863
AZF1_598_661,13093,13093
AZF1_638_701,9933,9933
BAS1_160_223,10556,10556
BAS1_106_169,12493,12493
BAS1_44_107,13559,13559
BAS1_107_170,13845,13845
BAS1_131_194,11637,11637
CAD1_36_99,7502,7502
CAD1_346_409,13092,13092
CAD1_42_105,7922,7922
CAD1_40_103,8654,8654
CBF1_215_278,13939,13939
CBF1_220_283,11480,11480
CBF1_216_279,13744,13744
CIN5_232_295,6421,6421
CMR3_251_314,11414,11414
COM2_380_443,13436,13436
CRZ1_548_611,14136,14136
CRZ1_576_639,12086,12086
CRZ1_562_625,11104,11104
CST6_422_485,6498,6498
CST6_424_487,7394,7394
CST6_423_486,7601,7601
CTH1_186_249,9505,9505
CTH1_224_287,11670,11670
CTH1_187_250,9271,9271
CUP2_1_64,21022,21022
CUP9_168_231,11942,11942
CUP9_164_227,14554,14554
CUP9_160_223,13070,13070
DAL80_16_79,19038,19038
DAL80_18_81,16036,16036
DAL80_25_88,15177,15177
DOT6_63_126,18196,18196
ECM23_120_183,9314,9314
ENV11_78_141,8329,8329
ENV11_77_140,7136,7136
FHL1_469_532,12187,12187
FHL1_307_370,16422,16422
FHL1_296_359,15037,15037
FHL1_472_535,12544,12544
FHL1_473_536,12861,12861
FKH1_314_377,12794,12794
FKH1_88_151,14980,14980
FKH1_78_141,13717,13717
FKH1_315_378,13020,13020
FKH1_316_379,12817,12817
FKH2_351_414,11217,11217
FKH2_97_160,12765,12765
FKH2_86_149,12924,12924
FKH2_353_416,10978,10978
FZF1_1_64,4904,4904
FZF1_52_115,8821,8821
FZF1_22_85,3463,3463
FZF1_51_114,8230,8230
FZF1_135_198,14290,14290
FZF1_228_291,22474,22474
FZF1_16_79,4622,4622
FZF1_45_108,9463,9463
GAT1_295_358,22016,22016
GAT1_40_103,21743,21743
GAT1_297_360,14838,14838
GAT1_300_363,19082,19082
GAT3_56_119,16774,16774
GAT3_62_125,16480,16480
GAT3_61_124,14447,14447
GAT4_46_109,16907,16907
GCN4_218_281,12925,12925
GCR1_643_706,25629,25629
GIS1_827_890,8852,8852
GLN3_291_354,11575,11575
GLN3_293_356,13092,13092
GLN3_296_359,9627,9627
GTS1_181_244,12276,12276
GTS1_182_245,11440,11440
GTS1_174_237,11586,11586
GZF3_116_179,15657,15657
GZF3_118_181,14376,14376
GZF3_123_186,12390,12390
HAA1_1_64,12698,12698
HAC1_26_89,12298,12298
HAP2_155_218,15196,15196
HAP3_41_104,18127,18127
HAP4_41_104,16273,16273
HCM1_119_182,12688,12688
HCM1_120_183,17044,17044
HCM1_121_184,12690,12690
HEL2_53_116,15758,15758
HEL2_202_265,13840,13840
HEL2_230_293,21010,21010
HEL2_261_324,14814,14814
HEL2_51_114,15557,15557
HMLALPHA2_130_193,7468,7468
HMLALPHA2_134_197,8393,8393
HMO1_111_174,10051,10051
HMO1_112_175,10440,10440
HMO1_107_170,12514,12514
HMS1_274_337,9171,9171
HMS1_279_342,8323,8323
HMS1_286_349,11588,11588
HMS2_26_89,19608,19608
HMS2_25_88,20234,20234
HSF1_194_257,12772,12772
INO2_237_300,12226,12226
INO2_235_298,9991,9991
INO4_45_108,10062,10062
ITC1_417_480,15468,15468
ITC1_43_106,12444,12444
ITC1_421_484,12355,12355
IXR1_364_427,11162,11162
IXR1_436_499,10225,10225
IXR1_437_500,9730,9730
IXR1_366_429,11451,11451
IXR1_435_498,10507,10507
MAC1_1_64,12910,12910
MATALPHA1_81_144,11458,11458
MBP1_25_88,10341,10341
MBP1_394_457,19610,19610
MBP1_377_440,21567,21567
MBP1_413_476,15481,15481
MBP1_495_558,10524,10524
MBP1_33_96,12018,12018
MCM1_17_80,13314,13314
MCM1_14_77,16755,16755
MCM1_28_91,15312,15312
MDS3_155_218,16710,16710
MET28_99_162,7986,7986
MET28_104_167,9218,9218
MET28_103_166,9578,9578
MET31_91_154,12998,12998
MET32_94_157,12414,12414
MGA2_534_597,33226,33226
MGA2_710_773,15299,15299
MGA2_702_765,16795,16795
MGA2_735_798,11740,11740
MGA2_546_609,25862,25862
MGA2_720_783,15910,15910
MIG1_35_98,17390,17390
MIG2_14_77,11879,11879
MIG3_12_75,12561,12561
MOT2_26_89,17176,17176
MOT2_152_215,11280,11280
MOT2_28_91,14502,14502
MOT3_340_403,10327,10327
MSN1_286_349,13032,13032
MSN2_641_704,14450,14450
MSN4_567_630,11740,11740
NFI1_29_92,10384,10384
NFI1_326_389,19297,19297
NFI1_28_91,9693,9693
NFI1_342_405,14925,14925
NHP6A_24_87,16057,16057
NHP6A_16_79,19332,19332
NHP6B_30_93,10985,10985
NHP6B_23_86,15044,15044
NRG1_168_231,11009,11009
NRG2_150_213,10027,10027
NSI1_346_409,8023,8023
NSI1_275_338,9202,9202
NSI1_336_399,8380,8380
NSI1_411_474,11903,11903
NSI1_489_552,17060,17060
NSI1_324_387,10410,10410
OTU1_238_301,18025,18025
PDC2_73_136,14637,14637
PDC2_72_135,15197,15197
PHD1_199_262,18575,18575
PHD1_218_281,29129,29129
PHO2_74_137,9547,9547
PHO2_76_139,9169,9169
PHO2_68_131,9922,9922
PHO2_10_73,9356,9356
PHO4_247_310,14767,14767
PHO4_249_312,11684,11684
PLM2_95_158,18410,18410
PLM2_96_159,16179,16179
PLM2_86_149,14042,14042
PMD1_126_189,13546,13546
PZF1_87_150,17302,17302
PZF1_59_122,17362,17362
PZF1_345_408,5567,5567
PZF1_143_206,11439,11439
PZF1_30_93,12993,12993
PZF1_115_178,17350,17350
PZF1_142_205,14580,14580
PZF1_175_238,11342,11342
PZF1_201_264,13113,13113
PZF1_233_296,13649,13649
PZF1_33_96,13141,13141
PZF1_68_131,19257,19257
PZF1_114_177,13464,13464
PZF1_158_221,12550,12550
RAP1_355_418,16449,16449
RAP1_752_815,13437,13437
RAP1_136_199,16081,16081
RAP1_130_193,16609,16609
RAP1_354_417,15085,15085
RAP1_369_432,15328,15328
REB1_476_539,8685,8685
REB1_405_468,8590,8590
REB1_466_529,8440,8440
REB1_720_783,9644,9644
REB1_456_519,10202,10202
REB1_677_740,11075,11075
REI1_182_245,15225,15225
REI1_1_64,20387,20387
REI1_143_206,11697,11697
REI1_195_258,12780,12780
REI1_176_239,16682,16682
RFX1_289_352,15349,15349
RFX1_291_354,14361,14361
RGM1_15_78,14297,14297
RIM101_192_255,9335,9335
RIM101_127_190,10926,10926
RIM101_162_225,18819,18819
RIM101_191_254,9757,9757
RIM101_129_192,10123,10123
RIM101_184_247,9378,9378
RLM1_1_64,17514,17514
RME1_156_219,15482,15482
RME1_188_251,11174,11174
RME1_237_300,9679,9679
ROX1_16_79,8846,8846
ROX1_19_82,10384,10384
RPH1_702_765,11313,11313
RPN4_423_486,15615,15615
RSF2_145_208,27143,27143
RTG1_38_101,12978,12978
RTG1_24_87,18477,18477
RTG1_29_92,21242,21242
RTG3_283_346,10104,10104
RTG3_289_352,8385,8385
RTG3_295_358,7535,7535
SFL1_72_135,21484,21484
SFP1_606_669,10509,10509
SFP1_182_245,18284,18284
SFP1_579_642,8822,8822
SFP1_620_683,10428,10428
SIZ1_20_83,18396,18396
SIZ1_349_412,15057,15057
SIZ1_19_82,19006,19006
SIZ1_367_430,12307,12307
SKO1_421_484,7961,7961
SKO1_1_64,24602,24602
SKO1_431_494,8983,8983
SKO1_423_486,8348,8348
SMP1_1_64,13737,13737
SOK2_446_509,12514,12514
SPT10_156_219,11600,11600
SPT10_338_401,10806,10806
SPT15_164_227,16380,16380
SPT15_75_138,13994,13994
SPT15_79_142,12667,12667
SPT15_163_226,16566,16566
SPT23_513_576,20897,20897
SPT23_702_765,16978,16978
SPT23_692_755,16378,16378
SPT23_725_788,11861,11861
SPT23_522_585,18838,18838
SPT23_710_773,12347,12347
SRD1_157_220,9291,9291
STB3_51_114,11744,11744
STP1_139_202,18709,18709
STP1_180_243,27327,27327
STP1_143_206,20841,20841
STP2_183_246,15027,15027
STP2_224_287,17198,17198
STP2_188_251,15832,15832
STP3_137_200,18039,18039
STP4_283_346,16596,16596
STP4_255_318,20663,20663
STP4_401_464,17418,17418
STP4_270_333,13868,13868
SWI4_59_122,7966,7966
SWI4_503_566,11809,11809
SWI4_624_687,13882,13882
SWI4_70_133,10875,10875
SWI5_548_611,13154,13154
TBF1_405_468,9622,9622
TBF1_407_470,10885,10885
TDA9_57_120,16312,16312
TEC1_132_195,7096,7096
TEC1_127_190,8570,8570
TIS11_151_214,16358,16358
TIS11_189_252,24084,24084
TIS11_153_216,16341,16341
TOD6_66_129,16821,16821
TOD6_386_449,10634,10634
TOD6_69_132,14139,14139
TOS4_111_174,17694,17694
TOS4_112_175,18268,18268
TOS4_115_178,16985,16985
TOS8_200_263,10832,10832
TOS8_196_259,11337,11337
TOS8_186_249,10379,10379
TYE7_193_256,14046,14046
TYE7_198_261,14636,14636
USV1_39_102,17203,17203
VHR1_31_94,11029,11029
