,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF2_46_109,6898,17536,13101,8658,3888,2258,12597,12520,6390,8051,3299,2394
ABF2_118_181,4519,9728,9927,8951,9832,7422,6689,7642,7682,8885,8817,7371
ABF2_48_111,5396,11851,8369,6474,3428,1823,9665,9765,6152,6921,3270,2484
ABF2_117_180,5218,11909,10989,8298,7331,4583,8553,9562,7530,8927,5531,4948
ACA1_381_444,629,1152,996,1116,773,801,1227,1149,1239,1521,1336,620
ACA1_383_446,1040,1721,2278,2276,1521,963,1594,1507,1465,1720,1314,953
ACA1_382_445,787,2096,1589,1546,1304,645,1195,1112,883,1214,1138,719
ACE2_601_664,8914,19832,20461,17007,14690,10808,14648,17812,15565,19490,10837,10084
ADR1_100_163,5195,11031,7649,7068,4572,3643,8703,9954,5946,7563,3601,3635
AFT2_42_105,10987,23736,21398,22637,33819,22441,18119,18102,20486,23933,29614,23486
AFT2_85_148,11317,26433,28285,28656,41797,30888,21136,23156,26600,32071,31027,30503
ARG80_79_142,5080,13793,13388,12303,15576,14065,12540,12733,10380,15182,12893,12056
ARG80_76_139,11335,26258,18667,20721,32814,28348,21761,23853,17495,26058,26570,24964
ARG80_88_151,7055,16291,13112,14825,23108,17091,14333,17824,12724,18878,19397,17634
ARR1_223_286,13890,29235,21760,24533,42266,25979,25460,22979,23750,28411,37862,28330
ARR1_15_78,5878,13099,15941,13336,14589,5794,10894,10196,11701,11543,12099,7011
ASG1_7_70,9156,20686,4251,3588,2910,2738,15075,16836,2782,3252,3548,2041
ASH1_488_551,3621,6829,6409,7046,7973,7430,6171,6679,6290,8473,5779,5948
AZF1_572_635,12983,28197,19431,15993,13896,9485,22657,26087,14145,19553,10210,8497
AZF1_600_663,4847,9764,8417,9503,11574,7544,9265,8436,8436,10622,9533,8343
AZF1_628_691,6624,15499,9573,8779,6221,3596,11702,11617,8977,9541,4896,3885
AZF1_658_721,3824,8312,4351,4199,2336,1827,7352,7256,3844,4224,2297,1944
AZF1_598_661,5889,13574,16196,13169,14458,9194,10635,11290,12116,14841,12310,10082
AZF1_638_701,4544,10073,10208,8622,5861,3068,8964,8339,7589,7569,4667,3206
BAS1_160_223,3263,6670,5656,5406,7046,5162,5407,5456,4908,6496,6831,3647
BAS1_106_169,3658,7733,6509,6968,6362,4505,6118,6532,6293,7792,5304,3832
BAS1_44_107,9772,22572,25475,21182,17950,12722,17992,20277,17432,23551,13525,12526
BAS1_107_170,3524,8118,7210,6845,7039,4622,6421,6823,6213,7927,5467,5089
BAS1_131_194,4829,11484,10841,11866,13623,12048,8440,10263,9269,12820,12271,12145
CAD1_36_99,2847,6311,3629,2642,1978,1212,4802,5901,2902,4060,1854,1401
CAD1_346_409,4434,11258,8782,10774,16511,12140,9357,10244,8896,12209,13373,10971
CAD1_42_105,3311,7775,9472,7210,5277,3553,5500,6143,6703,7595,4874,5003
