,1_0_1,1_0_2
ABF1_1_64,292,295
ABF1_12_75,306,287
ABF1_23_86,486,398
ABF1_34_97,431,483
ABF1_45_108,495,435
ABF1_56_119,430,403
ABF1_67_130,323,279
ABF1_78_141,341,254
ABF1_89_152,359,335
ABF1_100_163,311,279
ABF1_111_174,397,315
ABF1_122_185,328,340
ABF1_133_196,226,232
ABF1_144_207,340,313
ABF1_155_218,394,383
ABF1_166_229,438,456
ABF1_177_240,229,198
ABF1_188_251,561,489
ABF1_199_262,412,400
ABF1_210_273,392,385
ABF1_221_284,312,279
ABF1_232_295,185,168
ABF1_243_306,303,281
ABF1_254_317,357,323
ABF1_265_328,413,369
ABF1_276_339,365,321
ABF1_287_350,523,515
ABF1_298_361,451,416
ABF1_309_372,319,312
ABF1_320_383,238,223
ABF1_331_394,225,201
ABF1_342_405,208,205
ABF1_353_416,314,288
ABF1_364_427,268,205
ABF1_375_438,153,132
ABF1_386_449,260,235
ABF1_397_460,277,266
ABF1_408_471,365,272
ABF1_419_482,379,361
ABF1_430_493,274,241
ABF1_441_504,326,252
ABF1_452_515,228,243
ABF1_463_526,287,237
ABF1_474_537,288,240
ABF1_485_548,296,281
ABF1_496_559,284,231
ABF1_507_570,412,360
ABF1_518_581,371,315
ABF1_529_592,425,379
ABF1_540_603,342,302
ABF1_551_614,311,332
ABF1_562_625,350,331
ABF1_573_636,373,315
ABF1_584_647,248,216
ABF1_595_658,352,321
ABF1_606_669,291,320
ABF1_617_680,276,234
ABF1_628_691,162,174
ABF1_639_702,343,332
ABF1_650_713,281,209
ABF1_661_724,223,208
ABF1_668_731,210,165
ABF2_1_64,324,273
ABF2_12_75,418,366
ABF2_23_86,307,281
ABF2_34_97,203,219
ABF2_45_108,220,220
ABF2_56_119,205,197
ABF2_67_130,230,234
ABF2_78_141,247,253
ABF2_89_152,237,208
ABF2_100_163,344,232
ABF2_111_174,295,275
ABF2_120_183,303,271
ACA1_1_64,362,384
ACA1_12_75,446,390
ACA1_23_86,326,275
ACA1_34_97,485,435
ACA1_45_108,590,502
ACA1_56_119,455,449
ACA1_67_130,481,434
ACA1_78_141,509,465
ACA1_89_152,386,352
ACA1_100_163,472,401
ACA1_111_174,341,321
ACA1_122_185,359,271
ACA1_133_196,406,337
ACA1_144_207,411,373
ACA1_155_218,633,583
ACA1_166_229,575,507
ACA1_177_240,534,485
ACA1_188_251,441,447
ACA1_199_262,596,571
ACA1_210_273,542,458
ACA1_221_284,607,478
ACA1_232_295,620,589
ACA1_243_306,547,499
ACA1_254_317,478,450
ACA1_265_328,301,305
ACA1_276_339,381,325
ACA1_287_350,294,277
ACA1_298_361,354,319
ACA1_309_372,212,184
ACA1_320_383,238,184
ACA1_331_394,300,302
ACA1_342_405,266,275
ACA1_353_416,251,208
ACA1_364_427,229,207
ACA1_375_438,172,160
ACA1_386_449,181,143
ACA1_397_460,172,167
ACA1_408_471,202,134
ACA1_419_482,209,213
ACA1_426_489,236,170
ACE2_1_64,324,314
ACE2_12_75,143,135
ACE2_23_86,337,302
ACE2_34_97,256,207
ACE2_45_108,307,248
ACE2_56_119,281,234
ACE2_67_130,284,235
ACE2_78_141,315,329
