,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF1_1_64,533,452,705,1079,965,572,392,651,682,627,631,367
ABF1_12_75,672,785,1996,1497,1344,1050,451,835,736,644,422,190
ABF1_23_86,333,414,612,514,537,252,376,300,344,368,231,189
ABF1_34_97,180,282,352,375,657,252,202,161,352,174,283,101
ABF1_45_108,397,427,969,886,1118,1045,410,497,454,454,886,436
ABF1_56_119,641,688,1164,1146,795,792,581,983,1261,896,904,802
ABF1_67_130,632,874,553,647,201,117,541,396,253,76,1,40
ABF1_78_141,298,440,645,387,350,474,125,143,214,336,402,111
ABF1_89_152,531,550,302,303,151,310,315,331,161,158,549,82
ABF1_100_163,475,553,328,344,159,193,237,205,148,84,262,0
ABF1_111_174,125,208,160,1,227,4,159,295,79,59,0,0
ABF1_122_185,228,147,501,424,342,213,164,196,488,191,292,302
ABF1_133_196,145,165,341,173,34,128,156,297,112,153,288,123
ABF1_144_207,157,290,569,194,238,336,77,42,119,84,0,51
ABF1_155_218,163,143,274,232,136,307,95,153,125,196,0,132
ABF1_166_229,363,223,511,526,528,432,301,178,259,222,394,124
ABF1_177_240,198,317,457,462,84,330,256,158,84,239,532,117
ABF1_188_251,437,248,305,689,399,209,207,235,174,144,200,136
ABF1_199_262,182,213,641,345,360,252,163,123,388,278,471,317
ABF1_210_273,252,322,445,390,255,133,228,294,232,457,181,186
ABF1_221_284,253,235,521,354,224,204,90,200,152,142,381,81
ABF1_232_295,538,597,751,692,350,364,281,352,293,340,0,210
ABF1_243_306,142,163,692,413,172,185,126,284,408,165,386,386
ABF1_254_317,240,228,405,450,276,163,87,266,379,234,0,117
ABF1_265_328,363,526,753,494,339,385,263,345,473,207,166,85
ABF1_276_339,898,927,572,723,497,581,388,622,352,165,207,91
ABF1_287_350,435,568,442,398,294,205,423,507,185,267,208,96
ABF1_298_361,415,764,1657,818,1060,1167,417,524,939,614,1246,619
ABF1_309_372,528,473,1352,1247,1217,1085,192,474,543,473,740,767
ABF1_320_383,250,371,449,199,349,373,98,220,324,194,241,90
ABF1_331_394,606,608,1189,1130,661,575,725,826,1268,1080,709,453
ABF1_342_405,880,767,1248,1093,460,462,816,975,847,790,373,126
ABF1_353_416,393,702,939,676,723,480,325,439,496,321,177,104
ABF1_364_427,441,462,1130,1007,1066,796,242,478,385,742,301,346
ABF1_375_438,408,382,558,321,256,143,328,311,215,298,48,126
ABF1_386_449,738,914,1522,1087,650,767,325,606,1034,418,438,375
ABF1_397_460,514,651,1003,1228,197,426,493,655,284,513,321,209
ABF1_408_471,304,109,99,91,34,110,141,177,196,115,178,127
ABF1_419_482,685,890,500,306,239,310,593,713,45,219,236,163
ABF1_430_493,281,354,50,53,15,72,235,439,139,38,36,0
ABF1_441_504,283,201,244,499,62,132,162,341,196,215,438,29
ABF1_452_515,157,210,156,158,232,140,93,154,115,37,98,73
ABF1_463_526,70,5,184,279,146,150,105,120,320,179,108,219
ABF1_474_537,251,59,233,217,187,210,38,6,310,100,206,11
ABF1_485_548,229,240,102,495,132,207,160,184,284,199,168,48
ABF1_496_559,271,143,536,374,228,235,243,454,430,145,0,121
ABF1_507_570,629,754,256,420,152,118,367,237,193,92,158,39
ABF1_518_581,852,496,175,371,131,89,668,802,119,280,311,165
ABF1_529_592,554,935,752,374,150,293,669,682,281,318,1,57
ABF1_540_603,1000,1066,977,488,297,362,449,598,247,300,107,441
ABF1_551_614,214,311,447,272,245,284,222,275,133,61,123,353
ABF1_562_625,210,321,735,303,200,448,214,103,60,115,0,42
ABF1_573_636,366,653,649,673,447,222,373,508,620,237,135,233
ABF1_584_647,448,405,343,363,122,135,390,333,198,188,136,119
ABF1_595_658,253,281,229,372,287,302,193,210,197,263,349,252
ABF1_606_669,592,704,669,686,124,102,444,353,293,172,146,112
ABF1_617_680,237,218,355,262,152,446,315,203,361,287,256,334
ABF1_628_691,289,273,251,356,165,72,249,273,257,132,0,55
ABF1_639_702,206,331,392,396,182,237,309,220,257,241,170,0
ABF1_650_713,244,129,480,649,266,337,158,114,255,94,107,221
ABF1_661_724,199,206,97,370,203,289,77,54,350,42,290,88
ABF1_668_731,85,120,256,189,143,362,100,134,73,115,210,50
ABF2_1_64,1312,717,1945,1996,1206,1476,727,813,1038,1138,1327,860
ABF2_12_75,707,600,1146,1505,759,556,700,782,918,402,1532,622
ABF2_23_86,219,195,559,450,371,562,283,288,250,259,150,133
ABF2_34_97,145,376,546,714,579,991,268,400,286,224,117,288
ABF2_45_108,918,1199,890,1481,330,343,984,1136,732,400,57,198
ABF2_56_119,266,173,526,214,86,233,259,221,167,99,36,90
ABF2_67_130,35,163,321,268,318,324,127,210,22,273,53,271
ABF2_78_141,400,267,622,695,279,276,127,234,119,155,0,75
ABF2_89_152,342,444,242,202,113,71,288,478,116,123,67,16
ABF2_100_163,768,1026,586,505,270,262,797,856,234,242,0,47
ABF2_111_174,596,501,597,777,501,345,229,275,204,306,475,39
ABF2_120_183,361,178,408,466,393,329,280,161,119,234,214,109
ACA1_1_64,344,453,521,534,437,303,241,213,179,197,554,247
ACA1_12_75,538,591,869,737,725,668,193,229,288,587,313,271
ACA1_23_86,213,167,428,378,72,66,97,95,190,132,36,188
ACA1_34_97,1289,1349,2314,2060,2248,3017,932,1099,1942,1245,2492,1138
ACA1_45_108,629,656,744,1095,998,1024,277,503,543,509,937,482
ACA1_56_119,309,445,575,377,345,561,271,362,193,189,506,279
ACA1_67_130,189,422,679,474,546,721,151,436,619,625,1796,745
ACA1_78_141,743,566,1159,1786,1389,846,574,723,740,499,438,630
ACA1_89_152,252,329,868,588,404,314,331,239,366,258,63,109
ACA1_100_163,771,520,1043,1284,606,522,505,698,463,402,367,445
ACA1_111_174,923,1219,1184,673,335,395,635,894,431,527,490,60
ACA1_122_185,540,812,341,526,275,261,456,515,494,212,123,118
ACA1_133_196,457,314,931,842,373,450,353,545,460,307,246,1
ACA1_144_207,1180,947,880,1543,668,300,955,1061,777,657,1047,136
ACA1_155_218,605,1004,1264,1141,550,791,540,651,387,546,1035,171
ACA1_166_229,380,660,187,333,156,197,223,296,38,341,331,99
ACA1_177_240,614,377,1404,856,812,887,301,410,606,699,608,382
ACA1_188_251,689,391,1132,1098,853,914,648,900,882,1134,600,523
ACA1_199_262,639,1239,1013,1004,523,1018,1084,986,869,877,976,216
ACA1_210_273,859,754,1165,1441,516,303,653,556,1119,765,650,97
ACA1_221_284,479,756,750,377,304,268,654,854,600,381,413,200
ACA1_232_295,714,674,578,860,517,338,566,725,509,240,159,259
ACA1_243_306,827,627,913,749,698,621,443,391,573,589,547,424
ACA1_254_317,1073,1094,2039,1739,602,1141,1092,1128,1343,897,826,781
ACA1_265_328,448,482,1123,847,529,561,331,556,765,412,342,550
ACA1_276_339,813,646,904,714,359,671,567,458,566,653,332,489
ACA1_287_350,106,141,451,219,153,70,189,54,230,111,63,102
ACA1_298_361,420,420,521,464,157,104,343,422,197,290,462,202
ACA1_309_372,240,381,370,221,239,142,144,171,50,352,346,36
ACA1_320_383,205,37,140,138,29,228,77,59,58,66,37,214
ACA1_331_394,455,655,716,615,236,382,243,305,348,284,115,215
ACA1_342_405,376,329,740,713,471,585,150,186,281,252,0,49
ACA1_353_416,462,221,860,665,299,468,335,255,314,334,498,142
ACA1_364_427,355,581,410,565,171,178,509,599,443,380,201,103
ACA1_375_438,25,47,158,214,33,105,63,204,136,85,345,0
ACA1_386_449,245,217,199,80,109,150,139,175,72,93,45,26
ACA1_397_460,65,0,82,136,71,51,29,3,0,40,0,0
ACA1_408_471,73,43,36,57,0,171,85,59,29,3,0,68
ACA1_419_482,247,139,146,144,110,130,57,204,136,17,51,32
ACA1_426_489,254,8,201,104,292,110,18,64,24,95,106,0
ACE2_1_64,419,344,832,693,619,458,251,300,417,216,0,76
ACE2_12_75,29,50,89,33,51,1,102,1,79,31,1,0
ACE2_23_86,138,217,593,298,231,337,95,129,113,57,233,109
ACE2_34_97,246,220,205,356,416,288,160,261,264,182,137,133
ACE2_45_108,275,292,322,380,312,132,152,306,169,224,106,93
ACE2_56_119,466,564,620,644,242,176,334,689,383,197,73,150
ACE2_67_130,422,546,503,594,39,176,448,538,289,269,1,49
ACE2_78_141,509,159,364,254,243,141,175,153,121,105,492,146
ACE2_89_152,798,369,920,743,233,328,610,655,659,590,219,272
ACE2_100_163,801,691,1237,835,658,603,562,914,776,409,647,78
ACE2_111_174,217,158,476,114,100,245,189,410,0,146,164,153
ACE2_122_185,517,511,718,213,327,169,250,436,428,217,384,62
ACE2_133_196,266,174,149,95,68,98,285,170,56,176,0,0
ACE2_144_207,274,313,140,35,0,7,90,153,176,20,0,0
ACE2_155_218,349,477,239,151,114,86,132,264,139,49,50,0
ACE2_166_229,142,214,108,180,35,15,69,183,156,156,0,0
ACE2_177_240,103,128,107,2,43,67,68,42,105,51,0,50
ACE2_188_251,423,434,236,254,86,122,250,465,146,69,0,0
ACE2_199_262,905,544,696,610,95,363,325,603,263,140,220,137
ACE2_210_273,331,159,117,114,0,143,149,169,210,137,0,121
ACE2_221_284,658,830,285,528,334,122,486,731,295,379,91,269
ACE2_232_295,1239,1064,1284,1245,412,670,655,792,427,411,147,95
ACE2_243_306,515,351,309,454,122,166,218,459,98,296,0,152
ACE2_254_317,531,251,737,344,247,186,346,521,281,194,287,59
ACE2_265_328,522,398,527,360,358,305,286,632,140,105,0,119
ACE2_276_339,799,657,782,985,592,635,465,388,743,472,425,664
ACE2_287_350,810,925,1284,920,787,537,399,565,581,604,574,96
ACE2_298_361,308,271,789,1068,577,564,462,559,457,516,1,183
ACE2_309_372,294,193,314,279,188,135,88,95,150,133,115,119
ACE2_320_383,253,87,233,433,645,330,159,206,388,196,93,308
ACE2_331_394,221,163,520,429,351,492,184,386,551,193,125,152
ACE2_342_405,718,925,1158,1050,728,381,445,694,776,504,164,149
ACE2_353_416,166,187,485,456,135,155,153,250,175,118,42,65
ACE2_364_427,341,238,772,415,245,381,201,274,189,302,71,236
ACE2_375_438,764,850,1755,1261,765,683,1080,1269,1063,1027,1181,329
ACE2_386_449,187,253,449,484,476,353,96,267,293,194,116,90
ACE2_397_460,379,440,535,581,184,489,418,588,251,305,516,161
ACE2_408_471,677,439,1165,1122,727,519,368,636,519,584,178,462
ACE2_419_482,274,574,432,161,333,436,115,334,530,268,262,104
ACE2_430_493,1057,999,1128,873,442,269,571,1144,453,201,293,48
ACE2_441_504,453,772,586,605,378,355,479,724,653,556,194,327
ACE2_452_515,795,562,882,1033,433,176,377,472,524,317,113,270
ACE2_463_526,384,445,432,714,219,255,267,258,136,215,210,0
ACE2_474_537,369,564,1072,709,498,517,498,614,914,808,445,335
ACE2_485_548,765,387,832,812,130,432,407,687,630,297,110,188
ACE2_496_559,131,155,687,335,564,281,220,177,149,250,279,475
ACE2_507_570,212,467,549,387,387,404,142,394,395,403,690,116
ACE2_518_581,215,254,462,606,159,217,287,299,335,420,909,302
ACE2_529_592,916,700,633,559,210,105,615,606,442,474,0,66
ACE2_540_603,273,351,305,627,322,277,91,256,288,146,0,119
ACE2_551_614,125,79,359,542,205,288,198,375,203,299,268,70
ACE2_562_625,250,139,388,128,185,365,146,372,288,202,200,53
ACE2_573_636,261,356,76,59,15,142,288,232,204,90,1,43
ACE2_584_647,263,216,618,285,211,395,188,172,228,201,246,209
ACE2_595_658,515,311,1224,732,564,1121,265,344,407,403,96,421
ACE2_606_669,1213,791,1067,1362,470,639,824,793,605,839,594,206
ACE2_617_680,599,798,1000,855,427,496,294,558,666,431,436,227
ACE2_628_691,605,703,590,835,208,352,384,754,419,397,164,183
ACE2_639_702,346,281,815,273,426,483,178,194,284,108,307,69
ACE2_650_713,472,199,773,483,183,438,397,451,339,299,190,364
ACE2_661_724,195,406,453,215,260,253,255,130,114,381,141,269
ACE2_672_735,271,157,653,1162,484,498,297,344,270,175,19,171
ACE2_683_746,404,334,622,1204,295,168,458,325,475,513,231,387
ACE2_694_757,249,420,787,537,211,116,404,292,290,230,318,0
ACE2_705_768,93,127,565,230,201,539,290,166,233,260,98,832
ACE2_707_770,160,248,518,409,561,666,299,326,410,371,400,184
ADR1_1_64,593,313,1131,1005,661,636,501,541,697,269,38,177
ADR1_12_75,403,344,524,839,397,508,290,199,157,226,179,82
ADR1_23_86,59,208,208,229,258,378,76,151,433,210,225,235
ADR1_34_97,682,786,567,109,179,275,320,707,182,309,0,0
ADR1_45_108,618,386,618,475,128,172,336,434,272,201,170,102
ADR1_56_119,409,659,739,824,278,393,315,384,536,541,74,223
ADR1_67_130,299,321,195,241,117,173,346,462,125,77,298,17
ADR1_78_141,772,632,662,576,303,303,541,603,404,97,249,241
ADR1_89_152,648,545,1239,885,677,1062,764,545,720,880,1437,708
ADR1_100_163,527,607,699,867,249,293,496,622,407,247,393,328
ADR1_111_174,287,561,1108,731,507,467,356,299,567,484,300,312
ADR1_122_185,788,937,672,329,238,341,506,683,909,267,463,694
ADR1_133_196,314,138,403,224,251,316,110,192,369,182,0,94
ADR1_144_207,675,709,997,827,396,688,454,652,444,477,285,396
ADR1_155_218,532,691,514,441,115,13,582,622,187,129,333,48
ADR1_166_229,194,262,527,536,262,243,139,281,415,407,194,284
ADR1_177_240,335,554,202,640,186,463,229,383,149,296,1,28
ADR1_188_251,510,610,985,482,449,242,331,291,443,259,158,196
ADR1_199_262,680,1021,438,344,169,86,598,683,319,208,148,111
ADR1_210_273,461,251,449,691,535,398,412,224,248,328,297,288
ADR1_221_284,1178,918,605,628,159,260,901,1123,164,551,459,174
ADR1_232_295,641,476,834,871,665,780,299,610,464,497,307,495
ADR1_243_306,979,1066,1443,1410,617,724,648,1033,567,462,289,214
ADR1_254_317,1066,1323,1233,1008,444,321,691,1138,948,537,142,275
ADR1_265_328,399,681,332,242,21,139,426,644,260,173,398,48
ADR1_276_339,474,635,931,847,665,667,381,490,546,555,359,387
ADR1_287_350,113,159,211,261,91,177,98,184,97,107,116,52
ADR1_298_361,963,991,1288,734,619,780,641,1111,575,652,359,301
ADR1_309_372,1524,828,1675,1579,1086,1161,605,509,1261,898,757,403
ADR1_320_383,711,707,1483,1185,532,321,679,1048,950,670,668,445
ADR1_331_394,504,413,652,627,485,754,416,412,519,437,484,220
ADR1_342_405,465,454,985,956,663,868,533,521,885,608,659,748
ADR1_353_416,423,296,873,1123,437,554,296,507,627,574,501,258
ADR1_364_427,1127,615,1054,1236,293,536,575,654,751,305,201,134
ADR1_375_438,601,604,786,817,357,594,560,810,513,477,0,178
ADR1_386_449,420,310,552,482,84,420,480,529,347,291,141,89
ADR1_397_460,305,358,567,453,339,182,155,213,273,137,103,321
ADR1_408_471,467,584,510,372,231,104,120,385,208,378,0,184
ADR1_419_482,487,341,549,463,566,791,287,290,351,116,58,77
ADR1_430_493,176,59,341,153,242,95,89,256,179,153,70,87
ADR1_441_504,203,385,544,683,236,431,145,273,209,269,119,89
ADR1_452_515,288,125,189,357,245,322,327,204,225,115,241,159
ADR1_463_526,715,472,1254,1087,904,731,290,782,785,762,368,361
ADR1_474_537,694,453,1167,873,715,696,314,827,768,650,468,512
ADR1_485_548,387,275,377,282,226,443,342,228,187,263,82,163
ADR1_496_559,526,469,1279,749,676,734,555,483,584,422,175,273
ADR1_507_570,231,510,756,466,351,174,192,269,156,283,283,381
ADR1_518_581,239,417,493,222,358,495,317,261,344,299,496,327
ADR1_529_592,759,454,777,323,488,399,344,516,173,225,25,170
