,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Gln3_1_64,16651,10934,23446,18846,15668,13155,10803,10917,223707,15429,13296,11281
Gln3_6_69,818,501,1198,909,1007,1022,454,560,12808,877,890,1041
Gln3_11_74,1341,895,2091,1586,1954,1786,1084,1176,20696,1656,2306,1757
Gln3_16_79,7113,5470,10848,9109,12043,11026,4596,5949,104575,7986,11192,9194
Gln3_21_84,9663,7238,15723,14184,15859,14359,7048,6457,157009,11065,13143,13207
Gln3_26_89,14543,9127,23399,19798,21099,20119,9484,9641,215281,15593,16079,14259
Gln3_31_94,10789,6962,16115,14854,16500,14709,6535,6990,152867,10033,13101,11948
Gln3_36_99,18455,11236,29396,26090,26657,22178,12317,12525,289897,20091,22076,19317
Gln3_41_104,19765,12467,27480,22787,19790,16823,10352,12361,246738,15636,14420,12803
Gln3_46_109,23719,14966,33271,29839,25965,22303,14756,13928,303550,22146,21509,16952
Gln3_51_114,14271,10517,23246,19968,26853,25600,8768,9059,202003,14403,21059,16338
Gln3_56_119,9565,6360,14551,12747,16844,15562,6843,7252,153894,10817,15416,12758
Gln3_61_124,9276,5985,14942,12635,17591,16261,5657,6910,143148,10212,14334,13037
Gln3_66_129,9715,6255,15052,13363,16553,14824,7117,7520,160696,11580,14913,13135
Gln3_71_134,10944,8140,14022,12032,11464,9606,7165,7285,129091,9152,10209,8493
Gln3_76_139,15007,10599,22903,20506,22034,18951,9773,11025,223151,15480,18157,15679
Gln3_81_144,10006,6716,16398,12879,18460,16885,7640,8370,178334,12525,18579,15019
Gln3_86_149,10108,6435,15646,14147,18322,18894,7915,7962,172711,13033,18206,17008
Gln3_91_154,16219,10093,26238,22026,22077,18667,10189,10289,251746,16801,17477,15047
Gln3_96_159,12971,8257,20924,17896,24040,22112,8184,8664,206725,14505,20008,17697
Gln3_101_164,14257,10342,25584,22512,26503,23396,9699,9112,235284,15661,20607,17658
Gln3_106_169,12042,7391,18341,15103,15281,14350,7702,7508,172803,11358,12779,11446
Gln3_111_174,12917,9280,18944,15956,23189,22626,8461,8987,186467,12915,19820,16885
Gln3_116_179,15025,9442,24696,21113,23020,20202,9171,10225,246552,16635,19212,16382
