,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Ste12_1_64,18835,19713,13832,550,11573,49456,23106,19598,19692,10839,2901,20587
Ste12_6_69,6150,11289,3053,244,829,17265,5445,6197,5427,4409,1299,6718
Ste12_11_74,14091,17276,12647,509,3035,45445,18215,21336,16765,14360,2724,22264
Ste12_16_79,13343,21645,12697,494,3855,45362,16058,14021,19568,8833,2516,13598
Ste12_21_84,8979,16846,6805,254,6439,24676,8981,9176,9373,4669,1075,9823
Ste12_26_89,25043,38993,17539,865,9823,69015,29159,30249,26963,18266,9055,38779
Ste12_31_94,12035,15030,6491,372,3993,30718,17099,15045,12975,9663,2815,14584
Ste12_36_99,9865,13393,4903,290,1538,23935,10869,11807,11252,6942,1615,11603
Ste12_41_104,20904,34114,17734,626,6883,52018,29890,27676,25605,19120,6146,32738
Ste12_46_109,13760,20037,11560,327,3573,28514,16206,15906,14810,8742,3237,11165
Ste12_51_114,6437,8275,5809,226,2976,17800,7586,7549,4895,5813,2963,8006
Ste12_56_119,11221,21373,7569,281,5527,26063,13152,12039,14004,10331,273,6405
Ste12_61_124,18855,27455,15099,566,4393,54951,26868,26538,23272,15695,4582,26195
Ste12_66_129,13758,17235,7603,287,3870,31241,14230,13364,13604,11791,295,13883
Ste12_71_134,11275,16810,9843,310,2399,24925,11620,11349,9164,7584,293,11355
Ste12_76_139,20178,29294,19836,592,11875,56157,27235,24144,25037,15518,5278,32106
Ste12_81_144,21414,32009,15076,699,10629,61502,27099,25040,22920,15805,2281,34324
Ste12_86_149,10807,15634,9082,463,1928,32900,11007,11857,11338,10956,790,15096
Ste12_91_154,14265,21741,10197,296,3046,29332,19667,22262,12727,7910,315,13163
Ste12_96_159,26594,34293,23712,873,15988,70330,36178,32912,33921,23792,3918,33487
Ste12_101_164,26006,37648,20051,865,9724,72697,29851,28212,33574,21897,6355,38575
Ste12_106_169,22887,36550,16067,898,14948,64974,29053,31431,21727,19569,6015,46534
Ste12_111_174,18563,27590,11840,573,8179,51426,19837,18155,22169,13479,4161,30731
Ste12_116_179,17704,28931,12336,695,5929,48257,25479,19232,18565,15427,2116,35057
Ste12_121_184,15712,21405,8950,495,4876,38011,16159,12680,14043,14275,3110,25278
Ste12_126_189,17386,24268,16068,519,1201,48222,22789,21792,18900,14089,837,17563
Ste12_131_194,21144,31838,14115,738,7299,58211,25530,28979,20243,16690,5710,19185
Ste12_136_199,26860,37668,23019,930,13873,86308,31689,32435,36527,27787,4904,34399
Ste12_141_204,24383,37516,20792,871,6158,74134,32781,27596,24952,20848,3017,23330
Ste12_146_209,11057,14964,8358,568,2482,26703,12343,12625,9645,8607,937,14445
Ste12_151_214,32886,41898,19594,1480,13323,88879,35219,37684,34090,25239,9487,46598
Ste12_156_219,18308,26690,9654,503,6234,45753,15366,14917,17502,11499,6134,25836
Ste12_161_224,6770,8432,5467,253,1387,20516,8163,8415,7180,8256,661,11558
Ste12_166_229,9360,13910,4968,312,2506,26066,9761,11081,7574,6145,1579,9927
Ste12_171_234,14740,21667,8080,394,1318,20558,18567,18372,8905,3840,1659,3326
Ste12_176_239,13372,18035,11605,429,2976,42376,17476,19135,18894,13249,323,12449
Ste12_181_244,11861,19132,9699,455,3569,34924,15373,14114,13515,8172,382,12374
Ste12_186_249,9977,14329,8503,412,2803,26628,12851,10634,11665,6850,1997,10818
Ste12_191_254,13534,16471,11636,447,7618,36799,15653,10614,13501,9789,2533,19226
Ste12_196_259,4187,5823,2476,171,117,10492,3672,3180,6595,2915,109,3469
Ste12_201_264,9430,14793,7301,313,4732,23837,10130,10469,12910,9526,1931,15334
Ste12_206_269,20913,26397,17041,555,1642,41110,22201,20351,16413,12771,1736,13984
Ste12_211_274,12546,18455,12491,426,817,29313,15378,13239,13940,7453,1735,7605
Ste12_216_279,14085,20948,12882,519,5154,36884,16209,16270,16493,13532,679,13835
Ste12_221_284,21664,30830,17110,691,4214,52496,23150,25752,20604,16410,3543,11177
Ste12_226_289,17250,23527,12133,454,3182,44725,20285,19028,17491,11505,2495,12546
