,1_0_1,1_0_2,1_60_1,1_60_2,2_0_1,2_0_2,2_60_1,2_60_2
ABF1_1_64,170,266,166,329,193,268,133,184
ABF1_12_75,168,219,223,259,319,283,147,232
ABF1_23_86,161,347,356,328,460,257,235,338
ABF1_34_97,157,285,227,323,335,383,212,258
ABF1_45_108,202,382,246,332,349,338,249,304
ABF1_56_119,137,256,194,274,337,348,323,372
ABF1_67_130,256,415,377,417,320,278,287,436
ABF1_78_141,145,250,230,299,141,155,136,164
ABF1_89_152,222,553,419,636,495,428,378,509
ABF1_100_163,167,335,315,399,308,352,283,447
ABF1_111_174,550,1127,1032,1235,991,797,883,1244
ABF1_122_185,270,414,350,406,241,355,304,356
ABF1_133_196,174,225,184,188,187,172,153,156
ABF1_144_207,154,274,245,195,304,259,311,383
ABF1_155_218,160,353,202,278,260,260,317,367
ABF1_166_229,176,248,359,228,294,240,221,241
ABF1_177_240,98,322,172,237,259,205,187,268
ABF1_188_251,140,426,266,343,371,278,334,375
ABF1_199_262,142,406,297,214,192,200,141,211
ABF1_210_273,248,342,361,392,433,372,385,371
ABF1_221_284,171,426,425,400,217,262,221,333
ABF1_232_295,114,233,211,185,150,161,139,162
ABF1_243_306,129,339,212,334,312,177,228,268
ABF1_254_317,194,356,420,391,397,357,304,369
ABF1_265_328,127,233,241,268,271,282,210,325
ABF1_276_339,237,398,335,426,455,293,230,538
ABF1_287_350,482,673,729,638,659,650,700,817
ABF1_298_361,251,484,303,402,345,309,264,283
ABF1_309_372,196,237,199,165,307,156,202,268
ABF1_320_383,67,190,123,135,220,256,304,329
ABF1_331_394,138,213,169,224,242,195,143,254
ABF1_342_405,171,262,239,299,375,258,203,371
ABF1_353_416,93,169,119,188,187,135,128,253
ABF1_364_427,113,211,143,201,150,215,97,195
ABF1_375_438,121,211,107,185,125,196,89,164
ABF1_386_449,108,173,125,170,307,229,210,289
ABF1_397_460,126,233,236,321,242,281,199,303
ABF1_408_471,451,822,821,986,755,698,615,808
ABF1_419_482,362,443,542,770,384,480,337,523
ABF1_430_493,351,447,499,676,432,355,422,658
ABF1_441_504,121,196,233,229,163,192,188,240
ABF1_452_515,110,182,172,188,162,334,165,222
ABF1_463_526,146,221,251,222,201,196,176,211
ABF1_474_537,57,165,120,194,151,191,114,167
ABF1_485_548,66,183,98,147,219,174,90,216
ABF1_496_559,81,136,131,163,253,130,121,177
ABF1_507_570,244,396,385,461,519,543,588,588
ABF1_518_581,230,541,543,504,358,469,511,659
ABF1_529_592,374,779,679,758,525,598,578,679
ABF1_540_603,264,494,555,625,318,400,331,491
ABF1_551_614,192,273,281,280,279,173,299,215
ABF1_562_625,167,306,217,282,204,213,193,169
ABF1_573_636,175,350,327,339,264,320,297,347
ABF1_584_647,155,326,202,322,273,267,247,358
ABF1_595_658,133,432,324,338,292,296,294,286
ABF1_606_669,249,522,529,598,349,347,418,438
ABF1_617_680,152,234,213,312,184,212,213,196
ABF1_628_691,48,69,103,76,140,120,75,97
ABF1_639_702,276,320,358,338,179,210,205,256
ABF1_650_713,103,90,157,176,197,185,129,213
ABF1_661_724,103,320,161,172,83,77,116,136
ABF1_668_731,75,103,150,132,123,66,79,88
ABF2_1_64,243,518,275,367,385,504,317,339
ABF2_12_75,132,300,236,241,293,190,253,235
ABF2_23_86,145,329,231,316,76,170,100,119
ABF2_34_97,94,162,80,128,124,109,95,157
ABF2_45_108,135,262,186,286,227,196,156,298
ABF2_56_119,112,253,284,287,168,200,112,134
ABF2_67_130,65,248,65,149,102,74,92,106
ABF2_78_141,169,310,195,208,219,122,130,185
ABF2_89_152,228,411,323,427,251,202,187,333
ABF2_100_163,156,325,351,310,360,380,338,394
ABF2_111_174,117,170,210,224,243,241,228,281
ABF2_120_183,64,205,189,202,235,173,151,142
ACA1_1_64,218,414,273,337,168,222,148,237
ACA1_12_75,164,317,193,175,378,263,293,410
ACA1_23_86,212,369,245,406,332,349,184,245
ACA1_34_97,350,660,473,513,405,406,307,340
ACA1_45_108,134,307,246,374,332,279,253,313
ACA1_56_119,189,465,307,356,394,365,300,435
ACA1_67_130,205,346,317,336,213,219,221,313
ACA1_78_141,271,347,280,441,255,237,247,339
ACA1_89_152,129,277,242,228,350,262,268,293
ACA1_100_163,159,328,318,412,291,428,282,265
ACA1_111_174,256,355,394,474,420,454,298,523
ACA1_122_185,249,533,475,417,276,349,374,440
ACA1_133_196,244,405,365,421,383,286,536,468
ACA1_144_207,288,509,581,583,570,498,703,704
ACA1_155_218,295,309,452,455,412,425,399,580
ACA1_166_229,542,884,1220,1327,1051,970,1190,1339
ACA1_177_240,318,687,499,514,269,278,373,294
ACA1_188_251,280,562,432,431,571,490,401,480
ACA1_199_262,372,655,689,752,796,800,892,882
ACA1_210_273,379,603,603,719,542,415,562,608
ACA1_221_284,541,945,946,996,810,651,754,957
ACA1_232_295,791,1465,1367,1693,1037,893,1034,1222
ACA1_243_306,146,354,339,300,506,356,362,361
ACA1_254_317,182,372,265,342,395,240,313,353
ACA1_265_328,191,374,301,287,191,163,180,190
ACA1_276_339,138,255,318,313,295,183,298,300
ACA1_287_350,142,224,162,250,179,168,75,152
ACA1_298_361,119,222,208,233,211,213,193,211
ACA1_309_372,84,180,125,180,232,125,117,109
ACA1_320_383,139,205,148,176,204,264,162,206
ACA1_331_394,208,292,242,429,282,352,185,392
ACA1_342_405,110,214,229,242,248,250,249,358
