,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF1_1_64,181,119,703,318,529,490,796,371,656,814,758,920
ABF1_12_75,183,15,435,375,236,437,568,301,449,506,533,378
ABF1_23_86,82,59,761,346,309,958,759,368,437,850,498,800
ABF1_34_97,388,16,1039,343,534,899,514,418,611,1077,696,816
ABF1_45_108,99,17,442,227,262,371,517,235,390,608,453,379
ABF1_56_119,552,60,842,199,342,635,999,631,1149,1365,831,945
ABF1_67_130,217,8,546,198,191,181,506,379,235,343,399,240
ABF1_78_141,4,10,146,78,522,521,397,221,330,418,359,186
ABF1_89_152,243,62,338,49,258,78,191,139,238,183,203,194
ABF1_100_163,938,178,620,207,208,768,706,536,401,717,769,341
ABF1_111_174,203,369,163,60,113,249,471,298,184,260,404,335
ABF1_122_185,11,264,575,142,138,566,825,245,709,919,297,603
ABF1_133_196,382,20,957,416,420,598,1004,623,670,1168,811,637
ABF1_144_207,241,2,590,284,234,499,240,157,189,316,330,196
ABF1_155_218,489,6,421,171,284,437,432,343,560,685,267,569
ABF1_166_229,395,133,640,273,492,594,651,433,411,488,187,672
ABF1_177_240,374,245,351,368,159,401,900,445,395,652,473,358
ABF1_188_251,121,7,631,265,238,570,918,212,535,934,323,620
ABF1_199_262,172,381,686,465,309,862,902,396,675,597,638,551
ABF1_210_273,6,154,292,127,257,259,533,186,309,321,338,189
ABF1_221_284,25,179,660,132,175,747,798,695,544,699,493,343
ABF1_232_295,445,128,352,215,117,315,489,204,327,706,412,193
ABF1_243_306,0,0,1,2,6,3,11,0,1,3,1,3
ABF1_254_317,117,169,146,170,36,230,357,239,318,311,151,222
ABF1_265_328,305,21,1046,618,404,411,701,385,581,799,610,648
ABF1_276_339,163,3,446,128,19,55,344,270,239,315,38,136
ABF1_287_350,3,3,477,196,49,91,863,222,233,404,17,318
ABF1_298_361,15,107,460,53,203,415,268,172,259,625,109,203
ABF1_309_372,385,353,656,267,353,647,604,437,494,525,501,416
ABF1_320_383,13,221,531,125,310,900,544,175,241,714,373,373
ABF1_331_394,12,284,635,137,221,407,356,269,514,632,1181,375
