,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Msn2_1_64,24107,38076,22088,23615,18116,14122,33977,25150,22097,26566,19042,28834
Msn2_6_69,6300,10502,4165,3829,4577,2576,11375,11141,5893,7859,6438,6369
Msn2_11_74,11494,19510,8155,10520,8049,6008,16113,14946,6876,10569,8295,10226
Msn2_16_79,12273,16625,10965,7590,8617,6245,17942,17476,8386,14306,10831,12669
Msn2_21_84,18151,20362,26878,26355,30302,24239,21354,20059,27728,31660,32570,36973
Msn2_26_89,15058,20922,21837,23187,26806,16656,21868,19896,21261,28026,23144,29807
Msn2_31_94,10280,13489,17223,13173,15533,12643,11304,12957,12737,17897,17009,16833
Msn2_36_99,9827,9395,11881,11464,12211,9841,12483,11303,11087,14998,20501,20043
Msn2_41_104,26113,36822,26291,28810,27844,17596,42979,37025,25181,38335,29098,32200
Msn2_46_109,7856,15259,10317,12344,14321,10278,10529,10298,10555,14446,13611,13834
Msn2_51_114,8864,8358,11197,8327,13596,10239,9273,8411,9733,13145,16917,15033
Msn2_56_119,26433,38484,24176,28245,29866,16463,33822,30524,26418,37252,29902,27727
Msn2_61_124,24864,31295,35476,33515,31315,25396,32135,30895,27311,43037,39693,37350
Msn2_66_129,7918,11848,13487,12794,23776,10738,13061,10794,9822,15500,20536,19443
Msn2_71_134,28333,49829,30075,32278,30274,20313,43488,40589,27634,38112,29189,30625
Msn2_76_139,19532,17707,22466,19109,23411,13422,24804,23085,18311,25726,25498,25259
Msn2_81_144,19102,23186,21229,21288,23653,12084,24125,23519,16359,23844,19726,23821
Msn2_86_149,22804,32826,19440,22473,20391,13760,31946,31087,23537,30518,25771,20753
Msn2_91_154,11058,15337,12721,13414,12773,13243,14416,12784,12867,18411,22891,15071
Msn2_96_159,13919,13239,17134,14194,16808,9280,15895,19029,12916,23770,16142,19654
Msn2_101_164,8776,11052,12141,8873,12120,10270,11158,9347,13204,14590,15572,17540
Msn2_106_169,16613,18774,17010,19519,16988,12722,19809,18732,16568,21939,16625,22095
Msn2_111_174,26093,41986,27685,29521,29789,21880,31879,29755,23235,36552,25505,25195
Msn2_116_179,20861,30443,23251,27868,28995,21603,20108,19112,18731,28547,24313,30846
Msn2_121_184,23064,36957,17655,20184,14949,9952,26450,29868,14839,18314,16000,13486
Msn2_126_189,15347,24681,14046,9190,8003,4922,22289,20163,8236,14412,9932,12846
Msn2_131_194,19318,30330,10709,10764,8040,7405,27348,26751,9719,15273,8477,9542
Msn2_136_199,18089,31756,10249,9372,7341,4653,24962,29208,7901,12625,8998,7288
Msn2_141_204,10969,21327,6528,7395,5043,5527,19008,17650,6906,13028,6565,7371
Msn2_146_209,34308,44578,19702,18636,12094,8694,47128,37964,18541,22869,15475,13244
Msn2_151_214,12450,20678,16446,16271,22698,16287,17540,18633,13447,25857,30199,25428
Msn2_156_219,11542,11791,11829,15013,22013,11396,14008,12739,15139,20160,19642,18886
Msn2_161_224,24239,29592,20207,19797,15936,14559,35443,33160,20158,27070,19303,21050
Msn2_166_229,24143,37333,25566,25486,22265,14963,29137,30326,19573,25419,20415,21425
Msn2_171_234,14300,19291,17487,19868,20229,13450,15237,20816,17823,23366,18716,24150
Msn2_176_239,14915,20810,16862,19005,22960,18034,23597,22546,19630,28405,32907,30988
Msn2_181_244,14940,16648,18042,17009,22223,13078,20098,19117,17453,23790,26356,32112
Msn2_186_249,21484,29227,23030,28058,23825,15797,25319,22913,17249,28170,23349,23451
Msn2_191_254,19292,25429,29927,24919,29743,20680,24841,27456,26657,30906,39456,35471
Msn2_196_259,17590,22371,18742,20272,24002,18650,18574,24501,18819,23185,25057,23847
Msn2_201_264,24010,33398,26906,31144,21219,14501,33167,31752,24611,40115,22155,30786
Msn2_206_269,18928,33893,9838,11631,7060,4826,34249,29334,10849,15804,10159,10532
