,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Ste12_1_64,13201,18837,15533,14279,14159,19627,15305,16879,17726,11466,15687,18260
Ste12_6_69,3439,5718,3890,3670,5960,6812,5512,5454,5210,4124,3988,6976
Ste12_11_74,9599,14410,12644,13133,15920,22677,17475,12813,19243,11573,9796,25046
Ste12_16_79,8451,11571,10486,9638,15673,17202,9871,8210,11500,7833,8555,11946
Ste12_21_84,4404,7160,6111,5755,3253,8169,6630,5846,6604,5677,1057,7281
Ste12_26_89,18492,22640,20949,19010,23431,33405,22359,23486,24940,19333,36871,33803
Ste12_31_94,9247,15140,9015,8345,16072,14841,13859,10057,10175,6431,3824,17783
Ste12_36_99,5760,5957,7344,6003,8243,10138,8369,6249,8554,4843,7836,9574
Ste12_41_104,15052,19619,15226,15407,13224,23321,19911,15678,19052,14208,30892,21060
Ste12_46_109,8958,10825,9898,9655,10344,11531,11359,13197,12497,11685,12449,10497
Ste12_51_114,3258,5407,3665,5726,7849,6486,7154,6490,7735,6345,12758,7005
Ste12_56_119,6611,11180,8410,8587,6794,8291,9534,9834,10887,7890,5295,7323
Ste12_61_124,11785,18254,15169,15223,25146,24144,18504,14762,19720,13411,17567,21951
Ste12_66_129,8760,10733,7901,9208,8603,11857,11029,10957,13961,8172,1965,11229
Ste12_71_134,11423,10745,11862,10982,10586,13151,11672,12389,15101,10540,8114,8387
Ste12_76_139,17026,20753,16881,16261,21723,22523,19489,19714,27151,16885,16343,22756
Ste12_81_144,14818,24966,18688,17539,22974,28522,21299,17162,23681,17722,23873,27807
Ste12_86_149,7543,12508,8971,9009,16209,16073,11866,11282,10867,8908,10409,14419
Ste12_91_154,8300,11036,7891,7471,5020,9485,10098,8643,8989,8104,4349,8500
Ste12_96_159,19741,25954,21770,20299,28652,30235,26675,20160,25056,22640,29163,30276
Ste12_101_164,14545,22955,15071,17472,23004,28778,20251,20374,22999,17070,19912,27762
Ste12_106_169,17482,26459,19119,21083,24352,36554,18009,19715,24156,16916,15730,32267
Ste12_111_174,12486,17307,16622,12837,15227,28330,16676,16447,16880,11305,4928,24722
Ste12_116_179,15618,19683,17521,15251,23424,27433,15955,17429,19335,14999,14097,27015
Ste12_121_184,10756,13930,11370,13282,14820,19690,13540,11362,13866,11173,10812,14860
Ste12_126_189,12403,12545,14916,13575,15471,13842,15303,14547,12934,12166,929,13462
Ste12_131_194,16585,26052,19732,19266,19318,28312,20920,21235,28271,16032,8209,22761
