,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Cyc8_1_64,11540,14595,8253,9148,12995,1749,16975,20711,9854,10539,5308,5935
Cyc8_6_69,3615,5120,2789,1240,4066,445,4268,5523,2243,2000,3863,3742
Cyc8_11_74,13964,18876,7609,15216,25994,8151,20855,24967,16056,14414,15386,11580
Cyc8_16_79,6568,11729,398,3135,6291,132,6047,10198,5903,3617,5033,4653
Cyc8_21_84,16901,23417,429,11510,14995,346,18379,24858,13956,10627,7661,6608
Cyc8_26_89,14790,25451,19143,16094,42299,10830,23360,29723,23753,19295,27462,28733
Cyc8_31_94,5042,7509,2464,5655,9344,2469,6731,8238,4808,4680,6453,7255
Cyc8_36_99,3522,6102,240,3760,9680,823,5117,6373,5949,4290,6355,5660
Cyc8_41_104,13065,18553,5241,7250,29512,6937,17992,18665,12828,10180,21090,19801
Cyc8_46_109,5334,10006,809,4116,13285,155,10938,11885,7923,5343,8167,11623
Cyc8_51_114,6899,12684,569,4322,13430,4355,15295,19725,9064,6334,12629,14451
Cyc8_56_119,9350,13516,6408,2855,13364,2479,12333,14160,7883,5324,12299,13170
Cyc8_61_124,2538,4982,188,2382,4143,2311,3411,4525,2842,2388,2907,4171
Cyc8_66_129,9927,13363,1949,5951,13946,6473,15311,18951,9953,7923,13220,12590
Cyc8_71_134,18672,27854,5333,8985,27885,3955,25483,24263,14114,11368,17941,14209
Cyc8_76_139,7800,8719,478,6988,16820,1802,10449,10574,8648,8001,11582,10774
Cyc8_81_144,12792,17820,3652,7737,19312,9094,17513,18739,8067,9971,12718,12618
Cyc8_86_149,16739,27123,659,9270,25309,11868,24245,28408,12561,12208,15920,18914
Cyc8_91_154,13509,24808,5855,7621,27803,7137,27209,30690,17351,11913,23819,21854
Cyc8_96_159,7401,11063,335,5942,11453,3859,15744,18520,9284,6625,10491,12323
Cyc8_101_164,9086,11370,6984,4278,14170,4787,15573,19084,7769,8535,9790,11126
Cyc8_106_169,5903,10422,3353,4753,9699,2113,9415,12377,5372,5673,8550,6872
Cyc8_111_174,4152,5811,1469,2179,8654,171,11367,10857,6056,2682,7371,5127
Cyc8_116_179,9190,17777,3288,4909,13977,2051,15332,21094,9941,9494,12521,12115
Cyc8_121_184,22952,30417,10400,10690,29561,510,28563,31802,15987,14837,21828,25167
Cyc8_126_189,14392,21882,4429,7831,18594,1670,18725,23568,9076,9459,12856,13794
Cyc8_131_194,9238,15083,793,5119,16239,2357,14467,18084,8492,6103,11419,11155
Cyc8_136_199,6206,9204,3005,4202,11113,1081,13133,11652,9335,6435,10413,9329
Cyc8_141_204,8566,12541,2833,3415,11077,2198,20409,19522,9075,8609,10939,12888
Cyc8_146_209,11048,11361,4175,4287,15532,8983,13909,19046,10732,5725,13737,12490
Cyc8_151_214,5084,7972,229,3204,11856,831,8293,9347,4324,5788,7107,8817
Cyc8_156_219,8691,8811,1589,4697,13957,3528,9987,11898,6041,5363,9105,9061
Cyc8_161_224,7087,9564,3800,4985,17767,1764,13803,14750,11190,10494,12713,12926
