,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Tec1_1_64,36189,43352,28317,26806,5606,12333,38215,40647,25928,21338,11917,13709
Tec1_6_69,35595,42872,40653,44257,9935,24115,39117,37557,34096,37746,24056,21897
Tec1_11_74,73305,91407,74025,75382,11853,35200,79840,81083,69705,62529,33093,27133
Tec1_16_79,72062,94867,96463,93253,19212,47098,92386,79608,77178,83967,45948,45379
Tec1_21_84,77295,97520,99332,98156,13296,52217,83118,85546,80203,89027,49355,53404
Tec1_26_89,54685,76564,42847,42218,8632,19988,54497,56655,32569,27970,14376,16674
Tec1_31_94,71098,85901,71695,88357,11100,46968,83206,81351,77274,73378,43181,32817
Tec1_36_99,14524,18312,18122,17232,6097,16072,17477,18473,15321,23475,19713,14271
Tec1_41_104,52573,61966,29442,28906,3592,12470,61688,56375,24941,23200,10878,9967
Tec1_46_109,18389,21054,22377,22602,7375,14133,17380,17089,17159,22259,16681,14520
Tec1_51_114,10810,18254,10811,16027,4992,15182,16143,16426,13196,15958,17106,15968
Tec1_56_119,21084,22232,20022,28679,5409,18864,23820,24130,25007,29109,17073,15201
Tec1_61_124,55923,65360,68039,67978,17260,36792,57787,59461,49583,59416,38240,26597
Tec1_66_129,45950,71748,74504,73190,11078,35262,62523,65327,51954,61016,31495,31901
Tec1_71_134,29913,38007,33093,40057,6416,18657,35408,36336,35481,38725,23276,19217
Tec1_76_139,12841,20243,18606,16390,5919,12769,17885,13895,15130,21799,13710,12531
Tec1_81_144,23858,31646,36309,36486,9552,22841,26481,30730,24994,31758,27288,33039
Tec1_86_149,32393,40347,40223,48238,15597,34634,39407,43299,42326,53682,46546,47897
Tec1_91_154,12713,15842,14235,13384,4930,13442,17693,17375,14131,21081,23147,17973
Tec1_96_159,9185,13008,11657,11161,3479,6158,10653,10288,8509,11936,9617,8415
Tec1_101_164,43772,48304,37443,39338,5438,20183,49116,43181,38754,37019,21453,18744
Tec1_106_169,31426,41867,43806,38168,12971,31790,42595,38698,35325,50010,30491,34517
Tec1_111_174,36049,47168,49711,48882,14294,45083,46303,39888,46587,49739,44058,43810
Tec1_116_179,25397,37160,38626,35802,11662,34240,34008,32135,28327,42913,36320,32028
Tec1_121_184,25215,27318,32857,31402,10173,26567,29369,30050,33142,41925,33508,28984
Tec1_126_189,18780,18329,20836,21624,6202,20590,15790,15399,16389,22170,23807,19673
Tec1_131_194,19809,26539,24678,23524,10459,33897,20929,21270,20552,34121,34780,29494
Tec1_136_199,8791,11629,8844,9731,5038,11936,10688,12826,8227,15801,14808,18233
Tec1_141_204,22719,28078,32543,26271,10346,36934,28191,26200,27201,34906,35768,28247
Tec1_146_209,31745,39280,38681,39833,20221,49723,36101,32014,28145,50742,53612,36171
Tec1_151_214,21105,25386,25642,30196,6384,21842,24030,28552,25528,31567,24808,26941
Tec1_156_219,12780,20644,16361,14271,5736,15962,15132,14439,15996,20422,18378,14138
Tec1_161_224,18778,21872,31540,25447,8936,20270,21558,21162,21927,28215,24091,20244
Tec1_166_229,23283,30350,29174,28498,9029,30367,29687,22272,20789,34793,35539,35773
Tec1_171_234,34546,45854,41887,48265,14782,27151,45335,40511,44989,48116,35684,27690
Tec1_176_239,25295,32484,39147,32741,8409,22531,34934,35770,29685,38282,35759,38041
Tec1_181_244,22371,33922,32703,33757,10042,27444,30327,26813,26130,33558,23991,24153
Tec1_186_249,100391,120843,141319,138580,39820,122622,108138,108746,112255,140856,117751,107024
Tec1_191_254,16364,20990,20017,21162,7760,18487,23160,18747,17758,20760,20889,18848
Tec1_196_259,89490,114040,118839,134348,23332,85886,103950,94658,106356,123676,77603,74609
Tec1_201_264,23954,29025,30308,34277,10243,27239,28017,26406,31799,39664,32844,24682
Tec1_206_269,59202,73286,98223,85196,19271,53827,78285,65797,70421,90677,52538,47804
Tec1_211_274,36755,42073,53613,49462,12367,40397,39379,38509,36410,52035,32808,36321
Tec1_216_279,26670,34122,31809,32519,12749,30123,33898,26693,26515,35197,35099,32896
Tec1_221_284,22705,28321,31595,32187,9478,16580,26400,24340,31811,30770,19870,16419
Tec1_226_289,21568,25242,28104,28168,9048,25097,23870,22104,25017,28408,21360,23918
Tec1_231_294,25260,35019,31360,31610,9080,27863,29903,29125,38731,37436,30499,23952
Tec1_236_299,42484,62217,49258,52827,11466,22936,51405,53356,38162,39136,24558,19738
Tec1_241_304,32870,41353,41156,41425,7730,29802,38975,35253,45659,44127,35639,23886
Tec1_246_309,12760,17535,13798,21162,5031,18135,17003,14114,16701,17435,15734,18062
Tec1_251_314,35310,39269,33975,41812,14505,40827,32191,30587,35351,48569,55099,41430
Tec1_256_319,16681,21424,18923,25242,8395,18890,13913,18809,13975,23697,15655,16461
Tec1_261_324,15635,21841,20455,26369,8148,19220,23318,19161,22084,25235,21731,19540
Tec1_266_329,47359,66879,66603,65539,16463,45801,61042,52643,59516,76170,50352,46793
Tec1_271_334,36177,45610,49512,47790,12479,33820,44383,37737,47284,56132,38970,36209
Tec1_276_339,40501,44047,46983,38229,7274,20026,49670,44888,38392,44333,22115,18034
Tec1_281_344,23032,30483,26026,27221,4394,16185,26868,27006,25843,27574,14761,14680
Tec1_286_349,25477,39112,36765,40580,10693,28527,40973,38494,44686,48471,38567,29926
Tec1_291_354,12892,17377,17325,20100,6715,13808,16991,14062,17241,17156,16679,19914
Tec1_296_359,31176,39059,37375,37797,7604,24683,41701,35057,37677,36300,23465,24641
Tec1_301_364,36096,45487,33122,23128,4820,11419,46154,43396,33266,25792,11580,15514
Tec1_306_369,20944,29317,27123,24646,5913,13247,32753,28743,25781,25632,14014,16519
Tec1_311_374,15767,17747,13748,14380,5639,10712,15669,16385,12734,16176,10782,11626
Tec1_316_379,34623,48539,23919,22404,3232,11257,40099,42906,18849,19652,6705,10252
Tec1_321_384,39665,53005,11631,18382,3224,6235,48423,47079,16241,13977,8529,8185
Tec1_326_389,11871,18888,14908,14220,3284,11857,16212,16082,15394,19804,12306,13080
Tec1_331_394,15942,24958,19692,17232,2648,11673,21395,20195,16684,17130,10651,16579
Tec1_336_399,21540,32660,26055,24267,5670,13717,27198,24943,22455,24619,17007,12101
Tec1_341_404,23753,33060,28394,24986,3591,18435,30775,32895,26999,26758,13972,19674
Tec1_346_409,10347,17701,14150,13256,3799,11569,14776,16671,13596,18026,13267,9351
Tec1_351_414,18963,25230,19833,22467,4623,12892,20261,22493,15617,20761,8035,8622
Tec1_356_419,16084,20282,19262,11873,2476,13799,19007,17976,13598,18731,12953,7577
Tec1_361_424,44215,55248,43679,41977,5906,20864,63756,56226,41391,41669,21142,19429
Tec1_366_429,15512,19545,12316,12935,3395,8584,16178,17833,15500,13800,10345,7588
Tec1_371_434,29851,42380,42503,35943,7331,24040,33853,34523,31926,35944,27215,26682
Tec1_376_439,74825,94141,64025,58954,10478,23496,82122,87884,51471,49336,21867,18481
Tec1_381_444,37194,45668,44097,48532,7822,24365,42503,43012,49838,48096,28104,27728
Tec1_386_449,35776,45201,48134,48226,11172,33058,44825,45386,38876,47786,27912,31450
Tec1_391_454,39974,54276,57215,48908,11568,46748,52488,52666,50818,64460,52741,45302
Tec1_396_459,43403,55610,45730,52594,19600,47007,49439,48410,46381,65361,68819,50763
Tec1_401_464,132708,178488,168736,175728,62896,183975,159624,150306,138886,212068,228972,186295
Tec1_406_469,87555,116931,118766,108998,43889,123145,100842,105871,103217,139205,114233,138019
Tec1_411_474,89775,123352,118612,119131,29049,79174,109517,108120,90271,118709,80801,80905
Tec1_416_479,103041,133867,129525,136978,52647,153399,120153,113152,108130,180865,171511,133555
Tec1_421_484,129468,149086,172905,172788,46930,145948,167415,140432,152378,206968,146869,139811
GSY1_1_64,49980,60874,45720,52159,7764,17677,58188,51767,36479,39679,21705,25140
GSY1_91_154,38530,42099,34895,31496,13066,34987,39054,39686,32662,35556,44368,28884
GSY1_181_244,121401,152830,147272,152968,55788,185776,124969,125748,126363,194714,181317,161076
GSY1_271_334,38925,49832,33772,37944,16470,50098,47615,41387,36537,53126,56415,42968
GSY1_361_424,38579,50370,52858,49412,12261,34754,46942,43402,39918,51969,33413,35667
GSY1_451_514,31816,36500,28877,30430,6759,25191,33177,35330,29707,42442,43382,30819
GSY1_541_604,22325,31770,30577,31631,10740,20964,26016,28675,29610,38031,30401,25042
HXK1_1_64,60665,73884,42907,38131,5656,20396,60840,62831,30682,31344,14878,15928
HXK1_91_154,68711,102824,116966,106829,28509,85129,82689,78339,75979,106650,79450,75000
HXK1_181_244,26200,34894,30535,32872,9671,32700,34535,31797,28358,38498,32472,33438
HXK1_271_334,31380,38493,36405,37656,16157,41829,31701,32804,33877,39170,44990,38000
HXK1_361_424,27919,33535,30672,29066,9647,34658,32430,32909,29770,41300,38331,30983
TDH3_1_64,68493,91379,78889,86454,17284,49802,80561,82250,71382,76507,43427,41223
TDH3_91_154,78840,105424,106083,108289,23499,84098,94506,91726,100951,118144,88059,76786
TDH3_181_244,152873,211209,163967,145128,27316,77121,181630,174266,149150,132855,68731,68249
