,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Msn2_1_64,30124,32115,18510,27298,13428,18778,23101,25731,17161,27705,16688,31478
Msn2_6_69,8962,13309,5499,7880,7255,10071,8634,11910,5129,5510,6615,6268
Msn2_11_74,17594,11870,11396,11243,12034,13497,15231,20565,9409,11784,11012,9110
Msn2_16_79,19866,19883,11653,14445,12261,12930,20304,24157,12072,14923,14280,19663
Msn2_21_84,21530,17919,26855,35155,32762,42940,19380,17405,27342,43295,47626,54115
Msn2_26_89,22571,19725,21140,32297,26011,30117,19071,26370,25967,39262,31007,34041
Msn2_31_94,12697,12966,17102,16049,22077,29646,13177,16644,19613,21969,37016,31321
Msn2_36_99,10456,7421,16209,14865,15169,28190,8843,11644,13428,20227,21629,22546
Msn2_41_104,37926,35332,35554,41128,30826,48673,35438,45407,29000,46537,39471,49341
Msn2_46_109,11361,10329,14539,13946,17400,24392,10148,10694,13568,17189,19281,30542
Msn2_51_114,10894,11507,11627,14128,17892,28733,10579,10991,16539,19421,23231,22484
Msn2_56_119,42199,33358,28911,41152,22817,32044,31838,39268,30274,40495,38734,42663
Msn2_61_124,36336,28075,32563,39036,36423,44969,25830,25830,33145,40930,41459,44132
Msn2_66_129,9529,10136,14183,17734,18784,26077,11199,12414,17701,22558,28507,23091
Msn2_71_134,59683,48114,42419,48025,36764,52515,39167,45692,33929,46726,49191,48715
Msn2_76_139,28083,21305,23984,30955,33259,48321,27193,28132,32445,48688,34830,41610
Msn2_81_144,33885,28760,33906,30334,23501,36554,23533,25962,24032,30182,34733,37948
Msn2_86_149,40101,32811,25537,31979,26846,37893,31541,38074,30200,39460,38873,37463
Msn2_91_154,15979,12608,16534,20267,15526,22494,15276,15294,15066,22864,24277,32048
Msn2_96_159,20113,17499,18169,23089,18243,29030,16219,16223,16224,26257,20507,22462
Msn2_101_164,15172,10047,16288,20619,18009,28042,12172,16236,18770,22399,21936,31435
Msn2_106_169,23627,15954,21447,20018,15587,21820,19675,22443,19231,27601,27712,29241
Msn2_111_174,40058,28048,37153,39948,27023,39588,34419,34669,32732,42590,35530,46687
Msn2_116_179,37564,29587,43275,41001,39454,53533,25987,25563,36909,43301,46250,60588
