,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Cyc8_1_64,14030,16224,11193,12256,9162,5029,31873,21807,12982,10833,5143,4933
Cyc8_6_69,2738,5539,2556,4790,4295,2908,6174,2601,3013,1318,4364,3073
Cyc8_11_74,27522,32544,22295,19569,19860,16783,37526,31821,32145,25616,13424,16144
Cyc8_16_79,9473,12220,6602,7877,14832,11795,20925,11035,11792,6713,6460,6813
Cyc8_21_84,22996,21399,7081,16282,11898,8760,30967,19788,8547,11351,6601,4715
Cyc8_26_89,29281,29543,25216,27788,37071,30447,39225,24528,38405,35575,26769,24492
Cyc8_31_94,13648,14793,12064,14310,17504,18845,19223,10272,14855,10483,13583,14908
Cyc8_36_99,5172,6380,7113,4393,8268,5526,9546,6757,12613,7700,5791,5042
Cyc8_41_104,26444,30991,30686,29211,52939,40791,49531,34347,49521,46787,42502,63435
Cyc8_46_109,12763,10761,6202,7244,16533,15913,11797,8826,18031,10707,8123,17442
Cyc8_51_114,15104,14728,11290,16168,23263,26225,19346,14167,23004,19924,21764,24053
Cyc8_56_119,10860,11546,5875,9895,19678,22586,20524,13074,11281,13314,17075,21942
Cyc8_61_124,6060,5941,2905,5281,11465,7390,7677,6413,6113,3400,3435,4969
Cyc8_66_129,18872,16293,11585,18303,20640,22886,21318,13622,17436,11156,20858,15662
Cyc8_71_134,32500,39750,24966,34900,52070,62087,59630,47774,44719,35426,61813,63951
Cyc8_76_139,14231,16652,17845,16713,23857,20660,30115,16483,23192,23558,17759,27369
Cyc8_81_144,21862,25167,24081,34135,42222,40056,38359,27706,32270,29064,35574,50188
Cyc8_86_149,24661,26016,16551,21303,48985,39502,40593,28789,34553,30347,42064,45270
Cyc8_91_154,26537,31533,21082,26999,57479,53904,42043,30264,41248,31048,50762,45356
Cyc8_96_159,16910,13888,12579,16259,19974,25180,21714,16250,17276,15500,18565,14062
Cyc8_101_164,13941,13131,9199,12093,17508,18414,21258,13531,11005,11127,15067,13871
Cyc8_106_169,11342,10725,5487,8479,13436,16401,14723,11623,7222,11224,13373,12863
Cyc8_111_174,15135,13002,9852,14656,23734,20577,23548,16760,10332,9423,15954,14499
Cyc8_116_179,17993,19885,14506,19234,23845,23690,22302,17285,19801,18918,18307,17701
Cyc8_121_184,28051,31876,17396,23306,33730,42429,47712,38299,28016,28279,38562,42943
Cyc8_126_189,19834,29416,19612,24123,38858,36690,41019,25564,23809,21311,35153,40110
Cyc8_131_194,14931,20456,14694,17189,29231,28738,24694,20850,20869,20890,23007,24336
Cyc8_136_199,12760,14078,8173,10854,15787,14650,8931,8828,10542,9915,9178,7876
Cyc8_141_204,21096,19838,14173,16513,27398,26046,26933,20533,23095,17490,25789,24885
Cyc8_146_209,14747,13145,8110,12175,20862,23182,20495,15211,17507,15373,16498,22023
Cyc8_151_214,10026,10460,7911,11219,14071,11921,11249,10043,8881,8945,10450,15135
Cyc8_156_219,8627,7436,8747,9561,10987,12427,11352,10072,7827,6654,7709,8084
Cyc8_161_224,13789,13265,10238,9765,20891,16459,17979,11959,19016,9850,11247,12952
Cyc8_166_229,8551,7190,5649,6652,13659,9602,11482,8413,13490,6130,5463,10326
