,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Ste12_1_64,8800,12044,17135,14427,21441,21336,17662,10672,20765,16255,24779,26362
Ste12_6_69,3236,4916,6496,9400,5675,6329,3242,2463,8132,3960,7249,6841
Ste12_11_74,9152,10689,17409,19814,14969,15440,13918,5930,19560,10618,18585,13395
Ste12_16_79,9599,6428,10795,11262,12001,9501,9764,8654,14085,7548,10609,10131
Ste12_21_84,4258,4737,8453,9452,6710,6926,5260,4666,9711,5991,7775,10984
Ste12_26_89,12283,13826,35467,31843,25448,31351,17863,13416,38526,22732,25228,30255
Ste12_31_94,7444,4975,11247,16316,8605,6847,8384,7173,15030,11816,12635,11288
Ste12_36_99,3682,5503,11400,11884,9319,5493,5304,4262,12273,4950,6093,8106
Ste12_41_104,11272,10713,27291,32133,17358,12474,15133,13214,36553,19071,21295,28009
Ste12_46_109,6134,10522,18862,12975,13734,14045,11528,7450,13622,6737,17053,17682
Ste12_51_114,3483,3275,6966,3867,7731,6176,4985,4185,6898,2886,7822,6978
Ste12_56_119,7237,7932,8924,11721,11662,11964,9410,7462,9036,4976,13327,16104
Ste12_61_124,14573,15714,25395,32889,23690,18406,22827,16763,29323,15166,24442,27254
Ste12_66_129,4519,7719,9474,11665,11442,11755,8026,5416,10087,5213,13176,12832
Ste12_71_134,5539,7831,8886,10235,12482,9489,8958,8980,9796,6415,16694,12324
Ste12_76_139,15477,16449,24124,23895,20848,21482,22472,18458,26356,14172,28993,29851
Ste12_81_144,13144,17033,27581,29372,23520,20143,18311,13756,41602,21840,29341,31156
Ste12_86_149,4456,7014,17590,18206,12966,11474,10777,8072,21509,9575,15690,15212
Ste12_91_154,8497,10176,12016,12915,12784,13075,12906,10061,13617,6941,15861,14380
Ste12_96_159,15991,17344,35150,38835,37343,35709,23282,18921,46391,25998,38982,40756
Ste12_101_164,14224,16333,41898,36972,28772,29971,23436,21536,46430,31928,31978,35566
Ste12_106_169,15599,15302,45388,39103,25467,30023,22505,15437,50132,26348,31804,32965
Ste12_111_174,10578,11320,28846,31482,19407,15521,13486,10341,32757,18286,21679,21246
Ste12_116_179,10347,12759,29421,28095,19094,18140,13374,12506,32613,16977,21209,24043
Ste12_121_184,10229,10204,22770,23400,18459,13318,12011,10410,24305,16099,18979,16303
Ste12_126_189,13174,13432,18130,20725,26976,21597,16069,11608,17789,14302,26844,29194
Ste12_131_194,13600,14054,22817,31672,27973,26229,19551,14124,28877,16238,31782,32672
Ste12_136_199,15477,21613,40625,38019,41054,34257,24014,19736,47549,27098,43364,44886
Ste12_141_204,17077,18552,22224,25856,30137,25702,22174,16227,27536,16538,37638,38803
Ste12_146_209,6330,6270,15402,15937,11397,11112,6345,6381,17975,8037,13877,16805
Ste12_151_214,17757,19995,53557,53269,36929,34761,28981,15879,62383,32682,46186,46767
Ste12_156_219,8037,9214,16769,26446,17137,17535,10135,9299,22392,11498,22045,18920
Ste12_161_224,2811,4417,6502,9210,7959,7682,6592,5266,7820,3593,7186,7505
Ste12_166_229,3862,6101,8278,12984,9933,7156,5579,4450,10645,5827,10189,10582
Ste12_171_234,9372,12607,4435,6206,13994,8875,17513,11532,6041,3727,14836,11359
Ste12_176_239,10239,13360,10824,13838,15710,12344,12623,9997,10771,5978,17630,15647
Ste12_181_244,6834,8709,10842,12680,13461,15419,7903,5967,10361,6792,17657,11974
Ste12_186_249,5912,6592,13950,11676,12812,12578,7147,7704,13431,8107,14783,13266
Ste12_191_254,6191,7626,14034,10457,11205,9470,9345,6515,14078,8506,12873,11324
Ste12_196_259,1661,1921,4398,4558,3868,3984,3968,1230,5362,3884,4127,5070
Ste12_201_264,3806,7733,8348,10528,10871,12967,7269,4672,10791,7150,10315,9587
Ste12_206_269,10003,13148,9119,11117,17381,16051,15589,11285,9638,5400,16599,16150
Ste12_211_274,6839,10810,10129,8149,12510,11179,9044,8835,8945,4132,15464,13715
Ste12_216_279,10115,9608,11732,11783,19387,14447,9305,8631,12136,7059,18069,16540
Ste12_221_284,10562,12628,12919,13049,22673,19212,15963,17056,12506,8994,24701,22393
Ste12_226_289,8299,9719,10573,9273,13520,11989,9710,7444,10989,6548,17269,18214
Ste12_231_294,4667,7781,11429,10241,8276,11829,6513,3989,8651,5339,10939,11665
