,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Tec1_1_64,19641,23534,21601,12459,8959,10957,24482,30160,13929,16399,11354,9770
Tec1_6_69,24336,29032,40648,21907,16372,28771,32612,36568,39494,37055,32056,18476
Tec1_11_74,38024,45912,56540,30233,16826,38386,51280,59485,51096,51858,41318,25701
Tec1_16_79,50744,60665,80839,45382,29720,62687,65402,83403,73260,75152,64782,38716
Tec1_21_84,51639,55205,80072,46160,31476,52020,72280,78826,76893,86122,71489,44064
Tec1_26_89,39237,42609,53783,28184,26411,25663,52340,64093,43584,43108,30171,16659
Tec1_31_94,48576,56631,78563,50100,40385,55273,65411,78120,70263,76016,57793,35685
Tec1_36_99,13112,16854,24562,12280,13661,27727,14871,19381,16551,21626,26151,15578
Tec1_41_104,29748,33489,32103,18803,8376,16323,38094,46544,29325,27962,20474,13134
Tec1_46_109,19098,22852,34067,19027,23104,31473,21740,26718,27003,30531,24516,16431
Tec1_51_114,16345,19208,26324,17146,12209,30788,17724,21480,21483,22317,34902,19851
Tec1_56_119,22352,23639,39517,23446,19869,32472,26748,31506,30857,30951,37154,18651
Tec1_61_124,40363,47081,72994,40856,16781,52388,56369,62223,58970,69705,61129,38080
Tec1_66_129,40213,45927,67185,35955,28292,40821,49887,56191,52059,56828,41401,26071
Tec1_71_134,26265,30222,52290,26322,27758,38930,36843,40655,43824,35149,39513,27451
Tec1_76_139,16893,18853,26289,17575,12913,26312,20715,21561,23849,21753,25422,18411
Tec1_81_144,27285,27978,44589,26825,23952,45649,34025,41631,35947,34711,40813,24700
Tec1_86_149,27240,33616,50326,29508,27966,59723,34502,40039,39166,41191,54369,38968
Tec1_91_154,15772,19947,29018,15779,21103,30126,19182,25035,17856,21489,35754,19216
Tec1_96_159,10209,13045,14476,9897,11110,19639,12618,14961,15731,12699,18175,12690
Tec1_101_164,24557,30766,41689,22494,23032,29583,33738,38999,37200,39210,34264,19629
Tec1_106_169,21350,24643,37538,21723,12274,29806,28693,32497,34757,31141,33513,25778
Tec1_111_174,26784,28271,51082,26292,24152,50409,37940,42271,46318,45057,49602,38711
Tec1_116_179,20105,19788,33595,18565,26317,31540,25936,28440,28273,27932,40750,27194
Tec1_121_184,15249,18641,26440,18957,20227,31242,19988,24263,27553,28079,37427,23820
Tec1_126_189,16151,19069,34738,17734,19241,33534,18843,21700,18168,26043,30896,19788
Tec1_131_194,17344,19588,28285,18356,26813,35662,21096,22560,23210,26189,34513,27782
Tec1_136_199,8386,11583,14973,9705,10069,13673,9227,10866,9047,9731,14740,12767
Tec1_141_204,21489,25857,38321,20144,29076,50060,31328,34752,32412,35069,55248,39782
Tec1_146_209,21637,24073,35885,19104,30954,51930,30188,33462,32701,36350,61298,35972
Tec1_151_214,19148,22466,31668,21444,26189,32724,24549,25980,27671,28280,36317,22330
Tec1_156_219,15223,14956,22693,14390,23935,19439,16238,19474,19111,19634,27043,16491
Tec1_161_224,20998,21572,35825,19170,18892,34236,25146,27922,29525,27547,37404,24891
Tec1_166_229,17226,23194,32785,18229,15771,31213,23062,24244,24983,24322,37458,20606
Tec1_171_234,28244,37189,64528,32521,27866,51608,40674,46520,52974,54507,53012,33880
Tec1_176_239,23730,26831,39585,21848,24121,44291,28837,33832,31968,36533,42410,24110
Tec1_181_244,21715,22788,35301,23771,29807,39186,30305,31959,33004,32050,49839,27759
Tec1_186_249,56028,62803,91411,59490,66332,108747,74660,85320,94283,104426,119402,77496
Tec1_191_254,18826,24198,34287,19411,14100,38182,24016,25182,26953,33182,28766,20226
Tec1_196_259,62305,70255,111732,60237,41816,85173,80019,93677,92260,102294,103792,67888
Tec1_201_264,24808,24857,43576,22597,22482,38431,26422,32409,35877,31104,39620,24019
Tec1_206_269,41055,47675,65111,38165,27454,57103,50268,62214,61390,64086,62174,38384
Tec1_211_274,30327,36356,54745,32327,30099,49990,36603,47629,42289,45367,44860,33385
Tec1_216_279,27110,32975,48940,29865,39946,56670,36870,38918,40982,38654,45858,35053
Tec1_221_284,21769,25403,37699,18395,22124,26834,25989,30683,34558,30748,26727,20682
Tec1_226_289,20396,22727,32951,19412,24613,28294,24652,30272,29239,31354,28390,20308
Tec1_231_294,21905,24016,40837,21040,16690,31243,26018,31305,31825,32651,40466,23689
Tec1_236_299,30354,35264,44950,26799,17375,28864,36836,46490,38574,34752,32114,21841
Tec1_241_304,26774,28749,44304,27273,36787,40479,32033,33504,33191,35805,33870,23973
Tec1_246_309,15770,18242,28350,15766,18922,33054,17965,22460,23220,21301,30720,15747
