,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Med15_1_64,22593,38914,25796,30209,46565,35677,30192,26616,38324,38527,30777,59467
Med15_6_69,9161,13451,9778,9519,16760,12269,8271,5820,14642,10028,9936,15017
Med15_11_74,7190,8568,5771,7893,13215,10160,8537,4792,9431,8922,9221,9914
Med15_16_79,9680,19255,18469,13387,19878,13965,11822,9822,16133,13972,14811,12969
Med15_21_84,18247,32579,20824,24950,29255,20850,23301,17723,28164,24914,17382,26674
Med15_26_89,19620,31040,18950,14716,14534,11841,24347,17943,19014,18450,7498,13910
Med15_31_94,15628,26466,11178,13943,12410,8519,19648,17130,19755,15085,7143,11002
Med15_36_99,2364,4200,3733,3719,3701,4595,1243,2383,4019,2967,3486,4480
Med15_41_104,28199,40783,28524,30552,23249,21655,28759,24923,32246,25594,18505,21219
Med15_46_109,14432,26885,13468,16696,19982,16942,15210,7775,19446,16968,12756,21153
Med15_51_114,11500,19039,10770,12892,11337,8675,15422,8974,10330,6248,4882,7810
Med15_56_119,13085,18452,8227,10931,9404,7739,12413,10180,9378,7848,4541,7147
Med15_61_124,10051,15557,5689,8033,6418,5337,13347,7663,6659,6203,3216,6354
Med15_66_129,10341,20295,11900,14275,14208,10028,21764,18617,20371,15877,7081,13658
Med15_71_134,16542,28200,16031,15598,16141,11440,16611,14691,13231,13295,6587,12694
Med15_76_139,17035,27160,16550,14061,17195,10189,20605,16505,19767,18776,11075,17984
Med15_81_144,7437,12175,8569,8719,9985,6555,10136,5928,8156,8154,7093,8588
Med15_86_149,13759,17677,12077,11811,14539,10046,12886,10479,12801,13199,7066,14239
Med15_91_154,16022,23848,12874,17143,16570,12682,17554,14097,20840,17002,12391,15901
Med15_96_159,5401,10041,5422,6552,5897,5085,5260,5287,3579,4810,3423,4495
Med15_101_164,3097,6315,3615,3640,2026,3136,3261,4324,3523,3520,4308,4199
Med15_106_169,2819,4726,2706,2735,4062,2401,1820,2211,3237,3137,3027,4445
Med15_111_174,8873,17448,13258,13521,12660,9550,12971,12000,12594,14479,9285,11694
