,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Tec1_1_64,31273,16384,23958,20015,6677,9325,32092,19794,23206,15655,6930,7435
Tec1_6_69,45184,21504,68272,56821,13539,23946,43197,26245,62522,43422,16098,21431
Tec1_11_74,54748,32860,85764,71543,16375,27616,63961,41971,83057,57148,20110,24950
Tec1_16_79,79222,44765,129909,109660,29969,50464,87398,57292,128858,92017,40185,45555
Tec1_21_84,87083,45977,147430,120326,35372,56661,94554,58674,149159,105156,45617,54899
Tec1_26_89,54553,32445,85774,68467,16561,23773,59988,40082,83228,54707,19141,21401
Tec1_31_94,87522,48580,153756,128959,27470,61389,92414,61474,152542,109981,44077,54832
Tec1_36_99,25780,13003,37951,33587,15228,20198,22367,15509,33279,24162,13755,16748
Tec1_41_104,49540,25227,55608,46888,10038,16410,52229,33996,58653,37648,12564,15620
Tec1_46_109,31204,15092,47680,42545,18921,26182,29708,19998,44238,33077,18735,23747
Tec1_51_114,26295,13471,38053,32948,13279,23897,25159,16199,34515,24714,18171,20388
Tec1_56_119,40868,20899,61396,56736,17129,34193,37541,24210,56306,43910,23114,28534
Tec1_61_124,69842,33643,113076,95790,33264,52477,72395,48006,118039,85759,42083,50105
Tec1_66_129,60710,28784,95975,81642,21200,35248,60033,37833,93331,69072,28588,34720
Tec1_71_134,39322,20596,64898,56402,18714,31292,40256,25930,65513,46971,24615,28733
Tec1_76_139,27616,13688,42211,37343,14769,26391,25342,17506,37931,27560,18514,21673
Tec1_81_144,46261,22090,77218,66991,19793,38257,45310,27829,70326,54739,25042,33021
Tec1_86_149,46431,23112,66627,59935,25172,41936,44934,30188,64011,48246,33152,38509
Tec1_91_154,29648,15387,36813,32042,14528,25304,26935,18433,35480,26623,17178,22658
Tec1_96_159,15563,7593,19627,18638,7756,13531,13536,9125,17644,13058,10745,11138
Tec1_101_164,44487,20963,62397,52066,14906,22720,46588,29836,64526,44705,19135,22289
Tec1_106_169,40329,18710,59949,50825,20950,30127,43176,27106,61487,45897,26109,30362
Tec1_111_174,40956,21825,60870,53783,25270,37565,41942,28086,59785,45267,32271,35432
Tec1_116_179,35081,17430,48783,42266,23331,30307,34476,21902,49537,35013,26462,27305
Tec1_121_184,28862,14990,40723,36101,14663,25120,28590,19657,39960,30401,20829,24066
Tec1_126_189,25258,14157,33928,30924,12925,22387,22880,17391,31568,23009,16194,20286
Tec1_131_194,24174,12778,31415,26854,18650,24280,24701,16507,30234,22553,18000,22375
Tec1_136_199,13336,6824,16887,14909,7458,11976,11751,7768,14649,11343,6935,10645
Tec1_141_204,37166,16519,47022,40525,23668,32980,36540,22957,46029,34605,30487,31868
Tec1_146_209,34159,17724,42225,38195,26791,31644,36493,23960,45382,34665,28364,32706
Tec1_151_214,34803,17178,49064,45805,20639,29230,33285,21040,47291,35388,21857,28012
Tec1_156_219,22334,12404,37950,30951,11421,23401,23569,15246,33725,24008,18465,19146
Tec1_161_224,28188,17629,52463,44855,19505,30705,31029,21535,50692,35035,22963,26029
Tec1_166_229,30428,13803,44807,39481,16701,25823,28775,19966,40025,29135,21970,24950
Tec1_171_234,53112,28840,81967,73289,25004,42546,52888,36096,79066,58730,31610,38069
Tec1_176_239,37590,18801,53790,50554,20442,29978,35321,23815,50631,39572,22245,28331
Tec1_181_244,42242,19619,62029,53482,23342,36192,38168,25933,56134,40326,26637,31842
Tec1_186_249,88608,46521,146508,127374,56230,88389,96120,64668,151218,115137,70429,84540
Tec1_191_254,34262,17561,43939,40892,18981,28523,30538,21436,41428,32044,21657,25184
Tec1_196_259,89685,46657,151078,132574,53358,78788,97450,65718,159768,120144,67227,79620
Tec1_201_264,39928,19795,59002,52438,22191,36469,38755,25194,57384,44122,27887,33064
Tec1_206_269,69154,33633,113405,97998,27185,53848,69139,46149,116860,86096,44767,53995
Tec1_211_274,51047,25858,82178,71768,30415,41690,50670,33239,80424,60064,34036,38623
Tec1_216_279,43920,21292,59578,53222,23366,42329,39597,27090,55269,41308,28051,35799
Tec1_221_284,33873,17035,51849,46603,17240,24340,32046,20287,51797,37554,17453,22658
Tec1_226_289,30907,16749,51220,45746,15294,26188,30749,19082,50943,36830,17538,23245
Tec1_231_294,29639,19178,56424,48707,18748,31284,33162,23844,54254,39801,24921,27408
Tec1_236_299,49879,25497,79616,66474,15409,29358,52883,34187,82247,54196,24430,26385
Tec1_241_304,47321,24410,78964,66133,23762,39103,48985,31398,74786,54833,34422,37599
Tec1_246_309,24165,13095,35814,31359,16291,23449,23887,15198,33564,24316,16565,20962
Tec1_251_314,49732,23951,67284,59900,37008,45468,48498,33029,68036,50012,38055,45628
Tec1_256_319,31740,15769,41868,36897,16760,27184,29535,18661,39152,28788,22295,23404
Tec1_261_324,33114,16459,49449,40578,13857,29560,30390,19974,41519,29608,20528,24636
Tec1_266_329,58653,28409,94694,80389,31443,47010,60885,37402,96736,67932,37762,43585
Tec1_271_334,54770,26003,85051,75143,26498,44356,51896,33577,80792,56869,30122,39176
Tec1_276_339,53779,26354,80375,66352,14771,26569,51608,33957,76393,53101,18660,25391
Tec1_281_344,26335,16838,52390,42178,12147,19316,30508,20321,48567,30084,14987,15908
Tec1_286_349,50838,27821,85902,74782,29248,45574,53758,34935,83750,58418,35007,40492
Tec1_291_354,30938,15798,43412,38071,16379,24824,27372,18489,37113,27497,16819,22419
Tec1_296_359,43843,21314,65505,54762,17940,26325,44092,28715,60824,45201,21643,25904
Tec1_301_364,46607,20920,50118,40975,8336,14194,47881,29389,51031,34827,9871,12734
Tec1_306_369,36015,18478,52945,42408,12635,16382,37531,25757,50607,34387,12693,14786
Tec1_311_374,27860,13076,37503,32323,13242,18073,24649,15659,35674,24432,10626,15350
Tec1_316_379,46457,20763,37617,30261,7682,8961,44811,25727,36366,25380,7504,8649
Tec1_321_384,40864,19495,26463,21000,7280,9254,42262,25867,25024,17945,5832,9040
Tec1_326_389,28644,12052,36841,31383,10112,14819,27077,15293,34673,25504,11796,13867
Tec1_331_394,27389,13001,36620,29687,5327,12659,27539,17322,34989,24828,7523,10920
Tec1_336_399,29121,15916,42423,34041,8685,15455,30167,19853,41451,26997,11312,12594
Tec1_341_404,39115,18319,52433,43475,11496,18608,35727,22691,47978,33048,10634,15744
Tec1_346_409,20012,10120,28040,23535,7854,15973,18360,11506,24182,17261,9886,12256
Tec1_351_414,24483,14820,45961,37164,11094,17904,27065,17886,43006,26609,15602,14963
Tec1_356_419,19654,9182,29239,25195,7548,11052,18881,11221,26937,19545,8365,10382
Tec1_361_424,55008,26211,75769,62173,16799,25704,55392,35903,73839,52450,16625,23787
Tec1_366_429,20098,10001,31127,26063,7779,11780,19773,12883,29160,21111,8086,10534
Tec1_371_434,55585,25093,84547,72342,26797,40460,52190,32243,78193,56628,31787,34907
Tec1_376_439,71986,37662,104162,84195,20287,30468,79055,50420,106539,71006,22809,28433
Tec1_381_444,58604,30068,89133,77549,21347,37521,58445,37645,88018,63506,30526,35660
Tec1_386_449,57627,31112,97194,84361,32524,49935,58234,37484,92013,68290,38089,43546
Tec1_391_454,62514,29825,98441,85617,33889,54807,62899,36414,95469,72714,43903,48389
Tec1_396_459,74368,34658,93438,84434,40832,67164,70545,46988,90273,67515,53267,63208
Tec1_401_464,129421,63726,169359,157603,87730,132572,138028,88410,180238,137409,110493,138141
Tec1_406_469,112132,54790,159447,146058,64473,110527,115141,74534,165607,121182,85812,105590
Tec1_411_474,93318,43727,138847,121470,42661,68940,96107,60202,143077,105845,58184,68993
Tec1_416_479,113090,57334,166606,148780,64179,119181,121673,78163,174305,130824,102894,113506
Tec1_421_484,122513,57544,194634,171117,65708,113276,130899,82281,206745,155857,92899,113322
GSY1_1_64,57617,27143,75057,64260,18791,29555,54287,34315,71184,52776,24121,28055
GSY1_91_154,56700,28379,69207,59742,27939,48245,53159,36456,61261,46881,34976,40981
GSY1_181_244,111592,64549,161275,146431,70428,123336,130868,84498,172797,126585,99097,115167
GSY1_271_334,49003,24133,54742,50245,28568,42276,50108,32907,54086,38923,32109,37846
GSY1_361_424,56873,27199,89640,78514,26550,45296,55820,36182,86728,62537,35721,41519
GSY1_451_514,51508,25007,62656,55357,27089,41346,47196,31285,58928,43559,29325,36730
GSY1_541_604,37819,18552,60181,54187,24133,33711,38098,25343,57895,43521,24746,29718
HXK1_1_64,57502,29457,61457,52846,16192,22198,63744,38849,63485,45829,18241,22343
HXK1_91_154,76076,44836,155803,109411,37153,80119,88579,52870,136540,103757,62986,70427
HXK1_181_244,60798,30102,80316,70478,35702,49883,55969,32311,70629,53943,34581,39627
HXK1_271_334,51285,29071,74603,66078,34308,51798,50239,34737,69547,49698,38004,45950
HXK1_361_424,49976,24412,63753,56204,24759,40884,44959,27725,58805,45943,30367,35627
TDH3_1_64,71335,36279,114037,96939,30712,48558,75744,46572,112158,81404,36392,46845
TDH3_91_154,116117,57754,185285,164048,64801,101375,117394,74079,184034,138912,81311,96868
TDH3_181_244,196295,95787,287245,247792,67640,103201,212929,131391,298034,208571,79792,99809
