,1_0_1,1_0_2,1_60_1,1_60_2,2_0_1,2_0_2,2_60_1,2_60_2
ABF1_1_64,126,337,250,638,2,50,39,293
ABF1_12_75,280,228,106,152,0,20,160,360
ABF1_23_86,551,239,210,284,2,66,131,217
ABF1_34_97,562,40,322,332,2,72,287,6
ABF1_45_108,733,116,267,610,2,59,413,73
ABF1_56_119,148,224,324,491,1,143,310,362
ABF1_67_130,234,90,451,341,2,98,390,609
ABF1_78_141,567,120,274,320,3,234,61,270
ABF1_89_152,1256,32,536,392,3,88,499,231
ABF1_100_163,1178,160,664,197,7,8,126,301
ABF1_111_174,323,82,1134,1196,10,45,656,1128
ABF1_122_185,958,368,189,446,0,64,259,250
ABF1_133_196,699,116,285,185,1,80,158,570
ABF1_144_207,232,86,39,173,0,154,7,373
ABF1_155_218,771,147,81,554,3,313,237,169
ABF1_166_229,163,921,57,208,4,134,90,126
ABF1_177_240,326,26,197,97,1,50,95,236
ABF1_188_251,771,214,183,415,4,30,309,343
ABF1_199_262,391,175,7,195,5,693,165,263
ABF1_210_273,795,462,95,336,0,67,237,404
ABF1_221_284,206,236,271,276,1,50,187,445
ABF1_232_295,0,307,225,156,4,44,71,485
ABF1_243_306,593,505,142,195,0,13,233,636
ABF1_254_317,902,15,316,119,1,4,64,0
ABF1_265_328,705,483,418,110,4,66,70,172
ABF1_276_339,449,606,346,287,2,52,218,328
ABF1_287_350,1012,260,364,856,5,134,533,537
ABF1_298_361,653,159,260,370,1,181,342,144
ABF1_309_372,933,202,117,218,2,103,233,107
ABF1_320_383,812,363,33,443,0,8,34,42
ABF1_331_394,469,246,229,177,0,29,53,448
ABF1_342_405,4,21,90,176,3,40,234,18
ABF1_353_416,615,21,166,74,1,17,79,89
ABF1_364_427,416,202,147,266,1,2,82,36
ABF1_375_438,171,67,237,56,0,4,57,59
ABF1_386_449,852,360,628,67,2,13,28,266
ABF1_397_460,861,18,334,72,2,10,255,225
ABF1_408_471,1399,669,924,659,7,116,653,616
ABF1_419_482,969,152,922,535,1,59,293,243
ABF1_430_493,323,161,368,702,8,113,417,109
ABF1_441_504,433,22,270,121,4,215,135,34
ABF1_452_515,112,96,29,145,1,0,1,12
ABF1_463_526,2,207,28,78,0,74,341,549
ABF1_474_537,451,196,210,187,2,31,87,202
ABF1_485_548,0,0,3,298,4,5,77,125
ABF1_496_559,311,112,436,34,1,102,151,93
ABF1_507_570,1390,242,671,767,2,201,583,273
ABF1_518_581,214,206,464,371,7,440,284,802
ABF1_529_592,1566,221,527,471,2,185,292,537
ABF1_540_603,218,203,281,408,2,89,333,64
ABF1_551_614,1402,89,302,268,7,119,129,78
ABF1_562_625,437,130,245,368,0,242,83,40
ABF1_573_636,628,73,169,253,2,65,26,112
ABF1_584_647,134,340,2,464,2,29,134,154
ABF1_595_658,481,131,89,29,5,176,192,161
ABF1_606_669,145,197,235,557,5,97,259,464
ABF1_617_680,532,158,156,190,0,27,181,624
ABF1_628_691,1279,10,298,94,1,5,79,6
ABF1_639_702,94,14,181,190,1,274,137,409
ABF1_650_713,511,315,326,142,0,36,124,139
ABF1_661_724,583,158,59,334,0,58,18,1
ABF1_668_731,0,153,87,71,0,80,43,3
ABF2_1_64,381,234,164,216,3,149,370,383
ABF2_12_75,452,197,413,167,0,260,180,212
ABF2_23_86,365,138,154,170,1,78,140,158
ABF2_34_97,354,21,192,118,2,31,79,136
ABF2_45_108,129,318,306,453,5,31,177,90
ABF2_56_119,131,90,355,131,0,55,149,283
ABF2_67_130,541,142,74,184,0,6,95,36
ABF2_78_141,2,195,205,355,2,39,262,209
ABF2_89_152,625,137,901,382,2,32,116,336
ABF2_100_163,333,189,511,90,2,277,290,627
ABF2_111_174,158,5,297,67,0,91,103,475
ABF2_120_183,623,5,29,147,1,136,58,237
ACA1_1_64,221,289,392,247,1,26,69,343
ACA1_12_75,575,41,224,224,2,61,283,145
ACA1_23_86,282,262,425,97,0,63,118,295
ACA1_34_97,443,328,282,276,1,179,212,365
ACA1_45_108,340,164,609,534,3,102,405,263
ACA1_56_119,395,406,279,338,3,218,414,505
ACA1_67_130,1441,172,380,244,1,161,159,402
ACA1_78_141,615,210,702,352,1,160,282,324
ACA1_89_152,194,442,132,225,0,243,136,195
ACA1_100_163,1116,200,504,289,1,155,350,375
ACA1_111_174,277,195,256,159,0,44,190,667
ACA1_122_185,960,315,185,646,6,154,187,213
ACA1_133_196,1231,228,483,456,10,108,284,95
ACA1_144_207,1350,524,238,401,4,115,255,269
ACA1_155_218,553,763,424,341,1,279,295,496
ACA1_166_229,624,510,881,1235,7,525,905,1248
ACA1_177_240,545,327,188,235,7,233,376,531
