,1_0_1,1_180_1,1_60_2,2_0_2,2_180_2,2_60_1
ABF2_46_109,5587,1432,7020,6962,7247,6736
ABF2_118_181,6724,2383,6414,4010,4104,6636
ABF2_48_111,5724,1461,7383,8443,8283,6576
ABF2_117_180,6797,6239,8170,13384,11812,7310
ACA1_381_444,1654,1912,2512,4425,3200,2657
ACA1_383_446,2065,579,1704,1065,1030,2592
ACA1_382_445,1488,721,1759,2116,2085,2127
ACE2_601_664,10986,5564,11031,12760,12412,12188
ADR1_100_163,6920,5205,7208,8798,8404,6990
AFT2_42_105,9901,5879,10190,12004,10373,11342
AFT2_85_148,12313,11337,14464,16328,13389,14595
ARG80_79_142,9615,10214,10254,13047,11206,10044
ARG80_76_139,16619,18475,14722,19386,15800,17618
ARG80_88_151,12486,10093,12678,14747,12438,12103
ARR1_223_286,10375,3975,11537,12981,11812,11330
ARR1_15_78,5990,2420,6246,7117,6177,5813
ASG1_7_70,6667,3371,8656,9052,9363,7391
ASH1_488_551,6416,4933,6962,7791,6721,6494
AZF1_572_635,12203,10521,14743,14725,13514,12458
AZF1_600_663,6642,2856,7815,5846,5868,7390
AZF1_628_691,7790,3700,8660,9399,10926,8506
AZF1_658_721,6625,4059,7460,9324,7846,8667
AZF1_598_661,6814,4193,7396,9067,8066,7835
AZF1_638_701,4265,1039,6031,5662,6954,5058
BAS1_160_223,4391,2538,6475,5817,5358,4493
BAS1_106_169,6456,8289,6391,10785,9327,6401
BAS1_44_107,10614,6245,8685,13262,11643,10517
BAS1_107_170,5134,2954,5725,3784,3311,6459
BAS1_131_194,6867,5014,7270,7602,6285,6469
CAD1_36_99,4127,2915,4971,5623,5084,4386
CAD1_346_409,6973,5179,9323,9784,8316,8466
CAD1_42_105,4663,3137,5288,5821,4692,5179
CAD1_40_103,4353,3691,5269,5854,6291,6079
CBF1_215_278,9644,9977,11778,18499,17417,9903
CBF1_220_283,7684,5684,9783,9887,11924,9162
CBF1_216_279,11174,3712,11453,5773,7623,9576
CIN5_232_295,5200,1414,6010,5823,6449,5925
CMR3_251_314,7470,5152,9042,9962,9002,8440
COM2_380_443,9034,4850,8151,9305,9644,8224
CRZ1_548_611,4938,1139,5727,5207,5993,5354
CRZ1_576_639,8642,3539,8230,10461,10145,7892
CRZ1_562_625,4752,2655,6441,8094,6167,5659
CST6_422_485,3162,1590,4395,5451,5610,3562
CST6_424_487,3327,541,4022,2098,2734,3650
CST6_423_486,3164,1412,3815,4232,4001,4290
CTH1_186_249,4308,1835,5199,7459,6715,5222
CTH1_224_287,4797,1419,4226,5677,4797,4526
CTH1_187_250,4571,586,5137,2520,3215,4372
CUP2_1_64,12386,14480,12927,17005,14142,12483
CUP9_168_231,5882,3510,7480,7215,6922,6485
CUP9_164_227,5122,4536,5230,7679,6458,6040
CUP9_160_223,7644,4977,9735,10235,8263,8701
DAL80_16_79,9484,11125,9543,9129,7966,9102
DAL80_18_81,7888,9813,8954,10898,10026,8983
DAL80_25_88,6898,8264,6694,9165,6845,6302
DOT6_63_126,8750,9152,8551,13422,8972,9540
ECM23_120_183,6249,3279,6731,8035,7649,6831
ENV11_78_141,4995,580,4994,2662,2861,5013
ENV11_77_140,4273,1676,4550,8267,7997,4777
FHL1_469_532,8879,3788,9969,10606,8802,7850
FHL1_307_370,6955,4712,8040,7746,6919,6721
FHL1_296_359,10099,8451,13064,16372,12949,11201
FHL1_472_535,8115,4293,10778,15123,16084,9230
FHL1_473_536,9754,1569,10635,5822,6413,9624
FKH1_314_377,11001,6658,12009,19765,17985,11563
FKH1_88_151,6050,4063,6542,7165,6717,6183
FKH1_78_141,6608,6329,7828,9527,8590,8497
FKH1_315_378,11309,4144,13014,13605,13207,12212
FKH1_316_379,10486,1764,12648,6886,7259,9915
