,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Cyc8_1_64,11927,15377,11774,8688,7719,5192,17910,19778,7497,9384,3828,6367
Cyc8_6_69,3247,3270,2433,4035,3763,4812,3722,3799,2650,2763,2987,2453
Cyc8_11_74,17611,20683,13514,17085,9906,8978,25278,19981,9895,10775,9025,10440
Cyc8_16_79,8158,7045,5238,11803,8279,6591,9529,8371,5417,5921,9215,8226
Cyc8_21_84,14000,16193,4974,7941,5182,4687,25418,22683,6469,8251,9514,9073
Cyc8_26_89,18769,22329,20016,28832,15930,15765,23401,25369,16980,17118,14319,14731
Cyc8_31_94,8934,7901,8512,10624,10183,8333,7459,6211,9544,7617,10159,8322
Cyc8_36_99,4244,5551,5550,3763,3262,2894,4814,6945,3353,3764,1625,3787
Cyc8_41_104,18511,18775,23747,32065,25761,27339,20150,21673,17429,21880,35057,34420
Cyc8_46_109,9642,13146,10597,14391,18191,16667,12897,8731,10087,14613,17347,21500
Cyc8_51_114,10058,12881,10883,14481,19056,18561,13215,9000,10024,8178,15771,14315
Cyc8_56_119,9731,8725,8518,13345,15673,14029,12108,13099,9307,7041,12143,22029
Cyc8_61_124,5966,3268,3834,8571,3949,5348,6077,4104,3778,2722,4691,5244
Cyc8_66_129,11568,14682,10024,16688,15063,19407,14773,15741,13978,10490,20389,18463
Cyc8_71_134,25221,22832,20341,25995,36545,40315,35048,31274,23014,18443,42665,37954
Cyc8_76_139,10758,10296,12108,14947,13718,12892,11897,11605,6552,9542,15373,14724
Cyc8_81_144,11650,16253,12951,18175,16962,18442,16802,12971,14760,14131,20715,24037
Cyc8_86_149,20319,23299,13350,29601,28011,33193,28114,22791,20017,19329,46750,32528
Cyc8_91_154,19452,19490,17188,33353,32857,34190,31543,20363,20341,17105,44942,33751
Cyc8_96_159,11830,14195,12589,14412,13238,18455,18339,15676,10690,11188,14780,12420
Cyc8_101_164,15692,14715,13412,14605,16195,15881,13511,14116,9725,9370,17875,15214
Cyc8_106_169,7618,9421,4953,7050,10492,10782,11316,2237,5961,7692,12385,9168
Cyc8_111_174,6356,7225,6147,12880,9992,10102,11194,8141,5161,4715,10254,10263
Cyc8_116_179,17698,19324,9482,22147,19555,23019,15718,10586,12323,11441,21462,14233
Cyc8_121_184,25712,26984,20941,39697,33499,39564,33324,32611,21452,23760,43787,43823
Cyc8_126_189,16096,19267,14373,19568,25009,31491,32119,20801,16912,16957,33492,32745
Cyc8_131_194,11087,18558,10984,17134,22970,22372,20214,16334,12431,10907,22193,23425
Cyc8_136_199,11612,8005,7615,8550,7876,12599,10585,6386,11452,7290,13494,11953
Cyc8_141_204,10395,13278,9027,15612,17603,21705,21182,13589,11630,11130,17428,17166
Cyc8_146_209,12587,13386,7652,10846,15544,19396,19047,13279,11787,10012,20502,22760
Cyc8_151_214,7346,6758,5614,12275,9039,9530,11522,5617,6770,5146,10119,9470
Cyc8_156_219,7228,10286,7930,13842,15146,18431,13753,8124,6912,7629,15212,15002
Cyc8_161_224,9324,11972,10488,14089,14190,17772,13661,10843,7014,10573,15004,18061
Cyc8_166_229,8728,7876,7198,16142,12013,10498,9183,7792,6184,6561,12740,11005
Cyc8_171_234,10058,11035,12706,13051,21050,22207,18435,14814,12790,13614,23882,20544
Cyc8_176_239,7729,10823,9822,13710,12090,14695,10057,10830,8373,7277,18741,12301
Cyc8_181_244,8938,13270,10011,16285,16560,14637,15533,12800,10363,9893,16856,15237
Cyc8_186_249,11215,11596,10848,18416,22052,19814,13962,14742,13892,13872,26364,27439
Cyc8_191_254,20127,18079,12258,21133,22717,31835,25885,18622,16182,14383,38568,33568
Cyc8_196_259,9718,12624,8318,10229,18083,17972,14800,17424,14738,12853,20684,18293
Cyc8_201_264,13719,13668,10372,20537,15918,16967,12984,11229,8429,9428,20655,15984
Cyc8_206_269,8088,13538,10847,14021,12657,15950,11694,9884,7050,10490,14029,13212
Cyc8_211_274,4972,7009,5991,10174,9956,9921,5590,9643,5539,5493,7978,9961
Cyc8_216_279,7544,5874,3289,8275,7989,5591,4086,6158,3524,5145,6543,5518
Cyc8_221_284,8319,9517,9519,9866,12361,13631,10786,9192,7773,10229,13109,13424
Cyc8_226_289,6362,9508,6139,14976,11850,14948,9537,10658,7222,8155,9609,12694
Cyc8_231_294,13336,11768,10850,22498,15652,14131,17820,14991,14769,16848,18003,18099
Cyc8_236_299,11946,12124,17491,20619,15384,13282,18164,11649,12708,14681,17296,16719
Cyc8_241_304,9186,10343,11205,15474,18251,16653,12306,10577,10268,7729,20653,16806
Cyc8_246_309,8725,9470,5388,10851,10326,9560,7333,6425,6691,3516,10672,9257
Cyc8_251_314,4175,4952,4259,6348,6324,5531,6094,6740,6465,3194,9639,7267
Cyc8_256_319,10592,6840,5990,13436,7447,12452,11223,14078,6599,7274,13287,12836
Cyc8_261_324,13983,16071,15626,23769,14675,11549,18629,20673,17095,15721,14669,15727
Cyc8_266_329,14799,16545,18093,30708,17133,17667,18958,19099,16772,16300,16875,22119
Cyc8_271_334,15866,16736,18471,22140,21250,18709,19006,20375,18452,14332,22035,18876
Cyc8_276_339,13082,11854,9068,18299,16053,17873,16101,12021,8296,9276,16560,12211
Cyc8_281_344,16003,16325,11811,22987,17083,19806,13831,11665,11342,11644,20462,20151
Cyc8_286_349,3511,3487,2337,7686,5824,5934,4303,3347,4573,3257,6656,5780
Cyc8_291_354,9226,8810,7287,11847,13587,10302,9108,5660,8092,6397,7517,9969
Cyc8_296_359,8896,8947,9070,10624,10010,12539,11313,9185,8308,6128,14049,12202
Cyc8_301_364,8620,7649,8948,12725,11892,10986,9805,6618,5200,9725,9530,11084
Cyc8_306_369,9345,8228,6115,9731,10405,11701,11213,10242,6042,6351,10077,15001
Cyc8_311_374,11156,10582,5897,18983,13066,13847,14003,13751,10191,10229,17078,19393
Cyc8_316_379,5825,6421,5238,12630,9904,8667,6983,6886,4785,7907,7767,6930
Cyc8_321_384,7526,5910,5552,11251,5839,11367,8790,8460,7006,7700,8528,9474
Cyc8_326_389,10016,11258,10079,18277,11209,15944,12955,14414,7454,6837,12095,12359
Cyc8_331_394,5920,7566,4762,7799,7776,10394,7222,6503,6424,6003,8257,8695
Cyc8_336_399,10033,12345,7704,12055,14714,15147,11021,11541,9413,7948,16428,14354
Cyc8_341_404,9531,9652,9758,16157,10324,10919,9090,10664,7216,8958,9742,12331
Cyc8_346_409,6864,7959,6778,11835,10419,9425,7616,7978,4950,5714,9162,7955
Cyc8_351_414,3839,6024,4598,5298,9388,6523,5711,6462,2610,5798,8127,8969
Cyc8_356_419,8715,6305,6400,10290,5580,9550,8806,3566,7338,4766,11088,5187
Cyc8_361_424,5951,5889,4343,11989,8897,8685,7653,7463,6005,7492,9067,9574
Cyc8_366_429,8137,8191,9749,15439,12418,9011,7115,11371,6175,6673,8977,13436
Cyc8_371_434,14810,15697,18412,23033,24889,28898,24855,17873,18202,15986,32090,32614
Cyc8_376_439,15076,17498,14220,16958,7850,8118,26028,18562,12039,13947,10909,8903
Cyc8_381_444,10593,12628,14815,15292,15344,21316,13676,18714,8875,12126,16998,15459
Cyc8_386_449,7316,10615,10388,16770,14244,12654,13029,7579,6726,10179,15194,10775
Cyc8_391_454,7973,6792,6900,13072,10359,8163,8469,4315,5826,5764,8414,10456
Cyc8_396_459,4007,3694,1753,4208,5262,3686,5119,4382,3599,2932,4713,6358
Cyc8_401_464,9726,10818,8580,10210,4283,6365,11457,16385,7986,5291,6065,5860
Cyc8_406_469,15757,17525,19988,19004,10413,8430,19154,19123,15839,14260,11790,14594
Cyc8_411_474,15549,16168,13881,19674,8069,7973,19266,20646,11153,10661,8874,6781
Cyc8_416_479,14586,13861,14104,22565,10665,13698,15466,15248,11540,12085,11962,12394
Cyc8_421_484,6267,8103,6922,22553,9504,7862,11102,8112,9675,6646,11175,12407
Cyc8_426_489,6583,6751,4329,12548,8977,10387,6366,7865,7743,6126,7908,8863
Cyc8_431_494,9916,11183,10205,13125,8121,8335,9705,10000,7170,9006,9383,9431
Cyc8_436_499,11479,13504,10146,18251,5944,8200,14319,15769,9031,8746,9882,7983
Cyc8_441_504,6329,7264,6898,4926,5602,5182,6179,6485,4581,4796,2737,3221
Cyc8_446_509,9604,10389,7722,8724,4957,3328,10361,8669,4447,6310,4280,4747
Cyc8_451_514,9039,7942,4872,6090,5254,4014,8546,5198,7133,5815,5334,5522
Cyc8_456_519,7821,5968,5384,12379,9203,10902,7207,6880,6826,7146,7816,7232
Cyc8_461_524,6873,7896,4629,9057,3713,5854,7303,11339,2491,3424,5180,4066
Cyc8_466_529,6624,5819,2829,4335,3262,4226,4599,5712,3610,2622,1434,2848
Cyc8_471_534,9821,9736,6969,8328,7308,5613,14071,7044,5740,7955,5268,6700
Cyc8_476_539,5367,5346,2778,6298,2978,2629,6441,4748,2324,2700,4547,2704
Cyc8_481_544,7704,9165,6849,9456,7023,5518,9620,8464,5888,5176,6730,4974
Cyc8_486_549,7789,7357,10134,17069,9580,7991,11061,7543,8718,9858,10317,8681
Cyc8_491_554,11232,12342,11238,17406,11384,13070,11529,9729,13254,11725,11818,14315
Cyc8_496_559,5568,8399,5985,15384,8337,8160,12050,8083,8823,8032,7210,9119
Cyc8_501_564,4743,4092,9957,12518,8550,7775,5111,8357,5011,4505,6378,9501
Cyc8_506_569,5441,5560,8910,13377,10421,6557,6096,6282,6101,4744,7649,6784
Cyc8_511_574,3958,7796,4201,7855,6813,6439,6525,5361,3692,6164,4526,7113
Cyc8_516_579,3608,3324,3810,4748,3642,3864,3293,3540,5372,2241,4419,3955
Cyc8_521_584,2943,2547,3101,2269,3721,3382,4259,2875,2885,4070,3647,3668
Cyc8_526_589,6076,5181,5700,7614,6775,7627,4615,4368,5641,4283,5813,8288
Cyc8_531_594,2934,5741,5642,5590,6212,6396,7854,4991,5729,3905,6174,7010
Cyc8_536_599,2288,2329,2011,4110,2587,3077,2542,1463,2373,1812,2049,2643
Cyc8_541_604,3665,6059,3137,8006,3673,2734,6798,3963,3125,4457,3912,5901
Cyc8_546_609,8601,7696,12480,18249,9297,7759,13416,14183,14137,9668,6730,5504
Cyc8_551_614,6800,7755,10184,17056,5434,7845,10924,7252,9459,8425,6402,5897
Cyc8_556_619,5794,5329,5426,3438,4434,4887,4261,4054,3188,2282,1774,2545
Cyc8_561_624,3760,4899,3958,6699,2721,3000,4455,4211,2655,4405,3831,3646
Cyc8_566_629,4057,5001,2905,5700,3761,3248,6179,5189,3476,2472,1800,2535
Cyc8_571_634,9102,8046,7010,7534,6491,5304,7322,7572,4296,5084,4995,6574
Cyc8_576_639,3204,4235,5217,7142,3341,2946,7044,5523,3755,3559,3332,2439
Cyc8_581_644,7939,9480,5177,5292,4187,4419,9854,9136,3350,4010,3889,3992
Cyc8_586_649,6911,8783,7835,9288,5254,6824,10851,6872,5863,5468,5695,8778
Cyc8_591_654,7721,12672,9257,11923,6015,4824,13376,12769,6166,6235,4717,6404
Cyc8_596_659,6408,5354,5948,5621,3647,2331,6778,7085,3903,5575,4877,3099
Cyc8_601_664,2645,3131,3057,3240,1649,1340,6080,3216,2124,3554,1339,1798
Cyc8_606_669,6842,8408,6044,10775,4705,6914,6356,6396,3519,4533,3040,4863
Cyc8_611_674,11290,13781,9035,19699,6728,7931,16329,14149,5335,7415,4041,5053
Cyc8_616_679,9137,10905,6294,6270,5224,4258,11272,8396,3352,5450,4765,8891
Cyc8_621_684,3147,6884,2671,2739,2376,4151,3466,2705,2696,2081,2754,1919
Cyc8_626_689,3998,3952,4957,11218,4010,3435,6803,5686,3467,2306,4842,2284
Cyc8_631_694,6076,8207,5030,7975,3350,3961,6200,3565,2666,4464,3882,4973
Cyc8_636_699,8355,7076,8057,10363,6250,7529,8290,6932,5138,4751,7392,9188
Cyc8_641_704,3772,3403,4557,6881,1752,2568,5660,5392,2532,2575,1860,1769
Cyc8_646_709,3012,4429,2508,3898,3348,4098,4483,6009,2409,4029,3601,2813
Cyc8_651_714,4519,8921,3940,4406,3478,4940,8987,9425,2344,4455,4485,2338
Cyc8_656_719,8463,11072,6561,6673,4679,4157,9711,10102,7947,4883,5753,6474
Cyc8_661_724,8071,14240,6254,12061,7655,6061,15619,11441,7940,8689,5585,4532
Cyc8_666_729,7147,9712,6985,8245,4491,5476,15050,9166,6799,5721,4518,4646
Cyc8_671_734,10299,13984,8444,9322,8592,5634,19084,9398,7044,8405,6187,7459
Cyc8_676_739,2658,6972,2570,2492,2951,2004,3737,5176,435,1798,1588,807
Cyc8_681_744,6456,7835,6288,4800,4484,4787,11867,7900,6789,6629,3266,4960
Cyc8_686_749,4433,5825,3260,4804,2684,1830,9611,5969,4080,2799,1263,2130
Cyc8_691_754,2631,3779,4404,4409,3736,3888,7058,2448,2945,5368,2163,4169
Cyc8_696_759,322,809,462,260,2050,533,2236,585,292,961,472,1006
