,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Ste12_1_64,19997,22911,27669,21458,16327,31065,30131,23233,32369,607,19509,58713
Ste12_6_69,6640,8140,6241,7492,6745,9315,4516,4126,5738,197,4085,14086
Ste12_11_74,18594,17597,19877,15980,21380,36351,19011,11088,20522,501,12875,54076
Ste12_16_79,18014,10143,16323,18715,14643,28597,15039,14161,18980,415,10597,41622
Ste12_21_84,9359,8086,10392,7732,7101,13794,8305,9476,10977,190,11615,24183
Ste12_26_89,27754,24281,34560,24082,30361,55246,30413,27321,32385,854,21943,85059
Ste12_31_94,15071,9553,13700,7402,13743,21756,13932,14802,11230,313,7048,33101
Ste12_36_99,7373,7849,8792,5509,9446,15629,7289,6396,7097,257,7605,16673
Ste12_41_104,25583,20673,30550,20331,36202,56787,26343,28014,32586,696,27758,86013
Ste12_46_109,13605,19132,21812,13289,11661,22668,18384,15944,20180,399,5255,36935
Ste12_51_114,7128,4412,7596,2793,4720,9429,7093,6550,8870,136,4021,13406
Ste12_56_119,10961,10801,16177,10691,7033,13395,12739,12227,14166,277,10661,21922
Ste12_61_124,27714,23438,36082,25511,26866,47749,32969,30388,37382,574,25185,79634
Ste12_66_129,9480,13102,16172,13364,12616,20712,12998,9159,14441,299,8121,30344
Ste12_71_134,10524,11432,14218,6493,9667,13458,13892,16810,15904,320,8692,25241
Ste12_76_139,30747,27567,30852,24932,30193,42903,35303,35164,34737,702,15994,66601
Ste12_81_144,29047,26617,32985,27146,38231,54592,30568,27128,33292,887,33599,76960
Ste12_86_149,9434,11638,15789,10484,19782,24766,15588,12901,16926,403,14417,34140
Ste12_91_154,18170,18471,16837,14211,11273,17068,21804,20219,19950,408,5639,33113
Ste12_96_159,37644,33068,41163,27430,32629,59053,40777,39968,52509,978,29108,86287
Ste12_101_164,30358,28612,39409,25938,36252,64705,37974,44338,38455,1025,29058,101073
Ste12_106_169,32797,28649,35618,24700,34998,63062,36690,30394,31792,997,37497,97233
Ste12_111_174,22099,19621,26472,18615,27087,44907,20851,20622,24245,553,23055,63152
Ste12_116_179,20665,22461,23498,16327,26019,42604,21181,22211,24423,798,12857,53536
Ste12_121_184,19729,16718,19274,13355,21805,30536,17263,18653,16800,508,10446,44571
Ste12_126_189,28844,23873,29292,13415,11573,25055,25745,23564,29600,558,16565,46844
Ste12_131_194,30282,24190,27665,24239,17271,35424,30662,27160,27786,622,7246,61465
Ste12_136_199,33634,39038,45664,36600,35862,57199,38962,35680,53358,930,34283,97291
Ste12_141_204,38238,34565,38280,22148,20534,35556,37347,33251,39891,887,15766,77336
Ste12_146_209,11668,10976,14224,10315,12677,18200,9028,12380,11235,427,7488,33202
Ste12_151_214,38845,37306,46357,33775,50069,82209,47635,33659,52317,1366,52608,139513
Ste12_156_219,17747,16007,20253,13230,18280,32173,17009,16855,17699,474,19910,52674
Ste12_161_224,6352,7202,6917,5354,7016,10224,8377,10164,7925,184,2739,16421
Ste12_166_229,8134,10776,9035,5281,8437,14907,8661,9086,7123,256,6293,19783
Ste12_171_234,20113,22417,14260,9034,3547,7689,28880,24235,13643,447,2449,19818
Ste12_176_239,19730,20329,20764,14806,12816,22384,19705,19417,19524,362,5890,43621
Ste12_181_244,13666,15071,15514,9975,6186,15262,12715,10990,15445,367,7140,32986
Ste12_186_249,9758,8861,12916,8373,9560,15735,10051,12800,12494,310,7151,26622
Ste12_191_254,11092,12407,18174,6814,18750,20763,13641,12951,12018,336,7364,29414
