,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Gln3_1_64,10415,11377,6465,7379,9369,3874,13363,18404,7271,7900,4807,4733
Gln3_6_69,272,357,525,596,831,178,748,761,339,466,292,476
Gln3_11_74,1103,701,1042,1245,2280,946,1197,1817,899,995,1290,1693
Gln3_16_79,3836,5588,4771,5826,8819,6273,5774,7857,5543,6935,5521,7649
Gln3_21_84,6711,8793,7120,8992,13694,10064,9115,11891,9373,10893,6295,9224
Gln3_26_89,8476,7696,6420,7827,12957,6568,12499,15748,9030,8917,5224,5804
Gln3_31_94,9156,10696,8720,8964,13032,8269,12600,14030,9468,10799,9359,9694
Gln3_36_99,12634,15064,11496,15469,22825,12897,17422,22786,13852,16739,10985,11680
Gln3_41_104,11827,12605,8046,11344,11018,6389,16549,22840,11461,11989,7614,7807
Gln3_46_109,16205,17949,11217,13478,15397,10493,22292,26589,13382,15770,9612,9759
Gln3_51_114,11330,10425,11073,16205,26757,16698,14864,16321,11696,15274,14312,16185
Gln3_56_119,7853,6734,6909,7926,19237,9806,8266,10028,7711,10035,8233,9141
Gln3_61_124,6150,7324,7607,8507,15638,10331,8957,11298,8700,9317,9607,10535
Gln3_66_129,7104,6203,7146,9869,16971,9904,9196,12015,8297,9878,9119,10239
Gln3_71_134,6233,8747,5295,5979,8028,3482,9753,10840,5635,6288,4093,4507
Gln3_76_139,14674,17332,9521,13471,17462,10917,16735,20332,10902,13003,9900,10377
Gln3_81_144,7213,7597,6945,10010,19166,11879,9829,14954,9305,11096,10469,12223
Gln3_86_149,6607,7798,8400,10986,20698,15285,9800,14469,10753,11559,11383,13065
Gln3_91_154,12063,12506,8864,11002,12981,7635,15353,18883,11398,11592,6205,7762
Gln3_96_159,9110,10128,9582,12091,21928,13593,11659,15605,11378,13515,11028,13641
Gln3_101_164,10377,10413,10873,15213,18011,10540,14169,16186,12297,15627,10015,12181
Gln3_106_169,8046,8222,6513,8468,9999,7090,9210,12542,8215,8322,6383,7151
Gln3_111_174,8247,11013,9279,11766,25770,14327,13195,15328,11626,12506,15648,19173
Gln3_116_179,10001,8800,10608,12506,17171,12973,11885,15921,11269,13345,10116,9886
Gln3_121_184,11369,15665,12182,16813,27145,19625,16637,19704,14269,17661,15961,19449
Gln3_126_189,13118,13085,13584,17905,34840,16269,15399,18705,16369,16328,15823,18493
Gln3_131_194,10924,11736,10611,13143,19559,13205,14111,17159,12130,13019,10780,12428
Gln3_136_199,14655,16357,9262,12048,15135,8928,16793,19920,9747,13173,7933,9356
Gln3_141_204,4546,5269,3227,3374,4235,2097,5603,6997,3468,4264,2992,3753
Gln3_146_209,10072,9389,10086,13522,20952,14106,14376,17185,12818,13651,11764,12050
Gln3_151_214,12743,17590,15241,19078,33844,25509,17831,23412,19056,20511,17195,20846
Gln3_156_219,11103,14058,11039,14584,20032,11791,15887,22454,14126,15513,10445,12916
Gln3_161_224,11613,12410,14295,19464,34055,21541,15441,18915,14521,18160,15874,17217
Gln3_166_229,8722,11840,9376,12285,18208,11565,11661,15994,12561,10362,8990,11548
Gln3_171_234,3823,5629,3763,5603,6896,4469,4831,7933,5458,4602,4181,5465
Gln3_176_239,6246,6482,6653,8045,9861,7172,7921,10612,7001,6735,5754,6117
Gln3_181_244,8743,14338,6944,11070,10171,5394,10652,15064,9486,9494,5778,6344
Gln3_186_249,3893,3687,3534,4130,5358,2290,4028,7077,4538,4699,2857,3014
Gln3_191_254,4386,2831,3968,3897,4694,3760,6307,7575,4463,4645,2790,3056
Gln3_196_259,7315,9701,7345,8596,10632,6557,11281,14456,7984,8933,4989,6320
Gln3_201_264,6883,8926,3973,4427,5002,2785,7582,10216,3864,4463,2860,3063
Gln3_206_269,6151,4991,3279,4061,6408,3276,6590,8478,3459,3754,2326,2579
Gln3_211_274,2102,4164,1577,1666,1696,1160,2937,4312,1600,2259,1044,1258
Gln3_216_279,3172,3500,1385,2241,2709,2545,4054,4194,2302,2365,1512,2283
Gln3_221_284,2878,4464,2149,2543,4903,2485,3988,5385,2987,2398,2370,3102
Gln3_226_289,4673,4194,3303,2846,4989,2958,5067,6871,3437,4016,2799,3396
Gln3_231_294,8173,11350,4707,4898,5127,3747,9843,12061,5117,5981,3098,3611
Gln3_236_299,4464,5969,2345,2969,3113,1450,5249,7264,2885,3229,1793,2130
Gln3_241_304,10569,9666,5891,6617,8044,5077,13239,16658,7281,8928,4558,5211
Gln3_246_309,8006,7496,3600,4278,4089,3917,10771,13749,5056,5782,2775,3335
Gln3_251_314,11528,10716,9366,11713,16173,11177,13146,16698,11002,10727,8018,9353
Gln3_256_319,6764,9694,4750,6060,6182,3860,7950,10798,5764,6326,3511,3726
Gln3_261_324,3869,4443,3414,3526,5027,2204,6148,6016,3475,4481,2696,3876
Gln3_266_329,9996,11960,9542,10260,14208,7647,11400,14655,9696,12178,7739,9591
Gln3_271_334,14474,16359,13078,17727,25651,14228,19911,24258,15709,18208,12548,13861
