,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Med15_1_64,18854,21694,27126,49674,49124,35780,30287,44621,49360,53884,52167,55847
Med15_6_69,8132,8959,11199,22459,26656,15786,11484,18240,20689,27214,22800,26123
Med15_11_74,5744,6051,8904,14832,16772,11069,8457,13546,13762,16330,13754,17830
Med15_16_79,8594,10333,15913,28191,22626,13706,14967,21723,22863,30153,18158,22093
Med15_21_84,14427,15743,22000,32542,25334,19149,23652,33254,33384,37964,24172,32087
Med15_26_89,11611,13204,13334,20110,14126,9743,17554,27175,21597,25041,15281,15343
Med15_31_94,12036,13693,13038,16856,12138,8862,21110,29619,21480,23170,17633,16587
Med15_36_99,3584,3665,5057,8290,6638,4555,4956,8146,7974,9297,5635,8326
Med15_41_104,16434,18310,16578,31957,21003,14623,29306,43106,35480,37857,26682,23720
Med15_46_109,10690,10849,15041,22373,21130,15280,19933,28188,28633,30379,26824,29802
Med15_51_114,8358,9665,7275,11589,7653,5681,14645,20769,12347,15452,9924,10880
Med15_56_119,8557,9018,5802,10174,7690,5883,14651,24579,14422,14848,11941,11356
Med15_61_124,7183,8544,7098,10242,7053,5083,12766,20699,12637,14419,6808,8390
Med15_66_129,9323,11197,10946,20784,15181,10156,19140,26386,22471,21766,20369,18955
Med15_71_134,10522,12098,12683,19623,16040,9563,20683,29831,23871,29389,20530,19839
Med15_76_139,10717,12253,15025,21231,16840,10984,19621,28864,23326,28118,22396,22016
Med15_81_144,6499,7592,11392,13980,10585,8250,10955,16765,14183,15122,10881,12327
Med15_86_149,7401,8045,8961,17652,13384,9215,13357,17735,17327,19251,14750,16906
Med15_91_154,9265,10484,12700,20337,18246,12375,14390,22748,25345,25351,19816,21398
Med15_96_159,3755,3471,3565,6540,4603,3259,6942,9434,7910,8948,7515,7037
Med15_101_164,2507,3023,3055,4273,4281,2577,3197,6006,5996,5714,4146,5880
Med15_106_169,2562,2556,3047,4761,4412,3206,5217,8417,7590,9308,7120,7403
Med15_111_174,7382,8040,13902,18862,16561,12180,12767,19750,23261,25219,17272,23608
Med15_116_179,1128,1312,1273,2002,1978,1394,1430,1965,2628,2685,2693,3135
Med15_121_184,3188,3486,5223,5432,4804,3207,6101,9223,7622,8446,8301,8740
Med15_126_189,9126,10036,10172,18175,14328,9384,14551,23689,20324,23138,17176,18247
Med15_131_194,7564,8093,8317,12954,7640,5035,13390,18174,12517,14563,10281,10019
Med15_136_199,14217,17199,29957,44219,44003,27201,26322,40912,43443,44966,42379,48835
Med15_141_204,10557,11067,11433,23499,17689,12244,18636,27340,23319,26657,20778,22257
Med15_146_209,4793,6223,7566,9931,11109,6548,9845,15312,13054,16601,16785,14143
Med15_151_214,8192,9769,8412,15243,13255,7114,13533,22105,16299,15898,16137,14923
Med15_156_219,12754,14526,20611,34138,29416,18457,22009,31979,34400,37483,26165,28163
Med15_161_224,8899,10072,10765,16892,14911,8649,15944,24085,17732,18582,16597,18146
Med15_166_229,7555,8632,9353,13302,13839,7601,13335,16869,14688,16789,15567,15893
Med15_171_234,12006,14811,14848,26256,20753,13231,23587,29083,27693,31188,19353,24098
Med15_176_239,17125,19030,23177,39563,28679,22399,28755,39146,38433,41646,35454,35797
Med15_181_244,13090,14751,20331,30664,25971,17503,24611,34147,36844,42965,26613,29904
Med15_186_249,12338,13643,20799,31635,33112,23155,20088,32754,36533,35796,32030,37647
Med15_191_254,16378,19516,31364,50070,50353,31520,32114,44507,54442,57833,52387,60730
Med15_196_259,5729,6317,10381,16058,18750,12250,11550,15463,19892,21115,21874,25473
Med15_201_264,9976,9997,13986,24277,21148,15849,17071,22645,27521,27864,23403,26662
Med15_206_269,3477,3681,3400,5788,5639,4257,5956,9210,7704,6204,7990,8034
Med15_211_274,6943,8109,10660,14815,10363,8222,12380,20671,14237,19775,12717,12813
Med15_216_279,10967,12131,19200,28885,24767,14532,21747,31452,29456,34742,25776,28176
Med15_221_284,12578,14393,20741,29535,23792,16473,22858,34561,34657,37758,27236,29471
Med15_226_289,7505,8968,11174,18817,22947,15188,15802,20885,24050,23686,28989,32082
Med15_231_294,8726,10272,11474,24206,20198,14242,16273,23892,25999,28588,20669,24411
Med15_236_299,6834,8172,13399,19424,23501,12557,12482,18650,21318,23736,23838,26085
Med15_241_304,9836,10144,14012,29582,26880,17291,16901,24329,29428,35803,31304,33711
Med15_246_309,9118,10192,15321,25675,26645,17203,15447,24576,28499,31513,28009,30119
Med15_251_314,6770,7152,12127,18303,21432,12324,11537,18347,22426,25312,23671,24458
Med15_256_319,3800,3668,4474,6121,6540,4701,7360,9136,8303,8401,9716,10076
Med15_261_324,4286,4731,4683,6958,7317,4088,7976,11682,10667,10467,9388,9884
Med15_266_329,7299,9146,6108,15115,11076,7782,12183,17762,13943,15422,12090,12645
Med15_271_334,9909,11180,7478,15076,7992,5741,17559,25084,15565,17854,8373,9296
Med15_276_339,5411,6819,5088,6849,3848,2694,9454,15937,7014,8098,6188,5464
Med15_281_344,5349,6167,4605,7216,4699,2526,8710,13346,8575,9546,7497,5854
Med15_286_349,2600,3064,2436,3868,2953,1824,4459,7473,5871,4175,3720,4240
Med15_291_354,4178,4990,6201,8502,6363,5071,6602,12541,9776,11469,8904,7621
Med15_296_359,4200,5123,7307,7302,5599,4750,9753,13206,10537,8362,8091,8718
Med15_301_364,6010,5960,7779,10798,7445,5484,10174,13026,11282,13396,8028,9580
Med15_306_369,3044,4241,3511,5755,4217,2545,6634,9204,6636,7582,5041,5563
Med15_311_374,4719,5663,6123,8244,5657,4499,7760,10971,8310,9330,6581,7544
Med15_316_379,2468,3082,2306,4112,4893,2688,3939,7673,6060,6588,6330,5632
Med15_321_384,2849,3289,3070,5265,4257,3240,4816,6955,5797,5662,8083,6840
Med15_326_389,5833,7001,6985,11300,8275,6041,10736,13935,12371,12176,9454,10385
Med15_331_394,3069,3376,5868,8670,9314,5593,5074,8493,9129,10242,9471,11179
Med15_336_399,5029,5284,8594,13160,14180,9117,9312,13288,17554,18933,17674,20062
Med15_341_404,13496,14544,17435,30079,23840,17651,22828,32615,33273,39519,27286,29461
Med15_346_409,8224,9380,14611,24976,20874,12811,14417,25392,24541,29380,21456,21867
Med15_351_414,10398,11031,16579,23662,24868,17571,21076,25720,28336,28762,28908,33300
Med15_356_419,8969,9734,7395,14062,10758,7682,13471,23802,14706,16577,14841,13616
Med15_361_424,9899,10285,16461,26256,24032,15601,18390,26828,30493,32722,26994,28273
Med15_366_429,10764,10930,20648,32675,32091,20340,17062,25378,34537,34894,33108,38509
Med15_371_434,10066,12105,18047,28946,33542,19949,17824,27442,30559,35286,33078,38599
Med15_376_439,4870,5623,5333,8862,8661,5781,7627,10975,10634,11992,11080,11019
Med15_381_444,9836,11806,16684,30105,26367,18380,17299,27656,28882,34410,27961,26975
Med15_386_449,9993,11977,19218,30883,33329,20537,16590,24642,28186,30871,29590,34766
Med15_391_454,8946,10803,15395,26021,34544,21047,16410,23822,29093,33251,35493,39695
Med15_396_459,11594,12914,21429,33107,32655,23680,20988,32062,35307,38720,28714,31904
Med15_401_464,9664,9703,18632,26759,23422,15142,15611,25118,26532,26969,24553,23930
Med15_406_469,9213,11349,12713,24811,18017,11838,16573,24946,20645,24641,15254,16559
Med15_411_474,1707,1979,2207,3895,3885,3648,4387,4681,5228,6612,6981,7380
Med15_416_479,11320,12851,25983,37919,39729,23883,20082,30367,33058,35872,31817,33216
Med15_421_484,10236,12518,22653,33121,38530,23159,20536,29519,33375,36698,37107,40571
Med15_426_489,13452,14763,18713,38363,40175,26935,25692,37206,39429,41522,41122,51316
Med15_431_494,9367,10339,15117,27883,34497,19841,18988,26986,34012,35621,33447,38962
Med15_436_499,10524,12123,17116,34190,36225,21475,20435,27131,32733,36225,29426,36197
Med15_441_504,8812,9223,14561,22756,30338,16349,14781,21571,23616,31445,30979,36252
Med15_446_509,9886,11058,17013,27011,33422,19026,18542,25432,27333,33543,35055,37629
Med15_451_514,19390,20796,23417,47405,33635,21769,32842,46868,43678,44473,33191,35153
Med15_456_519,12898,14287,21967,39289,44370,26624,21539,34465,38097,44263,41837,43881
Med15_461_524,5354,6005,7511,15502,18398,10763,8603,15037,15368,19302,18324,19875
Med15_466_529,9470,11291,17221,29475,34869,17534,16090,25401,28392,33272,29469,35103
Med15_471_534,9054,9644,12614,26194,31345,16385,16993,24601,26903,33747,33453,34240
Med15_476_539,9837,11357,16148,29653,32126,18115,15876,25127,29863,36764,36205,33523
Med15_481_544,5638,6066,6624,14251,17207,9733,9324,12791,17155,20345,16981,18294
Med15_486_549,7733,9234,5143,12391,9490,5488,11868,17017,11692,12022,11515,9449
Med15_491_554,8100,10238,7498,14064,10451,6997,14420,20405,14824,17263,10816,11210
Med15_496_559,7014,7626,11165,17363,17215,11889,12724,15573,17548,19803,21785,20506
Med15_501_564,3131,3770,6059,7586,9840,6233,4877,7920,8465,10300,10367,11338
Med15_506_569,4750,5463,6271,12611,15337,9522,7643,12716,12438,14549,18296,17360
Med15_511_574,5060,5454,9702,13987,17789,12970,10090,11601,16889,20165,21140,21585
Med15_516_579,5912,7140,7297,14450,21034,14484,11244,16723,15689,18476,26227,26633
Med15_521_584,9191,10843,12320,19565,31140,19767,14645,22483,22579,26791,39104,38640
Med15_526_589,2635,3112,2975,6612,9368,6050,5281,7733,7609,9064,11472,11103
Med15_531_594,2979,3063,3136,5236,7497,5083,4586,7000,7269,7531,8746,10154
Med15_536_599,3479,4222,7047,8498,9927,6122,6118,8632,9546,10350,12415,13901
Med15_541_604,7007,6727,8153,15899,19269,13592,12762,17191,18044,21483,20890,28101
Med15_546_609,14110,16186,18699,26772,41985,28313,23573,31913,35969,34836,48315,55057
Med15_551_614,9108,10308,13298,16504,22273,15071,14763,24100,20606,21670,27722,29660
Med15_556_619,8076,8875,14003,19961,27283,16667,13993,20826,21684,26102,26785,32014
