,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Med15_1_64,24891,24417,20164,31950,18234,30562,22670,30239,26382,47948,20010,12396
Med15_6_69,9255,10197,7907,16642,8421,12874,10155,9708,14884,21346,9722,7689
Med15_11_74,6761,5849,4227,11783,4778,10744,8199,7818,7766,12687,6884,5255
Med15_16_79,12222,10935,7291,16979,5476,8854,11172,13655,14365,21026,7654,6486
Med15_21_84,20073,19595,16637,23592,10134,13438,15215,21691,17379,24686,10893,7816
Med15_26_89,15494,20916,8134,12022,3632,6996,12020,16582,10370,12884,7374,2200
Med15_31_94,17380,18037,7946,11057,5702,9103,14461,18905,9120,12698,4118,4246
Med15_36_99,4536,5284,8112,6749,3461,4385,6937,7115,7441,10789,4718,3572
Med15_41_104,22710,23167,10541,20990,8291,16999,22104,30003,20661,28363,6610,8254
Med15_46_109,13401,17927,11526,16813,8342,15954,10379,16515,14291,24826,12587,8402
Med15_51_114,10406,10786,4566,7424,3454,6680,9293,10978,6429,9384,3405,2107
Med15_56_119,8155,10068,4476,5264,3188,5382,6007,9828,3576,7891,2122,2190
Med15_61_124,9621,7797,3893,6037,3501,4903,9212,9912,4933,4312,1975,2182
Med15_66_129,14671,16487,7120,13542,5931,10130,9553,12992,7576,11272,5001,4172
Med15_71_134,15883,17239,9095,12940,8196,7911,14661,15309,11409,11583,8753,6201
Med15_76_139,14714,18096,9122,17261,6696,10185,13667,20465,11640,15027,6903,6375
Med15_81_144,9854,9135,6196,8503,4266,4336,8211,12103,4362,13277,4672,3865
Med15_86_149,10264,12908,8438,13178,5252,9897,8048,8518,8073,10292,5510,2902
Med15_91_154,12390,17255,6274,13547,5469,12734,9489,15663,9305,16909,6699,5364
Med15_96_159,4674,5461,2829,4482,2709,4404,4591,4120,3491,6698,3607,1901
Med15_101_164,2533,4005,2970,4420,1370,1571,2919,4225,2916,4196,1068,2294
Med15_106_169,4565,4761,3264,3633,3433,4953,2897,4272,3130,3640,2856,3795
Med15_111_174,10698,9765,6382,9452,5914,13014,7874,12702,12308,16504,6362,6116
