,1_1_1,1_1_2,1_2_1,1_2_2,1_3_1,1_3_2,1_4_1,1_4_2,1_5_1,1_5_2,1_6_1,1_6_2,1_7_1,1_7_2,1_8_1,1_8_2
ABF2_46_109,3974,128,16,11362,3091,7137,5330,2947,3199,3219,743,12,6,9,5,7
ABF2_118_181,2,0,1,0,2,0,1,0,1,4,5,2,1,6374,1971,3894
ABF2_48_111,25,227,643,3103,309,5348,5,981,843,106,5,1,1,1,4,2
ABF2_117_180,6,19,5,4,11,16,465,10,1567,8,12,3003,7088,7,15204,18923
ACA1_381_444,0,0,1,0,0,1,0,2885,0,2,0,0,0,0,0,0
ACA1_383_446,0,0,0,1,0,0,0,0,1,425,1,0,0,0,0,0
ACA1_382_445,1,0,1,0,0,1,0,34,0,419,3,0,0,0,0,0
ACE2_601_664,18,24,11,12,12,16,25,10,10,140,3224,15273,21884,35695,4709,2402
ADR1_100_163,2,19,10,382,2005,7,16657,8445,2660,1506,4875,9846,1162,4930,9,10
AFT2_42_105,14,22,26,1158,19,15,5427,22,3314,7398,19814,8909,22532,17573,25,16077
AFT2_85_148,29,67,36,25,25,32,25,61,4426,5940,19533,9423,37322,79226,7503,53462
ARG80_79_142,0,6,12,1,1,1,87,1,0,1813,7,45,1,3246,1,1
ARG80_76_139,8,52,1291,83,18,21,16,446,771,5900,613,21499,39410,4953,17906,17
ARG80_88_151,2,1,14,1,8,6,1,3,2,2,13931,3970,42,679,6,3
ARR1_223_286,54,2545,47,54,25,72,29,93,431,72,82,3707,58265,43204,84442,108530
ARR1_15_78,27,40,19,16,14,50,11,64,8524,17,12261,18,32485,11400,36794,21421
ASG1_7_70,13227,17890,14858,3136,6585,3636,1343,12,8,13,7,2189,5,11,10,6
ASH1_488_551,0,0,7,0,0,0,0,0,0,169,0,0,0,0,0,0
AZF1_572_635,36246,11364,36413,10595,11284,22965,3631,25881,10294,6527,491,23,7022,21,29,33
AZF1_600_663,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0
AZF1_628_691,3970,9,16,7037,9382,2798,7629,8,7758,3068,17917,4279,13,9,7,20
AZF1_658_721,1,380,88,807,2924,9192,163,679,1,3,4,4,3,2,0,1
AZF1_598_661,0,0,2,1,2,0,7,2,0,2453,8104,9,3,1,2,2
AZF1_638_701,1281,9,3645,1,2638,4557,3,3684,2,1685,626,1,4,0,4,1
BAS1_160_223,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
BAS1_106_169,1,0,0,3,1,0,2,38,8655,2,21,0,1,1,3,0
BAS1_44_107,11,6806,9023,10810,1433,11511,1507,10316,2483,845,3471,3140,4473,9,12,14
BAS1_107_170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAS1_131_194,2,21,8,4,5,5,5,3,3,1122,2897,7,4,18871,3,5738
CAD1_36_99,8308,449,15729,3929,1254,1766,3,19,6,1892,6,9,3,5,7,2
CAD1_346_409,1,0,2,1,2,1,0,1,3,2,2,2,2,11492,1,6
CAD1_42_105,3367,18255,7252,3045,2267,2,1484,48,8,652,4,15,6,6,3,4
CAD1_40_103,8856,6844,4693,4908,3684,1420,18,4181,1015,506,6,4,7,9,1,20
CBF1_215_278,10123,34814,14041,17047,14383,14841,2510,6725,15904,7028,3979,9816,1027,18,20,20
CBF1_220_283,5,32,12,2,11425,9,3216,12,4571,1777,514,10004,10629,3230,5,5286
CBF1_216_279,8592,29,3730,7698,4349,11473,9,4273,16451,4315,15,1220,1202,15,6,13
CIN5_232_295,6970,11679,19479,25,1652,5,4937,929,554,4,11,6,15,6,1,8
CMR3_251_314,6,2514,43,16,2302,10,625,22475,17,2205,7070,5962,3058,1465,4878,5
COM2_380_443,101168,68853,29184,14955,7689,4730,1538,526,59,30,37,49,53,24,30,36
CRZ1_548_611,1406,1,4,0,0,261,0,0,1,1,3,1,0,1,1,0
CRZ1_576_639,15162,3514,19942,5909,7208,18337,4184,21735,3131,1789,23,1281,20,19,25,22
