,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF2_46_109,3907,4962,2776,1699,1887,1058,2865,2615,1988,2555,2139,1255
ABF2_118_181,4119,5655,3705,4581,4196,4319,4590,3622,4898,3705,4635,5594
ABF2_48_111,5365,5624,4500,3398,1289,2685,4464,3468,3194,2585,1776,1306
ABF2_117_180,5713,5011,3599,4233,3031,3674,4974,3977,4424,3230,3477,3618
ACA1_381_444,1132,922,1135,1174,619,1026,592,584,1165,982,685,1220
ACA1_383_446,737,658,631,463,342,487,824,284,430,445,625,816
ACA1_382_445,554,813,376,229,325,463,606,360,601,796,871,769
ACE2_601_664,8586,9219,9576,8259,6229,7570,9044,6650,7162,7747,6491,7048
ADR1_100_163,5099,4009,4308,3534,1607,2297,4743,3994,4235,3675,1675,2555
AFT2_42_105,10954,9764,5459,6419,7049,11290,6459,5618,6650,5584,8180,10703
AFT2_85_148,10857,14042,11264,10777,14394,12822,10892,8381,10461,8731,12839,13091
ARG80_79_142,4044,6774,4182,3676,4433,5666,5648,4074,4364,3781,4323,5452
ARG80_76_139,11555,10840,7421,8615,8096,9263,11636,8203,8908,6020,9063,11744
ARG80_88_151,5576,7932,5589,3795,7662,5934,7157,5451,4812,5285,6518,9358
ARR1_223_286,8801,8044,6400,5686,8118,7188,5853,5422,6640,6022,8421,8515
ARR1_15_78,2607,2824,2344,2207,3307,3231,2521,2523,2187,2905,3183,2947
ASG1_7_70,5435,6938,1462,1004,1165,1970,4659,3734,1899,1753,1334,1578
ASH1_488_551,4560,5069,4543,3726,3868,4866,4951,4407,4876,5026,5791,5107
AZF1_572_635,13139,9463,6179,6600,3495,4359,8395,7152,5201,5538,3210,4510
AZF1_600_663,4840,3695,4281,3305,2499,4419,3634,3128,3542,3439,3433,4277
AZF1_628_691,8317,5703,2912,3880,2223,2804,5785,4069,4406,3422,2531,2525
AZF1_658_721,2438,2606,1754,1729,706,873,2286,1789,1653,1336,735,1294
AZF1_598_661,4521,4294,3942,4121,3914,3397,3269,2764,3597,3640,3850,4392
AZF1_638_701,4140,3411,3839,2630,2013,1731,4211,3645,2948,2828,2475,2695
BAS1_160_223,3199,3700,3136,2128,2403,2602,3392,2390,2272,2722,3989,3566
BAS1_106_169,3782,5308,4059,3550,4036,3693,3249,3247,3464,3814,3441,3513
BAS1_44_107,9221,7468,6731,6668,6584,8120,8237,5862,7399,7076,6265,6491
BAS1_107_170,4734,6236,5239,4985,3595,4646,4838,4228,4911,4533,3993,5010
BAS1_131_194,5507,5711,4094,4014,5357,7008,4960,4107,5553,4746,7595,7174
CAD1_36_99,2224,2551,1345,1839,1526,1200,1725,1891,1475,1203,1008,949
CAD1_346_409,4415,5115,2601,3277,3910,5333,5068,4863,4823,3229,5632,4977
CAD1_42_105,1293,1217,934,1225,1171,1189,2205,1331,1691,1507,1535,1842
CAD1_40_103,1470,1527,475,1068,349,484,927,975,1096,1207,768,588
CBF1_215_278,5144,5032,3600,2044,1703,1568,5004,3262,3870,3574,2250,3093
CBF1_220_283,6991,5689,5783,3778,5058,2582,6582,5115,5041,4272,3595,3146
CBF1_216_279,6376,8833,5976,5749,2905,2852,5650,4965,4474,5616,2847,2737
CIN5_232_295,1864,2422,2316,1330,1426,1399,1789,1664,1349,1082,852,1428
CMR3_251_314,4805,5163,5708,2399,2976,3434,3767,3655,3790,3868,4052,3010
COM2_380_443,6701,6725,1968,1149,2354,1950,5125,4579,2406,2047,1448,1568
