,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF2_46_109,2584,4010,3647,3236,2422,1373,3300,4202,2424,4561,2322,2805
ABF2_118_181,2653,2709,3261,3281,2908,3340,3576,3960,4555,5560,4744,6991
ABF2_48_111,894,3222,2491,2438,2894,1850,2150,3311,3269,3613,1685,2228
ABF2_117_180,3542,5118,5341,4361,4139,3403,4318,5306,5788,5266,4296,5717
ACA1_381_444,397,698,472,666,603,451,569,722,638,805,895,956
ACA1_383_446,274,666,848,228,467,469,999,559,897,1034,1179,674
ACA1_382_445,460,779,818,838,968,586,847,665,855,675,845,1334
ACE2_601_664,6359,11259,10137,9892,8845,8082,9598,10356,8940,12159,7833,8738
ADR1_100_163,2978,6075,4739,4325,2919,2868,5008,5268,3736,5457,3026,3573
AFT2_42_105,5739,8733,8808,6201,9475,8965,6690,8045,6538,7686,8260,11532
AFT2_85_148,8550,11817,14409,12103,18175,15672,10502,12534,12064,13754,16293,20185
ARG80_79_142,3015,5271,5420,4318,4315,4439,4150,4132,5241,5974,4621,6244
ARG80_76_139,5616,8199,6873,5644,6551,7100,7297,8733,5041,8901,7701,11677
ARG80_88_151,3167,6873,5910,3388,4852,5583,5693,7013,3938,4084,6498,8096
ARR1_223_286,5060,9442,6717,5850,7887,9151,7774,7554,4632,6057,9010,10280
ARR1_15_78,1438,2931,2977,2077,3089,2718,2138,2057,2423,2500,3683,2716
ASG1_7_70,4252,7624,2563,1507,1641,1341,5739,6903,1292,2189,1610,2421
ASH1_488_551,2436,4750,4068,3061,5289,4025,5285,4703,3950,5163,4646,6776
AZF1_572_635,5662,9618,8349,6258,5032,4039,7414,10493,5827,7531,4504,5187
AZF1_600_663,1336,3183,2674,2666,3180,2316,2968,2999,2209,3076,2366,4540
AZF1_628_691,3946,5315,5353,5137,3167,3218,5772,5875,5777,4386,3443,4456
AZF1_658_721,1640,2901,2257,2008,1486,1509,2660,3027,1907,1827,1374,1881
AZF1_598_661,2771,4464,5744,3868,5468,4227,4414,5429,5660,4563,6031,10736
AZF1_638_701,1611,3359,3027,2573,2769,1807,2099,3719,2602,3133,2290,3404
BAS1_160_223,2335,2195,2779,2178,2935,2467,3024,4091,3315,3310,3362,4167
BAS1_106_169,2940,4517,5399,3890,4198,3755,5557,4151,4614,6130,4630,6552
BAS1_44_107,6644,10925,13722,11290,11424,8723,8705,9145,8666,13877,11358,9548
BAS1_107_170,2662,4862,5613,4352,5201,3823,5361,5630,5920,5019,5093,8048
BAS1_131_194,3932,5518,6073,5723,6325,6168,6705,5128,4684,5826,6998,9742
CAD1_36_99,1177,2167,1257,1074,1170,933,1454,2317,1395,2495,992,1681
CAD1_346_409,2447,3789,4882,3358,6297,4699,5530,4397,4788,4102,6649,7370
CAD1_42_105,1169,2330,1987,2003,1957,1407,2074,2026,1727,2992,1567,1539
CAD1_40_103,705,1922,1396,1260,1139,965,2352,1870,1370,1889,1171,2190
CBF1_215_278,4463,8700,6778,7280,3715,3386,9332,8288,7577,7115,3935,4755
CBF1_220_283,2850,5720,5306,4577,2901,3153,4874,5618,4818,5500,4883,5900
CBF1_216_279,3375,5419,4633,4996,3250,2274,4884,5116,4938,5653,4582,5075
CIN5_232_295,2096,4495,3298,3835,1857,1370,3358,2979,2314,3100,1750,2242
CMR3_251_314,2191,4240,4511,3699,2727,2511,3923,4772,3723,4003,3722,3596
COM2_380_443,4287,5415,2889,2223,2224,1800,3791,5090,2720,2398,2542,3169
CRZ1_548_611,2232,2927,3847,2793,4194,3404,3010,4058,3830,4463,4981,5060
CRZ1_576_639,6261,10233,7103,6725,3437,3084,7796,8817,5425,5740,3419,4086
CRZ1_562_625,2506,3843,2921,2134,2655,2022,2772,3274,3553,3780,2639,3496
CST6_422_485,983,1335,901,1355,1533,1473,1414,2400,2887,2344,2117,2507
CST6_424_487,1009,2361,1910,1448,1569,1289,1019,1682,1599,1560,2247,2793
CST6_423_486,859,1611,955,969,1462,1260,1623,1703,1214,1634,1528,2070
CTH1_186_249,1728,2248,1398,1639,1935,1954,2581,3369,2562,3010,1635,4048
CTH1_224_287,2513,3341,3715,3741,4230,4201,4506,6034,3785,5388,4523,5098
CTH1_187_250,1220,1335,1938,1053,1662,1502,2165,1827,2391,1961,2273,3116
CUP2_1_64,9923,15204,9164,8279,3650,3627,12726,15123,11433,11476,4649,6144
CUP9_168_231,2123,3237,3011,2860,4100,2535,3280,3961,3916,3680,3292,3464
CUP9_164_227,2311,3193,2978,4117,3612,3185,2917,4231,3745,3457,2915,5065
CUP9_160_223,2554,3285,2506,1261,1838,1658,3069,3642,1767,2922,1140,2032
DAL80_16_79,3403,7739,7293,5930,5890,5323,8650,7621,6987,7463,8814,9907
DAL80_18_81,2128,5461,3995,2974,3569,2865,3929,6168,3003,5174,3356,3938
DAL80_25_88,2392,4418,4658,3940,3804,3116,4064,4409,4897,5202,3876,5283
DOT6_63_126,2746,4898,3328,4143,1767,1673,4308,4969,3679,4400,2418,2278
ECM23_120_183,1991,3868,1835,1493,1611,1266,2452,3198,1535,1861,1112,1683
ENV11_78_141,1691,3277,3918,2517,2711,2559,2259,2675,2191,3283,2660,3435
ENV11_77_140,1435,2957,2631,2246,2440,1789,2185,2751,2730,1459,1101,1507
FHL1_469_532,6849,10606,9685,6833,10417,12275,8439,10121,7320,9705,10313,17236
FHL1_307_370,1784,3904,4328,3451,4707,3853,3549,3417,3850,4354,2647,5055
FHL1_296_359,5628,10141,8335,6879,12072,11066,7519,8517,8724,9253,10445,15867
FHL1_472_535,5552,8506,8179,6740,10884,10207,6344,5960,6204,8393,9843,14098
FHL1_473_536,5258,8326,9305,7337,10936,9594,6884,7897,7886,8860,8509,13451
FKH1_314_377,3307,5692,3422,3007,2185,1689,4332,5410,3205,3413,1775,2277
FKH1_88_151,2541,4746,4615,4277,3994,3989,5759,5816,6155,4411,4988,8001
