,1_0_1,1_180_1,1_60_2,2_0_2,2_180_2,2_60_1
ABF2_46_109,1996,6272,9860,10275,11827,4048
ABF2_118_181,2082,3480,4263,3674,6607,1386
ABF2_48_111,1462,5842,9879,9912,12955,4051
ABF2_117_180,1012,2912,3620,3855,4484,3110
ACA1_381_444,681,483,770,374,787,798
ACA1_383_446,1019,296,604,789,366,146
ACA1_382_445,251,202,307,241,451,362
ACE2_601_664,3886,13781,18170,13578,20775,10637
ADR1_100_163,2450,1879,2983,2631,2847,2345
AFT2_42_105,3102,11972,14467,11565,22399,7233
AFT2_85_148,2380,1799,2940,2376,2542,1436
ARG80_79_142,8887,7967,12624,9665,14458,8935
ARG80_76_139,19117,15762,21773,19641,27636,15220
ARG80_88_151,11964,10439,14845,13363,17562,9503
ARR1_223_286,1601,4678,4973,4817,7419,2168
ARR1_15_78,1855,6740,6884,6067,10854,3918
ASG1_7_70,1691,1201,1819,2256,1960,1132
ASH1_488_551,5450,6160,11369,8220,10514,6390
AZF1_572_635,6196,5803,14578,12056,9978,9041
AZF1_600_663,1230,6705,7701,6640,13318,4016
AZF1_628_691,2880,4017,6512,6142,8937,3374
AZF1_658_721,1248,2293,4162,4813,4011,2697
AZF1_598_661,1729,7104,11415,9141,14296,5392
AZF1_638_701,1275,3115,4068,4628,7630,1729
BAS1_160_223,733,462,357,416,349,342
BAS1_106_169,3063,966,2005,1823,1900,1997
BAS1_44_107,4970,10015,16387,12177,21250,10726
BAS1_107_170,1255,1429,1985,2252,2666,1126
BAS1_131_194,1202,1521,2414,2938,3611,1821
CAD1_36_99,804,850,1530,1202,1923,1044
CAD1_346_409,4097,8507,12437,9696,17042,7080
CAD1_42_105,2312,1063,1469,876,1570,969
CAD1_40_103,1277,614,1334,723,1348,961
CBF1_215_278,3293,3662,9692,9004,8698,8524
CBF1_220_283,2929,3129,6076,5221,5035,3252
CBF1_216_279,3628,5198,12053,10252,10225,3767
CIN5_232_295,657,678,1010,828,1063,614
CMR3_251_314,2613,4085,8724,5893,9445,5337
COM2_380_443,1666,2075,2939,3934,3931,2019
CRZ1_548_611,643,3237,3186,3715,6179,1483
CRZ1_576_639,1716,1962,3525,2644,3967,1843
CRZ1_562_625,963,1879,2824,1617,3680,1643
CST6_422_485,534,2409,2265,2583,5347,1343
CST6_424_487,366,2853,2621,2672,7095,890
CST6_423_486,888,3042,2632,2491,5914,1380
CTH1_186_249,710,5214,6078,5233,10752,3323
CTH1_224_287,850,3632,4363,4556,6611,1561
CTH1_187_250,732,4672,5225,4756,9792,1192
CUP2_1_64,6256,2803,5499,3864,3685,3887
CUP9_168_231,1256,4472,6425,4652,6697,3025
CUP9_164_227,3485,3244,4768,3413,6039,2573
CUP9_160_223,2211,2971,5552,4557,4992,3082
DAL80_16_79,5369,4255,8685,5895,8141,5553
DAL80_18_81,4547,3265,6932,3591,6222,4922
DAL80_25_88,6710,5355,10084,7805,10716,6535
DOT6_63_126,6436,4749,8313,7377,8040,6402
ECM23_120_183,621,895,1263,1144,2132,1029
ENV11_78_141,799,5317,5825,5644,8952,1290
ENV11_77_140,823,4312,6275,6230,9083,3767
FHL1_469_532,2667,15764,11904,15745,23887,5914
FHL1_307_370,2866,3168,3584,3372,4903,2636
FHL1_296_359,4360,8005,9747,9087,14689,5466
FHL1_472_535,2405,14004,13629,12931,27779,8701
FHL1_473_536,2162,15653,13978,12732,26855,3294
FKH1_314_377,3312,4856,8901,8653,10381,6334
FKH1_88_151,2282,5581,8228,6305,9766,4924
FKH1_78_141,6042,9348,10161,8519,14116,6140
FKH1_315_378,2498,4768,9750,14659,10007,3981
FKH1_316_379,1598,2836,4265,5283,3629,1376
FKH2_351_414,1318,5249,5759,6406,8535,2306
FKH2_97_160,1221,10421,13020,11692,21130,4754
FKH2_86_149,1853,8805,10503,9715,15968,4430
FKH2_353_416,953,5061,5166,5373,8343,2626
FZF1_1_64,1054,1221,4352,4530,3355,2383
FZF1_52_115,2813,6296,7364,7035,11279,2438
FZF1_22_85,1750,1625,4269,1661,3673,2912
FZF1_51_114,1428,3107,5812,4895,6443,5282
FZF1_135_198,3829,1667,3417,2354,3218,2021
FZF1_228_291,11286,10433,22461,17972,19503,14679
FZF1_16_79,2907,2554,5627,3825,4684,5109
FZF1_45_108,1862,3412,5689,5414,6671,3666
GAT1_295_358,7801,9354,15890,12667,17152,11829
GAT1_40_103,4255,10429,23124,21111,19896,13086
GAT1_297_360,12184,6079,18243,16866,12855,12983
GAT1_300_363,14522,9365,23263,19190,20122,16410
GAT3_56_119,1887,5811,6449,5662,11978,3161
GAT3_62_125,1260,6009,4231,5395,10098,1001
GAT3_61_124,3238,6391,4852,3768,9619,3239
GAT4_46_109,2324,2197,2672,1727,3310,1423
GCN4_218_281,4622,2803,4283,3622,3764,2939
GCR1_643_706,9202,11146,17545,12122,20374,11888
GIS1_827_890,1484,3165,5283,5139,5226,2459
GLN3_291_354,827,2040,3455,5347,4085,1523
GLN3_293_356,1020,1692,2471,3780,3656,1569
GLN3_296_359,955,2253,3047,3750,4841,1338
GTS1_181_244,2079,3552,6150,3635,8439,4983
GTS1_182_245,2470,3879,6042,5818,6945,2018
GTS1_174_237,2947,2570,4176,3505,5348,2699
GZF3_116_179,3346,2577,4843,4592,6185,2690
GZF3_118_181,2039,1934,3708,3135,4326,2046
GZF3_123_186,1227,2675,3889,2278,5528,2156
HAA1_1_64,1331,914,2292,2317,2087,1466
HAC1_26_89,1641,3072,6109,3954,6028,3654
HAP2_155_218,2191,3017,3662,3274,4363,2502
HAP3_41_104,9757,6847,11468,6183,12759,7421
HAP4_41_104,4425,5045,12786,14999,8911,6465
HCM1_119_182,4622,9323,12385,11995,16836,10026
HCM1_120_183,4314,15970,15078,15835,24214,7933
HCM1_121_184,3825,10288,13959,10706,19250,5026
HEL2_53_116,836,1677,1572,1828,2265,1186
HEL2_202_265,2499,2692,5637,4062,5928,3169
HEL2_230_293,4797,15231,21618,17711,29211,11098
HEL2_261_324,1428,8272,10986,11288,16118,5223
HEL2_51_114,1317,3791,4799,4111,6812,2420
HMLALPHA2_130_193,1654,1138,2461,1872,2259,877
HMLALPHA2_134_197,672,1863,1947,1794,2388,1087
HMO1_111_174,5267,4399,12215,10514,11074,9958
HMO1_112_175,6296,3813,10477,9299,6738,3714
HMO1_107_170,6063,4151,10235,9415,7686,5759
HMS1_274_337,550,2671,2674,2476,4666,759
HMS1_279_342,504,4762,4183,4302,7727,1754
HMS1_286_349,1866,7257,10149,9188,11738,4879
HMS2_26_89,8181,12493,15097,14938,22796,5988
HMS2_25_88,5746,10747,14097,12303,19095,12398
HSF1_194_257,1134,3556,3847,3895,6543,1936
INO2_237_300,1601,1228,1659,1353,2322,1065
INO2_235_298,618,641,905,487,968,479
INO4_45_108,684,2947,3140,3066,4294,1853
ITC1_417_480,3033,10773,13507,14044,19059,7056
