,1_0_1,1_0_2,1_180_1,1_180_2,2_0_1,2_0_2,2_180_1,2_180_2
ABF2_46_109,13473,10660,11590,10607,12388,13514,14434,10018
ABF2_118_181,9018,6666,6593,6287,8271,9059,9644,6322
ABF2_48_111,10479,8842,9500,10344,12353,11694,13239,9821
ABF2_117_180,10219,8087,9363,9337,10647,12061,12287,7869
ACA1_381_444,3422,2059,2388,2357,3049,3844,3866,2370
ACA1_383_446,2934,2330,2311,2489,3269,3653,4020,2512
ACA1_382_445,1985,1658,2010,1466,2450,2339,2909,1787
ACE2_601_664,17832,13651,15907,15382,16652,18505,20993,14257
ADR1_100_163,11714,8409,9882,8386,10503,11959,13076,8058
AFT2_42_105,15028,15089,15742,15193,16635,17630,20289,13491
AFT2_85_148,22414,19884,23030,21284,23295,27215,27646,19848
ARG80_79_142,7997,7577,8660,3418,10053,9023,9931,4835
ARG80_76_139,19592,18521,20694,14135,21956,21551,26264,14687
ARG80_88_151,12705,10997,12346,5916,15124,15220,14280,8076
ARR1_223_286,23254,15834,19380,20238,20730,23657,26729,18780
ARR1_15_78,9951,8052,8293,7714,10279,10955,12623,9103
ASG1_7_70,13049,9573,11607,10312,12298,13383,14126,8656
ASH1_488_551,3528,4986,4430,993,3898,6716,5796,1773
AZF1_572_635,19714,16485,18104,15784,19760,21120,22701,13911
AZF1_600_663,7247,6673,6916,6958,8780,10013,10767,6734
AZF1_628_691,16442,12778,14134,15346,14877,16179,18529,13281
AZF1_658_721,13228,9529,9881,9695,11640,13737,13237,9981
AZF1_598_661,11381,8845,10103,9965,10811,12158,12830,9109
AZF1_638_701,8140,6646,7031,6802,8571,10519,10527,8452
BAS1_160_223,4596,3495,4330,4428,5507,5548,6595,4582
BAS1_106_169,6125,5240,5881,5329,7167,8539,8705,6147
BAS1_44_107,17707,14419,16038,14454,17344,17781,20602,13833
BAS1_107_170,7901,6635,7381,6421,7240,8904,9041,6339
BAS1_131_194,9258,7416,8456,8861,9239,10176,11340,7484
CAD1_36_99,7476,6490,7768,6472,8228,10387,11108,6131
CAD1_346_409,10642,7520,9122,7258,9412,11076,11734,7373
CAD1_42_105,7410,6599,7490,6252,7583,8922,10023,6283
CAD1_40_103,10141,7482,9603,8969,10828,12095,12423,8233
CBF1_215_278,17237,15960,17261,15778,17097,20545,21652,12950
CBF1_220_283,13065,13109,14084,9881,12981,16278,17635,10002
CBF1_216_279,16507,16069,16901,13619,16337,20504,21193,12042
CIN5_232_295,8378,7291,7523,7068,7617,8603,9409,6542
CMR3_251_314,12902,9477,11076,10472,13082,15432,16112,11024
COM2_380_443,12518,10085,11939,11386,11846,13875,15235,10618
CRZ1_548_611,6683,5200,5439,6092,7211,7130,7997,6454
CRZ1_576_639,16495,13147,15343,13670,14744,15747,18970,12897
CRZ1_562_625,6546,5458,5778,5758,6436,8217,7829,5596
CST6_422_485,4073,2788,3536,4214,5452,5169,5793,4062
CST6_424_487,4017,2792,3378,3404,4759,4433,5363,3516
CST6_423_486,4970,3320,3434,3443,4715,5508,5855,4141
CTH1_186_249,5073,4630,4717,4851,6621,7173,7276,5285
CTH1_224_287,5573,4285,4826,4969,5844,6195,6692,4913
CTH1_187_250,4644,3703,4236,4179,5285,6363,6708,4416
CUP2_1_64,23234,19265,21553,13231,21984,23946,24018,12232
CUP9_168_231,7469,5577,6664,6198,7652,9357,8975,6195
CUP9_164_227,5553,4627,4764,4188,6039,5936,7126,4485
CUP9_160_223,13227,10952,12069,10870,14105,15945,16679,11069
DAL80_16_79,8015,6725,7415,4894,8529,9912,10019,5460
DAL80_18_81,6024,5996,6715,5199,8401,8470,9638,6005
DAL80_25_88,5317,4839,5471,3830,5936,6649,7261,3759
DOT6_63_126,10646,9147,10223,8044,10848,12112,13666,8166
ECM23_120_183,10255,8564,9883,8068,10386,11956,12180,7607
ENV11_78_141,7070,6083,6549,7088,7069,9219,8582,6245
ENV11_77_140,8768,6394,6908,8170,8044,10240,10606,7692
FHL1_469_532,17251,13085,14288,13379,15686,16700,18408,12877
FHL1_307_370,5379,5355,5254,5357,7205,8011,7801,5078
FHL1_296_359,20953,15871,18702,17465,18717,21123,23029,15022
FHL1_472_535,17995,14259,16080,16445,17060,20222,19820,14384
FHL1_473_536,17770,15055,16149,15912,17828,21456,21127,14805
FKH1_314_377,23056,16844,19374,18820,22028,25276,26156,18676
FKH1_88_151,5704,4281,4938,4835,6203,7294,7537,5056
FKH1_78_141,12168,9377,10659,10994,11613,12536,13425,9239
FKH1_315_378,22265,16843,20879,19902,23599,26630,27731,19763
FKH1_316_379,21273,16018,18418,18939,18421,21221,21701,16060
FKH2_351_414,5243,4043,4279,3182,5566,5941,6220,4139
FKH2_97_160,16191,13068,14207,12709,15634,18707,18880,12705
FKH2_86_149,12536,9927,10759,11124,13078,16105,16393,10698
FKH2_353_416,3965,3460,3704,3094,4618,5384,5669,3753
FZF1_1_64,3934,7884,5903,1573,4600,8209,6589,1891
FZF1_52_115,12971,10934,12391,10887,12455,15313,14932,10254
FZF1_22_85,629,1342,1771,365,912,3147,2021,678
FZF1_51_114,13643,11298,12913,12059,12906,14064,16055,10278
FZF1_135_198,18380,15823,18418,16267,19135,19816,23321,14579
FZF1_228_291,12901,11939,11923,9991,15149,16862,17784,11825
FZF1_16_79,2075,3331,3564,1077,2088,4971,4082,1306
FZF1_45_108,4749,3342,4283,3486,4559,5810,6496,3784
GAT1_295_358,8419,7939,7797,3815,9701,9502,9183,5074
GAT1_40_103,22721,19729,21303,19774,23826,26686,27955,18958
GAT1_297_360,15554,12111,12969,6250,14168,14257,13909,7288
GAT1_300_363,12585,12658,13372,6400,15917,17121,16012,8150
GAT3_56_119,5727,4756,5489,5587,7524,8526,8644,5598
GAT3_62_125,9392,7040,8424,7862,9681,11229,11692,8749
GAT3_61_124,11503,8728,9183,9017,10603,13802,13809,8954
GAT4_46_109,7813,6802,7579,6334,9287,11167,10499,6737
GCN4_218_281,14107,12095,13824,10851,13910,17525,17656,10694
GCR1_643_706,6615,6739,6146,3537,8126,9088,8083,4541
GIS1_827_890,5108,3740,4067,4199,4915,6508,5982,4443
GLN3_291_354,14574,11569,12962,12428,13597,15489,16267,12290
GLN3_293_356,14957,11547,12400,14291,13296,15613,16154,12003
GLN3_296_359,14053,9864,10987,12865,13085,15229,14944,10260
GTS1_181_244,5866,4825,5183,4433,6390,7421,7481,5244
