,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Ste12_1_64,9617,7332,11048,18819,14767,11682,10791,7867,11782,14827,15529,17353
Ste12_6_69,3568,4861,5439,8580,3777,5545,2910,2978,5186,6522,6999,5264
Ste12_11_74,8825,8054,10390,17279,13296,14489,9726,9337,11420,14410,14854,10572
Ste12_16_79,7998,9183,8567,13908,7466,5955,8264,7287,9718,13016,9203,5469
Ste12_21_84,5158,6791,6400,7476,5600,5318,4401,3799,6855,7107,5917,4099
Ste12_26_89,13564,14816,18144,32078,18889,17178,13830,12541,24912,28310,22332,19791
Ste12_31_94,6616,5470,7677,12643,6345,8683,8091,6854,8842,11922,8751,7776
Ste12_36_99,6421,7332,6554,9446,5837,5998,5449,5698,9250,7770,5664,6417
Ste12_41_104,11102,12672,14992,26968,17117,16030,14155,11177,19056,22400,14791,14256
Ste12_46_109,7236,7736,8078,13801,10821,8526,7834,6653,12597,11285,14307,10441
Ste12_51_114,4062,3982,3026,8571,4439,5040,4854,3523,4843,6268,5933,3701
Ste12_56_119,7484,9498,5497,6881,9652,9633,7348,6200,7081,9065,8616,8856
Ste12_61_124,11691,11736,14391,22162,16793,17143,14357,12117,14663,25440,20428,14415
Ste12_66_129,7544,7121,6713,10823,10724,8441,7198,5804,7582,13001,10175,8295
Ste12_71_134,6738,6527,6290,8814,9356,11316,6068,5619,9183,9556,11532,11528
Ste12_76_139,11353,12953,15419,21213,18592,16486,14193,11310,20174,20394,20398,16316
Ste12_81_144,11412,12902,15874,23350,14562,15446,13107,10791,20727,27275,17949,14200
Ste12_86_149,7243,7088,11759,17407,10429,11979,5706,6075,12333,13376,13056,6609
Ste12_91_154,7293,8192,7867,9595,11466,9131,9503,9252,5776,9337,12552,8674
Ste12_96_159,13194,12774,22220,33574,22518,23343,15989,13372,20276,29922,27682,16232
Ste12_101_164,13929,15025,21959,35528,17445,21689,14430,12526,25970,36520,25174,18366
Ste12_106_169,11789,14761,19953,35026,17274,18734,13920,13310,23825,31939,18316,17568
Ste12_111_174,10422,11078,15337,28470,13178,13275,10150,7919,18490,22829,17737,13081
Ste12_116_179,9633,11511,17317,23116,12346,15862,13387,9095,18453,25398,16503,11879
Ste12_121_184,9613,8984,13480,20432,12589,12417,9284,6229,15204,18625,14987,10264
Ste12_126_189,9170,9417,12198,20806,20234,21323,11062,9827,10490,18147,19419,12426
Ste12_131_194,11828,12566,14606,28077,21183,19901,12555,12978,15933,20422,21173,16457
Ste12_136_199,14365,15314,24203,41583,25563,21826,15990,14248,30195,34860,28767,21659
Ste12_141_204,13384,14009,18409,28642,24323,26632,16049,12485,19062,22385,27271,19908
Ste12_146_209,6215,6902,9977,15453,11382,11471,6207,5658,11547,14684,11618,8507
Ste12_151_214,18597,16903,28741,52314,26027,27082,18330,17078,39905,43602,31517,23913
Ste12_156_219,9794,10388,14856,23771,18148,12345,7960,6673,21292,19027,15593,13765
Ste12_161_224,3812,3295,5704,9113,8132,6254,4103,4124,6119,7734,6335,5225
Ste12_166_229,4593,5495,7043,9292,8778,10476,4591,4392,8069,10200,10703,7068
Ste12_171_234,8595,9223,4163,6095,10876,9495,9394,8304,4249,7275,12592,7505
Ste12_176_239,7926,8031,7023,12984,14863,13981,9074,9126,7550,13305,12480,11486
Ste12_181_244,6434,7674,7634,14143,13336,13359,7627,6123,9406,15459,14681,8050
Ste12_186_249,6895,6988,7480,15690,11525,11835,7346,5889,9963,11824,12160,8842
