,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Msn2_1_64,11869,28112,17275,17260,5332,9064,3282,24591,7594,14674,7054,9155
Msn2_6_69,4538,7219,4805,3374,1191,2865,1235,7805,2068,4054,2879,4649
Msn2_11_74,5664,5938,7987,6964,3795,7640,1424,12218,3807,7042,3882,4780
Msn2_16_79,9328,21615,10130,10295,8447,6576,2931,21007,5151,10284,6580,7568
Msn2_21_84,8476,17263,19187,17135,10755,14954,2256,17819,7599,16596,14796,15794
Msn2_26_89,7222,21081,16406,15475,9195,10503,2275,17820,7163,15274,10156,10690
Msn2_31_94,5636,9654,10970,11041,6978,10998,2660,12375,4902,8839,8267,9245
Msn2_36_99,5534,7064,13635,12431,12702,13341,3024,15510,7617,12811,12605,10589
Msn2_41_104,14764,35435,26001,18854,11444,14134,5542,33400,11233,20439,12118,12879
Msn2_46_109,8590,12005,17782,14830,11060,19508,5053,21573,8034,16449,13770,14344
Msn2_51_114,7239,23209,12466,11667,14766,14655,3086,15909,5672,11939,10489,11628
Msn2_56_119,12123,15972,19394,17969,9108,10133,5136,25948,8428,18267,9199,11301
Msn2_61_124,13914,15433,25239,20767,9972,21209,6894,33578,9908,23643,14265,15672
Msn2_66_129,8376,5828,14310,16131,12216,15662,5636,20787,7614,13910,11214,11801
Msn2_71_134,13827,30490,28309,18978,7803,16004,10426,37824,9048,19122,11031,13048
Msn2_76_139,10400,11665,22038,14778,10396,13093,7741,26929,7680,18042,11395,11480
Msn2_81_144,9996,28708,20104,15834,8600,9736,7490,31089,7056,15490,9565,9205
Msn2_86_149,10885,13442,16292,16619,6106,10956,6009,25859,5819,13883,7452,8750
Msn2_91_154,9038,17681,12951,15200,5743,13736,3793,19147,6659,12301,11339,11606
Msn2_96_159,5364,10400,13383,13235,9819,10750,3040,14665,5848,11640,8555,7177
Msn2_101_164,7922,13533,12408,12446,6970,10816,2597,14222,5658,13338,11857,12633
Msn2_106_169,8303,7337,15154,14012,5712,8483,2751,16829,6784,12585,6228,7560
Msn2_111_174,10760,19708,25213,18015,12317,14966,5652,28920,9591,17207,11275,9786
Msn2_116_179,9919,14421,24060,20235,9148,20153,7766,32198,9622,19257,12322,14505
Msn2_121_184,12780,16812,14265,13966,4619,8572,6102,30424,5891,11975,7363,6650
Msn2_126_189,2426,3104,5542,3593,3443,3372,1371,8086,1390,2537,2302,2396
Msn2_131_194,9091,21523,7074,6765,3030,3473,4391,18051,3313,7525,4477,4481
Msn2_136_199,10787,5161,11651,9251,1691,4152,4909,22464,3440,6956,4693,4220
Msn2_141_204,8400,11852,8521,5853,3357,8533,5088,19233,3180,7578,5152,5032
Msn2_146_209,18172,21722,18801,17274,10034,8896,8669,37222,7218,14843,7198,7727
Msn2_151_214,11552,18192,19376,19821,13602,21573,6755,29848,9253,21215,18275,21682
Msn2_156_219,7855,21356,17579,12588,9771,12425,3881,19854,6255,15220,10561,11560
Msn2_161_224,11622,17093,16511,17071,3676,11110,3347,25644,7905,14843,6764,8882
Msn2_166_229,12582,34391,24247,18252,10386,8672,4894,31782,7598,17343,7985,8573
Msn2_171_234,9301,22267,16899,15194,7950,15836,3472,22639,7941,16441,10556,13402
Msn2_176_239,9510,24300,17007,17667,10976,18294,4244,20403,8380,17285,11669,14043
Msn2_181_244,9527,11983,20831,15267,13311,20805,4660,26570,10382,18928,15375,17889
Msn2_186_249,10016,18228,22266,18191,11052,14187,6056,25976,8724,16952,11645,12070
Msn2_191_254,10408,15763,27726,22206,16257,19757,5746,32240,10487,23233,17465,17389
Msn2_196_259,10819,23632,23247,17170,5423,16975,5949,21647,6832,14013,8568,9343
Msn2_201_264,10595,23479,21945,18776,9743,14389,5152,23680,9752,19219,9336,11267
Msn2_206_269,11585,18719,12842,9439,820,5241,4213,18759,4350,8096,3767,3828
Msn2_211_274,9533,15120,9273,5797,4212,3132,3383,16751,3530,7056,3001,4419
Msn2_216_279,11997,17107,12278,9581,2680,3851,2510,17640,3897,9133,3308,4004
Msn2_221_284,7245,6091,6371,4149,581,3771,2012,12261,2721,4680,2487,2446
Msn2_226_289,8792,20773,10936,8237,7274,5738,2486,19093,4351,7073,4875,4862
Msn2_231_294,8868,16337,11771,10496,4471,5899,3144,18344,4526,8118,4504,5587
Msn2_236_299,9295,28029,13770,10146,5353,7626,5485,20666,4849,10445,5139,5486
Msn2_241_304,12136,10522,12266,10983,3722,7951,4456,23920,5457,8987,6197,6178
Msn2_246_309,16942,41963,30626,23878,13638,16210,5539,37884,11939,24135,14829,14100
Msn2_251_314,22112,41019,39650,32576,9582,18692,9617,51965,14609,29931,15784,19518
Msn2_256_319,17514,20650,27431,18425,10452,14523,6960,34791,9710,19873,10744,12245
Msn2_261_324,9036,20952,21843,20477,16261,21227,4307,21123,9591,17408,15914,19057
Msn2_266_329,7999,12399,17287,16063,11838,16329,3163,15640,6572,13056,10367,11496
Msn2_271_334,5317,8273,14613,13609,7993,10032,3342,15606,5831,12066,9559,10266
Msn2_276_339,6324,10751,9814,9937,5372,13094,2656,16214,5125,11713,10640,9800
Msn2_281_344,9105,7887,10822,9379,5098,6524,4948,21430,4364,8766,5685,5602
Msn2_286_349,5087,6727,5380,6223,4338,5539,2680,11963,2807,5454,2825,3450
Msn2_291_354,5167,2541,5053,4959,2677,3908,1896,11664,2269,4366,2082,3244
Msn2_296_359,10157,13928,12791,11054,7628,10403,3489,19921,4698,10056,6952,5891
Msn2_301_364,7376,17324,13764,12496,6358,8373,3826,21650,5363,13530,9692,8998
Msn2_306_369,7928,11016,13423,10531,6971,8200,4005,18446,5103,9984,4891,5169
Msn2_311_374,4477,12454,12098,8745,7754,7663,1683,10423,4282,8451,5314,7019
Msn2_316_379,2920,3432,4345,3392,27,1976,1169,6446,1563,2526,1627,1659
Msn2_321_384,2727,184,2589,2241,33,1325,1037,4758,1005,2592,1182,859
Msn2_326_389,4180,4279,8128,5814,2339,5992,3139,11305,2766,5840,3775,3311
Msn2_331_394,3812,8565,8298,7037,5730,5189,3263,9421,3026,5678,3887,4037
Msn2_336_399,5458,7337,9940,8539,3794,8166,3205,13267,5523,10627,6091,6793
Msn2_341_404,5529,3086,3674,3476,5078,3336,1694,6377,1759,3846,3094,3078
Msn2_346_409,3480,5216,8242,4638,3580,5284,1867,7949,3019,5006,3322,3876
Msn2_351_414,3884,1859,5824,4021,5497,4158,1922,7508,2440,4741,3954,4191
Msn2_356_419,2987,4838,7454,5794,3873,5390,1629,7763,2615,5511,3031,3530
Msn2_361_424,2058,2369,6255,4865,3690,4979,1847,8028,3142,6585,4202,5523
Msn2_366_429,8012,20273,13721,12110,5022,6786,3589,18178,5262,10615,4088,6373
Msn2_371_434,3286,500,3091,2229,804,2813,1123,5661,1308,1907,1574,1998
Msn2_376_439,4267,18242,7083,5012,3225,3992,3304,11765,2961,4775,4364,3172
Msn2_381_444,8207,13786,18061,15338,11865,13168,8770,29474,7451,14528,7209,10400
Msn2_386_449,9140,11789,15550,14027,4954,12965,5514,23193,8110,15672,9727,8727
Msn2_391_454,8836,14924,16968,13638,5678,13229,7193,25986,6501,12984,7058,9371
Msn2_396_459,14702,20027,22261,17716,3388,11571,7993,30917,7171,16489,6465,8677
Msn2_401_464,10561,9675,19643,21076,12149,18734,5511,27812,10008,21716,14013,16682
Msn2_406_469,5710,9498,5724,3883,2546,5616,3739,11946,2015,4658,3136,2530
Msn2_411_474,6698,10239,5859,5428,2298,6913,3461,13956,2704,5357,3178,4349
Msn2_416_479,12666,6310,9360,8200,3652,7116,6618,24852,3674,8315,4995,4062
Msn2_421_484,8302,14032,11143,7277,5987,5614,4654,16173,2656,7293,4006,4233
Msn2_426_489,10501,18331,14567,11771,2870,6795,5390,21396,5618,11902,4909,7655
