,1_0_1,1_180_1,1_60_2,2_0_2,2_180_2,2_60_1
ABF1_1_64,140,982,534,109,45,357
ABF1_12_75,135,761,1010,149,120,264
ABF1_23_86,90,242,208,72,69,93
ABF1_34_97,93,216,564,180,130,167
ABF1_45_108,136,529,792,230,185,247
ABF1_56_119,384,992,2309,620,884,698
ABF1_67_130,119,565,221,129,354,285
ABF1_78_141,171,346,553,82,348,198
ABF1_89_152,64,429,127,83,35,253
ABF1_100_163,37,232,11,2,17,175
ABF1_111_174,61,478,52,20,25,193
ABF1_122_185,97,424,362,81,200,157
ABF1_133_196,50,162,209,87,387,92
ABF1_144_207,76,16,100,24,38,63
ABF1_155_218,16,23,87,24,161,39
ABF1_166_229,168,355,59,19,5,216
ABF1_177_240,29,122,411,68,147,69
ABF1_188_251,13,67,213,22,211,67
ABF1_199_262,106,356,161,23,55,354
ABF1_210_273,61,142,137,7,37,120
ABF1_221_284,33,154,121,73,112,119
ABF1_232_295,84,75,295,79,130,75
ABF1_243_306,112,343,74,46,109,373
ABF1_254_317,95,198,279,114,162,148
ABF1_265_328,101,215,613,91,170,115
ABF1_276_339,60,74,767,144,150,135
ABF1_287_350,245,650,815,284,1154,592
ABF1_298_361,852,2490,2991,579,1888,1452
ABF1_309_372,270,890,1065,177,516,452
ABF1_320_383,38,169,459,247,227,124
ABF1_331_394,230,547,596,95,218,227
ABF1_342_405,114,554,882,177,87,212
ABF1_353_416,151,879,776,276,69,278
ABF1_364_427,190,900,474,107,53,359
ABF1_375_438,42,269,297,83,49,116
ABF1_386_449,72,653,242,83,48,173
ABF1_397_460,49,187,96,77,28,170
ABF1_408_471,10,165,261,30,294,38
ABF1_419_482,144,251,150,40,26,223
ABF1_430_493,7,34,31,0,26,5
ABF1_441_504,215,543,532,185,264,438
ABF1_452_515,11,23,265,108,140,41
ABF1_463_526,46,259,74,46,22,87
ABF1_474_537,52,168,269,111,51,58
ABF1_485_548,59,451,309,76,94,270
ABF1_496_559,87,313,255,139,172,98
ABF1_507_570,155,235,2660,485,2128,321
ABF1_518_581,64,303,336,57,196,157
ABF1_529_592,211,189,524,213,450,214
ABF1_540_603,500,1338,873,351,1191,1310
ABF1_551_614,206,509,677,205,761,402
ABF1_562_625,90,173,97,89,44,207
ABF1_573_636,55,35,74,52,67,42
ABF1_584_647,4,34,66,27,43,11
ABF1_595_658,135,396,414,25,144,298
ABF1_606_669,32,13,186,56,79,31
ABF1_617_680,83,153,265,91,268,178
ABF1_628_691,12,9,401,38,298,15
ABF1_639_702,176,183,474,89,301,321
ABF1_650_713,55,198,314,72,194,160
ABF1_661_724,82,140,202,167,73,133
ABF1_668_731,14,35,100,27,137,29
ABF2_1_64,216,886,617,219,329,338
ABF2_12_75,252,1337,878,259,383,931
ABF2_23_86,202,780,517,85,136,371
ABF2_34_97,305,1288,305,128,76,554
ABF2_45_108,242,778,940,145,88,395
ABF2_56_119,211,797,420,145,145,289
ABF2_67_130,1,36,74,54,66,5
ABF2_78_141,501,2020,1120,287,398,1228
ABF2_89_152,27,104,40,38,9,63
ABF2_100_163,39,73,207,32,47,33
ABF2_111_174,292,552,447,124,256,480
ABF2_120_183,37,152,843,223,526,159
ACA1_1_64,120,229,419,60,90,157
ACA1_12_75,69,269,600,131,154,178
ACA1_23_86,231,1643,721,231,153,539
ACA1_34_97,555,1840,2494,465,1557,1294
ACA1_45_108,361,884,1412,460,1375,665
