,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF2_46_109,2024,3123,2130,3916,2644,2149,5870,4011,3613,4042,1885,3071
ABF2_118_181,2911,3014,3047,6112,4880,3769,5632,5026,5256,6081,4324,4810
ABF2_48_111,2486,3114,2301,3839,2078,1975,5101,4820,3043,3912,2314,2418
ABF2_117_180,2315,3144,2503,4450,2773,3170,4581,4901,3924,4900,3328,3027
ACA1_381_444,404,537,445,1538,190,981,1563,1288,850,1034,373,1231
ACA1_383_446,513,534,1037,629,807,647,729,775,734,1186,1051,1503
ACA1_382_445,616,713,450,857,434,723,900,678,1285,753,940,605
ACE2_601_664,4803,6955,5515,8988,6056,4848,10631,8619,9446,11554,7094,6691
ADR1_100_163,3639,3708,2713,5203,3029,2261,7094,6144,5638,6066,2463,3446
AFT2_42_105,5856,7822,6383,10931,11699,12250,14275,11343,10830,11776,11015,11019
AFT2_85_148,7208,9657,10721,14794,14454,16105,15728,12097,14096,14781,12488,15012
ARG80_79_142,3755,3672,3201,4619,4481,4976,7855,6647,6137,7695,5492,5706
ARG80_76_139,5803,7940,4849,8355,10832,10220,13181,10599,8950,9520,8520,12019
ARG80_88_151,3786,3950,2823,4937,6716,6198,8029,7116,5876,6790,6281,7892
ARR1_223_286,4824,6214,5952,6426,9543,7626,10941,8616,7192,7200,8781,12244
ARR1_15_78,1466,2387,2307,4107,2449,2538,3524,3222,2831,5697,2765,3380
ASG1_7_70,3310,4600,1151,2920,974,1452,6611,6947,1579,3000,1393,2790
ASH1_488_551,2795,4493,3636,5697,6833,5583,6510,6574,5885,6703,5360,6087
AZF1_572_635,5670,7005,4585,7280,5049,5024,11416,8789,6243,7423,4298,4838
AZF1_600_663,1609,3272,3127,4765,3550,3914,5628,4408,4375,5248,4661,4980
AZF1_628_691,3903,4970,2584,5816,3360,2973,8682,7941,5866,7455,3415,4327
AZF1_658_721,1946,2617,1757,2789,1572,1567,4356,3576,2472,3239,1450,2136
AZF1_598_661,2619,3226,3397,5595,5113,5920,7479,6231,5444,6224,5442,5316
AZF1_638_701,1651,2306,1472,4277,2034,1579,4505,3764,3478,3702,1488,2091
BAS1_160_223,1985,2741,1908,4667,3619,2920,3999,2737,4033,3446,3602,4421
BAS1_106_169,3218,4811,4185,6587,2922,5770,6740,4994,5196,5497,4813,5490
BAS1_44_107,5270,8161,8492,12779,10288,8809,13775,11111,13642,14272,8775,9692
BAS1_107_170,2979,3802,4588,5955,4923,5412,7924,6521,6386,7732,3862,5603
BAS1_131_194,2810,4351,4665,7880,6368,5871,7166,5991,6806,8598,7200,7464
CAD1_36_99,819,1936,980,1942,321,600,3038,2539,1445,2150,603,1060
CAD1_346_409,3316,4669,3422,6835,5594,6073,7237,5772,8492,7068,5710,7851
CAD1_42_105,868,1177,1238,2210,1935,1469,2411,1590,2244,1949,1118,1229
CAD1_40_103,969,1023,1199,2424,185,625,2632,2091,2264,2454,1512,1154
CBF1_215_278,5299,5882,4784,6584,2498,4255,11784,9050,6022,8049,3754,3588
CBF1_220_283,3407,3473,2735,7216,3086,4736,7200,7237,5547,7849,4185,4266
CBF1_216_279,3229,4927,4956,5109,5162,2771,7673,7136,4609,6790,2230,2643
CIN5_232_295,1356,1689,1658,2342,932,1018,3467,3533,2116,2025,666,1173
CMR3_251_314,3218,3669,3792,4694,4125,3515,6487,6946,5681,8015,4635,4385
COM2_380_443,4669,5566,2759,4151,3142,2997,10215,8536,3738,3608,2728,2435
CRZ1_548_611,2504,2080,2655,3883,2908,2952,4491,3465,4198,4523,2834,3566
CRZ1_576_639,5029,6927,4395,6512,4707,3771,11104,11670,7474,8760,4013,5709
CRZ1_562_625,2475,3139,3312,4739,4584,2945,6628,5913,5198,4978,3956,4286
CST6_422_485,942,849,187,1279,809,1238,1725,1066,1061,1492,1272,1255
CST6_424_487,887,592,962,1134,582,1657,2652,1865,2659,1543,1249,1449
CST6_423_486,684,1447,784,1886,1634,1211,1770,1395,1400,1645,1591,1650
CTH1_186_249,1018,1163,2365,1991,2203,2541,2215,1682,1983,2062,1705,2373
CTH1_224_287,2207,3573,2522,3934,3137,4159,5625,3787,4803,4726,3101,4687
CTH1_187_250,1049,1540,1086,2708,715,1796,2515,1726,2289,2208,1806,1930
CUP2_1_64,7970,11497,7493,13300,5623,4495,20224,16797,8978,9700,4210,5292
CUP9_168_231,1575,3063,2527,4543,2702,2980,4243,4062,3943,3543,2972,3068
CUP9_164_227,2711,3143,3291,5512,3773,3148,5370,5808,5451,7381,4226,4952
CUP9_160_223,3282,3465,1394,4313,2552,1520,7007,6661,4105,3783,2301,2462
DAL80_16_79,4851,5538,4934,8577,5630,6408,9548,9260,7403,8887,6641,7211
DAL80_18_81,2600,2872,3487,6001,3997,4083,6582,6682,5529,6766,4370,4172
DAL80_25_88,2591,3551,2225,6077,5218,2156,6053,5762,6770,5397,3617,4232
DOT6_63_126,3943,3880,3633,5734,3879,3041,8386,6682,4588,6081,2231,3509
ECM23_120_183,1749,2356,1903,2457,1422,789,4467,3600,2219,2359,1351,1553
ENV11_78_141,2648,3523,3449,4636,3606,3187,5269,4334,4645,5459,2681,3744
ENV11_77_140,1862,2730,2071,1702,2832,1737,3412,3111,3100,2808,1574,1648
FHL1_469_532,5917,5337,4837,8634,9357,6978,9292,8026,7021,7605,7536,8747
FHL1_307_370,2311,3096,2094,4509,4943,4180,5780,5948,4389,5218,3742,4353
FHL1_296_359,7303,9422,5839,11959,12217,14395,12882,11148,10483,12967,13879,13418
