,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF2_46_109,5403,4297,6231,4845,2671,3017,4338,5786,2910,4798,2313,2379
ABF2_118_181,5117,4751,6200,4774,7925,6568,4393,7603,3895,7282,5139,6499
ABF2_48_111,5557,5277,4858,5289,3276,2988,4898,7328,2683,6142,2580,2882
ABF2_117_180,4394,3612,5308,6096,4333,5149,4421,5969,3763,7164,3623,4235
ACA1_381_444,1560,949,1470,1212,1268,827,1185,598,740,1233,936,741
ACA1_383_446,846,613,1448,1180,724,1116,838,736,1143,918,790,601
ACA1_382_445,992,1238,993,1034,896,792,851,241,821,2130,430,998
ACE2_601_664,8784,8515,10083,7797,8128,8211,9087,10396,6915,12778,6663,6345
ADR1_100_163,5011,4781,5755,4055,2900,3410,7154,6530,4630,5637,2241,3180
AFT2_42_105,8076,8573,10970,9531,13898,14728,8046,9813,6253,13924,8482,10301
AFT2_85_148,14484,12931,20866,16036,25628,25750,13956,15598,10837,20127,14871,19500
ARG80_79_142,3969,4043,3458,2435,4597,4995,2720,5886,3732,5734,4013,3429
ARG80_76_139,6898,7406,9594,8373,10887,10248,7776,8636,5631,8543,6104,9725
ARG80_88_151,5549,6256,8062,5492,8410,8576,7469,8991,4626,8513,6345,8585
ARR1_223_286,8845,9244,10795,9047,15626,15876,8806,11654,6966,13506,9840,10006
ARR1_15_78,3832,3500,6813,5178,5239,5613,4609,4007,3585,7139,3087,4743
ASG1_7_70,5159,4849,3744,1981,1490,1298,5007,7412,1273,2015,1310,1136
ASH1_488_551,5654,5745,7922,4599,8595,7403,8426,9073,6776,9978,8087,7825
AZF1_572_635,10549,9784,9856,8120,4885,6433,10240,13109,7659,10647,5182,5430
AZF1_600_663,4720,4664,6575,6112,6104,7271,5480,5307,4067,7329,5193,2984
AZF1_628_691,5515,5702,5946,4702,5588,4676,5669,5964,4514,8318,4255,3383
AZF1_658_721,2072,2874,2471,2510,1433,2250,3543,4292,1319,1865,1208,1464
AZF1_598_661,3716,3311,5624,5467,5191,4621,4377,4845,4207,7509,5078,5915
AZF1_638_701,2945,3275,3204,2922,2207,2348,2575,3680,1386,4168,2713,2363
BAS1_160_223,2947,2850,3642,2684,2757,3033,2624,2848,2706,3993,2917,1382
BAS1_106_169,4646,5270,7249,5453,5697,5139,5316,6293,4199,6996,4973,4399
BAS1_44_107,8314,7481,12410,9790,10687,8848,9315,8679,5143,13224,6668,7283
BAS1_107_170,5988,4345,7382,6214,6474,7136,5795,8164,4039,8644,5329,6102
BAS1_131_194,3943,3291,4997,3498,5059,6658,4547,4587,3430,6384,5693,6819
CAD1_36_99,1172,1510,1632,1536,769,1273,1566,1313,1110,2761,1273,1045
CAD1_346_409,6221,4427,7328,4406,7266,9056,7424,7762,5213,9482,8123,7508
CAD1_42_105,1770,1400,3024,2169,2257,1818,1096,2077,609,2216,1407,1495
CAD1_40_103,1383,777,1168,817,435,503,539,2082,1192,1953,617,738
CBF1_215_278,8929,8220,7392,6226,4782,4694,5943,6849,3701,7732,2477,3035
CBF1_220_283,5199,3858,4479,4564,3901,4103,3289,4479,4300,6646,3704,4120
CBF1_216_279,7511,7415,7054,5796,4694,4162,8379,7121,5903,9501,5399,2892
CIN5_232_295,3309,3675,4178,3716,1667,1620,4572,6630,3214,4169,1425,2048
CMR3_251_314,6153,5776,7149,5200,5355,5756,7222,6337,5608,7093,3705,4439
COM2_380_443,10483,9426,3418,2841,2387,2346,6332,9628,1812,2345,1517,2019
CRZ1_548_611,2715,3584,4292,4755,4414,4710,2576,5477,3157,6812,4155,2798
CRZ1_576_639,8603,7399,8716,7031,4977,4503,6696,8591,4042,6695,3489,3829
CRZ1_562_625,3852,3637,3924,3780,4694,3539,4163,4027,2161,4151,2511,3517
CST6_422_485,2304,1638,3205,1604,3111,3019,2299,3204,1815,2185,1690,2209
CST6_424_487,1282,1303,1807,848,1026,1628,1638,1449,1196,1826,938,1632
CST6_423_486,2258,1256,1797,929,2700,2190,1765,1971,582,1863,1224,1388
CTH1_186_249,1856,1206,2238,2259,2157,2232,1427,3575,1147,1708,1933,1699
CTH1_224_287,2226,2895,3314,1743,3861,2762,3242,3491,1933,4905,2494,3630
CTH1_187_250,1079,761,1582,1599,2000,1437,946,1274,1113,1990,537,1947
CUP2_1_64,12290,9805,8343,6684,4696,4501,12338,13951,6719,11126,3414,4184
CUP9_168_231,3660,3255,4314,3543,3637,4241,3355,6741,3074,7202,3542,3267
CUP9_164_227,2396,2815,3994,2761,3361,4060,3923,5065,2482,6035,3207,2519
CUP9_160_223,6839,4969,4044,3780,2630,3223,5200,5110,2744,3090,2458,2083
DAL80_16_79,6072,3589,5544,4685,5834,5971,5099,6849,6022,9276,4810,6059
DAL80_18_81,3510,3172,5335,4508,4698,4107,5122,5783,3870,8263,3924,3932
