,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
pep3_swap_all_KR_L,10818,4753,7046,9127,6083,4941,8869,11326,7719,10399,4605,5943
pep3_swap_jumps_KR_L,5718,5827,5414,7506,4764,4425,6106,8549,7302,9128,3390,4854
pep3_swap_left_KR_L,8973,7509,6041,8320,5238,5337,7603,9872,7247,8298,4023,6140
pep3_swap_right_KR_L,8529,12093,6118,8716,6743,5129,6453,9872,6752,8995,3177,5309
pep3_swap_all_KR_I,8509,9355,7187,9980,4873,5507,6770,10107,7262,9424,3886,4796
pep3_swap_jumps_KR_I,7686,7141,5330,7571,4987,4663,5897,8286,5700,7963,3075,4950
pep3_swap_left_KR_I,8125,6115,5670,8301,5423,4790,6487,8739,7023,8150,3354,6101
pep3_swap_right_KR_I,7632,5095,4552,6035,3067,3520,7364,7296,5849,6835,2579,3705
pep3_swap_all_KR_V,8661,8320,7827,9032,6679,7075,8670,10754,9309,13477,5318,8389
pep3_swap_jumps_KR_V,5760,3964,3918,5864,4022,3304,4898,7409,4501,7697,2785,3436
pep3_swap_left_KR_V,3986,3953,4024,5195,3851,3529,3859,6158,4483,5004,3073,4608
pep3_swap_right_KR_V,4456,2127,3258,4548,2862,2896,2793,4731,2740,4375,2012,3209
pep3_swap_all_KR_M,2645,1488,2327,2567,2574,2264,2099,4454,3273,3451,1738,3267
pep3_swap_jumps_KR_M,5915,3218,4095,6336,5624,5113,3959,6830,6461,6937,3322,4988
pep3_swap_left_KR_M,3774,2794,2723,3826,4162,4164,2718,4004,3003,4167,1886,3050
pep3_swap_right_KR_M,3718,1748,2410,2549,3829,3356,2310,2719,3085,3383,1885,3075
pep3_swap_all_KR_N,5837,5697,3375,5065,4377,3429,4511,5759,3964,5200,2780,3148
pep3_swap_jumps_KR_N,6534,3771,5061,6689,6073,4640,4140,7652,5160,7671,3594,4574
pep3_swap_left_KR_N,4126,6289,3755,4767,3111,2984,4741,5298,4328,5950,2425,4050
