,1_0_1,1_180_1,1_60_2,2_0_2,2_180_2,2_60_1
ABF2_46_109,6076,6795,1442,16017,8691,2067
ABF2_118_181,6661,8010,2237,15870,9998,2428
ABF2_48_111,6534,7602,1588,17474,8344,2069
ABF2_117_180,8049,8508,8182,19565,8516,7096
ACA1_381_444,2640,2064,2357,5612,3260,2436
ACA1_383_446,2686,3221,753,7396,3455,646
ACA1_382_445,1681,1733,1195,4680,3339,1274
ACE2_601_664,11746,12696,7296,28341,15159,6488
ADR1_100_163,8001,6873,9047,19041,9070,6936
AFT2_42_105,10188,11352,7791,22718,14133,6826
AFT2_85_148,13114,13539,13822,36568,16549,12851
ARG80_79_142,12349,9968,18062,25694,13177,13874
ARG80_76_139,18777,14349,27177,34535,17891,18458
ARG80_88_151,12830,10394,19142,28131,13871,13651
ARR1_223_286,11527,12035,4527,30632,15621,5908
ARR1_15_78,5210,5481,2342,14616,7077,3828
ASG1_7_70,7040,8043,3944,17264,9675,4156
ASH1_488_551,7376,6953,7458,13334,6674,6989
AZF1_572_635,11979,12817,13560,28582,15802,10598
AZF1_600_663,7012,7304,4495,16817,9713,4678
AZF1_628_691,9164,8685,4809,22055,12357,5048
AZF1_658_721,6955,7663,6465,19486,8160,4195
AZF1_598_661,8540,8790,4538,18482,10622,5677
AZF1_638_701,6105,6122,1687,17945,8851,1674
BAS1_160_223,5287,6125,2707,12574,6794,4006
BAS1_106_169,8088,7343,12379,12530,9147,9912
BAS1_44_107,10729,9665,11181,23753,14062,9230
BAS1_107_170,6963,7791,5763,17076,7928,3481
BAS1_131_194,6351,7339,5748,17162,9047,6640
CAD1_36_99,6323,4662,3516,10656,5458,3874
CAD1_346_409,10088,9294,8077,22327,10194,6500
CAD1_42_105,4603,5291,3125,12498,4835,3834
CAD1_40_103,5626,6171,3776,11892,7198,2859
CBF1_215_278,9902,11066,12265,22225,14663,13004
CBF1_220_283,8365,8818,7242,20483,10174,7038
CBF1_216_279,8195,11636,4962,26949,12874,4456
CIN5_232_295,4415,5486,1430,14567,6963,2209
CMR3_251_314,8465,8213,6891,26868,10108,5854
COM2_380_443,8768,9895,4058,22991,12182,5602
CRZ1_548_611,5033,6324,1772,15042,8840,2021
CRZ1_576_639,7683,7622,4146,24223,10628,4915
CRZ1_562_625,6709,6875,3373,15437,7381,3248
CST6_422_485,3674,4371,2064,9609,5487,1872
CST6_424_487,3828,4664,564,11250,6153,922
CST6_423_486,3921,3981,1133,10162,5707,1460
CTH1_186_249,5341,6008,2655,13248,7802,2644
CTH1_224_287,5041,4987,1742,10840,7179,1890
CTH1_187_250,5027,5768,1104,10645,6024,926
CUP2_1_64,14266,10271,23932,31531,15949,14106
CUP9_168_231,6983,8643,4969,17321,8132,4792
CUP9_164_227,7912,7369,4803,18619,8125,4722
CUP9_160_223,8377,9056,6675,24063,11139,6440
DAL80_16_79,9136,9267,17799,23049,11957,14337
DAL80_18_81,9598,8182,15861,21771,8983,9775
DAL80_25_88,8122,6978,10184,17103,10197,7643
DOT6_63_126,10049,11734,15542,23115,10432,10589
ECM23_120_183,6600,5887,4024,15500,7588,4871
ENV11_78_141,4825,5302,767,14236,6647,889
ENV11_77_140,4042,5186,2103,13432,6284,2703
FHL1_469_532,7755,6879,3297,21390,10352,4101
FHL1_307_370,7678,7639,6224,16960,8632,6389
FHL1_296_359,11967,11272,11022,30176,15682,9828
FHL1_472_535,9138,11407,4297,24109,11394,7006
FHL1_473_536,8374,10655,1607,22929,11371,2289
FKH1_314_377,10041,12156,6118,28590,12260,8724
FKH1_88_151,7505,7756,4411,16834,6451,4996
FKH1_78_141,7851,7855,8844,20442,10677,5940
FKH1_315_378,10540,12909,4272,25797,14679,5552
FKH1_316_379,10102,10630,1834,27164,16207,2325
FKH2_351_414,6185,5721,1585,14212,7145,1793
FKH2_97_160,8507,10282,1841,24654,12655,2862
FKH2_86_149,8191,7940,3475,21484,11699,3501
FKH2_353_416,5068,4835,1666,11152,7582,2359
FZF1_1_64,3999,3626,2104,10720,3576,3239
FZF1_52_115,7734,7387,3295,16643,9597,3190
FZF1_22_85,2883,1760,4539,6341,1706,2873
FZF1_51_114,6937,6989,6286,18026,9997,7409
FZF1_135_198,10924,11312,10748,28711,11757,10687
FZF1_228_291,14392,14649,17051,32482,16559,13353
FZF1_16_79,3861,3518,4902,9003,2787,3542
FZF1_45_108,5451,5559,3578,11951,6474,3467
GAT1_295_358,11996,8581,15484,26011,14392,13742
GAT1_40_103,14482,14207,9052,36529,17744,9391
GAT1_297_360,10787,8822,15294,23590,12734,11844
GAT1_300_363,14661,10591,18690,33906,14854,14557
GAT3_56_119,7905,8752,3047,17358,8549,3157
GAT3_62_125,6590,9075,1246,17180,10533,1501
GAT3_61_124,6959,7744,3478,19293,10188,5474
GAT4_46_109,8745,8816,7525,18368,10741,5851
GCN4_218_281,8818,8844,8791,23308,10250,6780
GCR1_643_706,10794,10304,17979,23406,12827,12978
GIS1_827_890,4941,5433,2327,11293,6504,2815
GLN3_291_354,7970,7724,2369,18630,11089,2878
GLN3_293_356,7719,7911,1788,19480,11346,2597
GLN3_296_359,5700,8458,1365,19322,9735,2049
GTS1_181_244,6202,5251,7051,15542,8146,7212
GTS1_182_245,6112,7558,3673,14926,8853,2305
GTS1_174_237,5944,5443,6373,15891,5753,4086
GZF3_116_179,8441,9499,4970,20514,9148,5413
GZF3_118_181,8106,7910,6745,22023,9368,6184
GZF3_123_186,6467,6030,3546,15259,6417,5153
HAA1_1_64,6705,6046,7179,18762,7157,7080
HAC1_26_89,8605,6903,5250,19120,9321,6196
HAP2_155_218,6256,5771,6503,15409,7825,4908
HAP3_41_104,11275,10145,20177,28306,12329,11950
HAP4_41_104,11009,11712,7477,29173,13515,8211
HCM1_119_182,9306,8771,10519,21640,9742,9695
HCM1_120_183,13407,11866,7269,35472,16129,7017
HCM1_121_184,8134,9377,3564,20231,8751,3124
HEL2_53_116,7630,7155,3516,15609,9959,4523
HEL2_202_265,9296,9536,8272,25303,10940,7940
HEL2_230_293,13965,15036,7627,31111,16266,9128
HEL2_261_324,8707,9446,3042,22592,11637,4336
HEL2_51_114,8399,8436,4143,18774,11317,4957
HMLALPHA2_130_193,4637,5995,2490,13938,7526,2131
HMLALPHA2_134_197,4987,4321,2257,10334,8568,2760
HMO1_111_174,7391,7377,10281,17004,8498,9297
HMO1_112_175,6630,6037,5011,18245,8126,2977
HMO1_107_170,8168,8841,10196,21239,9701,7298
HMS1_274_337,5563,5924,960,12740,6323,1541
HMS1_279_342,4673,4561,1013,12735,7159,1340
HMS1_286_349,8973,8625,3518,21973,8671,4662
HMS2_26_89,13192,12040,7002,30075,15189,5455
HMS2_25_88,12379,10909,17265,27492,13731,14288
HSF1_194_257,8082,9186,3571,22227,11727,3267
INO2_237_300,8375,8805,5831,21210,12517,4789
INO2_235_298,7579,7873,3610,18547,9380,4746
INO4_45_108,5682,5603,2480,12779,6889,2451
ITC1_417_480,10364,9846,6734,25522,13928,6581
ITC1_43_106,8438,8507,6343,23736,11266,6738
ITC1_421_484,9275,8744,4432,23720,12482,5112
IXR1_364_427,8181,8876,5010,19875,9677,5063
IXR1_436_499,5622,6642,2839,15646,7111,3658
IXR1_437_500,7153,6401,1709,16711,8596,2071
IXR1_366_429,8380,9854,4955,21994,11056,6137
IXR1_435_498,4624,4654,4526,12877,6480,5177
MAC1_1_64,8664,9704,3920,18849,10522,4781
MATALPHA1_81_144,8355,10505,651,22041,12660,1402
MBP1_25_88,6579,6520,3519,15405,7952,3297
MBP1_394_457,15748,14120,11213,37621,18813,11910
MBP1_377_440,16345,17402,20885,35560,21484,14714
MBP1_413_476,11577,11244,8252,30204,15861,9724
MBP1_495_558,5410,6486,1188,14673,7939,2255
MBP1_33_96,7135,7961,3182,18789,8893,3433
MCM1_17_80,8452,8179,2891,22932,11859,3733
MCM1_14_77,7582,8286,2302,16438,10555,3812
MCM1_28_91,8535,5744,7662,16474,8123,6810
MDS3_155_218,8164,8971,2025,18039,9664,3203
MET28_99_162,6467,5442,4279,13554,7885,4390
MET28_104_167,6483,6550,3824,15277,6383,2461
MET28_103_166,5697,5803,6553,14848,6961,6990
MET31_91_154,6291,5346,6816,15390,8324,4730
MET32_94_157,8669,9606,6701,22141,11017,7862
MGA2_534_597,22154,21035,26457,57699,23964,19613
MGA2_710_773,9161,9579,2361,23973,12807,3408
MGA2_702_765,7802,9405,1651,19005,11039,2283
MGA2_735_798,9049,10304,3107,22302,13458,4083
MGA2_546_609,15492,14133,9625,32297,16359,9196
MGA2_720_783,12384,16015,3848,37991,17855,5564
MIG1_35_98,10705,10504,18802,27078,12688,11216
MIG2_14_77,7632,7495,7453,16500,9238,5900
MIG3_12_75,6691,7145,4712,18724,8481,5402
MOT2_26_89,9037,9231,2852,24074,13454,3428
MOT2_152_215,5362,5964,2163,11139,7028,2636
MOT2_28_91,9095,8895,2975,18895,9941,3617
MOT3_340_403,7741,7750,2773,20594,11970,3534
MSN1_286_349,9069,8737,7188,23455,9783,6716
MSN2_641_704,8782,10138,10132,22622,10241,7143
MSN4_567_630,8994,10431,3547,20499,10794,4607
NFI1_29_92,4354,6359,629,12857,7860,528
NFI1_326_389,15266,13997,13558,35370,17244,11295
NFI1_28_91,4838,5235,881,11485,6098,1664
NFI1_342_405,10486,10668,6450,24026,12985,7309
NHP6A_24_87,11127,9786,11648,23099,13242,8588
NHP6A_16_79,11140,9042,11742,24720,11774,9443
NHP6B_30_93,7497,8044,6222,16686,8154,4942
NHP6B_23_86,8459,6140,6919,19977,10466,6529
NRG1_168_231,7632,8098,6256,20143,9356,7149
NRG2_150_213,8632,8061,4958,20498,10264,4962
NSI1_346_409,4235,3953,2537,10348,5135,2920
NSI1_275_338,5101,6348,1515,13330,5878,2765
NSI1_336_399,6133,6257,3058,17099,7021,3668
NSI1_411_474,8602,9678,5413,21369,11793,5727
NSI1_489_552,12197,12161,15002,32566,17462,13114
NSI1_324_387,5595,6275,768,16222,7901,1313
