,1_0_1,1_180_1,1_60_2,2_0_2,2_180_2,2_60_1
ABF1_1_64,398,72,396,200,623,355
ABF1_12_75,326,78,590,230,619,444
ABF1_23_86,335,177,579,246,688,399
ABF1_34_97,177,135,590,322,705,365
ABF1_45_108,551,148,861,409,1003,442
ABF1_56_119,510,381,613,479,791,523
ABF1_67_130,389,183,600,549,643,525
ABF1_78_141,288,222,475,589,602,310
ABF1_89_152,240,198,488,136,542,351
ABF1_100_163,61,121,156,1,146,129
ABF1_111_174,200,79,136,264,363,159
ABF1_122_185,289,295,898,349,425,322
ABF1_133_196,337,352,535,436,581,221
ABF1_144_207,143,356,434,227,372,379
ABF1_155_218,312,453,461,366,255,276
ABF1_166_229,329,401,724,357,576,446
ABF1_177_240,482,345,814,989,1013,394
ABF1_188_251,340,516,559,587,550,420
ABF1_199_262,516,780,830,816,938,380
ABF1_210_273,341,585,478,339,475,362
ABF1_221_284,128,253,302,258,365,287
ABF1_232_295,115,261,287,176,454,240
ABF1_243_306,137,140,314,148,98,264
ABF1_254_317,326,172,656,364,880,359
ABF1_265_328,306,149,642,203,1208,457
ABF1_276_339,584,97,879,239,884,726
ABF1_287_350,765,633,1097,1438,1230,663
ABF1_298_361,738,423,1235,1145,1382,687
ABF1_309_372,369,150,639,50,858,439
ABF1_320_383,320,51,365,73,548,252
ABF1_331_394,244,46,434,99,322,179
ABF1_342_405,323,56,331,153,442,391
ABF1_353_416,267,28,279,149,667,237
ABF1_364_427,350,35,641,141,514,307
ABF1_375_438,195,32,380,79,519,489
ABF1_386_449,607,85,292,212,650,339
ABF1_397_460,188,132,443,143,288,401
ABF1_408_471,215,137,368,103,287,328
ABF1_419_482,391,102,352,185,500,342
ABF1_430_493,150,48,221,189,297,174
ABF1_441_504,339,405,574,304,541,462
ABF1_452_515,216,173,434,240,299,183
ABF1_463_526,346,212,528,437,647,425
ABF1_474_537,57,160,479,110,529,238
ABF1_485_548,140,98,331,320,312,152
ABF1_496_559,297,297,453,312,604,383
ABF1_507_570,476,390,777,781,557,357
ABF1_518_581,531,1043,968,879,918,686
ABF1_529_592,857,632,1284,1325,754,543
ABF1_540_603,631,498,574,656,399,460
ABF1_551_614,495,337,481,381,411,396
ABF1_562_625,228,275,523,271,598,497
ABF1_573_636,269,203,642,77,376,313
ABF1_584_647,201,129,386,259,536,236
ABF1_595_658,433,393,511,106,199,278
