,1_0_1,1_0_2,1_180_1,1_180_2,2_0_1,2_0_2,2_180_1,2_180_2
ABF1_1_64,313,0,318,655,432,199,236,673
ABF1_12_75,1037,0,1027,1920,2347,476,1182,2020
ABF1_23_86,242,0,399,664,1337,481,325,674
ABF1_34_97,77,0,273,343,713,173,219,376
ABF1_45_108,955,0,621,819,0,336,373,594
ABF1_56_119,988,0,1025,2469,1024,1399,1244,2332
ABF1_67_130,258,0,389,769,0,249,252,601
ABF1_78_141,346,0,364,696,1163,310,229,438
ABF1_89_152,219,0,374,726,0,670,425,999
ABF1_100_163,0,0,13,3,0,0,52,35
ABF1_111_174,94,0,79,133,0,36,6,12
ABF1_122_185,292,0,149,415,0,151,185,460
ABF1_133_196,0,0,103,127,3,42,115,78
ABF1_144_207,155,0,69,177,0,79,76,35
ABF1_155_218,0,0,55,33,0,140,61,64
ABF1_166_229,73,0,94,132,463,86,122,129
ABF1_177_240,115,0,166,323,0,111,146,376
ABF1_188_251,0,0,151,240,0,45,71,111
ABF1_199_262,347,0,185,288,0,0,36,118
ABF1_210_273,0,0,11,113,0,25,25,41
ABF1_221_284,101,0,38,90,0,0,67,32
ABF1_232_295,150,0,298,284,531,212,107,185
ABF1_243_306,94,0,176,472,0,207,132,293
ABF1_254_317,324,0,424,717,593,291,163,519
ABF1_265_328,134,0,131,453,0,178,231,449
ABF1_276_339,528,0,315,829,590,384,171,560
ABF1_287_350,148,0,347,768,235,593,369,586
ABF1_298_361,1362,0,1301,2567,1204,1203,1001,2462
ABF1_309_372,1057,0,685,1311,1101,602,912,1289
ABF1_320_383,0,0,77,169,0,1,47,98
ABF1_331_394,9,0,170,372,844,216,431,877
ABF1_342_405,509,0,623,1004,670,345,403,573
ABF1_353_416,465,0,587,907,5,144,222,636
ABF1_364_427,705,0,538,926,0,175,385,473
ABF1_375_438,817,0,291,638,0,272,273,460
ABF1_386_449,391,0,504,607,0,82,176,419
ABF1_397_460,26,0,149,229,0,233,101,224
ABF1_408_471,124,0,141,120,0,200,129,246
ABF1_419_482,82,0,74,49,0,139,80,153
ABF1_430_493,0,0,2,52,0,39,25,35
ABF1_441_504,265,0,622,1030,2043,489,329,1394
ABF1_452_515,223,0,276,514,0,242,177,233
ABF1_463_526,104,0,146,358,0,130,139,130
ABF1_474_537,396,0,133,236,7,65,120,256
ABF1_485_548,237,0,148,209,1,43,149,370
ABF1_496_559,140,0,163,300,0,112,164,425
ABF1_507_570,621,0,396,649,553,568,428,756
ABF1_518_581,210,0,217,234,2399,147,65,367
ABF1_529_592,385,0,477,1101,912,878,623,948
ABF1_540_603,1734,0,974,1673,490,1177,848,1597
ABF1_551_614,369,0,494,866,363,388,203,451
ABF1_562_625,234,0,155,354,0,259,164,197
ABF1_573_636,169,0,107,232,1,181,137,194
ABF1_584_647,142,0,50,57,346,50,36,22
ABF1_595_658,68,0,41,146,0,0,82,82
ABF1_606_669,226,0,74,107,0,64,61,146
ABF1_617_680,350,0,176,501,0,172,196,242
ABF1_628_691,182,0,58,205,0,162,46,57
ABF1_639_702,299,0,233,455,302,253,218,530
ABF1_650_713,127,0,176,288,0,89,33,42
ABF1_661_724,186,0,124,281,0,189,135,183
ABF1_668_731,281,0,29,82,0,164,106,255
ABF2_1_64,560,0,388,695,0,368,397,602
ABF2_12_75,807,0,1074,1864,0,849,682,1149
ABF2_23_86,181,0,238,377,0,282,155,451
ABF2_34_97,378,0,261,579,0,242,280,587
ABF2_45_108,817,8,576,1083,811,610,529,1098
ABF2_56_119,785,0,466,1015,316,304,374,615
ABF2_67_130,82,0,41,77,0,30,70,99
ABF2_78_141,312,0,352,669,819,373,396,464
ABF2_89_152,20,0,160,131,0,41,68,64
ABF2_100_163,17,0,54,73,0,154,7,19
ABF2_111_174,469,0,407,605,0,349,277,551
ABF2_120_183,190,0,236,481,0,228,222,301
ACA1_1_64,827,0,263,449,0,223,441,590
ACA1_12_75,198,0,286,575,0,241,197,509
ACA1_23_86,682,0,684,937,297,584,836,1348
ACA1_34_97,2321,0,1216,2349,2128,2759,1323,1983
ACA1_45_108,774,0,583,1057,1949,1618,618,1353
ACA1_56_119,636,0,346,808,663,721,348,516
ACA1_67_130,626,0,413,1191,3990,1139,381,969
ACA1_78_141,713,0,899,1981,1,1408,792,1765
ACA1_89_152,761,0,740,1449,855,639,599,1152
ACA1_100_163,0,0,269,266,570,219,150,483
ACA1_111_174,474,0,553,1098,873,556,687,893
ACA1_122_185,52,0,177,376,255,365,158,415
ACA1_133_196,1642,0,1502,3173,2312,1605,1003,2394
ACA1_144_207,1832,0,1384,3108,3082,2421,1385,2920
ACA1_155_218,1217,0,1006,2509,792,1664,1135,2996
ACA1_166_229,893,0,468,961,1724,623,313,699
ACA1_177_240,1194,0,967,2310,540,942,944,1638
ACA1_188_251,1416,0,1308,2559,637,1108,913,2072
ACA1_199_262,201,0,612,1393,1402,670,545,1024
ACA1_210_273,782,0,439,735,373,918,304,627
ACA1_221_284,235,0,340,608,1216,245,123,133
ACA1_232_295,940,0,723,1201,1961,778,640,921
ACA1_243_306,1174,0,878,1568,525,872,802,1894
ACA1_254_317,2372,0,2521,4799,1806,1251,1683,2843
ACA1_265_328,505,0,656,1245,245,545,585,1472
ACA1_276_339,1720,0,1292,2578,2269,1096,1033,1891
ACA1_287_350,188,0,104,339,0,60,177,290
ACA1_298_361,680,0,440,642,0,277,219,380
ACA1_309_372,546,0,381,563,604,151,267,243
ACA1_320_383,227,0,38,143,0,70,131,136
ACA1_331_394,262,0,364,804,32,155,363,500
ACA1_342_405,265,0,385,956,1777,691,321,758
ACA1_353_416,579,0,450,918,0,331,298,794
ACA1_364_427,45,0,51,87,384,0,82,76
ACA1_375_438,117,0,5,2,0,0,2,4
ACA1_386_449,0,0,2,0,0,0,0,0
ACA1_397_460,0,0,10,34,0,0,0,1
ACA1_408_471,39,0,3,39,0,32,14,88
ACA1_419_482,0,0,0,5,0,33,31,33
ACA1_426_489,0,0,0,0,0,15,7,56
ACE2_1_64,724,0,697,1162,0,338,292,705
ACE2_12_75,0,0,35,32,936,45,27,11
ACE2_23_86,40,0,65,195,0,17,53,128
ACE2_34_97,81,0,33,100,0,102,85,127
ACE2_45_108,577,0,226,362,0,90,290,524
ACE2_56_119,1003,0,360,769,781,295,452,1226
ACE2_67_130,274,0,253,381,0,177,151,386
ACE2_78_141,375,0,157,371,750,52,214,161
ACE2_89_152,339,0,625,911,0,226,491,834
ACE2_100_163,1074,0,854,1521,420,469,762,1468
ACE2_111_174,367,0,174,279,0,0,76,152
ACE2_122_185,265,0,183,262,0,75,205,304
ACE2_133_196,36,0,94,116,0,69,69,185
ACE2_144_207,325,0,59,123,0,46,74,168
ACE2_155_218,32,0,20,29,0,0,10,38
ACE2_166_229,0,0,26,40,0,54,57,33
ACE2_177_240,52,0,18,8,0,37,27,0
ACE2_188_251,68,0,0,25,527,118,32,63
ACE2_199_262,129,0,175,419,44,155,137,260
ACE2_210_273,6,0,0,27,0,0,8,21
ACE2_221_284,0,0,55,103,0,0,79,117
ACE2_232_295,257,0,373,616,0,451,362,343
ACE2_243_306,358,0,162,279,678,485,258,535
ACE2_254_317,327,0,438,746,519,467,266,561
ACE2_265_328,372,0,575,917,97,635,342,923
ACE2_276_339,808,0,546,1003,700,623,433,991
ACE2_287_350,812,0,562,1177,515,375,658,1215
ACE2_298_361,388,0,405,686,500,351,364,699
ACE2_309_372,240,0,279,623,349,98,229,323
ACE2_320_383,397,0,148,287,0,61,169,164
ACE2_331_394,169,0,152,310,0,79,172,219
ACE2_342_405,1325,0,1471,2609,364,399,1018,1852
ACE2_353_416,414,0,441,744,0,67,228,316
ACE2_364_427,543,0,407,759,383,154,299,461
ACE2_375_438,968,0,1084,2126,1999,1119,712,1299
ACE2_386_449,363,0,130,233,0,337,127,222
ACE2_397_460,552,0,711,1393,532,1398,445,1122
ACE2_408_471,676,0,696,1549,0,935,648,1226
ACE2_419_482,455,0,683,1270,1542,377,359,522
ACE2_430_493,478,0,470,1088,1,994,414,905
ACE2_441_504,907,0,487,1168,0,500,522,586
ACE2_452_515,1417,0,580,1169,0,336,314,864
ACE2_463_526,1569,0,1282,2213,900,570,1046,1362
ACE2_474_537,1164,0,962,1872,963,925,1008,1554
ACE2_485_548,456,0,257,395,669,327,283,542
ACE2_496_559,682,0,569,1045,507,559,599,1183
ACE2_507_570,292,0,451,893,772,353,446,724
ACE2_518_581,156,0,94,244,786,232,239,760
ACE2_529_592,0,0,0,79,0,97,5,22
ACE2_540_603,0,0,18,41,0,0,24,21
ACE2_551_614,22,0,16,106,0,85,60,93
ACE2_562_625,32,0,50,92,0,6,55,50
ACE2_573_636,47,0,66,93,0,127,77,100
ACE2_584_647,618,0,389,887,1712,327,373,819
ACE2_595_658,322,0,417,755,0,621,544,853
ACE2_606_669,1442,0,1055,2045,870,1028,722,1447
ACE2_617_680,366,0,224,432,0,449,230,405
ACE2_628_691,525,0,525,646,545,261,256,646
ACE2_639_702,460,0,183,280,400,86,267,226
ACE2_650_713,192,0,245,258,322,294,174,218
ACE2_661_724,474,0,166,315,0,300,174,399
ACE2_672_735,79,0,281,579,0,130,169,471
ACE2_683_746,0,0,86,309,0,183,138,294
ACE2_694_757,950,0,688,1348,0,389,552,1092
