,1_0_1,1_180_1,1_60_2,2_0_2,2_180_2,2_60_1
ABF1_1_64,68,459,366,576,224,222
ABF1_12_75,110,578,561,750,589,349
ABF1_23_86,244,358,167,459,499,263
ABF1_34_97,180,397,123,376,376,184
ABF1_45_108,233,525,168,254,182,371
ABF1_56_119,590,1077,879,960,2087,587
ABF1_67_130,139,214,173,213,499,79
ABF1_78_141,366,212,354,486,546,250
ABF1_89_152,498,298,241,681,125,382
ABF1_100_163,41,32,1,0,2,104
ABF1_111_174,106,15,30,2,41,35
ABF1_122_185,108,48,44,46,98,246
ABF1_133_196,222,62,400,81,517,116
ABF1_144_207,65,65,79,15,229,11
ABF1_155_218,9,93,1,120,14,80
ABF1_166_229,368,23,210,228,251,196
ABF1_177_240,316,35,99,73,13,129
ABF1_188_251,11,157,0,118,238,59
ABF1_199_262,31,92,309,1,105,125
ABF1_210_273,262,106,99,29,5,61
ABF1_221_284,4,63,16,1,110,160
ABF1_232_295,108,178,2,162,1,146
ABF1_243_306,239,91,30,129,258,208
ABF1_254_317,260,261,260,552,104,304
ABF1_265_328,251,186,154,15,266,203
ABF1_276_339,158,184,104,108,76,295
ABF1_287_350,366,177,170,467,47,271
ABF1_298_361,565,1036,1819,1246,1788,796
ABF1_309_372,250,862,711,1022,879,415
ABF1_320_383,40,189,107,216,0,60
ABF1_331_394,246,248,160,49,154,194
ABF1_342_405,97,349,214,488,198,136
ABF1_353_416,71,403,40,11,60,182
ABF1_364_427,79,508,526,406,173,323
ABF1_375_438,79,238,142,167,500,134
ABF1_386_449,88,173,189,120,200,243
ABF1_397_460,212,111,15,506,89,43
ABF1_408_471,77,56,59,145,207,143
ABF1_419_482,29,95,164,260,338,156
ABF1_430_493,34,22,0,0,0,8
ABF1_441_504,375,208,469,169,444,492
ABF1_452_515,134,66,135,412,86,142
ABF1_463_526,21,105,133,206,19,33
ABF1_474_537,125,242,129,162,236,16
ABF1_485_548,126,203,53,94,250,97
ABF1_496_559,137,199,255,139,690,154
ABF1_507_570,521,539,405,194,406,411
ABF1_518_581,209,178,4,97,72,180
ABF1_529_592,614,297,411,646,169,376
ABF1_540_603,431,338,190,780,630,494
ABF1_551_614,395,468,853,273,423,324
ABF1_562_625,436,90,92,280,241,67
ABF1_573_636,147,215,92,212,217,137
ABF1_584_647,38,12,3,74,52,22
ABF1_595_658,4,133,121,52,128,32
ABF1_606_669,74,70,118,41,177,214
ABF1_617_680,391,266,115,121,321,276
ABF1_628_691,6,38,1,43,1,17
ABF1_639_702,340,192,370,505,109,317
ABF1_650_713,304,130,92,277,109,126
ABF1_661_724,150,238,0,125,66,161
