,1_0_1,1_0_2
ABF1_1_64,252,263
ABF1_12_75,245,273
ABF1_23_86,358,387
ABF1_34_97,316,419
ABF1_45_108,349,413
ABF1_56_119,327,420
ABF1_67_130,223,306
ABF1_78_141,263,326
ABF1_89_152,254,326
ABF1_100_163,300,332
ABF1_111_174,291,372
ABF1_122_185,290,368
ABF1_133_196,161,209
ABF1_144_207,241,319
ABF1_155_218,310,444
ABF1_166_229,348,465
ABF1_177_240,204,296
ABF1_188_251,324,461
ABF1_199_262,333,442
ABF1_210_273,260,342
ABF1_221_284,235,316
ABF1_232_295,190,222
ABF1_243_306,303,337
ABF1_254_317,265,325
ABF1_265_328,294,290
ABF1_276_339,322,368
ABF1_287_350,356,428
ABF1_298_361,384,460
ABF1_309_372,251,270
ABF1_320_383,182,232
ABF1_331_394,175,191
ABF1_342_405,199,232
ABF1_353_416,246,267
ABF1_364_427,192,253
ABF1_375_438,140,175
ABF1_386_449,192,216
ABF1_397_460,201,266
ABF1_408_471,235,308
ABF1_419_482,325,339
ABF1_430_493,174,209
ABF1_441_504,201,267
ABF1_452_515,195,238
ABF1_463_526,237,330
ABF1_474_537,185,274
ABF1_485_548,247,285
ABF1_496_559,216,264
ABF1_507_570,263,360
ABF1_518_581,286,411
ABF1_529_592,309,349
ABF1_540_603,328,381
ABF1_551_614,305,388
ABF1_562_625,272,260
ABF1_573_636,239,326
ABF1_584_647,165,231
ABF1_595_658,232,289
ABF1_606_669,208,254
ABF1_617_680,214,276
ABF1_628_691,151,191
ABF1_639_702,313,377
ABF1_650_713,207,268
ABF1_661_724,219,309
ABF1_668_731,125,211
ABF2_1_64,280,274
ABF2_12_75,332,394
ABF2_23_86,269,275
ABF2_34_97,192,195
ABF2_45_108,172,176
ABF2_56_119,178,170
ABF2_67_130,214,238
ABF2_78_141,208,238
ABF2_89_152,186,271
ABF2_100_163,223,293
ABF2_111_174,273,324
ABF2_120_183,296,328
ACA1_1_64,321,398
ACA1_12_75,287,406
ACA1_23_86,223,327
ACA1_34_97,348,439
ACA1_45_108,431,554
ACA1_56_119,404,496
ACA1_67_130,328,434
ACA1_78_141,424,495
ACA1_89_152,288,347
ACA1_100_163,357,431
ACA1_111_174,220,289
ACA1_122_185,218,295
ACA1_133_196,320,394
ACA1_144_207,267,417
ACA1_155_218,400,576
ACA1_166_229,401,584
ACA1_177_240,414,508
ACA1_188_251,388,492
ACA1_199_262,437,573
ACA1_210_273,398,478
ACA1_221_284,405,479
ACA1_232_295,491,536
ACA1_243_306,492,534
ACA1_254_317,390,491
ACA1_265_328,293,356
ACA1_276_339,294,341
ACA1_287_350,244,263
ACA1_298_361,323,392
ACA1_309_372,163,219
ACA1_320_383,146,182
ACA1_331_394,241,289
ACA1_342_405,237,286
ACA1_353_416,210,276
ACA1_364_427,157,215
ACA1_375_438,163,183
ACA1_386_449,150,132
ACA1_397_460,145,153
ACA1_408_471,175,194
ACA1_419_482,208,213
ACA1_426_489,172,234
ACE2_1_64,279,315
ACE2_12_75,79,82
ACE2_23_86,215,258
ACE2_34_97,230,231
ACE2_45_108,236,290
ACE2_56_119,222,285
ACE2_67_130,250,283
ACE2_78_141,272,356
ACE2_89_152,253,311
ACE2_100_163,286,292
ACE2_111_174,193,202
ACE2_122_185,205,230
ACE2_133_196,148,186
ACE2_144_207,171,183
ACE2_155_218,144,204
ACE2_166_229,176,217
