,1_0_1,1_180_1,1_60_2,2_0_2,2_180_2,2_60_1
ABF2_46_109,7906,2743,8102,19368,16958,1827
ABF2_118_181,1692,659,6640,5420,8047,224
ABF2_48_111,9720,2269,10618,19295,16337,1102
ABF2_117_180,7148,3470,9191,21789,11617,1825
ACA1_381_444,1302,466,2163,6565,3731,831
ACA1_383_446,3192,673,532,685,845,258
ACA1_382_445,997,429,2110,2703,3880,171
ACE2_601_664,13708,6170,16664,29919,25075,2327
ADR1_100_163,6178,3206,6249,11292,7696,2434
AFT2_42_105,7571,3369,8441,16168,11922,2012
AFT2_85_148,22855,20209,17044,24810,21401,8483
ARG80_79_142,2581,5946,5537,8813,6465,4722
ARG80_76_139,14969,15667,14303,21820,16804,8626
ARG80_88_151,8148,8601,22897,37996,34581,3431
ARR1_223_286,18013,14901,14498,27149,23466,8305
ARR1_15_78,4134,1519,9598,17827,15784,791
ASG1_7_70,7399,2696,7297,13591,10303,947
ASH1_488_551,3758,3277,5464,8714,8196,1499
AZF1_572_635,13295,7873,16411,30135,22221,3349
AZF1_600_663,1797,1729,6059,10170,9206,824
AZF1_628_691,17448,5042,7699,17011,11446,2210
AZF1_658_721,4490,1382,7937,15823,11121,683
AZF1_598_661,5167,2100,4531,9418,6608,841
AZF1_638_701,4712,1972,3164,7768,6088,1175
BAS1_160_223,1751,867,4622,6296,6282,325
BAS1_106_169,2792,2752,6422,13325,8520,1500
BAS1_44_107,8770,5382,9244,17547,11238,2328
BAS1_107_170,5446,7641,5014,4549,6323,6082
BAS1_131_194,6049,5175,6358,10375,9330,2264
CAD1_36_99,6707,3139,6143,11064,8532,984
CAD1_346_409,14097,20872,13096,18071,17586,15573
CAD1_42_105,5368,2322,3172,6305,4073,753
CAD1_40_103,5713,1719,7419,14769,12565,594
CBF1_215_278,10345,5462,14405,35947,19862,2151
CBF1_220_283,6134,2404,9979,15212,11971,1234
CBF1_216_279,12480,7766,14927,11795,20062,3887
CIN5_232_295,5349,970,8221,17016,13269,328
CMR3_251_314,6969,3742,7130,12201,10986,1635
COM2_380_443,13029,9729,7858,16451,10631,6056
CRZ1_548_611,6976,1343,4765,8559,7410,445
CRZ1_576_639,9145,2925,5114,8803,7296,1121
CRZ1_562_625,3429,1858,8245,11970,10177,1025
CST6_422_485,2903,430,1109,5123,2525,197
CST6_424_487,3079,479,2037,2206,3299,133
CST6_423_486,1741,418,1612,4758,2359,166
CTH1_186_249,2305,545,2331,9490,3664,367
CTH1_224_287,5161,1128,4499,9937,9278,328
CTH1_187_250,2593,1073,5144,5214,9631,407
CUP2_1_64,23548,32947,24861,34984,30591,17567
CUP9_168_231,4403,6740,6919,12902,8545,3489
