,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Msn2_1_64,9366,5428,10824,15040,8248,12991,27948,14502,13665,20036,8973,10981
Msn2_6_69,11250,7389,10362,13701,7166,10390,32576,14376,15323,17481,11162,9129
Msn2_11_74,5400,2605,6939,10893,5883,8734,20220,9412,10720,10521,7905,8032
Msn2_16_79,12541,7505,9842,14247,6733,13147,31794,14415,16491,20831,10839,14784
Msn2_21_84,10452,4899,8159,13417,6956,8785,25673,11295,13718,16682,8050,9018
Msn2_26_89,10226,4272,9645,14422,9270,11024,24735,11950,13809,14767,7512,7762
Msn2_31_94,6435,4306,5592,7084,4102,5286,20292,8207,9360,10435,6745,6747
Msn2_36_99,6725,4660,6116,11297,5200,7250,20379,9977,12441,13068,5760,7734
Msn2_41_104,12651,6512,9678,14678,8402,10222,27214,12674,13897,17039,9675,11871
Msn2_46_109,8393,5517,9564,12794,7042,10366,25971,11570,15342,17644,9405,9924
Msn2_51_114,5187,3976,6264,10326,4385,10043,20418,8982,11560,12186,7273,8592
Msn2_56_119,8792,6124,8546,13201,6980,9037,24659,10736,14919,17637,7769,8839
Msn2_61_124,9043,4482,7201,10445,6513,8851,22922,10849,10992,12906,7652,10190
Msn2_66_129,7903,2405,6555,12063,9267,7386,21558,9779,11871,14733,7924,8393
Msn2_71_134,13298,9716,10034,13270,8621,12102,33613,15674,16816,18279,10321,13444
Msn2_76_139,12237,5090,8666,14790,9111,10304,32136,14592,13724,19492,11318,11384
Msn2_81_144,9757,7079,8738,15194,11222,8874,29027,13950,14823,20432,10770,10976
Msn2_86_149,10710,6878,9166,12860,9391,12058,31840,14464,13477,20654,11073,13220
Msn2_91_154,8229,5955,9032,12894,8945,10134,24489,11256,14804,18761,10051,10762
Msn2_96_159,7587,4913,6187,11058,5348,8069,22486,10547,10570,12442,6639,11295
Msn2_101_164,8570,6193,6268,12188,5110,9603,21860,10136,12191,14906,7692,9462
Msn2_106_169,6669,3929,5926,6458,5331,6008,17691,7691,8634,13266,3832,5060
Msn2_111_174,9694,5834,9456,13874,10178,9518,29782,13666,16020,20376,10525,12032
Msn2_116_179,11356,8159,11665,17183,12024,10449,35375,16450,16817,19560,9623,11077
Msn2_121_184,13215,6587,9427,14470,8339,10608,30377,12788,15696,13187,10639,11083
Msn2_126_189,4729,3096,4713,6225,2545,3721,13066,6784,9133,7944,5929,7120
Msn2_131_194,7273,3400,5330,8684,5162,7226,15938,7048,9168,10745,7411,4488
Msn2_136_199,8799,5811,8945,12032,5404,7974,23633,12066,13282,16187,10223,9785
Msn2_141_204,8072,5417,7531,11387,8495,7935,22249,10838,11628,14830,8828,9672
Msn2_146_209,13497,9117,14337,19914,10250,16993,38330,18449,20946,22767,14001,12431
Msn2_151_214,8934,11478,9425,15342,9659,14494,30412,13921,15806,21568,9523,11903
Msn2_156_219,9446,6760,8168,11652,8135,8985,23944,10853,14113,12288,6819,9370
Msn2_161_224,7929,6427,8496,12590,7995,8354,23910,12030,14038,15860,7734,9682
Msn2_166_229,7441,5193,7904,16115,6821,12812,31282,14226,12390,18306,9867,8210
Msn2_171_234,9910,6009,8304,9984,6702,8790,21855,9902,14497,11379,6436,9115
Msn2_176_239,10571,8805,9311,16172,5720,10048,26410,12853,16443,17739,10192,12062
Msn2_181_244,12874,6437,10778,16560,8661,9653,32280,13073,15252,19500,7210,8377
Msn2_186_249,8517,6013,10294,13057,8609,13297,26930,12741,15017,17964,8879,12797
Msn2_191_254,12151,6580,9205,15053,10416,9922,28266,13316,15584,19244,9591,12121
Msn2_196_259,7292,5523,7141,12589,6435,9242,21087,11878,11396,14310,8937,11204
Msn2_201_264,12915,10134,10117,15614,8013,12963,34414,15419,16134,19062,10728,16611
Msn2_206_269,13664,7055,15709,24362,13429,18057,42393,20898,23658,31058,13896,19033
Msn2_211_274,17650,5409,12308,21859,12780,17992,40158,18322,23722,26645,16200,16201
Msn2_216_279,8347,8375,11759,16372,11613,14803,32688,15524,18758,22335,11813,16297
Msn2_221_284,8321,5257,8140,13797,7664,12144,25983,12318,15971,19882,8287,11011
Msn2_226_289,10980,7019,9726,15590,7908,17871,26689,13598,14475,20434,10567,15580
Msn2_231_294,10500,5885,11272,15739,10857,17221,28215,13513,15674,19338,9867,12083
Msn2_236_299,13078,9651,14352,20959,10761,17139,40629,17588,21018,25753,14912,17933
Msn2_241_304,12824,7664,13785,20487,12057,16952,36830,17309,20814,27030,10901,13843
Msn2_246_309,14652,8335,10971,18768,10706,17073,38627,17068,18317,25479,13047,16734
Msn2_251_314,12042,8658,13907,21891,14378,19686,45476,20360,23695,28549,14386,12062
Msn2_256_319,13868,9070,14261,22592,12282,14909,42942,19912,25361,25466,14405,20260
Msn2_261_324,8462,7192,8101,12889,6709,8841,23107,10839,11554,16743,7163,9547
Msn2_266_329,9787,4033,7339,10748,5697,5873,20311,10206,11808,14681,7044,8383
Msn2_271_334,10208,3834,8090,12262,6125,9596,23452,11917,13844,17726,6933,9632
Msn2_276_339,6452,2127,6902,9348,6621,7458,19742,9214,12351,13379,6739,8050
Msn2_281_344,12333,6776,9632,13934,12632,11318,34762,14568,17453,17278,10902,12078
Msn2_286_349,8591,3012,6898,11154,9667,8287,24145,10231,11702,14200,8749,10391
Msn2_291_354,7948,1148,4698,6826,5145,4027,14356,6649,6247,10174,5492,8190
Msn2_296_359,7988,4682,6117,9746,4685,6082,21162,9835,9791,11380,6691,6974
Msn2_301_364,4643,3565,3508,6008,4382,2486,14328,6419,5841,7267,3206,5562
Msn2_306_369,4726,2090,3470,5323,4306,3794,12283,6554,6208,8530,5339,6279
Msn2_311_374,7201,4471,5995,11866,5405,7001,20934,9027,11559,11802,8498,9625
Msn2_316_379,6787,3890,4707,7076,4663,6341,17202,8344,7815,10536,6144,8285
Msn2_321_384,4669,2867,5727,7694,4181,5044,14492,6320,8334,9063,4894,7633
Msn2_326_389,7660,4526,5710,11044,5868,9133,20099,9869,9536,13000,7312,11249
Msn2_331_394,5658,2864,5061,7301,3516,4897,12332,6543,8266,7519,4816,4025
Msn2_336_399,8639,6178,7446,15298,5776,11339,25971,11349,15891,19644,8584,13052
Msn2_341_404,8132,5194,6016,8518,4716,6444,16500,7844,9672,10322,5211,7137
Msn2_346_409,7852,5108,5700,11763,5181,6965,18278,8335,9260,14313,6710,6341
Msn2_351_414,5045,2782,5195,6478,3093,5135,13000,6376,7415,7065,5671,7914
Msn2_356_419,6767,2312,4608,7770,3210,5976,16023,7166,8867,10890,6734,6973
Msn2_361_424,4613,1012,5045,7011,4053,4137,11761,5468,8113,7766,3950,5604
Msn2_366_429,11436,6632,8737,13950,8426,9964,27319,12327,18326,17616,9133,11917
Msn2_371_434,4989,3807,4080,5607,4457,6034,12774,5922,8979,8734,4423,5337
Msn2_376_439,7625,2462,6319,10741,3480,8102,14409,7049,10352,12662,7605,6032
Msn2_381_444,10703,5872,9732,15503,8918,12113,30855,12828,15549,18543,8124,13354
Msn2_386_449,7594,6726,6781,11792,8805,8204,22187,9514,14514,13121,9568,10205
Msn2_391_454,11485,7025,8553,12939,8755,12552,29084,13640,16123,19351,12883,11703
Msn2_396_459,12309,9496,13728,21934,15509,19923,40938,16906,18907,29252,13198,17202
Msn2_401_464,15573,8567,11163,15765,8193,14034,34844,16474,19653,23506,11295,14591
Msn2_406_469,11102,7353,8708,13670,8723,7342,24592,12342,13985,16152,11438,11768
Msn2_411_474,8907,5204,8149,13173,7161,8032,25904,11385,14016,14290,11537,11419
Msn2_416_479,9022,5435,9593,16763,9438,11980,31675,15564,17333,19406,7090,12246
Msn2_421_484,13113,7099,11228,20640,9298,13839,38949,15963,17948,23203,11351,15266
Msn2_426_489,12309,5912,11366,16484,6304,11704,36251,15840,17539,21192,10379,14125
Msn2_431_494,18047,8660,13180,19919,13018,13482,42658,20418,23960,23790,12496,15406
Msn2_436_499,7369,4189,6411,9706,6842,10236,22822,11488,13210,12417,8303,9525
Msn2_441_504,13831,6743,11134,18392,9374,15100,35034,16521,18379,24924,9348,11485
Msn2_446_509,9071,3400,8821,11839,8776,10057,23521,11231,12825,13709,10450,12366
Msn2_451_514,10814,6280,9268,14857,8562,8919,31203,14145,16410,20327,10854,13924
Msn2_456_519,6130,5132,7247,11795,6255,7551,23862,10291,13431,16848,6134,12887
Msn2_461_524,7121,5080,6418,9303,6575,7325,23194,9488,11905,13764,6594,8051
Msn2_466_529,10516,6615,8629,12623,7527,10247,23126,11301,10241,13813,9309,10570
Msn2_471_534,11306,6186,11819,17388,10037,12384,34353,17490,18840,19112,13936,15320
Msn2_476_539,13929,7013,14626,19325,11832,13837,40719,17971,21478,26465,15948,11357
Msn2_481_544,9307,5277,7788,13593,7840,7936,27299,12986,13185,19920,9785,10099
Msn2_486_549,17613,13220,14666,22759,14922,18190,43586,20277,22864,26651,14323,22035
Msn2_491_554,16791,9121,12954,20074,12667,19442,44594,21322,23886,27750,13445,17426
Msn2_496_559,8519,4608,8709,11402,5747,9241,22029,12641,12413,16137,6639,10666
Msn2_501_564,14981,13055,13457,20446,12615,16113,43964,23074,23399,32264,16023,22091
Msn2_506_569,8647,4998,7835,17073,4946,12508,27605,12498,14840,20984,8306,11248
Msn2_511_574,9342,5786,9110,14109,10437,11447,28909,13867,15969,19121,9632,11991
Msn2_516_579,14615,10004,13647,20733,13051,13577,43671,20321,19472,28547,14804,16089
Msn2_521_584,12252,11272,12951,18645,7928,14169,37536,16526,18785,21512,12999,17599
Msn2_526_589,25231,15146,21516,31416,20418,26755,65911,29003,35009,43236,25277,24583
Msn2_531_594,17406,10500,14721,23031,16684,20561,51587,22000,25764,32786,15221,21303
Msn2_536_599,17099,11563,15047,22882,11890,20317,45966,20869,25029,32490,13735,18179
Msn2_541_604,9681,7327,8764,12494,10011,13744,33736,14413,15972,19287,10148,12628
Msn2_546_609,15601,8925,12422,18010,11286,15388,39864,17447,20042,24494,14524,14911
Msn2_551_614,13898,10697,10959,18225,13391,18123,34617,16372,18292,22003,11609,15714
Msn2_556_619,12557,5082,8929,13843,8646,12577,27139,12004,15720,17098,8069,12918
Msn2_561_624,8718,5876,8561,13773,5969,8731,25471,12338,13780,16689,7273,9637
Msn2_566_629,7995,6474,7327,11528,8358,10183,23645,11123,12980,13793,5218,6753
Msn2_571_634,8356,6411,7255,14676,8377,8888,24869,11977,13935,13924,8202,8812
Msn2_576_639,5834,3997,5134,8261,6374,9447,14543,7511,8045,11175,5487,8250
Msn2_581_644,6270,2818,5019,7556,5378,8389,16982,8287,7759,9136,5203,7246
Msn2_586_649,7938,6552,7310,11391,7316,11125,18080,9467,9777,11988,6542,7863
