,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Tec1_1_64,23821,26471,19851,19315,16877,9207,30496,24631,16978,15208,3086,8777
Tec1_6_69,23763,23471,47548,35994,28004,19605,29658,23453,27244,33569,11971,24020
Tec1_11_74,51681,52470,70204,62930,28050,26200,57563,53359,46436,42298,10818,26422
Tec1_16_79,71754,65685,100570,87415,46967,52247,72727,66789,66833,60925,12936,46519
Tec1_21_84,62752,63822,102286,97573,48229,56153,72152,66256,63251,68786,12894,43593
Tec1_26_89,50061,54618,52530,46712,18489,19402,51534,50444,33277,31922,8883,17198
Tec1_31_94,58079,59327,88164,76902,35724,41500,64617,62192,62783,51091,11929,32344
Tec1_36_99,7912,12318,21425,16547,20190,15403,10825,12488,11601,19244,5455,14657
Tec1_41_104,37585,43744,34867,25027,11095,12577,44628,38744,21275,20308,4159,9648
Tec1_46_109,14613,15783,25982,29142,26949,16270,16609,16728,17965,21926,6343,17671
Tec1_51_114,9789,13597,22099,21325,21347,21638,14623,12020,16752,18223,10613,15816
Tec1_56_119,17891,17527,36166,26642,20788,19174,20811,18844,25609,26325,5998,25320
Tec1_61_124,45560,47576,79802,85799,40062,43357,51990,48712,56129,55360,9862,31059
Tec1_66_129,36938,46901,69964,56070,38814,31994,50617,45599,47773,50958,11297,30299
Tec1_71_134,23936,28064,56660,48533,21949,24793,29154,27666,30271,33494,9494,27424
Tec1_76_139,11698,12157,24122,20256,13348,18904,13709,13239,19216,17612,9702,15980
Tec1_81_144,20417,22081,36172,30605,39047,28362,24321,23130,24002,32238,4664,33169
Tec1_86_149,28563,27417,58321,56990,44278,43541,33231,27210,38341,41378,20911,51015
Tec1_91_154,11558,12727,23192,28332,36334,29304,13097,14339,20610,21044,8830,28528
Tec1_96_159,7137,7670,13463,15404,10803,11079,8876,8587,9072,14138,4785,17862
Tec1_101_164,37672,37631,60939,49493,30232,30227,38691,36466,40417,35387,4940,27694
Tec1_106_169,23893,25866,42855,49870,37640,35362,31427,28031,40089,44894,8713,38764
Tec1_111_174,30520,31716,75280,71238,71613,43817,38145,33621,61836,59481,17056,45125
Tec1_116_179,21231,22797,52733,43120,43620,43097,26064,25383,32404,45489,12575,38120
Tec1_121_184,21009,19127,38158,46213,36942,35214,21785,24665,32965,43699,14699,37308
Tec1_126_189,11342,12999,26810,26984,14584,27092,17330,14500,18242,28321,10406,20527
Tec1_131_194,18764,18779,44285,35670,53870,47494,21677,22622,36556,48432,16234,50559
Tec1_136_199,6241,6274,11537,15391,19831,11596,8748,8709,8788,16822,5561,22660
Tec1_141_204,21860,25013,59470,50731,57415,62982,27896,25956,32179,48584,27128,70994
Tec1_146_209,20217,28474,59464,51244,67430,70527,29578,28357,33200,60882,29358,69608
Tec1_151_214,16579,18835,41389,38912,22596,21291,22126,20983,27737,32862,6340,24879
Tec1_156_219,11831,9695,22193,18389,17845,21466,11595,11789,13211,19096,6311,15197
Tec1_161_224,18710,19720,39136,39880,49021,36419,22416,19471,33670,37071,11321,34203
Tec1_166_229,16830,20413,40137,32231,33989,39494,21951,18098,25799,32124,9069,35919
Tec1_171_234,31754,33065,66732,60542,42083,42959,40740,33386,46073,51683,15115,34641
Tec1_176_239,20077,19143,37090,36317,28576,26847,23646,21898,26867,29049,9704,33352
Tec1_181_244,16801,19817,43122,38213,28020,36373,22083,21296,24306,33235,12482,34083
Tec1_186_249,73100,74172,149690,158617,117439,113446,82871,70837,103922,108993,32476,103784
Tec1_191_254,12906,14378,28103,23223,25944,22069,16383,13728,17897,18032,8471,19261
Tec1_196_259,83665,83035,155471,143543,93204,84843,95707,88849,105311,98147,22791,84227
Tec1_201_264,19585,19582,43238,36944,27846,31330,22945,20431,23031,29443,11833,29078
Tec1_206_269,48620,46338,96300,93547,55603,46906,58369,51536,72311,65100,22862,55015
Tec1_211_274,25354,29255,66086,51125,39592,31871,35337,33296,35607,48883,12886,40660
Tec1_216_279,21319,22158,50697,38626,38318,42491,26976,23257,31300,32588,13339,33434
Tec1_221_284,19912,20574,35467,36921,20195,22694,22044,22681,19524,27444,8365,17575
Tec1_226_289,19617,19970,42493,36268,24803,22565,20675,20277,29189,31413,5774,27390
Tec1_231_294,22072,20260,39962,36902,22741,20229,23153,20171,35165,32856,5046,26425
Tec1_236_299,35457,37866,54410,47081,18440,21781,42408,39155,35122,30491,10005,19256
Tec1_241_304,20023,27003,53398,41324,29039,36257,29228,25955,34786,40641,8425,35416
Tec1_246_309,10653,13560,19104,27041,22359,18686,12579,11224,20941,26255,5305,23418
Tec1_251_314,29716,30017,57591,58243,73457,55055,34687,30624,42814,48489,20381,56151
Tec1_256_319,13795,15276,27422,24953,26621,22886,16459,15800,21906,28424,9205,26983
Tec1_261_324,14614,16803,31879,26257,19582,30164,18200,16178,20923,23086,7290,25458
Tec1_266_329,39521,38809,78345,68237,62551,41607,42562,39745,53189,55734,22037,68739
Tec1_271_334,30756,31586,57009,57526,36432,46275,34119,34339,45880,47069,11974,48652
Tec1_276_339,32036,36253,60203,48136,22885,26652,39262,39209,42962,38619,7536,25818
Tec1_281_344,17995,19439,30475,24229,18741,18762,19460,19650,22891,27374,4639,17819
Tec1_286_349,31009,32329,61939,64848,36072,32616,35558,33541,50128,52666,12385,41357
Tec1_291_354,11419,13751,23251,23604,18767,19766,17269,11885,13105,15432,5824,17049
Tec1_296_359,28056,26341,48481,47645,21814,30524,33719,31826,38646,34937,8108,34721
Tec1_301_364,29058,29519,47392,30190,14702,13418,34544,33091,24662,19064,6154,14581
Tec1_306_369,19805,25174,39100,33150,15925,17936,23999,20533,27635,28797,7172,22599
Tec1_311_374,11762,11166,19319,20803,16602,13202,14410,10617,16132,19590,4385,23033
Tec1_316_379,21489,27320,28883,18464,5694,11510,31131,33440,16488,12959,1730,6347
Tec1_321_384,29151,29943,20351,12577,9038,8961,34188,34143,13062,11080,3454,7686
Tec1_326_389,10709,12186,20457,16664,9075,10181,12004,12241,12716,17200,4425,16069
Tec1_331_394,15851,17404,29439,25882,7386,12169,16711,16558,15346,14202,5263,16056
Tec1_336_399,13167,15956,25014,25132,12331,12616,17766,18420,19491,17394,4834,16060
Tec1_341_404,21220,23243,31244,29021,15843,15592,24500,21828,22620,26460,8019,22520
Tec1_346_409,8813,10242,17756,12985,9449,7071,12151,11733,12599,12398,2901,14610
Tec1_351_414,14007,15408,22569,19341,14349,13952,15950,16151,18357,18776,4155,10822
Tec1_356_419,8951,12884,20272,14130,9049,10056,12034,13039,12220,15002,4263,12944
Tec1_361_424,37864,40874,59512,49409,16697,26913,43049,41169,40512,29281,9746,22760
Tec1_366_429,12432,12537,21692,18258,12596,8692,14330,13402,16821,14034,5477,12066
Tec1_371_434,28274,30120,52485,45743,21713,24350,28203,31298,34827,33733,10971,28421
Tec1_376_439,53617,58229,61045,49119,23680,24325,58312,58744,43972,36994,7151,22278
Tec1_381_444,31006,30699,54444,45040,28630,26141,32667,29582,37005,37167,6526,35646
Tec1_386_449,33465,34186,58765,50310,39592,36900,37325,36085,46863,48686,11202,34575
Tec1_391_454,29711,38874,76768,57542,39110,48041,39028,40559,54737,60105,20976,46802
Tec1_396_459,45335,42596,73569,74315,84455,75831,45199,40121,50929,62177,26831,77833
Tec1_401_464,98497,110399,225006,192016,228851,218900,116506,107776,148294,189103,60668,210957
Tec1_406_469,70711,79674,162223,145524,143906,147563,83198,85799,106937,141510,41169,135385
Tec1_411_474,52983,66633,114608,102641,66816,80337,68083,70085,71864,89201,25236,82525
Tec1_416_479,93259,92136,201984,185784,174446,163790,105894,95164,135674,163361,48997,182159
Tec1_421_484,87293,106640,200810,186128,147944,147678,112191,106893,137288,155830,57992,124020
GSY1_1_64,45327,49072,52832,46841,14220,26178,54720,49282,37174,36450,10304,18319
GSY1_91_154,28240,30021,48090,45845,54024,54569,34120,29171,33066,47272,17011,55039
GSY1_181_244,100161,97884,206284,186591,228029,212093,98321,97487,135360,200945,60057,230679
GSY1_271_334,29933,33730,52329,54222,53178,72942,36502,30180,39135,54784,23252,69496
GSY1_361_424,27468,31541,61043,49746,34742,40416,38173,33240,42366,42690,8292,35967
GSY1_451_514,23544,23400,47035,35294,35337,35315,25919,26572,26325,40577,13879,35926
GSY1_541_604,26182,25070,55156,54113,30279,35074,28436,27340,35637,38115,9614,29764
HXK1_1_64,38568,44528,48216,38756,23902,18817,46920,39354,30970,29421,8411,20898
HXK1_91_154,59510,66094,164709,125570,100523,86710,71892,63343,81039,91486,28294,88742
HXK1_181_244,23816,26529,53346,49705,44020,48302,25478,25399,29286,37838,10172,33452
HXK1_271_334,27568,30118,55327,61188,63953,62618,33677,30730,44071,48840,13426,59951
HXK1_361_424,17165,21757,43431,33106,34216,32107,24041,21261,27421,35674,10828,25483
TDH3_1_64,51118,51916,84306,84772,56000,49268,55710,55940,77693,67460,16465,49017
TDH3_91_154,68504,72884,141364,127579,101879,88697,81228,76793,108268,105626,32255,90797
TDH3_181_244,130849,140594,186449,167100,81606,79089,157314,148593,127448,118349,33705,82651
