,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Ste12_1_64,8741,10513,12938,17595,11420,23533,13564,14270,17680,13785,14493,27032
Ste12_6_69,2856,3532,3918,6173,4067,7756,5140,3549,5398,4461,6284,11290
Ste12_11_74,8518,9950,12449,17346,12018,24244,12556,13881,16852,13329,15918,30372
Ste12_16_79,6358,5716,8131,11615,7575,17935,9361,7806,10735,8222,11751,18554
Ste12_21_84,4707,5870,5651,7652,5950,11622,5823,5845,6843,5374,10038,15638
Ste12_26_89,14168,14056,18495,27627,17290,36929,20504,19993,25754,20084,26348,46136
Ste12_31_94,6134,7168,6908,9975,7442,16221,9973,9091,10339,8321,10637,21728
Ste12_36_99,4214,5315,5297,7317,6340,10466,6352,5897,7150,5518,8456,13495
Ste12_41_104,10121,10090,13136,18629,16091,28401,16046,14355,17994,12736,24247,37915
Ste12_46_109,6197,6322,8135,11210,8572,12571,9442,8210,11870,9691,13369,19515
Ste12_51_114,3267,2651,4631,6162,4529,8214,5240,4312,6585,4680,7623,11723
Ste12_56_119,5189,6228,8243,10853,5856,11115,7891,8663,10067,8121,8591,16151
Ste12_61_124,8426,9912,12911,17836,13393,24923,12656,14233,17121,13208,18783,30920
Ste12_66_129,6248,6667,9738,13044,8193,14298,9516,10172,12913,9768,11035,19575
Ste12_71_134,6210,6993,8679,11900,8398,14931,9250,7745,12352,9406,10315,18744
Ste12_76_139,10213,15538,14319,20301,14226,25910,15511,13682,20285,15529,20633,32985
Ste12_81_144,10752,12165,13236,20155,15050,29387,16672,15712,19871,17321,24236,42581
Ste12_86_149,5930,7906,7042,10449,9905,17496,8298,8244,10159,8185,12190,21690
Ste12_91_154,6642,7123,8234,11207,9116,15039,10990,11297,11661,8612,13117,19788
Ste12_96_159,14034,15008,18455,24854,16777,36945,21260,21568,26069,19564,26128,44693
Ste12_101_164,15872,17019,19627,28259,20503,43933,23196,22912,28802,22997,30124,52394
Ste12_106_169,13100,15836,12769,21841,15791,38319,19370,20869,20029,18182,27989,50577
Ste12_111_174,8669,11236,8883,12367,13263,25835,11908,13050,13451,10474,15103,31395
Ste12_116_179,10389,11746,11121,17288,15198,28382,14702,13552,15260,13332,21757,35769
Ste12_121_184,8218,10405,10126,15768,9849,23570,11519,12021,14531,10772,16497,26104
Ste12_126_189,11319,10764,17415,22530,13822,24636,18406,18209,20796,15435,19854,31379
Ste12_131_194,11008,14047,17462,23579,13958,31091,17213,18194,21855,16993,17727,35165
Ste12_136_199,15170,14398,21784,31255,20630,40877,22831,22279,29028,21815,30006,47639
Ste12_141_204,14658,16231,20940,30394,19584,36224,20294,21712,25773,18808,22257,39065
Ste12_146_209,7399,8427,9088,12797,12443,20433,10063,9379,12215,9406,14977,24749
Ste12_151_214,16992,22240,21658,33563,25994,51035,24958,23881,31342,25732,38525,66542
Ste12_156_219,8021,8270,11257,15592,13615,21595,12821,11408,15170,12356,20370,29908
Ste12_161_224,4381,4590,6012,8262,5307,11279,6291,6266,7858,5674,6199,13646
Ste12_166_229,4934,5584,7268,10557,7684,14573,7367,8534,10095,7345,8857,16819
