,1_0_1,1_0_2,1_60_1,1_60_2,2_0_1,2_0_2,2_60_1,2_60_2
ABF1_1_64,18,354,65,32,3,1,64,132
ABF1_12_75,88,339,213,84,2,265,222,254
ABF1_23_86,182,489,306,125,5,501,454,143
ABF1_34_97,66,269,468,113,6,93,269,225
ABF1_45_108,28,223,431,293,0,309,96,624
ABF1_56_119,7,182,277,343,3,572,356,234
ABF1_67_130,60,70,464,203,2,2,369,360
ABF1_78_141,24,14,288,187,2,84,472,148
ABF1_89_152,39,462,427,211,2,148,466,285
ABF1_100_163,42,345,627,191,5,296,367,278
ABF1_111_174,48,456,632,482,3,116,269,641
ABF1_122_185,105,6,498,46,3,379,742,221
ABF1_133_196,127,176,234,151,0,6,68,70
ABF1_144_207,56,1,385,152,3,12,220,129
ABF1_155_218,11,593,266,152,3,116,208,79
ABF1_166_229,121,452,471,170,6,110,486,360
ABF1_177_240,52,288,305,140,6,136,513,255
ABF1_188_251,51,212,402,262,5,98,168,308
ABF1_199_262,327,194,314,233,8,5,189,183
ABF1_210_273,71,63,286,270,3,367,405,251
ABF1_221_284,165,133,248,7,5,451,424,196
ABF1_232_295,14,157,294,120,1,11,217,201
ABF1_243_306,51,82,186,200,4,218,184,283
ABF1_254_317,4,482,302,101,3,146,61,161
ABF1_265_328,25,265,243,260,4,46,552,102
ABF1_276_339,25,68,247,254,3,397,816,384
ABF1_287_350,97,323,442,53,4,305,782,650
ABF1_298_361,32,671,345,302,5,3,249,186
ABF1_309_372,74,49,181,146,3,571,503,358
ABF1_320_383,10,0,172,73,0,82,165,131
ABF1_331_394,5,26,73,115,1,1,305,281
ABF1_342_405,3,397,379,384,2,6,236,140
ABF1_353_416,19,39,94,141,0,60,144,115
ABF1_364_427,15,122,281,102,1,94,30,164
ABF1_375_438,9,142,212,116,0,516,224,65
ABF1_386_449,22,122,186,176,3,106,111,146
ABF1_397_460,6,330,389,159,1,2,171,231
ABF1_408_471,45,490,731,628,4,249,1283,731
ABF1_419_482,29,633,477,154,2,225,324,348
ABF1_430_493,43,261,587,321,3,382,565,671
ABF1_441_504,1,184,220,84,1,186,366,163
ABF1_452_515,242,222,161,186,2,194,179,171
ABF1_463_526,52,6,132,182,3,1,8,79
ABF1_474_537,8,192,246,273,3,2,68,227
ABF1_485_548,4,302,255,138,1,25,111,312
ABF1_496_559,29,193,170,110,4,665,322,143
ABF1_507_570,106,207,301,339,4,133,449,409
ABF1_518_581,76,386,542,447,5,301,891,534
ABF1_529_592,139,392,283,399,1,591,538,262
ABF1_540_603,121,143,475,433,8,195,651,218
ABF1_551_614,109,226,358,111,5,415,464,259
ABF1_562_625,56,128,197,230,6,130,308,337
ABF1_573_636,50,199,453,176,4,368,339,183
ABF1_584_647,12,26,299,131,0,3,262,159
ABF1_595_658,5,9,262,187,2,257,162,475
ABF1_606_669,73,288,334,104,2,85,157,280
ABF1_617_680,24,1,128,172,2,74,267,145
ABF1_628_691,30,160,216,272,2,0,72,96
ABF1_639_702,93,2,273,97,2,210,293,4
ABF1_650_713,2,32,156,0,2,298,0,118
ABF1_661_724,4,238,207,50,4,130,229,248
ABF1_668_731,164,3,204,20,3,2,134,100
ABF2_1_64,36,20,346,134,5,853,202,351
ABF2_12_75,174,169,65,143,6,358,243,276
ABF2_23_86,25,157,132,171,1,1,116,195
ABF2_34_97,12,272,9,83,1,134,211,103
ABF2_45_108,37,527,335,120,1,0,361,175
ABF2_56_119,52,99,164,193,0,159,8,98
ABF2_67_130,54,2,118,41,3,1,5,144
ABF2_78_141,1,374,136,42,0,107,374,130
ABF2_89_152,10,70,204,95,0,281,214,195
ABF2_100_163,28,17,522,228,7,2,188,247
ABF2_111_174,32,214,257,103,1,72,293,244
ABF2_120_183,84,242,265,10,4,140,349,148
ACA1_1_64,15,377,364,104,2,44,176,180
ACA1_12_75,12,234,502,128,2,210,665,122
ACA1_23_86,17,147,195,197,2,429,226,49
ACA1_34_97,43,351,259,147,3,356,356,190
ACA1_45_108,190,573,405,180,7,552,197,119
ACA1_56_119,65,203,549,257,4,116,331,564
ACA1_67_130,167,496,329,172,1,342,419,220
ACA1_78_141,198,29,447,81,8,681,517,329
ACA1_89_152,113,422,403,205,6,285,216,254
ACA1_100_163,85,402,403,207,7,30,358,244
ACA1_111_174,45,610,459,272,6,305,411,285
ACA1_122_185,179,503,280,155,7,1,480,484
ACA1_133_196,119,845,83,179,4,1,278,309
ACA1_144_207,7,379,384,408,6,37,199,280
ACA1_155_218,237,203,619,301,1,818,490,434
ACA1_166_229,351,692,871,739,9,1034,1206,909
ACA1_177_240,271,409,326,343,5,135,682,235
ACA1_188_251,114,100,215,201,4,480,606,179
ACA1_199_262,539,529,779,168,6,429,842,277
ACA1_210_273,388,129,661,220,5,644,873,114
ACA1_221_284,163,699,1006,610,7,591,939,964
ACA1_232_295,363,1129,1049,1127,5,772,881,1305
ACA1_243_306,86,293,572,254,6,482,312,414
ACA1_254_317,95,322,322,249,3,310,209,86
ACA1_265_328,47,14,121,234,1,541,99,252
ACA1_276_339,65,251,355,152,2,122,311,476
ACA1_287_350,50,86,415,126,5,248,225,75
ACA1_298_361,22,447,205,234,4,335,334,198
ACA1_309_372,0,287,168,120,3,4,50,123
ACA1_320_383,27,0,34,13,1,84,154,143
ACA1_331_394,54,240,76,63,1,122,221,170
ACA1_342_405,29,92,342,139,4,73,79,267
ACA1_353_416,23,71,174,154,1,549,37,548
ACA1_364_427,35,90,140,80,1,511,373,145
ACA1_375_438,2,308,85,34,0,2,115,152
ACA1_386_449,7,95,418,74,2,45,262,302
ACA1_397_460,50,146,127,79,4,73,2,222
ACA1_408_471,17,225,478,316,0,568,385,392
ACA1_419_482,12,270,552,424,0,211,338,558
ACA1_426_489,26,346,509,167,3,257,341,399
ACE2_1_64,11,156,235,139,2,346,19,1
ACE2_12_75,0,0,69,3,1,0,81,26
ACE2_23_86,28,4,350,71,1,98,96,298
ACE2_34_97,21,20,264,67,1,286,252,169
ACE2_45_108,6,62,68,253,2,1,207,48
ACE2_56_119,26,228,177,7,4,438,50,62
ACE2_67_130,55,105,126,145,5,66,283,369
ACE2_78_141,72,332,300,170,2,0,233,110
ACE2_89_152,32,99,590,546,1,383,553,323
ACE2_100_163,18,340,582,324,4,122,396,266
ACE2_111_174,22,125,653,276,5,226,496,419
ACE2_122_185,53,286,81,180,3,54,218,153
ACE2_133_196,34,126,873,687,2,327,831,614
ACE2_144_207,79,283,413,408,1,46,347,285
ACE2_155_218,25,153,195,321,2,128,242,162
ACE2_166_229,11,229,175,148,1,74,133,313
ACE2_177_240,55,0,103,120,1,473,282,126
ACE2_188_251,27,142,258,304,1,5,468,375
ACE2_199_262,81,170,409,286,4,513,122,255
ACE2_210_273,32,352,1150,427,4,184,712,500
ACE2_221_284,102,437,453,308,1,5,500,519
ACE2_232_295,58,847,260,371,3,593,234,335
ACE2_243_306,48,396,279,422,2,48,386,318
ACE2_254_317,102,410,514,205,7,566,702,430
ACE2_265_328,42,287,776,289,3,277,253,380
ACE2_276_339,370,539,218,143,3,25,396,313
ACE2_287_350,57,109,307,72,5,621,171,139
ACE2_298_361,3,4,278,92,1,274,12,203
ACE2_309_372,13,152,225,190,2,14,170,29
ACE2_320_383,8,9,104,142,2,183,38,198
ACE2_331_394,7,175,34,124,1,1,203,322
ACE2_342_405,20,55,309,95,1,72,68,237
ACE2_353_416,14,77,213,0,0,0,237,84
ACE2_364_427,11,254,245,112,3,157,369,57
ACE2_375_438,29,185,272,142,3,680,628,206
ACE2_386_449,47,308,227,59,6,212,371,219
ACE2_397_460,138,218,113,308,8,325,32,94
ACE2_408_471,109,294,311,122,4,2,486,406
ACE2_419_482,78,384,251,562,4,876,471,394
ACE2_430_493,38,558,207,295,3,619,241,312
ACE2_441_504,54,204,202,233,2,611,332,440
ACE2_452_515,110,371,264,374,5,382,356,375
ACE2_463_526,66,102,208,100,4,244,572,317
ACE2_474_537,23,33,195,102,1,193,146,149
ACE2_485_548,5,161,168,214,8,171,309,365
ACE2_496_559,30,4,248,163,3,138,245,191
ACE2_507_570,129,17,191,214,2,900,396,192
ACE2_518_581,61,81,173,109,1,61,211,159
ACE2_529_592,23,166,314,209,4,271,481,344
ACE2_540_603,82,299,429,92,5,517,219,41
ACE2_551_614,11,285,208,362,4,579,201,327
ACE2_562_625,10,11,265,569,1,246,10,205
ACE2_573_636,276,1006,1130,531,8,497,1037,776
ACE2_584_647,93,275,408,217,9,15,250,173
ACE2_595_658,38,103,395,253,4,161,208,387
ACE2_606_669,6,136,69,43,6,454,62,164
ACE2_617_680,144,36,202,87,1,104,235,142
ACE2_628_691,6,193,237,147,3,256,82,413
ACE2_639_702,55,448,167,123,2,374,177,151
ACE2_650_713,19,144,267,157,1,101,176,152
ACE2_661_724,3,132,151,155,1,98,133,165
ACE2_672_735,5,92,305,213,2,0,299,196
ACE2_683_746,64,172,442,311,1,294,209,161
ACE2_694_757,28,364,249,94,4,70,257,51
ACE2_705_768,129,222,348,232,9,220,348,143
ACE2_707_770,116,393,295,400,2,1,280,278
ADR1_1_64,9,153,289,454,7,98,215,256
ADR1_12_75,28,176,196,252,2,39,311,102
ADR1_23_86,61,2,268,152,1,1,84,192
ADR1_34_97,14,424,567,313,3,26,372,326
ADR1_45_108,20,202,493,189,1,478,478,440
ADR1_56_119,9,119,227,171,2,399,105,174
ADR1_67_130,10,202,469,429,0,34,472,164
ADR1_78_141,41,19,315,202,4,136,265,358
ADR1_89_152,61,328,388,218,3,48,158,94
ADR1_100_163,76,299,212,44,3,1,0,298
ADR1_111_174,3,52,191,172,1,121,204,237
ADR1_122_185,80,92,197,310,6,5,175,294
ADR1_133_196,75,21,336,161,2,189,213,91
ADR1_144_207,81,194,545,134,4,280,55,180
ADR1_155_218,34,38,433,409,3,199,364,109
ADR1_166_229,71,81,399,1,0,121,211,126
ADR1_177_240,60,171,383,485,4,85,264,26
ADR1_188_251,121,240,229,312,3,221,346,193
ADR1_199_262,54,502,338,192,7,68,251,169
ADR1_210_273,44,483,334,171,4,405,95,139
ADR1_221_284,76,811,504,200,1,180,586,311
ADR1_232_295,66,414,426,174,3,373,385,247
ADR1_243_306,58,102,638,545,4,429,400,286
ADR1_254_317,51,434,332,452,4,225,483,306
ADR1_265_328,168,91,964,394,1,65,917,590
ADR1_276_339,35,85,201,230,3,644,248,307
ADR1_287_350,75,137,907,532,5,375,1062,582
ADR1_298_361,46,127,424,243,6,47,25,102
ADR1_309_372,48,40,390,450,5,1223,59,190
ADR1_320_383,103,182,399,284,3,187,263,201
ADR1_331_394,57,117,506,65,2,370,395,117
ADR1_342_405,32,145,428,136,3,89,496,175
ADR1_353_416,16,217,123,73,2,60,50,4
ADR1_364_427,8,138,672,225,6,514,328,333
ADR1_375_438,66,562,258,90,3,425,130,245
ADR1_386_449,32,217,121,246,4,318,569,227
ADR1_397_460,32,494,207,212,4,237,39,178
ADR1_408_471,21,101,270,175,1,130,185,213
ADR1_419_482,36,81,195,224,4,152,173,301
ADR1_430_493,2,81,307,139,0,2,326,172
ADR1_441_504,26,99,237,114,5,164,249,332
ADR1_452_515,1,194,268,105,4,12,133,140
