,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Msn2_1_64,28896,37615,25011,14819,15081,16594,31075,44571,25503,18556,30751,12041
Msn2_6_69,7954,15481,2469,1472,1906,3267,12520,14235,5323,5496,5625,1679
Msn2_11_74,23352,20680,14028,7396,18734,8811,16600,31433,11883,13122,8005,4590
Msn2_16_79,16319,25344,12641,8598,15973,16679,26175,38836,11973,14869,25407,9925
Msn2_21_84,25951,27363,29838,18732,25401,41507,30381,43835,49382,41819,31363,39728
Msn2_26_89,34574,30303,31833,25520,35471,44882,26574,35383,29622,26721,23484,17329
Msn2_31_94,22188,19000,26758,15985,27351,19536,12019,16711,19021,24193,20950,27182
Msn2_36_99,21162,10895,33256,16297,25186,27884,12176,15541,16784,23288,28954,18003
Msn2_41_104,45424,51533,42547,19872,34770,34975,53941,73209,47897,44899,23821,20112
Msn2_46_109,12718,6805,21866,8044,13644,39004,10259,12714,21004,16361,22995,19499
Msn2_51_114,13678,10682,23355,9305,15902,13339,12881,10297,16784,10777,10593,11499
Msn2_56_119,47451,51492,28367,19673,24096,25126,35138,49994,37833,34294,28453,22957
Msn2_61_124,46317,35302,41462,20613,41991,35687,33304,52310,50923,48873,41922,37051
Msn2_66_129,11961,14660,19584,12552,29937,23479,15876,18258,20352,23854,42715,21907
Msn2_71_134,58788,62945,49439,34988,44594,44480,44175,71311,52206,50157,43453,40841
Msn2_76_139,33514,21345,26721,24827,41686,35843,27110,40113,35822,29386,29258,18981
Msn2_81_144,21955,25940,31450,13980,27455,34519,21074,26655,22812,20230,12547,18574
Msn2_86_149,38709,48461,36112,29542,38045,50896,30318,53774,26684,44311,45568,27686
Msn2_91_154,16671,25728,28928,15081,16061,36258,24831,25295,19984,19574,25940,21719
Msn2_96_159,20802,17072,22248,14607,30859,27690,12862,16118,19608,19498,13137,9262
Msn2_101_164,8565,12315,9853,11590,11520,10992,12290,16999,20841,12133,23827,15796
Msn2_106_169,21218,23178,16829,12987,18309,11122,18005,19593,21221,25022,6493,10848
Msn2_111_174,32478,30954,31699,22682,18216,17613,27569,39531,32777,35310,26913,18321
Msn2_116_179,18302,28260,26273,22331,26010,34877,31939,30193,31285,37965,24696,26122
Msn2_121_184,37403,28870,11993,11909,12809,14996,24949,45964,15497,16310,20002,12395
Msn2_126_189,27498,21603,8064,2999,6564,14780,29307,23090,17069,9736,6712,4259
Msn2_131_194,26503,18115,10619,11659,8034,16579,31019,49647,12554,14636,16611,9844
Msn2_136_199,33884,20762,13194,6947,9185,9780,20442,31530,10574,9097,11237,10569
Msn2_141_204,13372,12784,5309,1255,6055,4707,14279,16230,8330,7093,11900,6867
Msn2_146_209,52251,50587,18005,14466,24255,26439,46851,56020,7443,18454,7762,11071
Msn2_151_214,23093,17605,26785,15715,34462,37738,16576,23222,30214,36438,37718,27985
Msn2_156_219,15021,14872,21372,20830,38245,18766,12975,20560,24547,18047,29214,11969
Msn2_161_224,44394,40026,32273,15493,25689,19594,47560,49095,35345,30279,17328,9734
Msn2_166_229,38394,44149,36510,21110,22667,27806,39946,39598,34490,28650,24345,17787
Msn2_171_234,23385,24500,20261,19507,32176,44745,15939,19472,31383,26366,34101,12495
Msn2_176_239,23633,21012,29872,22705,39093,52275,22730,27676,23284,23920,26911,14443
Msn2_181_244,21272,18288,19102,16822,28107,40746,22071,25272,26465,22681,28967,15770
Msn2_186_249,23378,34585,28229,22308,45900,22235,30319,47163,31506,36970,32014,31242
Msn2_191_254,32628,41069,37265,28726,61464,47002,44890,63520,57697,46269,52830,40044
Msn2_196_259,25423,29695,31787,30758,35864,30638,29415,32806,42467,36321,40996,17525
Msn2_201_264,39672,45702,33810,25579,38274,41962,56491,47716,50002,54117,51005,34305
Msn2_206_269,37476,26717,11812,7717,12312,12256,36311,44877,19947,17728,12252,9858
Msn2_211_274,18797,19902,7474,7331,10544,10192,32588,33018,12274,7479,7940,7099
Msn2_216_279,37127,44630,14989,11170,16796,10731,30068,39478,17863,12151,11154,13808
Msn2_221_284,29206,27841,11516,11801,10533,10552,30407,38383,22985,16867,10158,4134
Msn2_226_289,40957,35806,16048,9013,4530,10179,40215,53511,20766,20878,15009,6219
Msn2_231_294,23876,28332,14997,10712,8556,17414,25846,31273,10196,8226,13874,1741
Msn2_236_299,26110,23099,15271,9133,12361,12344,27183,28668,19852,20490,20317,10644
Msn2_241_304,29872,21494,20579,13489,21115,15506,28586,35497,20777,11175,15717,4752
Msn2_246_309,46317,63383,50473,24483,27054,71151,48632,71150,44905,39683,49020,35619
Msn2_251_314,47999,43431,31699,23476,30323,42503,38935,72308,26051,34695,28111,16917
Msn2_256_319,35482,33238,26256,18144,32692,34945,34951,56470,28631,30408,32108,18834
Msn2_261_324,14475,20015,30904,18342,38652,33643,21986,24774,41228,26446,49092,33232
Msn2_266_329,30261,33843,29540,24039,36629,32291,23772,29811,28970,29858,44291,25040
Msn2_271_334,21997,13082,28426,18671,21226,32402,14908,23989,36476,32126,29373,30064
Msn2_276_339,11545,9008,20254,8248,13670,23593,9800,10314,16408,19532,16214,11679
Msn2_281_344,29602,25452,10851,15371,10755,8791,24348,39465,21036,16277,6347,9537
Msn2_286_349,10780,10281,14588,4037,14006,15171,20758,28942,11960,13922,4315,6722
Msn2_291_354,9564,9086,5874,4544,3184,13745,11012,14981,8374,8451,5390,8498
Msn2_296_359,35872,28619,10875,11548,8388,14670,23350,42668,14857,16148,11675,8910
Msn2_301_364,27287,18977,36790,15240,31735,37907,15929,23694,33082,23924,22899,26153
Msn2_306_369,42966,43756,16109,13534,16193,20988,35557,50529,37329,26237,11897,17937
Msn2_311_374,14013,19704,24460,15435,14098,24409,20068,24564,23817,13985,37234,13405
Msn2_316_379,14589,6041,5588,3957,4269,7410,14828,24000,4896,5258,7258,1171
Msn2_321_384,6192,11414,9275,2259,10320,12188,9429,11558,4712,3930,3292,4988
Msn2_326_389,14265,26365,17472,5957,3840,16643,19488,17866,15251,19906,12679,16145
Msn2_331_394,18583,15416,20660,22933,17741,25407,16130,20623,17175,29151,16197,14206
Msn2_336_399,22736,30829,23803,14783,26887,19763,16862,19922,27077,23867,26078,8300
Msn2_341_404,4484,4511,8149,3411,273,10600,7028,8804,2734,3338,10977,8366
Msn2_346_409,6470,5130,14393,5584,8150,26498,9461,12462,10004,17734,11399,12673
Msn2_351_414,4294,7791,10798,5566,11355,13418,5238,8363,15572,6448,14538,8136
Msn2_356_419,7349,14403,7984,3134,17210,4054,3437,12176,14530,10011,7533,12232
Msn2_361_424,3977,8783,13788,5957,14685,7930,4046,3946,9527,6456,7789,10690
Msn2_366_429,16825,11524,12867,8341,7166,6532,16978,15263,8663,15448,11363,7231
Msn2_371_434,10855,3849,4638,1555,143,2220,11955,6272,4059,7052,9374,741
Msn2_376_439,5650,6640,6315,5028,8069,3650,4944,11810,4181,3725,6192,3742
Msn2_381_444,40274,53754,45305,30209,38441,35563,45870,51930,52527,39105,44401,35486
Msn2_386_449,24068,10609,21461,16713,14577,23883,16908,24928,21906,22014,18106,21521
Msn2_391_454,26150,23062,11769,15696,14229,17789,36057,39935,22201,23356,22366,11590
Msn2_396_459,41293,51397,29208,25451,15856,22368,40617,48084,33730,31061,35766,17775
