,1_0_1,1_0_2,1_60_1,1_60_2,2_0_1,2_0_2,2_60_1,2_60_2
ABF1_1_64,94,364,245,290,364,20,325,263
ABF1_12_75,98,384,128,388,375,14,205,392
ABF1_23_86,622,413,524,480,886,419,258,493
ABF1_34_97,364,16,518,356,637,26,389,574
ABF1_45_108,381,968,376,366,633,57,348,464
ABF1_56_119,148,161,601,641,483,225,374,592
ABF1_67_130,405,619,384,319,962,92,327,640
ABF1_78_141,314,544,503,248,70,131,329,916
ABF1_89_152,537,391,670,849,389,151,244,765
ABF1_100_163,420,525,358,612,968,143,247,461
ABF1_111_174,1401,879,1060,1116,98,178,665,923
ABF1_122_185,392,403,209,427,725,84,148,385
ABF1_133_196,635,279,155,200,3,197,272,278
ABF1_144_207,271,604,189,495,579,180,214,141
ABF1_155_218,1269,179,431,607,337,329,280,484
ABF1_166_229,449,214,292,320,87,275,337,557
ABF1_177_240,751,437,135,311,606,89,416,1210
ABF1_188_251,1653,544,247,280,1287,250,452,707
ABF1_199_262,680,263,326,401,682,96,304,860
ABF1_210_273,282,162,102,267,1018,77,225,551
ABF1_221_284,335,121,15,119,90,117,41,640
ABF1_232_295,297,162,325,46,59,1,244,342
ABF1_243_306,193,62,268,597,508,220,138,327
ABF1_254_317,324,378,417,263,218,50,223,411
ABF1_265_328,440,644,153,209,386,217,85,620
ABF1_276_339,470,440,657,394,646,69,486,1067
ABF1_287_350,2269,416,584,735,818,271,462,1129
ABF1_298_361,343,177,419,384,1257,157,286,542
ABF1_309_372,280,596,353,246,738,103,150,13
ABF1_320_383,413,640,114,109,183,26,168,297
ABF1_331_394,202,3,93,36,1,31,135,206
ABF1_342_405,374,528,369,460,382,10,368,683
ABF1_353_416,181,301,319,405,217,20,132,108
ABF1_364_427,2,327,139,293,381,3,140,276
ABF1_375_438,91,247,435,184,411,0,183,275
ABF1_386_449,123,30,354,251,232,9,161,281
ABF1_397_460,154,469,336,660,633,91,131,609
ABF1_408_471,751,666,727,933,648,99,450,2097
