,1_0_1,1_0_2
ABF1_1_64,222,305
ABF1_12_75,283,297
ABF1_23_86,553,379
ABF1_34_97,388,384
ABF1_45_108,497,416
ABF1_56_119,514,425
ABF1_67_130,398,306
ABF1_78_141,403,297
ABF1_89_152,376,350
ABF1_100_163,472,271
ABF1_111_174,506,356
ABF1_122_185,508,320
ABF1_133_196,322,209
ABF1_144_207,605,341
ABF1_155_218,727,399
ABF1_166_229,572,401
ABF1_177_240,380,310
ABF1_188_251,669,421
ABF1_199_262,701,384
ABF1_210_273,550,343
ABF1_221_284,403,279
ABF1_232_295,273,215
ABF1_243_306,480,354
ABF1_254_317,400,314
ABF1_265_328,351,335
ABF1_276_339,314,354
ABF1_287_350,616,418
ABF1_298_361,596,415
ABF1_309_372,397,286
ABF1_320_383,239,206
ABF1_331_394,170,172
ABF1_342_405,193,214
ABF1_353_416,206,225
ABF1_364_427,191,190
ABF1_375_438,130,166
ABF1_386_449,219,184
ABF1_397_460,294,264
ABF1_408_471,272,300
ABF1_419_482,309,347
ABF1_430_493,263,307
ABF1_441_504,358,269
ABF1_452_515,288,188
ABF1_463_526,373,263
ABF1_474_537,293,237
ABF1_485_548,221,224
ABF1_496_559,347,300
ABF1_507_570,502,368
ABF1_518_581,619,308
ABF1_529_592,536,411
ABF1_540_603,501,349
ABF1_551_614,493,265
ABF1_562_625,413,229
ABF1_573_636,416,282
ABF1_584_647,268,205
ABF1_595_658,543,311
ABF1_606_669,431,260
ABF1_617_680,403,267
ABF1_628_691,288,169
ABF1_639_702,493,285
ABF1_650_713,270,225
ABF1_661_724,318,213
ABF1_668_731,232,159
ABF2_1_64,305,257
ABF2_12_75,511,374
ABF2_23_86,302,274
ABF2_34_97,166,148
ABF2_45_108,165,178
ABF2_56_119,218,156
ABF2_67_130,236,209
ABF2_78_141,197,184
ABF2_89_152,212,189
ABF2_100_163,415,294
ABF2_111_174,381,253
ABF2_120_183,351,227
ACA1_1_64,408,326
ACA1_12_75,411,382
ACA1_23_86,304,311
ACA1_34_97,603,400
ACA1_45_108,833,507
ACA1_56_119,650,413
