,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Tec1_1_64,16059,18,12109,13430,5692,7966,18923,18282,16481,22187,5551,11559
Tec1_6_69,21788,28,25481,29714,12597,23047,23472,22273,30143,43954,16676,28403
Tec1_11_74,28387,29,34512,38281,14584,23582,36088,33389,43371,60870,18390,32915
Tec1_16_79,40433,45,46822,50613,20373,37665,44860,43163,59102,81325,29897,51280
Tec1_21_84,42013,28,49501,54425,23322,41896,51124,51166,65140,93251,32991,65110
Tec1_26_89,28537,24,31696,32098,10207,18170,34163,32096,38863,55740,13511,26878
Tec1_31_94,43305,45,52319,52294,24045,39977,55065,48840,62582,89859,32326,60051
Tec1_36_99,13102,10,13501,14068,5628,14941,14564,12841,14525,20972,10351,18190
Tec1_41_104,24639,22,21440,21108,6346,12084,31604,31312,27362,39124,10210,18786
Tec1_46_109,15983,7,14703,18077,8104,16314,18666,16472,19263,27207,11670,22819
Tec1_51_114,14040,9,13225,13926,9283,15489,17227,15532,15609,22768,10967,21620
Tec1_56_119,17270,16,19893,21061,12439,20100,18120,18961,21817,33241,15498,25954
Tec1_61_124,34538,42,38108,39020,21144,35038,43748,43447,48872,68645,27548,50415
Tec1_66_129,31970,26,37732,38609,16531,30256,39219,35593,44634,63242,21325,40805
Tec1_71_134,22674,37,25307,27004,12912,23132,25072,24067,32051,44303,16659,33205
Tec1_76_139,13876,5,14127,16486,7685,17667,16035,14086,16578,24438,10795,20273
Tec1_81_144,22945,19,25431,29215,15184,25948,24274,24447,29425,42201,16196,32462
Tec1_86_149,23799,36,22782,24711,14909,27032,26487,26111,27112,39111,19332,37232
Tec1_91_154,14515,18,12336,14393,10760,15609,15902,15013,14727,20935,12400,20516
Tec1_96_159,7980,13,7111,7637,4738,8924,9412,9097,9239,13974,6544,12105
Tec1_101_164,20767,23,18980,21084,8641,15147,25256,25840,26945,36776,11739,21427
Tec1_106_169,19069,17,17517,18965,10999,17978,22815,20927,23720,34084,15481,27813
Tec1_111_174,21081,18,17925,20373,12695,20940,22333,24632,26101,35859,18585,32959
Tec1_116_179,16318,19,14801,18405,14125,20178,19524,18063,20415,30639,14174,26405
Tec1_121_184,13098,8,11220,13862,8956,15407,15529,14947,16777,22475,11120,21066
Tec1_126_189,13127,12,9996,10949,7789,13544,13437,15190,13252,18001,12048,18437
Tec1_131_194,12113,13,8891,11230,9278,15169,12370,13282,12844,17628,11301,19684
Tec1_136_199,6550,5,5157,6592,4464,7219,6158,7285,6334,10139,5029,10116
Tec1_141_204,17526,11,12626,16498,12351,20842,19106,18094,17203,24306,14913,28113
Tec1_146_209,16941,9,12224,15456,12977,21904,21063,22175,18966,27506,17670,30254
