,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Med15_1_64,23908,21915,24244,31238,55553,71565,28779,23605,25360,37587,68790,41525
Med15_6_69,9185,9274,11080,13524,28320,22594,10446,8328,12933,17363,27892,24885
Med15_11_74,6562,7776,6538,9960,19360,18620,7718,6026,7415,11201,13575,14026
Med15_16_79,12816,15966,12002,14459,15972,20201,17480,15829,16546,17307,19809,20226
Med15_21_84,17522,19561,10858,24221,31278,28791,17896,17878,16830,20387,28089,23519
Med15_26_89,14717,16499,8416,7135,12903,14525,16367,17243,7695,9171,11662,13312
Med15_31_94,16632,16824,7344,12199,17025,20387,23809,17013,8490,15615,18879,17233
Med15_36_99,5156,3720,4850,3855,9027,6583,3566,7263,4836,7481,11753,13550
Med15_41_104,20354,27245,8433,16624,20739,20763,24238,21148,13990,21342,22529,15384
Med15_46_109,13206,15324,16938,16159,31180,34665,16863,14419,15376,21679,31561,22661
Med15_51_114,11165,14131,4053,5882,8880,15677,10420,11127,5751,4612,8749,5835
Med15_56_119,10479,12181,6110,5788,12532,12819,13677,12242,6009,6588,9379,7509
Med15_61_124,8395,9992,3144,4173,10598,11369,11445,9258,5256,4283,10395,6077
Med15_66_129,14015,14306,4960,9807,15655,14305,12507,12393,8981,11180,19118,17648
Med15_71_134,16094,18942,7420,12448,18275,20586,18018,18859,10246,13156,24808,23915
Med15_76_139,14951,16301,10247,10500,13763,16226,19243,14636,11553,10465,21348,13672
Med15_81_144,8466,9140,5025,5997,13343,11335,9983,8076,5552,8002,14982,8609
Med15_86_149,10975,10870,7794,9658,11981,14620,13313,10140,9050,10069,9973,7394
Med15_91_154,11179,14260,7097,13465,15794,12657,13128,13028,9930,13078,21440,20544
Med15_96_159,4400,5718,1926,4143,7448,4188,6148,6292,3739,3435,5406,10445
Med15_101_164,3653,3888,1197,2890,4287,4395,4377,2743,2554,2711,3740,1368
Med15_106_169,3216,2727,3387,3763,8300,5359,6346,4329,2919,2978,9778,7772
Med15_111_174,11240,11881,8220,12724,18717,21721,10962,12042,10333,13236,19284,19509
Med15_116_179,1254,1705,1815,1007,2338,3266,2514,1048,1516,1453,2860,4735
Med15_121_184,4160,3545,2486,4142,9647,9958,6123,4436,4309,5354,11274,7215
Med15_126_189,12425,16127,6602,9943,14840,19868,12448,14629,12880,10368,19580,7382
Med15_131_194,10308,11433,4738,7267,5054,8642,14567,11126,5561,8251,9144,10690
Med15_136_199,19922,27932,20417,29441,48670,52524,24723,22280,29870,28942,52678,38240
Med15_141_204,18855,19310,7175,13534,18749,18333,21357,17849,10919,14659,22970,24146
Med15_146_209,7986,10557,9605,7567,16332,17616,9777,7094,7693,4586,17630,16864
Med15_151_214,11339,12780,7653,6172,9545,17092,15676,9610,6401,6822,12925,11360
Med15_156_219,20371,22434,13777,20339,26826,24214,17996,18610,13049,17328,27180,17323
Med15_161_224,12239,15234,6951,10046,14722,17283,14190,12565,7094,9869,13028,14077
Med15_166_229,8045,9589,4391,6424,16608,11788,12071,9670,7545,7767,17501,17320
Med15_171_234,18803,18101,9327,14290,19816,24494,20427,18182,14024,15455,26670,19426
Med15_176_239,23765,24765,15748,22240,33187,32435,28608,21881,20981,25319,35457,30098
Med15_181_244,15428,17395,14263,14650,21813,24685,19932,16529,14240,16986,17486,26454
Med15_186_249,17744,19618,12924,24325,39595,39564,18087,17143,20653,24492,44972,36997
Med15_191_254,24139,28754,16588,27900,52000,52598,20197,22611,28439,30197,48762,55915
Med15_196_259,7097,11900,8505,12290,28671,28251,7944,9027,10621,10523,29007,24284
Med15_201_264,10733,14510,8917,13922,23928,29797,10559,10532,8710,13084,23989,15082
Med15_206_269,3932,6083,2578,3419,8166,7997,4790,4756,3509,5995,8897,6603
Med15_211_274,11192,12359,5326,5588,12948,11009,10281,9462,6400,7512,11583,12359
Med15_216_279,17292,19287,13548,17819,24656,23589,16301,15237,17282,17630,18923,23211
Med15_221_284,16704,20997,15398,19637,24786,36666,23269,18119,14616,21852,34100,20602
Med15_226_289,9194,9836,10255,12925,29885,26902,10535,9742,11249,13664,27966,17525
Med15_231_294,13132,15704,8709,11664,17082,22180,14032,14294,10560,11649,23377,13472
Med15_236_299,8471,12788,11966,12458,23246,26728,11576,10255,12205,16983,24279,18950
Med15_241_304,13537,15198,14637,20869,25239,32545,14210,12209,14780,17230,25988,24797
