,1_1_1,1_1_2,1_2_1,1_2_2,1_3_1,1_3_2,1_4_1,1_4_2,1_5_1,1_5_2,1_6_1,1_6_2,1_7_1,1_7_2,1_8_1,1_8_2
ABF1_1_64,0,1,3,4,1,6,2,1,96,1,1,1415,1,1291,8978,1
ABF1_12_75,0,1,2,1,0,736,190,1340,1320,2129,867,312,1,0,0,1
ABF1_23_86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ABF1_34_97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_45_108,1,5,56,0,0,0,79,1,2,1,1,1,0,1,1,4482
ABF1_56_119,1,0,0,8,1859,131,178,18,1,1279,83,0,1,0,1,1
ABF1_67_130,0,23,274,514,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_78_141,0,0,0,2,0,3,106,0,0,0,0,0,0,0,0,0
ABF1_89_152,473,120,28,577,0,0,0,1,192,0,0,253,0,1,0,0
ABF1_100_163,0,415,0,821,1,104,0,0,0,0,0,1,1,0,0,0
ABF1_111_174,0,203,0,0,0,5,0,0,0,0,0,0,0,0,0,0
ABF1_122_185,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
ABF1_133_196,0,0,0,0,0,0,0,0,0,35,0,514,0,0,1,0
ABF1_144_207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_155_218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_166_229,0,1,0,1446,0,0,0,0,0,0,0,0,0,0,0,1
ABF1_177_240,1,0,1148,717,1,1,482,0,0,111,0,148,0,0,1,1
ABF1_188_251,0,0,1,0,0,0,654,0,0,0,0,0,0,0,0,1
ABF1_199_262,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0
ABF1_210_273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_221_284,0,1,0,0,1180,0,0,233,0,1,0,0,0,0,0,0
ABF1_232_295,0,0,1,583,0,378,37,0,18,0,0,0,0,0,0,0
ABF1_243_306,0,0,0,0,1,0,1,0,646,1,0,298,0,0,0,0
ABF1_254_317,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0
ABF1_265_328,0,2,403,19,0,0,0,0,0,232,0,0,0,1,0,0
ABF1_276_339,0,645,186,81,18,0,0,0,0,0,1,0,0,0,0,0
ABF1_287_350,0,98,0,553,0,2,0,0,0,0,0,0,0,0,0,0
ABF1_298_361,0,0,0,0,0,0,1,1142,242,0,273,1,0,0,1,0
ABF1_309_372,0,1,930,0,2,580,328,220,1479,514,81,120,1963,4,3,2
ABF1_320_383,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0
ABF1_331_394,1,869,1,2,3,1,1,2325,2774,50,0,230,2,2,3,1
ABF1_342_405,257,4,0,629,1,556,0,110,0,277,0,24,0,0,2,1
ABF1_353_416,1,1,0,0,0,2,156,1,3103,738,0,2,0,0,1,0
ABF1_364_427,0,4,2,1,0,298,0,0,369,1078,447,64,0,1,1,2
ABF1_375_438,0,1,0,0,0,0,127,0,0,0,282,402,0,0,0,1
ABF1_386_449,0,0,0,0,0,0,0,119,115,0,0,39,0,0,0,0
ABF1_397_460,0,0,83,0,720,480,0,0,0,230,0,0,1,0,0,1
