,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Med15_1_64,14881,14057,2192,34887,14928,18111,13640,20289,24198,23712,17479,10745
Med15_6_69,6170,7003,723,16456,9709,6695,5388,8767,14942,12307,9304,6384
Med15_11_74,3317,4520,513,8261,4956,3734,4639,4867,8528,6305,4816,3202
Med15_16_79,7922,7481,699,16327,6282,7030,8091,8593,14492,11887,6149,4659
Med15_21_84,9589,11555,1066,17638,8366,7718,10893,12299,19956,13985,8819,4889
Med15_26_89,7511,8338,471,14600,4262,3103,8464,12774,10050,7750,5730,1756
Med15_31_94,9728,9451,528,9708,3339,5152,8534,10082,10174,5938,4281,2128
Med15_36_99,2196,3005,207,6825,2856,2435,2817,2773,3769,3754,1601,1168
Med15_41_104,12211,14990,985,22179,6457,7315,13767,21116,19731,19179,7485,5549
Med15_46_109,6400,10704,733,17692,8990,7533,8976,13305,18070,18085,9562,5362
Med15_51_114,6945,7634,308,8169,3324,2968,6365,8320,7347,6308,3007,2235
Med15_56_119,5384,8307,305,7197,3096,2684,5914,9717,6587,5493,4023,3529
Med15_61_124,5971,6795,294,7900,3320,4033,7007,7577,5905,6420,3873,2637
Med15_66_129,8206,7396,775,14658,5013,4250,8045,13762,11845,12307,7771,3624
Med15_71_134,8707,9461,662,16478,5648,5792,7068,11751,13386,9512,5705,3565
Med15_76_139,8061,8177,765,15680,4850,3835,6939,11350,15182,12181,5883,3492
Med15_81_144,6233,6277,392,11146,3549,4459,5839,7654,8588,4852,4701,2464
Med15_86_149,5351,5066,690,8252,3566,3023,4357,6804,8564,6112,3126,2336
Med15_91_154,5382,6611,817,12566,3639,4864,5233,9528,11576,10689,3650,4553
Med15_96_159,2047,2974,203,3399,3497,1807,3182,4312,4365,3773,3503,1820
Med15_101_164,1982,1935,180,2258,1475,1465,2049,2157,2569,3396,2488,470
Med15_106_169,1901,2182,160,4715,1892,1636,2129,2345,3476,4114,3085,2106
Med15_111_174,6609,7399,621,14348,5510,4883,5667,7823,12899,14390,6721,3398
Med15_116_179,820,822,58,1732,854,1077,908,1717,2483,1484,871,576
Med15_121_184,2453,2949,200,4000,2052,2403,2716,3049,4396,2916,4000,1401
Med15_126_189,6015,5944,567,10592,3375,5271,5175,9913,9986,5649,5565,3012
Med15_131_194,4389,5909,354,7960,1978,2905,4399,5046,5045,5585,1460,901
Med15_136_199,11269,12005,1395,33118,14205,13035,13604,16330,24752,20126,14650,9161
Med15_141_204,9601,8684,752,15532,6278,6971,9406,11884,12520,12122,6197,3598
Med15_146_209,3861,4405,392,8820,4504,4869,4106,7807,6081,6796,4987,3373
Med15_151_214,4908,6676,395,7721,3536,4774,6090,7624,7967,6716,4185,2766
Med15_156_219,11193,12186,932,20819,9808,9738,11172,12944,16887,14408,7233,6014
Med15_161_224,7372,7485,724,12576,5729,5289,6987,8223,9786,7903,6168,5488
Med15_166_229,5406,6394,481,9832,4650,4069,5047,6632,9970,6348,3728,3071
Med15_171_234,6993,10538,726,14994,4902,5700,8635,11529,13117,10820,5738,3953
Med15_176_239,10513,12603,1293,22903,8761,6807,12476,15356,21175,21557,10243,4999
Med15_181_244,10383,12836,1145,23437,7778,7452,11201,13892,17959,18075,7772,4069
Med15_186_249,9802,11635,1387,23388,12275,11799,9654,13335,23998,22285,10814,6018
Med15_191_254,14039,15802,1942,39197,16687,15826,14087,19576,32039,28006,17404,10648
Med15_196_259,4274,5806,641,12718,8680,7451,3124,6649,11204,12296,9700,5884
Med15_201_264,6475,9039,942,16795,7716,5071,5509,12853,13088,11132,8453,4620
Med15_206_269,2574,3181,245,3162,1147,1133,2421,2794,3388,2831,2932,2247
Med15_211_274,7534,7796,407,9891,3989,3683,5595,8299,8161,6003,3848,2197
Med15_216_279,8377,11497,860,20058,9028,7303,9786,11995,16228,15851,8193,5289
Med15_221_284,12103,12415,1059,24673,7575,8056,12004,17135,21203,15978,8895,6622
Med15_226_289,6458,6722,827,15731,11045,9814,7053,12961,14817,19557,13996,7065
Med15_231_294,5969,7580,652,16267,6603,6496,7590,9237,14923,11495,5673,4059
Med15_236_299,4964,6798,774,15198,8512,7379,4815,7953,14662,12601,7518,4080
Med15_241_304,8025,8955,871,19491,8337,7777,7512,12255,15452,12640,8041,6766
Med15_246_309,7194,8849,792,19311,8542,10677,7661,10887,18549,13969,10387,5590
Med15_251_314,5492,5957,623,14470,8488,7625,5326,8717,16325,10084,7346,3994
Med15_256_319,2236,3158,239,6057,4271,2372,2533,4090,5517,3919,3310,2805
Med15_261_324,3454,4131,182,5796,3052,3220,2723,3646,5437,4505,3711,2580
Med15_266_329,5273,5498,424,9537,4202,2688,4704,8133,6986,9407,3216,2639
Med15_271_334,8113,6635,349,6982,2153,2367,7905,8819,7390,4593,1776,834
Med15_276_339,4262,4692,197,3442,1196,1072,3046,5779,3107,2611,1339,225
Med15_281_344,3564,3441,250,4681,1609,1510,4563,5693,4794,4775,1976,1516
Med15_286_349,1754,2457,120,3864,1559,1114,2155,2711,2514,1651,1485,933
Med15_291_354,2661,3343,345,5829,1902,2260,1912,3097,4949,4636,2742,1257
Med15_296_359,2935,3156,238,4886,1796,2073,3140,5001,4742,4311,3277,1260
Med15_301_364,4581,5322,329,7695,2108,2240,4998,6657,6517,5011,2872,2300
Med15_306_369,3950,3766,205,4130,2222,1370,3008,4052,3783,3341,1914,1440
Med15_311_374,3770,3733,229,3494,1461,2118,3848,4435,2492,3713,2683,1181
Med15_316_379,2026,1552,139,3472,1237,1559,1994,2751,2099,2152,1623,717
Med15_321_384,1582,2720,179,2686,1358,1805,2246,2606,2577,4485,2884,1401
Med15_326_389,3916,6392,385,6691,3652,3275,3664,5968,7165,5108,3474,2203
Med15_331_394,2665,2673,268,5555,3506,3260,2714,4264,5237,3679,3709,2697
Med15_336_399,4881,4564,517,10558,5744,6897,3940,6533,11182,10053,9136,4148
Med15_341_404,9116,14814,820,20027,7022,7025,11569,17429,23125,16634,9254,5500
Med15_346_409,7786,8967,601,16302,4413,5424,5798,9357,12030,11410,5554,4135
Med15_351_414,7913,10288,920,20069,10442,12305,7728,9774,13048,17280,10723,7510
Med15_356_419,5483,7421,312,11007,4668,2658,6177,9632,6004,5575,4176,2409
Med15_361_424,6567,6340,1007,17371,6755,7482,6083,9523,11823,8109,5487,3663
Med15_366_429,10533,9310,931,23959,9320,11661,7763,10914,23517,19370,13156,6781
Med15_371_434,7788,9219,922,20238,11635,12317,7982,14274,21793,16794,14039,8154
Med15_376_439,2976,4363,287,5468,3053,4070,2551,6118,6461,7469,5140,2346
Med15_381_444,7773,9078,1137,20276,6653,4886,7620,11639,13146,13862,7856,4928
Med15_386_449,7327,10637,994,22572,11464,8737,10291,11810,23166,18818,13434,7594
Med15_391_454,6546,8268,984,21626,12204,12329,8888,10912,19920,16864,15341,10536
Med15_396_459,10990,10172,1176,26386,10386,10463,9290,14551,18985,15975,9192,5353
Med15_401_464,9876,9977,858,21016,9939,9455,9110,11951,15782,15259,6893,6934
Med15_406_469,7947,8805,504,16966,5221,6265,9596,14372,9888,11473,4076,2962
Med15_411_474,1976,1817,93,3384,1616,1905,2120,3511,2340,3708,2274,901
Med15_416_479,9682,13261,1111,23860,13850,12954,10735,13556,21598,18620,12828,8975
Med15_421_484,8226,10644,1242,29893,16023,14570,13389,13576,27723,18459,16567,9983
Med15_426_489,11008,11536,886,32851,17957,15372,14133,19773,32231,26819,19102,14065
Med15_431_494,6846,8223,856,23117,12933,13240,8151,14252,20682,20946,11927,11652
Med15_436_499,9305,11476,1287,24365,11375,12558,8998,15901,26372,19408,10331,8336
Med15_441_504,6350,8392,816,17579,11336,9384,8193,8988,17050,12941,10963,8709
Med15_446_509,7563,9461,784,23537,13455,9136,8127,13102,20910,20590,12795,8170
Med15_451_514,15378,19192,1409,29846,12301,9634,15572,24570,20818,19839,10866,7682
Med15_456_519,9848,12195,1414,26548,15224,12306,9198,15819,28481,16791,12436,6774
Med15_461_524,4402,5162,508,15786,7975,6508,5472,7702,13302,8026,8429,6765
Med15_466_529,6884,10912,952,25663,14607,12356,7619,11471,19228,14125,14676,8240
Med15_471_534,8163,6183,947,18309,11277,9757,7337,8139,19183,16669,12425,8588
Med15_476_539,7417,8593,1174,24719,9583,9114,8263,11385,23902,20002,12963,8557
Med15_481_544,4626,6250,543,10202,6247,6114,5165,8125,12461,11142,7664,4315
Med15_486_549,5483,6078,417,6842,2955,3338,5869,7443,5592,4277,2738,1842
Med15_491_554,7324,8424,412,8930,2069,2674,6052,9031,6946,6114,2934,2169
Med15_496_559,5396,4607,623,11941,4810,4032,5082,5936,13331,10432,6062,3262
Med15_501_564,2522,3676,191,7601,3631,4524,2675,4145,8119,5918,4555,1803
Med15_506_569,3242,4731,524,12261,7010,7298,4365,5073,7071,6262,5867,4477
Med15_511_574,4292,4618,690,12721,9277,10405,4095,7774,14356,13592,8532,5479
Med15_516_579,5946,5927,693,13424,11644,12374,3763,7266,11959,12136,12425,7876
Med15_521_584,5450,6785,1242,14926,13624,13614,6101,10837,18493,15595,16135,10473
Med15_526_589,2491,3643,278,7666,4863,4712,3112,4542,6230,8031,6494,3881
Med15_531_594,2476,2668,181,4775,3125,4146,1981,4036,5005,5608,4648,3143
Med15_536_599,3251,3149,354,7123,6782,4274,4989,5267,7065,5222,6088,3907
Med15_541_604,4346,4856,650,10739,8128,9443,7021,7880,13205,11841,10264,6960
Med15_546_609,11019,11759,1789,27108,21140,22488,11227,13838,23038,22899,24231,12975
Med15_551_614,6791,7029,929,14721,8940,10160,5849,8919,13160,9778,13250,7076
Med15_556_619,5991,7939,735,18894,12525,11030,5339,9019,14193,13135,13677,9898
Med15_561_624,5331,4113,704,11420,7823,6034,5095,6090,14571,10507,7844,5946
Med15_566_629,5022,6167,980,13046,7563,8878,5127,8107,15174,16045,11375,5868
Med15_571_634,3728,2963,402,7994,4923,5910,3821,4946,6305,8295,5915,2923
Med15_576_639,5658,5801,698,14256,7414,8579,5190,9606,11734,11317,7902,4839
Med15_581_644,3472,3047,394,7865,2564,3540,3249,4569,7033,5587,3053,1848
Med15_586_649,4911,5137,564,8534,5344,4186,4374,6186,11676,10011,5340,3439
Med15_591_654,3855,4252,438,9422,2672,3738,5498,7418,7365,7645,3411,2470
Med15_596_659,1759,1574,128,2821,1340,1087,1470,2398,3153,1496,1653,988
Med15_601_664,2669,3321,177,5590,2112,3287,2243,3787,1854,1872,2163,2046
