,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Msn2_1_64,26985,6394,11257,16861,12216,9743,16230,13636,15549,7165,5508,11999
Msn2_6_69,9315,2096,2700,4497,3810,2807,6014,5305,4247,2191,1676,3082
Msn2_11_74,13332,5895,4588,7439,4236,5139,8425,7727,8225,3360,3055,6157
Msn2_16_79,16915,4342,5752,9541,7033,5662,10202,8528,10930,4820,5050,12574
Msn2_21_84,21276,7456,8759,16868,18549,14693,12922,11347,20757,9063,9925,19971
Msn2_26_89,27276,6294,13156,20056,16876,14886,19075,15712,22235,11692,10641,23583
Msn2_31_94,8015,2434,4826,7292,6824,5592,6717,6226,8299,3659,4329,10828
Msn2_36_99,14422,5623,4742,10011,9531,7963,9153,8226,11358,6348,6652,16415
Msn2_41_104,30588,9480,13259,20269,12074,11292,19252,16336,19481,9715,6804,13384
Msn2_46_109,14644,3807,6906,10694,11666,11921,9217,10140,15080,7397,8642,17369
Msn2_51_114,19514,4040,6669,12432,13608,12581,12323,10135,16846,7374,8933,18645
Msn2_56_119,29037,8514,14093,18287,12681,12222,19082,15898,18884,9838,7066,17569
Msn2_61_124,27299,7149,10776,17716,12812,11604,15838,13592,20167,8658,7786,15104
Msn2_66_129,14827,4637,6908,12264,13998,11342,11195,9847,13517,7689,8288,19277
Msn2_71_134,29045,6271,12962,20401,13626,10905,18135,16490,20053,8946,7576,14707
Msn2_76_139,24351,7111,10995,17511,14333,13170,16570,12776,20664,8839,9382,20643
Msn2_81_144,21010,7063,12471,18131,13981,12009,15568,14275,17102,7864,8929,19484
Msn2_86_149,26477,7944,12706,18409,14537,11946,16321,15760,20131,9686,6468,17005
Msn2_91_154,14770,5836,7680,13349,13383,11006,8386,10314,12941,6886,9585,12815
Msn2_96_159,11821,3572,5753,8415,9108,5874,7931,7866,11765,4704,4102,8275
Msn2_101_164,13089,5309,8060,12636,13333,10309,12848,10418,15891,6719,8836,15958
Msn2_106_169,14950,3729,6848,10399,9003,8520,7054,8064,12849,5824,3966,9429
Msn2_111_174,23539,8078,10952,16980,13861,11122,17257,14153,17861,9160,7026,16652
Msn2_116_179,29327,7802,14843,22733,17096,15412,16686,14224,25927,9913,10030,22339
Msn2_121_184,29674,9202,9264,14568,9532,8594,15708,14972,12898,5385,4507,11426
Msn2_126_189,7093,1772,1231,3143,1381,1926,4070,2505,4254,1294,1433,3566
Msn2_131_194,17016,3554,4120,6567,5003,4190,6935,6870,6315,2949,3480,5703
Msn2_136_199,21655,4295,5606,8823,6441,4615,8560,8686,9406,3682,3622,10159
Msn2_141_204,11568,3177,2970,5861,4700,3800,6926,7350,5674,2582,3304,6843
Msn2_146_209,35057,11864,10979,17559,11563,8821,18403,18011,18180,7669,6041,11967
Msn2_151_214,19119,4862,7805,14574,13989,12441,12852,12846,19010,8791,8440,21505
Msn2_156_219,21901,3136,8074,17224,17398,14123,14946,12129,21363,8791,10674,23272
Msn2_161_224,30088,10652,9559,16263,11030,8502,17416,12777,15710,6657,5993,11097
Msn2_166_229,24118,7572,9935,15828,9445,8349,15869,15741,16207,7358,5593,11783
Msn2_171_234,21834,6354,9110,15645,14259,10688,14588,13064,21463,8967,8217,15928
Msn2_176_239,22311,6946,9947,18891,16664,13627,16913,14080,21204,9151,9814,19611
Msn2_181_244,20302,4902,8726,16960,15978,13318,12955,9969,18109,6817,9199,19542
Msn2_186_249,17792,4995,8799,13798,12185,9600,13047,10100,16420,7438,5239,13902
Msn2_191_254,29104,8847,13065,22117,21923,17640,16863,15291,22236,10452,11209,24871
Msn2_196_259,15992,5500,8737,13452,13236,11591,12725,13262,18769,7819,6953,14262
Msn2_201_264,24848,7973,11691,22034,15683,14036,19142,17536,26440,11185,10220,23007
Msn2_206_269,20347,5462,6681,9773,4709,4647,10361,10181,9830,3670,2773,3744
Msn2_211_274,12916,4652,5291,7062,4305,3830,8228,8830,9056,3763,2671,4752
Msn2_216_279,19599,6425,7076,8253,4603,4848,10586,9722,8887,3778,2336,4958
Msn2_221_284,16404,4295,4814,8153,5454,3856,11045,8495,7047,3131,2085,4054
Msn2_226_289,16094,4407,5032,7407,5295,4584,9299,8610,7567,3025,2667,5329
Msn2_231_294,20701,5157,7472,11369,6872,6079,10298,10534,10074,4531,3598,9132
Msn2_236_299,20633,6050,6867,10747,8155,7020,11482,10900,9547,5988,4358,7299
Msn2_241_304,24107,9090,7463,12107,7900,6906,12215,10851,11769,5846,5617,11511
Msn2_246_309,38073,11024,17328,24986,20555,16479,20039,20206,27032,12804,10757,24723
Msn2_251_314,27682,10626,13952,20461,16434,12872,19597,16148,22875,10836,8725,17698
Msn2_256_319,29722,9601,12378,18213,16338,14719,19590,17050,23804,9285,7568,17500
