,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Tec1_1_64,29877,30816,12602,8999,2182,10905,27213,29980,11283,10032,6892,13240
Tec1_6_69,32331,45646,32359,20911,2587,19636,34019,37923,28382,26469,13328,23501
Tec1_11_74,55029,73002,44013,33376,9582,18648,59574,60445,38020,38780,21307,26904
Tec1_16_79,59357,74497,63902,46954,11107,39791,70882,74572,51207,53536,31543,41888
Tec1_21_84,64612,83212,75850,52780,23340,46066,72933,78137,68857,61170,35528,46637
Tec1_26_89,46751,50283,42095,32024,5290,20370,50891,50067,40724,38304,20688,22490
Tec1_31_94,75646,85792,92735,69946,14973,51795,71495,73220,76485,73148,32381,70121
Tec1_36_99,22149,33533,28129,18962,12648,24558,20203,21399,22548,26477,19457,22476
Tec1_41_104,42650,49038,35775,23649,5115,15348,42634,47157,29522,26412,18374,15901
Tec1_46_109,21338,30379,30264,25494,12646,24385,22013,25186,23099,25557,17259,26166
Tec1_51_114,20930,27653,27503,21708,8427,28277,21548,23142,22575,24771,17578,26475
Tec1_56_119,23384,32401,32210,24876,17613,24277,22620,28135,23456,29332,23863,25941
Tec1_61_124,51931,64125,74442,44709,18633,46324,56050,60024,57851,67368,48278,52913
Tec1_66_129,55911,76893,82682,48824,13216,41237,60470,65873,63531,57747,27253,47622
Tec1_71_134,38353,46180,55434,40163,12458,39379,38366,38524,38589,38587,21724,36191
Tec1_76_139,24085,28721,30218,19991,5913,23336,18152,20748,19683,20556,24258,25487
Tec1_81_144,35336,46910,41107,30219,14272,34607,30569,34648,37910,40150,22503,41239
Tec1_86_149,41207,48574,55216,37351,14088,41881,37798,44594,42733,40692,45154,52171
Tec1_91_154,25784,28789,26894,18370,9232,26159,20977,24506,17372,19553,22221,27862
Tec1_96_159,13271,15523,12707,9795,3474,12458,10816,16054,12453,12742,10946,15350
Tec1_101_164,33160,41847,38413,26288,5690,21498,34333,35039,33035,33937,14675,26958
Tec1_106_169,30410,37276,37074,26767,7227,32536,30351,28970,30681,31546,24847,32569
Tec1_111_174,32549,45727,41144,27986,15591,39369,33608,36369,38174,43546,35538,44949
Tec1_116_179,29859,35910,31688,21486,7179,29790,26924,30456,27072,34031,37466,36682
Tec1_121_184,21141,29283,31886,24395,14078,26775,21393,27159,20756,24107,21980,32759
Tec1_126_189,21503,26458,26139,19815,9118,21735,17993,21658,21081,22408,20500,26687
Tec1_131_194,20520,23595,20119,14900,8165,26108,20635,21846,19650,19414,18142,32786
Tec1_136_199,10970,14990,10482,11173,5445,14486,10524,11095,10009,10932,8634,14213
Tec1_141_204,26764,33238,31164,19882,15605,34030,26458,25381,23092,25576,31501,34211
Tec1_146_209,28936,32731,27816,22720,21154,33525,28148,31281,26153,30409,32035,37866
Tec1_151_214,27504,36349,29939,22689,13702,26641,24802,28109,24052,26027,22517,38018
Tec1_156_219,16676,24260,21193,17082,7900,17988,17150,20178,19154,16658,18177,21260
Tec1_161_224,22272,30220,29694,21254,14423,25891,21172,24025,24536,23042,21024,31283
Tec1_166_229,28078,33725,30097,23093,10109,31888,28263,27429,27094,31593,30864,38285
Tec1_171_234,35829,52986,53951,34236,19351,41877,39853,41719,39807,43110,29847,40238
Tec1_176_239,37955,48007,44816,33131,9006,35680,30427,36144,36682,35961,31489,35846
Tec1_181_244,35006,43674,44914,31144,15432,36430,30415,35104,31450,36253,27850,40451
Tec1_186_249,78579,99064,111377,78201,35415,111179,87845,91937,102018,101447,89265,125283
Tec1_191_254,30807,39082,32199,23979,12648,35732,28345,29799,27094,31382,27603,37381
Tec1_196_259,69249,89249,102801,73439,37278,83361,70632,78806,82605,92409,55567,97923
Tec1_201_264,31905,41828,39603,26892,12907,33273,28629,32083,30886,34887,31741,40053
Tec1_206_269,60610,72043,81392,60932,14486,67500,59525,63029,68574,74228,36846,63849
Tec1_211_274,44075,52370,52960,38606,21463,41685,37739,42683,43883,45646,32603,50460
Tec1_216_279,41821,49823,43418,32903,17260,49788,39526,38256,35128,37614,33586,48089
Tec1_221_284,28907,38745,36269,26896,8350,32160,28290,26149,33192,33694,22065,28436
Tec1_226_289,28525,33232,31788,23644,10539,31189,25064,28358,29685,31383,29452,30173
Tec1_231_294,33549,43205,41844,26176,11374,36355,28865,31146,34172,33757,28379,39288
Tec1_236_299,43523,56621,47754,30239,17519,29737,38211,45909,41560,39688,18930,33475
Tec1_241_304,36137,45618,49277,31861,17023,44713,32758,41099,41124,43644,27645,47454
Tec1_246_309,19360,23317,23200,18705,7038,25524,18018,19790,21137,24246,15024,26420
Tec1_251_314,36461,40995,43247,25845,16017,39566,33670,36258,31519,40279,39104,48652
Tec1_256_319,24711,29960,26029,19333,7071,29595,23388,23404,21783,20533,22717,32002
Tec1_261_324,29505,34194,29378,23228,9473,27801,25522,27989,25555,27587,20522,34198
Tec1_266_329,44055,59975,61348,47626,16832,56731,46276,54373,52875,56792,47881,64312
Tec1_271_334,40144,50288,56701,42130,13524,47389,42601,43264,44516,47871,36488,45040
Tec1_276_339,42730,53111,48236,35102,11319,28910,40733,40139,39262,43226,19700,28976
Tec1_281_344,27755,36770,30547,23739,9144,15625,27223,24741,29819,28733,14080,16248
Tec1_286_349,42631,48914,51319,40848,9580,43286,41724,41079,47344,48315,38696,46702
Tec1_291_354,19722,29364,27410,21943,9671,32647,23121,22729,22898,24293,22038,29700
Tec1_296_359,34460,47771,36718,34129,6991,25944,31576,35923,34768,35200,22792,34146
Tec1_301_364,30785,43950,18010,12390,7350,10040,31791,33311,15423,14086,10053,11151
Tec1_306_369,27283,40384,20973,14718,5059,12642,30995,35070,19228,16720,11020,12274
Tec1_311_374,22793,30674,16030,14340,9059,10801,16249,18178,14173,12662,11688,11879
Tec1_316_379,35711,44009,11622,8897,2940,7439,34781,34692,10060,8452,7508,9538
Tec1_321_384,36341,45531,10718,6882,3025,8809,33382,34117,11980,11510,8513,11313
Tec1_326_389,20934,27210,15027,13503,1882,10997,17451,19196,13437,9823,6044,8209
Tec1_331_394,19577,26548,11377,9057,6524,8719,22142,25137,11228,9229,6727,9724
Tec1_336_399,30816,33860,19011,17832,4126,14460,27837,32886,17013,14788,10285,11120
Tec1_341_404,31764,38238,20842,13460,3766,14725,30011,34871,16920,19562,7629,15338
Tec1_346_409,15795,23003,21471,14684,3482,15452,16465,19134,15103,18566,16223,17077
Tec1_351_414,21929,28477,26454,19225,9055,19693,21679,23156,23405,21517,13679,20565
Tec1_356_419,19785,22756,22216,15380,4002,14352,15753,19174,16976,16324,9667,17220
Tec1_361_424,45495,50491,46791,29684,6786,25157,47389,51505,40528,39870,23830,26997
Tec1_366_429,18728,20298,23047,13197,2923,13732,15906,19991,16605,14699,9305,15466
Tec1_371_434,46983,54900,58968,40176,9577,38277,42322,46642,42118,41577,32942,43957
Tec1_376_439,60178,64785,60890,40305,10060,29972,68811,72272,54723,50211,29256,32454
Tec1_381_444,45146,56239,54274,40067,11540,38998,40340,47607,47301,45271,27786,38836
Tec1_386_449,43987,56603,56835,44809,15498,48236,44869,51231,48686,59111,40039,53211
Tec1_391_454,44673,56433,62327,41983,22313,46178,43907,53400,50772,44261,39287,64772
Tec1_396_459,56551,67347,55748,43339,16905,64695,53972,60027,46284,52251,50984,80709
Tec1_401_464,93059,134991,123802,90404,50040,146943,116927,126552,105740,120547,143135,175033
Tec1_406_469,80967,106925,98204,77751,46661,119168,83865,100033,94202,92607,93489,128408
Tec1_411_474,73902,95206,94281,63310,28747,74763,77504,88606,90263,87045,64999,88866
Tec1_416_479,99713,128007,121481,87293,38789,125429,107483,128081,118115,119096,122376,168724
Tec1_421_484,99069,128483,142854,104007,46658,121206,102131,128147,118798,132855,101841,145328
GSY1_1_64,40084,50997,45161,36554,15355,34569,37875,43430,39532,37060,26198,26673
GSY1_91_154,52334,60212,52259,35453,19201,51283,43274,52617,35826,44818,44404,55768
GSY1_181_244,101543,131832,103750,82467,51879,148513,107746,113975,106529,103972,134250,178856
GSY1_271_334,46578,60233,41319,38131,24367,60677,45793,52558,38074,42049,41691,57658
GSY1_361_424,44713,57015,62470,46425,12543,46604,41746,48922,54748,51195,42053,52738
GSY1_451_514,40669,56045,44460,30638,14179,46181,40042,47278,37297,37983,40998,47527
GSY1_541_604,26487,33414,33982,26987,10201,34668,27335,30933,33748,31642,20547,40341
HXK1_1_64,41871,53444,41166,25752,9466,23144,43532,57780,36395,35836,18735,28151
HXK1_91_154,68429,70254,88182,68673,32206,73987,63021,76350,85428,83124,56782,90149
HXK1_181_244,43145,47697,49679,34568,11484,44662,40331,45676,41731,42560,41499,46666
HXK1_271_334,40710,46433,49588,34620,18184,55288,37390,42193,35761,34926,35859,55540
HXK1_361_424,36782,48486,45262,37948,22671,40497,38514,47063,41937,40296,30763,49682
TDH3_1_64,54569,64343,73688,47423,28184,45805,53279,62298,56133,57872,39153,62480
TDH3_91_154,87947,113879,115599,84700,38779,102524,85972,97777,98980,106405,72296,109102
TDH3_181_244,142421,190892,157594,124457,35198,91992,139856,181185,147074,133791,64605,103206
