,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF1_1_64,139,92,132,345,316,239,3,492,345,487,710,268
ABF1_12_75,98,103,227,538,129,387,422,549,244,546,378,263
ABF1_23_86,102,52,80,436,158,157,109,440,251,242,773,356
ABF1_34_97,67,123,138,322,5,281,381,268,128,517,793,498
ABF1_45_108,142,278,262,640,345,363,8,722,478,613,1220,375
ABF1_56_119,81,166,198,267,172,326,3,532,366,530,613,101
ABF1_67_130,70,276,81,151,6,93,76,325,202,266,159,136
ABF1_78_141,51,202,185,616,2,366,242,654,305,564,377,353
ABF1_89_152,249,324,136,191,74,134,211,1077,79,208,306,101
ABF1_100_163,133,357,135,443,6,82,1,1008,190,100,432,31
ABF1_111_174,52,88,8,4,12,15,3,369,2,1,5,64
ABF1_122_185,147,248,151,585,66,317,245,749,465,473,232,251
ABF1_133_196,64,75,79,79,1,187,6,264,76,244,512,220
ABF1_144_207,125,96,221,348,153,451,523,431,315,370,965,208
ABF1_155_218,54,134,121,241,26,226,7,544,290,369,869,633
ABF1_166_229,74,124,71,202,3,360,253,330,190,342,335,200
ABF1_177_240,79,113,128,179,10,70,119,500,234,275,640,117
ABF1_188_251,248,430,274,631,78,447,54,850,344,609,575,194
ABF1_199_262,108,229,184,394,129,290,6,484,353,427,593,306
ABF1_210_273,83,125,146,182,13,191,367,328,353,323,729,153
ABF1_221_284,94,112,147,476,50,183,136,303,132,580,297,385
ABF1_232_295,158,176,151,383,344,110,256,578,204,220,545,229
ABF1_243_306,92,136,148,298,326,330,107,338,198,318,100,352
ABF1_254_317,69,304,238,439,167,300,332,483,302,337,558,212
ABF1_265_328,122,198,256,352,197,460,36,329,280,448,482,198
ABF1_276_339,99,138,111,209,13,191,107,674,361,234,510,197
ABF1_287_350,206,306,295,617,144,329,269,1016,261,471,691,230
ABF1_298_361,241,332,534,857,141,677,411,1394,878,1276,3112,1526
ABF1_309_372,139,291,290,518,107,531,709,787,426,980,2240,917
ABF1_320_383,89,125,175,153,4,225,122,436,315,354,556,429
ABF1_331_394,173,274,258,874,379,339,185,696,376,819,953,952
ABF1_342_405,114,118,161,374,185,177,130,460,281,311,538,263
ABF1_353_416,129,252,194,499,158,497,3,635,158,619,1637,596
ABF1_364_427,88,112,184,248,118,337,61,390,419,126,448,128
ABF1_375_438,28,31,69,71,9,27,112,88,67,150,330,6
ABF1_386_449,29,41,68,334,134,236,97,168,145,182,728,91
ABF1_397_460,106,151,144,196,16,134,91,449,231,501,7,149
ABF1_408_471,45,53,36,75,2,21,2,205,8,55,177,50
ABF1_419_482,140,152,119,183,159,78,70,574,210,164,94,152
ABF1_430_493,51,66,11,13,1,0,0,251,40,2,0,0
ABF1_441_504,124,200,164,381,354,187,329,620,305,493,591,107
ABF1_452_515,91,200,153,332,10,225,241,444,141,478,1211,261
ABF1_463_526,80,141,158,501,102,175,79,497,361,461,371,259
ABF1_474_537,25,114,87,102,53,135,31,233,178,222,593,118
ABF1_485_548,113,150,140,269,13,241,271,525,357,444,261,342
ABF1_496_559,89,241,208,295,254,189,11,495,120,363,1002,379
ABF1_507_570,213,260,135,555,11,142,238,1204,390,532,503,140
ABF1_518_581,269,220,91,142,79,134,96,1098,147,201,17,149
ABF1_529_592,120,219,85,162,4,108,319,697,295,210,408,125
ABF1_540_603,168,243,186,340,9,136,323,1098,255,331,82,415
ABF1_551_614,140,180,116,447,3,288,124,666,234,394,146,296
ABF1_562_625,97,199,120,438,13,175,71,620,187,414,510,221
ABF1_573_636,139,174,154,406,6,146,204,686,202,389,229,182
ABF1_584_647,188,211,123,266,7,99,6,1085,156,453,278,38
ABF1_595_658,63,117,158,165,7,7,89,292,222,289,199,180
ABF1_606_669,102,158,112,168,186,74,5,363,120,91,97,278
ABF1_617_680,101,309,196,273,426,146,4,678,374,260,639,235
ABF1_628_691,45,81,83,177,19,209,4,248,70,253,119,152
ABF1_639_702,94,208,140,160,13,325,6,319,188,242,403,200
ABF1_650_713,106,104,202,233,6,231,172,482,368,341,470,179
ABF1_661_724,30,32,145,419,31,251,1,213,193,380,62,73
ABF1_668_731,35,127,41,125,4,143,2,188,144,84,153,175
ABF2_1_64,89,95,186,453,245,329,205,551,387,355,920,468
ABF2_12_75,105,98,165,485,88,320,250,503,396,451,1000,525
ABF2_23_86,153,189,180,438,338,234,203,450,200,546,1061,678
ABF2_34_97,137,226,245,743,277,652,432,630,525,726,2212,557
ABF2_45_108,58,136,171,352,190,138,109,437,96,271,180,12
ABF2_56_119,105,195,130,332,5,253,2,304,215,118,64,114
ABF2_67_130,55,50,129,224,263,242,188,269,253,226,178,205
ABF2_78_141,59,58,71,175,6,175,137,210,109,222,222,74
ABF2_89_152,63,115,32,106,126,34,0,278,77,84,254,21
ABF2_100_163,129,110,138,185,5,33,95,463,165,496,340,243
ABF2_111_174,204,238,160,630,4,238,381,721,219,451,505,212
ABF2_120_183,40,61,40,81,114,192,2,137,116,37,434,144
ACA1_1_64,92,96,105,290,81,168,2,267,307,389,1019,313
ACA1_12_75,79,139,219,200,4,290,198,496,305,303,1212,376
