,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Tec1_1_64,22095,17526,8683,10559,4888,6646,26178,20737,8923,9847,6430,9375
Tec1_6_69,34642,23156,22958,27681,4468,15360,36629,29030,24623,28015,15734,21645
Tec1_11_74,46569,33093,28955,37440,11647,20074,54230,47105,30009,35133,18923,27991
Tec1_16_79,66511,53233,47517,61312,13373,39765,76942,64272,46441,65450,43097,49969
Tec1_21_84,62831,45425,51280,57901,22139,42010,68162,60085,52191,63786,47774,60383
Tec1_26_89,46232,37783,32672,41414,13599,20145,55886,48213,35924,44418,15228,24837
Tec1_31_94,73671,55955,60483,74963,37902,52902,79172,70055,63541,84095,55369,67123
Tec1_36_99,18580,14246,16272,18990,8152,19493,19693,17044,16999,17777,20092,24623
Tec1_41_104,36575,29797,19860,27680,9334,15396,45586,38078,24020,29294,15065,22181
Tec1_46_109,23797,16523,20054,24897,10836,21376,25259,22612,20075,28845,24296,32425
Tec1_51_114,16947,13011,13566,19224,6850,16655,18254,16833,12769,18955,15274,21541
Tec1_56_119,23868,19845,18658,27026,20543,16349,30325,24477,21613,29874,23905,28353
Tec1_61_124,48275,31074,37931,46736,23647,41827,48075,44246,41490,51323,48184,54509
Tec1_66_129,36307,25917,36821,40957,22233,21109,43219,36762,34254,40784,32463,36987
Tec1_71_134,35039,25525,28293,42606,19515,29107,38041,32259,27762,42587,39383,42525
Tec1_76_139,22237,16522,16429,20915,10088,21688,23269,19519,14113,20817,27071,28922
Tec1_81_144,35404,25830,28857,34600,16344,21245,34121,28954,27216,32260,38008,38675
Tec1_86_149,34263,23333,24629,34123,9294,33680,37972,32402,30740,32704,38839,48456
Tec1_91_154,18388,15054,13396,18792,5786,13828,21531,17510,14267,19893,15092,25539
Tec1_96_159,13708,9840,8797,14650,6866,12044,15005,12059,10285,11660,12034,16282
Tec1_101_164,30823,24628,22853,26223,5545,17521,37434,32829,22492,30048,23000,28636
Tec1_106_169,30240,20801,17913,25267,18114,22443,33563,28217,23665,30298,29243,34511
Tec1_111_174,25367,22230,21695,26893,14933,25821,32984,28558,20084,30708,34574,42133
Tec1_116_179,20207,17024,18907,22911,11774,22388,24923,22499,18682,24456,35609,34159
Tec1_121_184,15198,11154,10652,15912,9938,14783,16516,16609,14582,18804,18976,23122
Tec1_126_189,23808,15909,15026,18364,5030,21735,20020,19253,13335,22490,24627,25664
Tec1_131_194,20630,14629,11987,15164,11431,15858,19382,17267,11660,17881,26449,27236
Tec1_136_199,7927,6410,6093,10007,5942,8649,7756,6879,6392,11181,11387,12738
Tec1_141_204,27734,17442,17127,23794,29136,24467,27083,25161,17442,26598,33345,38180
Tec1_146_209,32430,22989,20673,33743,17534,34070,36593,31368,23125,32307,41415,51985
Tec1_151_214,27295,21489,24499,37327,13413,29002,35453,29719,26585,33306,37132,40251
Tec1_156_219,17840,15091,15465,19086,5803,18624,21857,17656,14337,21583,23160,24234
Tec1_161_224,24310,18182,21736,23814,14030,21773,25545,22300,21523,23937,26479,31398
Tec1_166_229,23287,17473,20552,24594,13536,25228,25596,20336,18790,23523,36632,37808
Tec1_171_234,35764,30006,28259,40647,17265,31211,40022,35470,29228,40927,40544,47015
Tec1_176_239,24131,19084,19351,31850,13476,24299,27913,23887,24082,28179,25465,36029
Tec1_181_244,22594,19525,17802,23746,14398,27767,27752,22487,21403,29320,27509,36730
Tec1_186_249,68838,49514,55846,69286,37782,71468,77812,73367,63693,79163,84807,106240
Tec1_191_254,24464,16814,14893,20210,12633,22704,23483,19924,15483,17616,33273,27216
Tec1_196_259,67843,46535,49912,69218,49301,60507,71299,65854,58765,77364,73609,96958
Tec1_201_264,25165,19274,22042,35277,21688,28751,27524,24745,22826,28517,33895,31643
Tec1_206_269,52859,35290,42134,52171,22809,42325,56006,51601,41939,60068,55926,63208
Tec1_211_274,35380,25043,32246,38505,16079,34460,39155,30422,29425,37791,43480,47117
Tec1_216_279,33286,28164,23942,37020,15009,34137,41290,36992,28380,34881,40604,50495
Tec1_221_284,25502,17039,23042,29855,10888,20101,26657,25399,20065,29991,25478,27169
Tec1_226_289,26430,18542,22898,36384,11557,20347,27055,23479,21726,28038,20032,29395
Tec1_231_294,32078,21951,24975,25981,14688,33871,32598,28741,26352,32440,40864,41509
Tec1_236_299,39460,30425,27599,36458,14888,28317,49645,39572,33794,38916,34833,33318
Tec1_241_304,36917,28078,26290,36520,10977,29493,35165,32048,29759,35964,41351,46831
Tec1_246_309,19892,15424,15058,17274,9706,19131,20540,17454,12791,20081,25520,24013
Tec1_251_314,36239,29852,27135,36330,29233,41099,40280,36705,28709,38538,45867,57417
Tec1_256_319,27011,14893,15615,20187,10367,26337,22401,20540,18456,22803,26602,25615
Tec1_261_324,21141,17252,19696,23991,9112,20604,26155,21487,18218,24637,28127,30704
Tec1_266_329,48072,32397,35143,44624,30057,41627,49793,41509,39366,51678,68544,63479
Tec1_271_334,40327,31036,34434,42092,20719,38901,43543,36782,34139,40264,47495,54733
Tec1_276_339,42044,30947,36272,41233,24644,22826,48470,39808,33400,44685,32924,38318
Tec1_281_344,25129,19199,22378,25117,5998,16957,28586,22556,21230,24313,22199,19434
Tec1_286_349,47292,30919,31581,41956,39978,36327,44375,39156,33645,49280,34143,51807
Tec1_291_354,20343,15868,15539,22783,9928,24910,23474,21131,15244,18568,25813,25232
Tec1_296_359,30290,23602,26528,32772,12634,22303,39660,31986,27711,37522,37003,32473
Tec1_301_364,30267,19512,15685,18613,8355,8328,34311,28508,16617,22631,6123,14710
Tec1_306_369,34624,24817,22067,22607,8036,16660,36599,33454,23229,24969,15051,17495
Tec1_311_374,14956,13591,16201,17924,14588,12933,19661,18257,14353,18494,15298,13292
Tec1_316_379,27816,18149,11581,11259,3603,5918,32442,24483,13734,15383,8011,9173
Tec1_321_384,23313,17124,9333,10268,1484,6263,28665,23541,9020,12908,5537,11189
Tec1_326_389,16293,12219,12929,13452,8125,11480,19476,15297,11056,14592,15765,12505
Tec1_331_394,20211,13494,12585,15760,1764,9524,22877,18286,14466,15629,9489,11417
Tec1_336_399,23209,17673,13941,15146,10064,9250,25290,19843,16322,20265,12960,11883
Tec1_341_404,25435,17559,15480,18260,3826,11101,25301,20528,13272,18076,16930,12746
Tec1_346_409,13400,10353,8632,11586,11463,14293,12563,11334,8474,12898,12238,16791
Tec1_351_414,18176,14413,14767,19320,7164,12780,19159,16943,13721,18627,15650,19716
Tec1_356_419,13928,9684,11601,14705,4753,9473,15205,12280,10900,14501,8528,16889
Tec1_361_424,33059,24203,20502,27864,12061,22453,39493,32262,25119,32739,22105,26060
Tec1_366_429,13829,10785,10937,14255,4793,7515,16580,13262,11515,17323,14786,15356
Tec1_371_434,34805,27047,28369,37103,30045,28273,38054,33046,26304,38748,41185,38416
Tec1_376_439,51954,38544,36053,39361,15452,22073,61865,52913,41072,46533,26604,34441
Tec1_381_444,47923,33103,33660,44380,16393,42324,44221,41299,38838,45758,41581,42039
Tec1_386_449,39354,30736,34533,37006,17664,33332,45931,40270,32595,46120,48298,45634
Tec1_391_454,38515,26997,31753,41660,17014,36315,46248,36019,31089,43733,50285,48930
Tec1_396_459,54787,42560,38347,47124,30914,59908,64420,55703,41735,59916,66557,85592
Tec1_401_464,81507,58661,58901,70805,42638,91918,93325,81973,69795,84954,139736,143541
Tec1_406_469,75288,54687,61302,78269,41307,75153,89265,75449,64153,89519,103850,127699
Tec1_411_474,58320,41995,46074,57602,17325,38301,71648,59939,49483,74640,69360,77138
Tec1_416_479,88017,67132,67876,86498,48657,108266,99309,86602,72804,97855,140377,143916
Tec1_421_484,96894,68497,74274,101766,56816,90223,115095,95558,91753,124516,134027,166529
GSY1_1_64,36544,32383,30580,38291,16042,24880,51012,44698,33920,44116,36519,39454
GSY1_91_154,40161,31488,27634,33542,21394,40384,45108,40601,25983,37320,43579,49614
GSY1_181_244,89611,70291,73569,91427,55166,100272,107448,92329,80886,105023,129769,144955
GSY1_271_334,41469,31479,25439,32951,32058,47668,48090,40897,28405,34433,62613,55065
GSY1_361_424,45487,33448,38437,48422,24987,36030,49965,43355,42150,54196,65274,57040
GSY1_451_514,33607,28589,28243,32654,20861,33264,39236,34523,25198,34588,50162,49865
GSY1_541_604,23337,17175,18674,28405,16456,22177,28348,23135,20005,25273,24701,31412
HXK1_1_64,38898,30499,21016,25619,24721,20095,49918,43811,26138,36902,20366,25398
HXK1_91_154,53107,44629,54362,60125,19950,56957,70461,55446,51007,67606,88758,83338
HXK1_181_244,41217,27415,28214,36470,19155,36690,44624,34049,27300,34899,42459,45613
HXK1_271_334,36074,30673,29160,36867,30246,44343,41838,35971,28115,36893,59888,55031
HXK1_361_424,36128,24889,24805,32193,23414,33877,38778,32416,29122,35135,36647,45414
TDH3_1_64,45542,34612,39939,45559,17362,31399,54211,47736,36651,47940,44453,47580
TDH3_91_154,92190,67138,77283,95163,46777,88499,98741,84031,80153,107634,94064,116500
TDH3_181_244,119125,96713,97901,130122,50097,70330,156315,136410,106529,132576,89734,115876
