,1_0_1,1_0_2,1_60_1,1_60_2,2_0_1,2_0_2,2_60_1,2_60_2
ABF1_1_64,313,288,173,184,121,104,197,147
ABF1_12_75,175,204,131,113,212,145,229,198
ABF1_23_86,303,341,164,217,268,232,263,155
ABF1_34_97,312,385,193,218,165,111,230,125
ABF1_45_108,412,528,235,216,194,128,257,184
ABF1_56_119,291,386,223,382,300,326,325,262
ABF1_67_130,222,184,185,200,282,318,418,266
ABF1_78_141,285,254,131,140,107,160,139,89
ABF1_89_152,460,513,326,425,359,518,688,504
ABF1_100_163,396,292,210,280,374,362,584,365
ABF1_111_174,1778,1575,1480,1919,1092,1195,1992,1483
ABF1_122_185,517,406,294,390,313,508,461,286
ABF1_133_196,116,188,74,150,188,110,134,119
ABF1_144_207,263,201,239,192,201,159,219,133
ABF1_155_218,350,339,176,180,329,139,211,118
ABF1_166_229,283,311,154,156,137,146,254,199
ABF1_177_240,325,236,247,294,175,274,268,99
ABF1_188_251,265,179,109,188,159,213,244,186
ABF1_199_262,533,414,237,330,255,261,215,119
ABF1_210_273,284,358,128,229,191,203,195,123
ABF1_221_284,252,188,126,179,51,197,108,52
ABF1_232_295,261,273,193,232,142,122,228,186
ABF1_243_306,122,107,74,98,126,246,169,106
ABF1_254_317,353,297,210,271,130,199,192,139
ABF1_265_328,151,250,113,139,326,244,484,313
ABF1_276_339,225,235,199,251,196,179,318,187
ABF1_287_350,495,504,266,419,461,449,664,497
ABF1_298_361,364,259,193,198,324,388,254,170
ABF1_309_372,159,143,85,118,88,160,133,71
ABF1_320_383,77,157,76,59,148,73,199,101
ABF1_331_394,206,221,145,115,49,84,90,71
ABF1_342_405,491,422,261,314,214,283,399,296
ABF1_353_416,177,313,97,141,71,133,121,60
ABF1_364_427,199,206,84,143,86,76,124,54
ABF1_375_438,225,313,129,168,120,45,120,117
ABF1_386_449,200,275,143,90,91,115,114,57
ABF1_397_460,362,373,199,195,245,258,321,237
ABF1_408_471,1050,1185,1138,1307,618,530,1319,1084
ABF1_419_482,463,660,432,494,416,280,543,316
ABF1_430_493,426,497,396,466,309,140,560,388
ABF1_441_504,102,64,114,94,89,204,86,43
ABF1_452_515,112,126,62,84,37,85,145,91
ABF1_463_526,109,222,104,80,43,125,124,92
ABF1_474_537,117,170,108,112,186,146,109,70
ABF1_485_548,180,219,85,155,86,65,116,79
ABF1_496_559,203,258,126,118,125,142,192,132
ABF1_507_570,834,714,545,592,450,408,751,471
ABF1_518_581,615,705,442,626,390,426,590,392
ABF1_529_592,446,443,361,435,522,551,738,549
